Player,Date,G,School,Loc,Opponent,WL,FR,FR Yds,FR TD,Fumble Forced,unique_id
Sean Baker,2010-09-02,1,Ball State,,Southeast Missouri State,W,0,0,0,1,sean-baker-1
Dorian Bell,2010-09-02,1,Ohio State,,Marshall,W,0,0,0,1,dorian-bell-1
Shamari Benton,2010-09-02,1,Central Michigan,,Hampton,W,0,0,0,1,shamari-benton-1
Chimdi Chekwa,2010-09-02,1,Ohio State,,Marshall,W,0,0,0,1,chimdi-chekwa-1
Robert Eddins,2010-09-02,1,Ball State,,Southeast Missouri State,W,0,0,0,1,robert-eddins-1
Alex Frye,2010-09-02,1,Wake Forest,,Presbyterian,W,0,0,0,1,alex-frye-1
Aaron Grymes,2010-09-02,1,Idaho,,North Dakota,W,0,0,0,1,aaron-grymes-1
Shiloh Keo,2010-09-02,1,Idaho,,North Dakota,W,1,10,0,1,shiloh-keo-1
Jake Knott,2010-09-02,1,Iowa State,,Northern Illinois,W,0,0,0,1,jake-knott-1
Brian Lainhart,2010-09-02,1,Kent State,,Murray State,W,0,0,0,1,brian-lainhart-1
Trent Mackey,2010-09-02,1,Tulane,,Southeastern Louisiana,W,0,0,0,1,trent-mackey-1
Steven Means,2010-09-02,1,Buffalo,,Rhode Island,W,0,0,0,1,steven-means-1
Doyle Miller,2010-09-02,1,Nevada,,Eastern Washington,W,0,0,0,1,doyle-miller-1
Tyler Moeller,2010-09-02,1,Ohio State,,Marshall,W,0,0,0,1,tyler-moeller-1
Roosevelt Nix,2010-09-02,1,Kent State,,Murray State,W,0,0,0,1,roosevelt-nix-1
Jason Pinkston,2010-09-02,1,Ball State,,Southeast Missouri State,W,0,0,0,1,jason-pinkston-1
Antwuan Reed,2010-09-02,1,Pittsburgh,@,Utah,L,0,0,0,1,antwuan-reed-1
Caesar Rodriguez,2010-09-02,1,Central Michigan,,Hampton,W,0,0,0,1,caesar-rodriguez-1
Spencer Smith,2010-09-02,1,Hawaii,,Southern California,L,0,0,0,1,spencer-smith-1
Ryan Travis,2010-09-02,1,Tulane,,Southeastern Louisiana,W,0,0,0,1,ryan-travis-1
Devon Walker,2010-09-02,1,Tulane,,Southeastern Louisiana,W,0,0,0,1,devon-walker-2
Kenny Watkins,2010-09-02,1,Minnesota,@,Middle Tennessee State,W,0,0,0,1,kenny-watkins-2
Kyle Wilber,2010-09-02,1,Wake Forest,,Presbyterian,W,0,0,0,1,kyle-wilber-1
T.J. Fatinikun,2010-09-03,1,Toledo,,Arizona,L,0,0,0,1,tj-fatinikun-1
Michael Turner,2010-09-03,1,Arizona,@,Toledo,W,0,0,0,1,michael-turner-1
Sam Acho,2010-09-04,1,Texas,@,Rice,W,0,0,0,1,sam-acho-1
Kendrick Adams,2010-09-04,1,Louisiana State,N,North Carolina,W,0,0,0,1,kendrick-adams-1
Mario Addison,2010-09-04,1,Troy,,Bowling Green State,W,0,0,0,1,mario-addison-1
Harris Agbor,2010-09-04,1,Connecticut,@,Michigan,L,0,0,0,2,harris-agbor-1
Victor Aiyewa,2010-09-04,1,Washington,@,Brigham Young,L,0,0,0,1,victor-aiyewa-1
Stephen Anderson,2010-09-04,1,Army,@,Eastern Michigan,W,0,0,0,1,stephen-anderson-1
Max Bergen,2010-09-04,1,Stanford,,Sacramento State,W,0,0,0,1,max-bergen-1
Tre Boston,2010-09-04,1,North Carolina,N,Louisiana State,L,0,0,0,2,tre-boston-1
Matt Broha,2010-09-04,1,Louisiana Tech,,Grambling State,W,0,0,0,1,matt-broha-1
Kent Brooks,2010-09-04,1,Houston,,Texas State,W,0,0,0,1,kent-brooks-1
Deone Bucannon,2010-09-04,1,Washington State,@,Oklahoma State,L,0,0,0,1,deone-bucannon-1
Chris Carter,2010-09-04,1,Fresno State,,Cincinnati,W,0,0,0,1,chris-carter-2
Lucas Cox,2010-09-04,1,Georgia Tech,,South Carolina State,W,0,0,0,1,lucas-cox-1
Wayne Daniels,2010-09-04,1,Texas Christian,,Oregon State,W,0,0,0,1,wayne-daniels-1
Hilton Dawson III,2010-09-04,1,Ohio,,Wofford,W,0,0,0,1,hilton-dawson-iii-1
Mario Edwards,2010-09-04,1,Georgia Tech,,South Carolina State,W,0,0,0,1,mario-edwards-2
J.T. Floyd,2010-09-04,1,Michigan,,Connecticut,W,0,0,0,1,jt-floyd-1
Tim Fort,2010-09-04,1,Eastern Michigan,,Army,L,0,0,0,1,tim-fort-1
Tim Fugger,2010-09-04,1,Vanderbilt,,Northwestern,L,0,0,0,1,tim-fugger-1
Jay Fullam,2010-09-04,1,Vanderbilt,,Northwestern,L,0,0,0,2,jay-fullam-1
Andrew Gachkar,2010-09-04,1,Missouri,N,Illinois,W,0,0,0,1,andrew-gachkar-1
Dan Giordano,2010-09-04,1,Cincinnati,@,Fresno State,L,0,0,0,1,dan-giordano-1
Marcell Gipson,2010-09-04,1,Wyoming,,Southern Utah,W,0,0,0,2,marcell-gipson-1
Dejon Gomes,2010-09-04,1,Nebraska,,Western Kentucky,W,0,0,0,1,dejon-gomes-1
Malliciah Goodman,2010-09-04,1,Clemson,,North Texas,W,0,0,0,1,malliciah-goodman-1
Brandon Hanna,2010-09-04,1,Oregon,,New Mexico,W,0,0,0,1,brandon-hanna-1
