Player,Date,G,School,Loc,Opponent,WL,Kick Ret,Kick Ret Yds,Kick Ret Avg,Kick Ret TD,unique_id
Bilal Ally,2018-08-25,1,Massachusetts,,Duquesne,W,2,40,20.0,0,bilal-ally-1
Justice Augafa,2018-08-25,1,Hawaii,@,Colorado State,W,1,17,17.0,0,justice-augafa-1
Cedric Byrd,2018-08-25,1,Hawaii,@,Colorado State,W,1,26,26.0,0,cedric-byrd-1
Royce Caldwell,2018-08-25,1,New Mexico State,,Wyoming,L,1,1,1.0,0,royce-caldwell-1
Austin Conway,2018-08-25,1,Wyoming,@,New Mexico State,W,1,12,12.0,0,austin-conway-1
Austin Trammell,2018-08-25,1,Rice,,Prairie View A&M,W,4,107,26.8,0,austin-trammell-1
Austin Walter,2018-08-25,1,Rice,,Prairie View A&M,W,2,63,31.5,0,austin-walter-1
Preston Williams,2018-08-25,1,Colorado State,,Hawaii,L,6,119,19.8,0,preston-williams-4
Marquis Young,2018-08-25,1,Massachusetts,,Duquesne,W,1,13,13.0,0,marquis-young-1
Julian Blackmon,2018-08-30,1,Utah,,Weber State,W,1,24,24.0,0,julian-blackmon-1
Keyion Dixon,2018-08-30,1,Connecticut,,Central Florida,L,6,151,25.2,0,keyion-dixon-1
Greg Dortch,2018-08-30,1,Wake Forest,@,Tulane,W,1,22,22.0,0,greg-dortch-1
Malik Dunner,2018-08-30,1,Ball State,,Central Connecticut State,W,1,0,0.0,0,malik-dunner-1
Bailey Gaither,2018-08-30,1,San Jose State,,California-Davis,L,3,50,16.7,0,bailey-gaither-1
Marcus Green,2018-08-30,1,Louisiana-Monroe,,Southeastern Louisiana,W,2,48,24.0,0,marcus-green-6
Penny Hart,2018-08-30,1,Georgia State,,,W,2,50,25.0,0,penny-hart-1
Chuba Hubbard,2018-08-30,1,Oklahoma State,,Missouri State,W,1,42,42.0,0,chuba-hubbard-1
Stephon Huderson,2018-08-30,1,Tulane,,Wake Forest,L,2,35,17.5,0,stephon-huderson-1
Jason Huntley,2018-08-30,2,New Mexico State,@,Minnesota,L,4,68,17.0,0,jason-huntley-1
Adrian Killins,2018-08-30,1,Central Florida,@,Connecticut,W,2,43,21.5,0,adrian-killins-1
Markis McCray,2018-08-30,1,Louisiana-Monroe,,Southeastern Louisiana,W,3,71,23.7,0,markis-mccray-1
Rondale Moore,2018-08-30,1,Purdue,,Northwestern,L,5,125,25.0,0,rondale-moore-1
John Moten IV,2018-08-30,1,Northwestern,@,Purdue,W,2,33,16.5,0,john-moten-iv-1
Roshauud Paul,2018-08-30,1,Texas A&M,,Northwestern State,W,1,13,13.0,0,roshauud-paul-1
Malik Roberson,2018-08-30,1,San Jose State,,California-Davis,L,1,13,13.0,0,malik-roberson-1
Rodney Smith,2018-08-30,1,Minnesota,,New Mexico State,W,1,15,15.0,0,rodney-smith-5
Andre Wilson,2018-08-30,1,Alabama-Birmingham,,Savannah State,W,1,26,26.0,0,andre-wilson-1
LeVante Bellamy,2018-08-31,1,Western Michigan,,Syracuse,L,4,55,13.8,0,levante-bellamy-1
Brittain Brown,2018-08-31,1,Duke,,Army,W,2,58,29.0,0,brittain-brown-1
Aaron Cruickshank,2018-08-31,1,Wisconsin,,Western Kentucky,W,1,30,30.0,0,aaron-cruickshank-1
Shyheim Cullen,2018-08-31,1,Syracuse,@,Western Michigan,W,2,42,21.0,0,shyheim-cullen-1
Jomon Dotson,2018-08-31,1,Nevada,,Portland State,W,1,23,23.0,0,jomon-dotson-1
Chris Elmore,2018-08-31,1,Syracuse,@,Western Michigan,W,1,19,19.0,0,chris-elmore-1
Anthony Hawkins,2018-08-31,2,Colorado State,N,Colorado,L,1,25,25.0,0,anthony-hawkins-1
Daniel Helm,2018-08-31,1,Duke,,Army,W,1,9,9.0,0,daniel-helm-1
Connor Heyward,2018-08-31,1,Michigan State,,Utah State,W,3,63,21.0,0,connor-heyward-1
Donovan Lee,2018-08-31,1,Colorado,N,Colorado State,W,1,31,31.0,0,donovan-lee-1
Kendric Pryor,2018-08-31,1,Wisconsin,,Western Kentucky,W,1,15,15.0,0,kendric-pryor-1
Sean Riley,2018-08-31,1,Syracuse,@,Western Michigan,W,1,16,16.0,0,sean-riley-2
