Player,Date,G,School,Loc,Opponent,WL,unique_id,Int Ret,Int Ret Yds,Int TD,Pass Broken Up
Steve Burke,2004-08-28,1,Miami (OH),,Indiana State,W,steve-burke-1,1,0,0,
Lofa Tatupu,2004-08-28,1,Southern California,N,Virginia Tech,W,lofa-tatupu-1,1,32,0,
Steven Bednarik,2004-09-02,1,Eastern Michigan,,Buffalo,W,steven-bednarik-1,1,22,0,
Quency Darley,2004-09-02,1,Arizona State,,Texas-El Paso,W,quency-darley-1,1,5,0,
Mike Davis Jr.,2004-09-02,1,Arizona State,,Texas-El Paso,W,mike-davis-jr-1,1,9,0,
Sir James Delgardo,2004-09-02,1,Texas-El Paso,@,Arizona State,L,sir-james-delgardo-1,1,0,0,
Emmanuel Franklin,2004-09-02,1,Arizona State,,Texas-El Paso,W,emmanuel-franklin-1,2,76,1,
David Gater,2004-09-02,1,Ball State,,Boston College,L,david-gater-1,1,37,0,
Mike Giorgianni,2004-09-02,1,Western Michigan,,Tennessee-Martin,W,mike-giorgianni-1,1,33,1,
Marvin Godbolt,2004-09-02,1,Texas Christian,,Northwestern,W,marvin-godbolt-1,1,29,0,
Steven Lewis,2004-09-02,1,Eastern Michigan,,Buffalo,W,steven-lewis-1,1,22,0,
Dominique Price,2004-09-02,1,Northwestern,@,Texas Christian,L,dominique-price-1,1,0,0,
Husain Abdullah,2004-09-03,1,Washington State,@,New Mexico,W,husain-abdullah-1,1,0,0,
Brandon Payne,2004-09-03,1,New Mexico,,Washington State,L,brandon-payne-1,2,0,0,
Alex Teems,2004-09-03,1,Washington State,@,New Mexico,W,alex-teems-1,2,0,0,
Theo Baines,2004-09-04,1,Kansas,,Tulsa,W,theo-baines-1,1,0,0,
Donny Baker,2004-09-04,1,San Diego State,,Idaho State,W,donny-baker-1,1,15,0,
Bobby Blackshire,2004-09-04,1,Tulsa,@,Kansas,L,bobby-blackshire-1,1,0,0,
Warren Braxton,2004-09-04,1,Wake Forest,@,Clemson,L,warren-braxton-1,1,10,0,
Darrell Brooks,2004-09-04,1,Arizona,,Northern Arizona,W,darrell-brooks-1,1,8,0,
Daniel Bullocks,2004-09-04,1,Nebraska,,Western Illinois,W,daniel-bullocks-1,1,58,0,
Terrance Butler,2004-09-04,1,Wyoming,,Appalachian State,W,terrance-butler-1,1,0,0,
Antoine Cason,2004-09-04,1,Arizona,,Northern Arizona,W,antoine-cason-1,1,4,0,
Simeon Castille,2004-09-04,1,Alabama,,Utah State,W,simeon-castille-1,1,31,1,
Ira Cooper,2004-09-04,1,Nebraska,,Western Illinois,W,ira-cooper-1,1,51,0,
Markus Curry,2004-09-04,1,Michigan,,Miami (OH),W,markus-curry-1,2,46,0,
Thomas Davis,2004-09-04,1,Georgia,,Georgia Southern,W,thomas-davis-1,1,0,0,
Josh Dean,2004-09-04,1,San Diego State,,Idaho State,W,josh-dean-1,1,0,0,
Abraham Elimimian,2004-09-04,1,Hawaii,,Florida Atlantic,L,abraham-elimimian-1,2,0,0,
Robby Farmer,2004-09-04,1,Troy,@,Marshall,W,robby-farmer-1,1,0,0,
Heath Farwell,2004-09-04,1,San Diego State,,Idaho State,W,heath-farwell-1,1,0,0,
Alfred Fincher,2004-09-04,1,Connecticut,,Murray State,W,alfred-fincher-1,1,16,1,
Wilrey Fontenot,2004-09-04,1,Arizona,,Northern Arizona,W,wilrey-fontenot-1,1,7,0,
Gabe Franklin,2004-09-04,1,Boise State,,Idaho,W,gabe-franklin-1,1,20,0,
Josh Gattis,2004-09-04,1,Wake Forest,@,Clemson,L,josh-gattis-1,1,37,0,
Matt Giordano,2004-09-04,1,California,@,Air Force,W,matt-giordano-1,1,0,0,
Vernon Grant,2004-09-04,1,Oklahoma State,@,UCLA,W,vernon-grant-1,1,3,0,
Chad Greenway,2004-09-04,1,Iowa,,Kent State,W,chad-greenway-1,2,54,1,
JaJuan Hall,2004-09-04,1,Cincinnati,@,Ohio State,L,jajuan-hall-1,1,0,0,
Adriel Hansbro,2004-09-04,1,Northern Illinois,@,Maryland,L,adriel-hansbro-1,1,1,0,
Jason Harmon,2004-09-04,1,Michigan State,@,Rutgers,L,jason-harmon-2,1,19,0,
Roman Harper,2004-09-04,1,Alabama,,Utah State,W,roman-harper-1,1,26,0,
Jermaine Harris,2004-09-04,1,South Carolina,@,Vanderbilt,W,jermaine-harris-1,1,0,0,
Anttaj Hawthorne,2004-09-04,1,Wisconsin,,Central Florida,W,anttaj-hawthorne-1,1,15,0,
Kelvin Hayden,2004-09-04,1,Illinois,,Florida A&M,W,kelvin-hayden-1,2,23,1,
Will Herring,2004-09-04,1,Auburn,,Louisiana-Monroe,W,will-herring-1,1,0,0,
Marcus Hudson,2004-09-04,1,North Carolina State,,Richmond,W,marcus-hudson-1,1,1,0,
Antonio Huffman,2004-09-04,1,Texas Tech,@,Southern Methodist,W,antonio-huffman-1,1,12,0,
Ernest Hunter,2004-09-04,1,West Virginia,,East Carolina,W,ernest-hunter-1,1,0,0,
Brian Iwuh,2004-09-04,1,Colorado,,Colorado State,W,brian-iwuh-1,1,37,1,
D'Qwell Jackson,2004-09-04,1,Maryland,,Northern Illinois,W,dqwell-jackson-1,2,36,0,
Jamacia Jackson,2004-09-04,1,South Carolina,@,Vanderbilt,W,jamacia-jackson-1,1,98,1,
Preston Jackson,2004-09-04,1,Notre Dame,@,Brigham Young,L,preston-jackson-1,1,38,1,
J.J. Jones,2004-09-04,1,North Carolina State,,Richmond,W,jj-jones-2,1,2,0,
Kevin Kane,2004-09-04,1,Kansas,,Tulsa,W,kevin-kane-1,1,18,0,
Miles Kochevar,2004-09-04,1,Colorado State,@,Colorado,L,miles-kochevar-1,1,0,0,
Richard Koonce,2004-09-04,1,East Carolina,@,West Virginia,L,richard-koonce-1,1,2,0,
Laron Landry,2004-09-04,1,Louisiana State,,Oregon State,W,laron-landry-1,1,0,0,
Maurice Linguist,2004-09-04,1,Baylor,@,Alabama-Birmingham,L,maurice-linguist-1,1,0,0,
Marcus Mark,2004-09-04,1,Alabama-Birmingham,,Baylor,W,marcus-mark-1,1,31,1,
Trumaine McBride,2004-09-04,1,Mississippi,,Memphis,L,trumaine-mcbride-1,1,0,0,
Clarence McDougal,2004-09-04,1,Mississippi State,,Tulane,W,clarence-mcdougal-1,1,0,0,
Corey McKeon,2004-09-04,1,Nebraska,,Western Illinois,W,corey-mckeon-1,1,5,0,
Doug Monaghan,2004-09-04,1,Cincinnati,@,Ohio State,L,doug-monaghan-1,1,5,0,
Ryan Mundy,2004-09-04,1,Michigan,,Miami (OH),W,ryan-mundy-1,1,38,0,
Ryan Neill,2004-09-04,1,Rutgers,,Michigan State,W,ryan-neill-1,1,31,1,
Keon Newson,2004-09-04,1,Bowling Green State,@,Oklahoma,L,keon-newson-1,1,28,1,
Alex Peoples,2004-09-04,1,Arkansas State,@,Missouri,L,alex-peoples-1,1,2,0,
Leonard Peters,2004-09-04,1,Hawaii,,Florida Atlantic,L,leonard-peters-1,1,0,0,
Anwar Phillips,2004-09-04,1,Penn State,,Akron,W,anwar-phillips-1,2,47,0,
Sabby Piscitelli,2004-09-04,1,Oregon State,@,Louisiana State,L,sabby-piscitelli-1,1,7,0,
Phil Pitts,2004-09-04,1,Missouri,,Arkansas State,W,phil-pitts-1,1,49,1,
Tracy Porter,2004-09-04,1,Indiana,,Central Michigan,W,tracy-porter-1,2,98,1,
Matt Pusateri,2004-09-04,2,Miami (OH),@,Michigan,L,matt-pusateri-1,1,18,0,
Brandon Register,2004-09-04,1,Alabama-Birmingham,,Baylor,W,brandon-register-1,1,24,0,
Ron Rockett,2004-09-04,1,Wyoming,,Appalachian State,W,ron-rockett-1,1,33,0,
DeMarcus Rodgers,2004-09-04,1,Alabama-Birmingham,,Baylor,W,demarcus-rodgers-1,1,7,0,
