Player,Date,G,School,Loc,Opponent,WL,Int Ret,Int Ret Yds,Int TD,Pass Broken Up,unique_id
Darius Allensworth,2016-08-26,1,California,N,Hawaii,W,0,0,0,1,darius-allensworth-1
Ashtyn Davis,2016-08-26,1,California,N,Hawaii,W,0,0,0,1,ashtyn-davis-1
Rojesterman Farris II,2016-08-26,1,Hawaii,N,California,L,0,0,0,1,rojesterman-farris-ii-1
Marloshawn Franklin,2016-08-26,1,California,N,Hawaii,W,0,0,0,1,marloshawn-franklin-1
Chibuzo Nwokocha,2016-08-26,1,California,N,Hawaii,W,0,0,0,1,chibuzo-nwokocha-1
Evan Rambo,2016-08-26,1,California,N,Hawaii,W,0,0,0,1,evan-rambo-1
Jalen Rogers,2016-08-26,1,Hawaii,N,California,L,0,0,0,1,jalen-rogers-1
Micah Abernathy,2016-09-01,1,Tennessee,,Appalachian State,W,0,0,0,1,micah-abernathy-1
Adekunle Ayinde,2016-09-01,1,Minnesota,,Oregon State,W,0,0,0,1,adekunle-ayinde-1
Wesley Bailey,2016-09-01,1,Utah State,,Weber State,W,0,0,0,1,wesley-bailey-1
Dalton Baker,2016-09-01,1,Nevada-Las Vegas,,Jackson State,W,0,0,0,1,dalton-baker-1
Marcelino Ball,2016-09-01,1,Indiana,@,Florida International,W,0,0,0,1,marcelino-ball-1
Mike Barwick Jr.,2016-09-01,1,Indiana,@,Florida International,W,0,0,0,1,mike-barwick-jr-2
Christian Bertrand,2016-09-01,1,Rice,@,Western Kentucky,L,0,0,0,1,christian-bertrand-1
J.T. Blasingame,2016-09-01,1,Rice,@,Western Kentucky,L,0,0,0,1,jt-blasingame-1
Joe Brown,2016-09-01,1,Western Kentucky,,Rice,W,0,0,0,1,joe-brown-4
Thomas Brown,2016-09-01,1,Wake Forest,,Tulane,W,0,0,0,1,thomas-brown-3
Sean Bunting,2016-09-01,1,Central Michigan,,Presbyterian,W,0,0,0,2,sean-bunting-1
Oren Burks,2016-09-01,1,Vanderbilt,,South Carolina,L,0,0,0,1,oren-burks-1
Zykiesis Cannon,2016-09-01,1,Louisville,,UNC Charlotte,W,0,0,0,1,zykiesis-cannon-1
Jonathan Celestin,2016-09-01,1,Minnesota,,Oregon State,W,0,0,0,1,jonathan-celestin-1
Devin Centers,2016-09-01,1,Utah State,,Weber State,W,0,0,0,1,devin-centers-1
Devin Chappell,2016-09-01,1,Oregon State,@,Minnesota,L,0,0,0,1,devin-chappell-1
Josh Cox,2016-09-01,1,Central Michigan,,Presbyterian,W,0,0,0,1,josh-cox-1
Xavier Crawford,2016-09-01,1,Oregon State,@,Minnesota,L,0,0,0,2,xavier-crawford-2
Jalen Davis,2016-09-01,1,Utah State,,Weber State,W,0,0,0,1,jalen-davis-1
Clifton Duck,2016-09-01,1,Appalachian State,@,Tennessee,L,0,0,0,2,clifton-duck-1
Zach Edwards,2016-09-01,1,Cincinnati,,Tennessee-Martin,W,0,0,0,1,zach-edwards-1
Chaz Elder,2016-09-01,1,South Carolina,@,Vanderbilt,W,0,0,0,1,chaz-elder-1
D Angelo Ellis,2016-09-01,1,Rice,@,Western Kentucky,L,0,0,0,1,d-angelo-ellis-1
Rashard Fant,2016-09-01,1,Indiana,@,Florida International,W,1,34,1,1,rashard-fant-1
Rashad Fenton,2016-09-01,1,South Carolina,@,Vanderbilt,W,0,0,0,2,rashad-fenton-1
Taurean Ferguson,2016-09-01,1,Vanderbilt,,South Carolina,L,0,0,0,1,taurean-ferguson-1
Devonte Fields,2016-09-01,1,Louisville,,UNC Charlotte,W,0,0,0,1,devonte-fields-1
Tony Fields,2016-09-01,1,Indiana,@,Florida International,W,0,0,0,1,tony-fields-2
Jericho Flowers,2016-09-01,1,Nevada-Las Vegas,,Jackson State,W,0,0,0,1,jericho-flowers-1
Teh'Ron Fuller,2016-09-01,1,Appalachian State,@,Tennessee,L,0,0,0,1,tehron-fuller-1
Rashaan Gaulden,2016-09-01,1,Tennessee,,Appalachian State,W,0,0,0,1,rashaan-gaulden-1
Tyrell Gilbert,2016-09-01,1,Cincinnati,,Tennessee-Martin,W,1,58,1,1,tyrell-gilbert-1
John Green,2016-09-01,1,Connecticut,,Maine,W,0,0,0,1,john-green-4
KiAnte Hardin,2016-09-01,1,Minnesota,,Oregon State,W,0,0,0,2,kiante-hardin-1
Tre Herndon,2016-09-01,1,Vanderbilt,,South Carolina,L,0,0,0,2,tre-herndon-1
Xavier Hines,2016-09-01,1,Florida International,,Indiana,L,0,0,0,1,xavier-hines-1
Nate Hoff,2016-09-01,1,Indiana,@,Florida International,W,0,0,0,1,nate-hoff-1
Ben Holt,2016-09-01,1,Western Kentucky,,Rice,W,0,0,0,1,ben-holt-1
A.J. Howard,2016-09-01,1,Appalachian State,@,Tennessee,L,0,0,0,1,aj-howard-1
Manase Hungalu,2016-09-01,1,Oregon State,@,Minnesota,L,0,0,0,1,manase-hungalu-2
AJ Jackson,2016-09-01,1,Western Kentucky,,Rice,W,1,0,0,1,aj-jackson-1
Jayshawn Jordan,2016-09-01,1,Idaho,,Montana State,W,0,0,0,1,jayshawn-jordan-1
Demetrius Kemp,2016-09-01,1,Wake Forest,,Tulane,W,0,0,0,1,demetrius-kemp-1
Jamarcus King,2016-09-01,1,South Carolina,@,Vanderbilt,W,0,0,0,1,jamarcus-king-1
Chris Lammons,2016-09-01,1,South Carolina,@,Vanderbilt,W,0,0,0,1,chris-lammons-1
Branden Leston,2016-09-01,1,Western Kentucky,,Rice,W,0,0,0,1,branden-leston-1
Kamal Martin,2016-09-01,1,Minnesota,,Oregon State,W,0,0,0,1,kamal-martin-1
Nias Martin,2016-09-01,1,New Mexico,,South Dakota,W,0,0,0,1,nias-martin-1
Brice McAllister,2016-09-01,1,Connecticut,,Maine,W,0,0,0,1,brice-mcallister-1
Torren McGaster,2016-09-01,1,Vanderbilt,,South Carolina,L,0,0,0,1,torren-mcgaster-1
Daletavious McGhee,2016-09-01,1,Minnesota,,Oregon State,W,0,0,0,1,daletavious-mcghee-1
Chris Murphy,2016-09-01,1,Cincinnati,,Tennessee-Martin,W,0,0,0,1,chris-murphy-3
Jay'Onn Myles,2016-09-01,1,Nevada-Las Vegas,,Jackson State,W,0,0,0,1,jayonn-myles-1
Jalen Myrick,2016-09-01,1,Minnesota,,Oregon State,W,0,0,0,1,jalen-myrick-1
Parry Nickerson,2016-09-01,1,Tulane,@,Wake Forest,L,0,0,0,3,parry-nickerson-1
Marcus Oliver,2016-09-01,1,Indiana,@,Florida International,W,0,0,0,1,marcus-oliver-2
Baker Pritchard,2016-09-01,1,Oregon State,@,Minnesota,L,0,0,0,1,baker-pritchard-1
