Player,Date,G,School,Loc,Opponent,WL,Int Ret,Int Ret Yds,Int TD,Pass Broken Up,unique_id
Ray-Ray Armstrong,2010-09-02,1,Miami (FL),,Florida A&M,W,1,22,1,1,ray-ray-armstrong-2
T.J. Ballou,2010-09-02,1,Alabama-Birmingham,,Florida Atlantic,L,1,19,0,1,tj-ballou-1
Brian Blechen,2010-09-02,1,Utah,,Pittsburgh,W,1,2,0,1,brian-blechen-1
Tyrone Clark,2010-09-02,1,Northern Illinois,@,Iowa State,L,1,30,0,1,tyrone-clark-1
Joseph Dickson,2010-09-02,1,Idaho,,North Dakota,W,1,31,0,1,joseph-dickson-1
Matt Ernest,2010-09-02,1,Indiana,,Towson,W,1,56,1,1,matt-ernest-1
Mitchell Evans,2010-09-02,1,Indiana,,Towson,W,1,6,0,1,mitchell-evans-1
Alex Frye,2010-09-02,1,Wake Forest,,Presbyterian,W,1,44,1,1,alex-frye-1
Brentley Harstad,2010-09-02,1,Florida Atlantic,@,Alabama-Birmingham,W,1,38,1,1,brentley-harstad-1
Jarred Holley,2010-09-02,1,Pittsburgh,@,Utah,L,1,0,0,1,jarred-holley-1
Devonte Holloman,2010-09-02,1,South Carolina,,Southern Mississippi,W,1,0,0,1,devonte-holloman-1
Shiloh Keo,2010-09-02,1,Idaho,,North Dakota,W,1,44,0,1,shiloh-keo-1
Jake Knott,2010-09-02,1,Iowa State,,Northern Illinois,W,2,9,0,3,jake-knott-1
Doyle Miller,2010-09-02,1,Nevada,,Eastern Washington,W,1,0,0,1,doyle-miller-1
Mike Rallis,2010-09-02,1,Minnesota,@,Middle Tennessee State,W,1,3,0,1,mike-rallis-1
Tyler Replogle,2010-09-02,1,Indiana,,Towson,W,1,0,0,1,tyler-replogle-1
Brian Rolle,2010-09-02,1,Ohio State,,Marshall,W,1,30,1,2,brian-rolle-1
Zac Sandvig,2010-09-02,1,Iowa State,,Northern Illinois,W,1,11,0,1,zac-sandvig-1
Bobby Seay,2010-09-02,1,Central Michigan,,Hampton,W,1,0,0,1,bobby-seay-1
Shakiel Smith,2010-09-02,1,Tulane,,Southeastern Louisiana,W,1,24,0,1,shakiel-smith-1
Josh Thomas,2010-09-02,1,Buffalo,,Rhode Island,W,1,22,0,1,josh-thomas-3
Justin Wilson,2010-09-02,1,Southern Mississippi,@,South Carolina,L,1,17,0,1,justin-wilson-1
Tracy Wilson,2010-09-02,1,Northern Illinois,@,Iowa State,L,1,26,0,1,tracy-wilson-1
Derek Earls,2010-09-03,1,Arizona,@,Toledo,W,1,1,0,4,derek-earls-1
Marquise Liverpool,2010-09-03,1,Temple,,Villanova,W,1,4,0,1,marquise-liverpool-1
Diauntae Morrow,2010-09-03,1,Toledo,,Arizona,L,1,0,0,1,diauntae-morrow-1
Brady Amack,2010-09-04,1,Air Force,,Northwestern State,W,1,50,0,1,brady-amack-1
Braxton Amy,2010-09-04,1,Texas-El Paso,,Arkansas-Pine Bluff,W,1,0,0,1,braxton-amy-1
Mychal Bailey,2010-09-04,1,Kentucky,@,Louisville,W,1,0,0,1,mychal-bailey-1
George Baker,2010-09-04,1,South Florida,,Stony Brook,W,1,3,0,1,george-baker-1
Isiah Barfield,2010-09-04,1,Kansas,,North Dakota State,L,1,1,0,2,isiah-barfield-1
David Bedford,2010-09-04,1,South Florida,,Stony Brook,W,1,0,0,1,david-bedford-1
Ahmad Black,2010-09-04,1,Florida,,Miami (OH),W,1,40,0,1,ahmad-black-1
Jonathan Bostic,2010-09-04,1,Florida,,Miami (OH),W,1,-1,0,0,jonathan-bostic-1
Tre Boston,2010-09-04,1,North Carolina,N,Louisiana State,L,1,2,0,2,tre-boston-1
Chad Boyd,2010-09-04,1,Louisiana Tech,,Grambling State,W,1,46,0,1,chad-boyd-1
Brandon Boykin,2010-09-04,1,Georgia,,Louisiana,W,1,0,0,2,brandon-boykin-1
Jalil Brown,2010-09-04,1,Colorado,N,Colorado State,W,1,0,0,1,jalil-brown-1
