Player,Date,G,School,Loc,Opponent,WL,Rec,Rec Yards,Rec Avg,Rec TD,unique_id
Metuisela 'Unga,2015-09-03,1,Hawaii,,Colorado,W,2,19,9.5,0,metuisela-unga-2
Jerell Adams,2015-09-03,1,South Carolina,N,North Carolina,W,2,18,9.0,0,jerell-adams-1
Michael Adkins II,2015-09-03,1,Colorado,@,Hawaii,L,2,3,1.5,0,michael-adkins-ii-1
Jordan Akins,2015-09-03,1,Central Florida,,Florida International,L,9,104,11.6,2,jordan-akins-1
Leon Allen,2015-09-03,1,Western Kentucky,@,Vanderbilt,W,4,19,4.8,0,leon-allen-1
Marcell Ateman,2015-09-03,1,Oklahoma State,@,Central Michigan,W,4,75,18.8,1,marcell-ateman-1
Alex Bachman,2015-09-03,1,Wake Forest,,Elon,W,1,8,8.0,0,alex-bachman-1
Sherman Badie,2015-09-03,1,Tulane,,Duke,L,3,10,3.3,0,sherman-badie-1
Jared Baker,2015-09-03,1,Arizona,,Texas-San Antonio,W,1,8,8.0,0,jared-baker-1
Johnell Barnes,2015-09-03,1,Duke,@,Tulane,W,11,109,9.9,1,johnell-barnes-1
Tyraiq Beals,2015-09-03,1,Connecticut,,Villanova,W,1,9,9.0,0,tyraiq-beals-1
Tyler Bell,2015-09-03,1,Wake Forest,,Elon,W,3,42,14.0,0,tyler-bell-2
Isaiah Bernard,2015-09-03,1,Hawaii,,Colorado,W,2,4,2.0,1,isaiah-bernard-1
Kenny Bias,2015-09-03,1,Texas-San Antonio,@,Arizona,L,3,52,17.3,0,kenny-bias-1
Josiah Blandin,2015-09-03,1,Fresno State,,Abilene Christian,W,4,71,17.8,1,josiah-blandin-1
Alec Bloom,2015-09-03,1,Connecticut,,Villanova,W,1,16,16.0,0,alec-bloom-1
Devontae Booker,2015-09-03,1,Utah,,Michigan,W,7,55,7.9,0,devontae-booker-1
Devon Breaux,2015-09-03,1,Tulane,,Duke,L,4,92,23.0,1,devon-breaux-1
K.J. Brent,2015-09-03,1,Wake Forest,,Elon,W,4,46,11.5,0,kj-brent-1
Shun Brown,2015-09-03,1,Arizona,,Texas-San Antonio,W,2,0,0.0,0,shun-brown-1
Ian Bunting,2015-09-03,1,Michigan,@,Utah,L,1,12,12.0,0,ian-bunting-1
Jake Butt,2015-09-03,1,Michigan,@,Utah,L,8,93,11.6,1,jake-butt-1
Jeff Carr,2015-09-03,1,Oklahoma State,@,Central Michigan,W,1,6,6.0,0,jeff-carr-2
Chris Carson,2015-09-03,1,Oklahoma State,@,Central Michigan,W,2,23,11.5,0,chris-carson-1
Eric Carter,2015-09-03,1,Minnesota,,Texas Christian,L,4,25,6.3,0,eric-carter-1
Mark Chapman,2015-09-03,1,Central Michigan,,Oklahoma State,L,6,72,12.0,0,mark-chapman-2
Jehu Chesson,2015-09-03,1,Michigan,@,Utah,L,3,22,7.3,0,jehu-chesson-1
Brian Cole,2015-09-03,1,Michigan,@,Utah,L,1,-1,-1.0,0,brian-cole-1
Dylan Collie,2015-09-03,1,Hawaii,,Colorado,W,2,21,10.5,0,dylan-collie-1
Tyler Conklin,2015-09-03,1,Central Michigan,,Oklahoma State,L,2,9,4.5,0,tyler-conklin-1
Eric Cooper,2015-09-03,1,Central Michigan,,Oklahoma State,L,2,9,4.5,0,eric-cooper-1
Pharoh Cooper,2015-09-03,1,South Carolina,N,North Carolina,W,3,45,15.0,1,pharoh-cooper-1
Brendan Cope,2015-09-03,1,Ohio,@,Idaho,W,4,129,32.3,1,brendan-cope-1
Thai Cottrell,2015-09-03,1,San Jose State,,New Hampshire,W,1,2,2.0,0,thai-cottrell-1
Britain Covey,2015-09-03,1,Utah,,Michigan,W,5,58,11.6,0,britain-covey-1
Trent Cowan,2015-09-03,1,Idaho,,Ohio,L,2,14,7.0,0,trent-cowan-1
Tim Crawley,2015-09-03,1,San Jose State,,New Hampshire,W,6,67,11.2,0,tim-crawley-1
Amara Darboh,2015-09-03,1,Michigan,@,Utah,L,8,101,12.6,1,amara-darboh-1
Quinshad Davis,2015-09-03,1,North Carolina,N,South Carolina,L,4,52,13.0,0,quinshad-davis-1
Braxton Deaver,2015-09-03,1,Duke,@,Tulane,W,1,14,14.0,0,braxton-deaver-1
Max Delorenzo,2015-09-03,1,Connecticut,,Villanova,W,1,11,11.0,0,max-delorenzo-1
Josh Doctson,2015-09-03,1,Texas Christian,@,Minnesota,W,8,74,9.3,1,josh-doctson-1
Steve Donatell,2015-09-03,1,Wake Forest,,Elon,W,2,22,11.0,0,steve-donatell-1
Terren Encalade,2015-09-03,1,Tulane,,Duke,L,4,43,10.8,0,terren-encalade-1
Dezmon Epps,2015-09-03,1,Idaho,,Ohio,L,15,160,10.7,0,dezmon-epps-1
Tyler Ervin,2015-09-03,1,San Jose State,,New Hampshire,W,3,34,11.3,0,tyler-ervin-1
Siale Fakailoatonga,2015-09-03,1,Utah,,Michigan,W,2,17,8.5,0,siale-fakailoatonga-1
Shay Fields,2015-09-03,1,Colorado,@,Hawaii,L,6,60,10.0,0,shay-fields-1
Tyler Fox,2015-09-03,1,Utah State,,Southern Utah,W,1,3,3.0,0,tyler-fox-1
Billy Freeman,2015-09-03,1,San Jose State,,New Hampshire,W,4,69,17.3,1,billy-freeman-2
Alex Gardner,2015-09-03,1,Florida International,@,Central Florida,W,5,74,14.8,0,alex-gardner-2
Jarred Gipson,2015-09-03,1,Nevada,,California-Davis,W,2,7,3.5,1,jarred-gipson-1
David Glidden,2015-09-03,1,Oklahoma State,@,Central Michigan,W,5,71,14.2,0,david-glidden-1
Terry Googer,2015-09-03,1,South Carolina,N,North Carolina,W,2,39,19.5,0,terry-googer-1
Antwane Grant,2015-09-03,1,Western Kentucky,@,Vanderbilt,W,5,29,5.8,0,antwane-grant-1
Darian Green,2015-09-03,1,Ball State,,Virginia Military Institute,W,6,74,12.3,1,darian-green-1
Ya'Keem Griner,2015-09-03,1,Florida International,@,Central Florida,W,4,55,13.8,1,yakeem-griner-1
Aaron Grubb,2015-09-03,1,Texas-San Antonio,@,Arizona,L,3,36,12.0,0,aaron-grubb-1
Morgan Hagee,2015-09-03,1,Ball State,,Virginia Military Institute,W,1,4,4.0,0,morgan-hagee-1
Darrion Hancock,2015-09-03,1,San Jose State,,New Hampshire,W,1,4,4.0,0,darrion-hancock-1
Harrison Handley,2015-09-03,1,Utah,,Michigan,W,2,25,12.5,0,harrison-handley-1
Paul Harris,2015-09-03,1,Hawaii,,Colorado,W,1,-1,-1.0,0,paul-harris-3
Tyree Harris,2015-09-03,1,Wake Forest,,Elon,W,1,7,7.0,0,tyree-harris-2
Vasquez Haynes,2015-09-03,1,Hawaii,,Colorado,W,1,2,2.0,0,vasquez-haynes-1
Austin Hays,2015-09-03,1,Oklahoma State,@,Central Michigan,W,2,14,7.0,0,austin-hays-1
Carlton Heard,2015-09-03,1,South Carolina,N,North Carolina,W,1,-6,-6.0,0,carlton-heard-1
Keith Heitzman,2015-09-03,1,Ohio,@,Idaho,W,4,25,6.3,1,keith-heitzman-1
Hasaan Henderson,2015-09-03,1,Nevada,,California-Davis,W,5,60,12.0,0,hasaan-henderson-1
Tyler Higbee,2015-09-03,1,Western Kentucky,@,Vanderbilt,W,4,102,25.5,1,tyler-higbee-1
Callen Hightower,2015-09-03,1,Idaho,,Ohio,L,3,15,5.0,0,callen-hightower-1
Dontrell Hilliard,2015-09-03,1,Tulane,,Duke,L,5,37,7.4,0,dontrell-hilliard-1
Tabari Hines,2015-09-03,1,Wake Forest,,Elon,W,2,24,12.0,0,tabari-hines-1
Jordan Hogue,2015-09-03,1,Ball State,,Virginia Military Institute,W,2,23,11.5,0,jordan-hogue-1
