Player,Date,G,School,Loc,Opponent,WL,Rec,Rec Yards,Rec Avg,Rec TD,unique_id
Tarrion Adams,2005-09-01,1,Tulsa,,Minnesota,L,5,49,9.8,0,tarrion-adams-1
Brian Allbrooks,2005-09-01,1,Temple,@,Arizona State,L,4,13,3.3,0,brian-allbrooks-1
John Allen,2005-09-01,1,Toledo,,Western Illinois,W,1,4,4.0,1,john-allen-1
Anthony Alridge,2005-09-01,1,Houston,,Oregon,L,3,103,34.3,1,anthony-alridge-1
Micah Andrews,2005-09-01,1,Wake Forest,,Vanderbilt,L,1,33,33.0,0,micah-andrews-1
Matt Askew,2005-09-01,1,Idaho,@,Washington State,L,4,37,9.3,0,matt-askew-1
Donnie Avery,2005-09-01,1,Houston,,Oregon,L,4,100,25.0,1,donnie-avery-1
Blade Bassler,2005-09-01,1,Houston,,Oregon,L,1,15,15.0,0,blade-bassler-1
Rich Belton,2005-09-01,1,Wake Forest,,Vanderbilt,L,1,-6,-6.0,0,rich-belton-1
A.J. Bennett,2005-09-01,1,Eastern Michigan,@,Cincinnati,L,5,34,6.8,0,aj-bennett-1
Earl Bennett,2005-09-01,1,Vanderbilt,@,Wake Forest,W,1,28,28.0,0,earl-bennett-1
Troy Bienemann,2005-09-01,1,Washington State,,Idaho,W,3,32,10.7,0,troy-bienemann-1
Michael Billops,2005-09-01,1,Temple,@,Arizona State,L,1,-4,-4.0,0,michael-billops-1
Jayson Bird,2005-09-01,1,Idaho,@,Washington State,L,1,-2,-2.0,0,jayson-bird-1
Stephen Bisnett,2005-09-01,1,Arizona State,,Temple,W,1,14,14.0,0,stephen-bisnett-1
Andy Boyd,2005-09-01,1,South Carolina,,Central Florida,W,1,12,12.0,1,andy-boyd-1
William Bradley,2005-09-01,1,Temple,@,Arizona State,L,1,6,6.0,0,william-bradley-1
Ahmad Bradshaw,2005-09-01,1,Marshall,,William & Mary,W,6,73,12.2,1,ahmad-bradshaw-1
Steven Bright,2005-09-01,1,Vanderbilt,@,Wake Forest,W,1,13,13.0,0,steven-bright-1
Kendal Briles,2005-09-01,1,Houston,,Oregon,L,3,19,6.3,0,kendal-briles-1
Quinton Broussard,2005-09-01,1,Toledo,,Western Illinois,W,1,15,15.0,0,quinton-broussard-1
Ryan Bugg,2005-09-01,1,Tulsa,,Minnesota,L,3,10,3.3,1,ryan-bugg-1
Michael Bumpus,2005-09-01,1,Washington State,,Idaho,W,8,88,11.0,1,michael-bumpus-1
Rudy Burgess,2005-09-01,1,Arizona State,,Temple,W,3,27,9.0,0,rudy-burgess-1
Terry Caulley,2005-09-01,1,Connecticut,,Buffalo,W,1,12,12.0,0,terry-caulley-1
Brent Celek,2005-09-01,1,Cincinnati,,Eastern Michigan,W,1,24,24.0,0,brent-celek-1
Chad Christensen,2005-09-01,1,Arizona State,,Temple,W,1,3,3.0,0,chad-christensen-1
Kris Clark,2005-09-01,1,South Carolina,,Central Florida,W,3,38,12.7,0,kris-clark-1
Cameron Colvin,2005-09-01,1,Oregon,@,Houston,W,4,55,13.8,0,cameron-colvin-1
Tim Conner,2005-09-01,1,Eastern Michigan,@,Cincinnati,L,2,22,11.0,0,tim-conner-1
Mike Daniels,2005-09-01,1,Cincinnati,,Eastern Michigan,W,2,12,6.0,0,mike-daniels-1
Larry Davenport,2005-09-01,1,Louisiana-Monroe,,Northwestern State,L,4,56,14.0,0,larry-davenport-1
Ashlan Davis,2005-09-01,1,Tulsa,,Minnesota,L,1,7,7.0,0,ashlan-davis-1
Chris Davis,2005-09-01,1,Wake Forest,,Vanderbilt,L,6,41,6.8,0,chris-davis-4
Erik Davis,2005-09-01,1,Vanderbilt,@,Wake Forest,W,6,59,9.8,0,erik-davis-1
Mike Davis,2005-09-01,1,South Carolina,,Central Florida,W,3,79,26.3,0,mike-davis-1
Calvin Dawson,2005-09-01,1,Louisiana-Monroe,,Northwestern State,L,2,5,2.5,0,calvin-dawson-1
Tim Day,2005-09-01,1,Oregon,@,Houston,W,1,7,7.0,0,tim-day-1
Mason Denham,2005-09-01,1,Louisiana-Monroe,,Northwestern State,L,3,5,1.7,0,mason-denham-1
Eric Deslauriers,2005-09-01,1,Eastern Michigan,@,Cincinnati,L,6,48,8.0,1,eric-deslauriers-1
Nollis Dewar,2005-09-01,1,Connecticut,,Buffalo,W,2,9,4.5,1,nollis-dewar-1
Nelson Drew,2005-09-01,1,Eastern Michigan,@,Cincinnati,L,1,2,2.0,0,nelson-drew-1
Dustin Dunning,2005-09-01,1,Vanderbilt,@,Wake Forest,W,4,46,11.5,0,dustin-dunning-1
Derrick Dyer,2005-09-01,1,Buffalo,@,Connecticut,L,1,3,3.0,0,derrick-dyer-1
Jared Ellerson,2005-09-01,1,Minnesota,@,Tulsa,W,5,65,13.0,0,jared-ellerson-1
Umar Ferguson,2005-09-01,1,Temple,@,Arizona State,L,1,11,11.0,1,umar-ferguson-1
James Finley,2005-09-01,1,Oregon,@,Houston,W,10,95,9.5,0,james-finley-1
Ellis Gaulden,2005-09-01,1,Connecticut,,Buffalo,W,1,6,6.0,0,ellis-gaulden-1
Antwuan Giddens,2005-09-01,1,Cincinnati,,Eastern Michigan,W,3,25,8.3,1,antwuan-giddens-1
Ryan Gilbert,2005-09-01,1,Houston,,Oregon,L,5,30,6.0,0,ryan-gilbert-1
Bradley Glatthaar,2005-09-01,1,Cincinnati,,Eastern Michigan,W,2,15,7.5,0,bradley-glatthaar-1
Bruce Gordon,2005-09-01,1,Temple,@,Arizona State,L,6,98,16.3,0,bruce-gordon-1
Derek Hagan,2005-09-01,1,Arizona State,,Temple,W,3,53,17.7,2,derek-hagan-1
Domerio Hamilton,2005-09-01,1,Temple,@,Arizona State,L,2,45,22.5,0,domerio-hamilton-1
Brett Hamlin,2005-09-01,1,Buffalo,@,Connecticut,L,2,5,2.5,0,brett-hamlin-1
Wilbur Hargrove,2005-09-01,1,Marshall,,William & Mary,W,7,125,17.9,0,wilbur-hargrove-1
Jamel Harris,2005-09-01,1,Temple,@,Arizona State,L,3,34,11.3,0,jamel-harris-1
Jerome Harrison,2005-09-01,1,Washington State,,Idaho,W,1,14,14.0,0,jerome-harrison-1
Andrew Hawkins,2005-09-01,1,Toledo,,Western Illinois,W,4,64,16.0,1,andrew-hawkins-1
Jason Hill,2005-09-01,1,Washington State,,Idaho,W,5,96,19.2,2,jason-hill-1
Marty Humphrey,2005-09-01,1,Louisiana-Monroe,,Northwestern State,L,1,13,13.0,0,marty-humphrey-1
Willie Idlette,2005-09-01,1,Wake Forest,,Vanderbilt,L,1,0,0.0,0,willie-idlette-1
Cauvey Jackson,2005-09-01,1,Tulsa,,Minnesota,L,2,10,5.0,0,cauvey-jackson-1
Cassen Jackson-Garrison,2005-09-01,1,Vanderbilt,@,Wake Forest,W,1,11,11.0,0,cassen-jackson-garrison-1
Jeff Jennings,2005-09-01,1,Vanderbilt,@,Wake Forest,W,3,16,5.3,0,jeff-jennings-1
Darcy Johnson,2005-09-01,1,Central Florida,@,South Carolina,L,3,16,5.3,0,darcy-johnson-1
Doug Jones,2005-09-01,1,Cincinnati,,Eastern Michigan,W,3,24,8.0,0,doug-jones-1
