Player,Date,G,School,Loc,Opponent,WL,Rush Att,Rush Yard,Rush Avg,Rush TD,unique_id
Bubba Baxa,2019-08-24,1,Miami (FL),N,Florida,L,1,11,11.0,0,bubba-baxa-1
Cedric Byrd,2019-08-24,1,Hawaii,,Arizona,W,1,3,3.0,0,cedric-byrd-1
Chevan Cordeiro,2019-08-24,1,Hawaii,,Arizona,W,5,34,6.8,0,chevan-cordeiro-1
Tayvian Cunningham,2019-08-24,1,Arizona,@,Hawaii,L,1,-1,-1.0,0,tayvian-cunningham-1
Deejay Dallas,2019-08-24,1,Miami (FL),N,Florida,L,12,95,7.9,1,deejay-dallas-1
Malik Davis,2019-08-24,1,Florida,N,Miami (FL),W,3,-9,-3.0,0,malik-davis-1
Feleipe Franks,2019-08-24,1,Florida,N,Miami (FL),W,7,8,1.1,1,feleipe-franks-1
Dayton Furuta,2019-08-24,1,Hawaii,,Arizona,W,5,42,8.4,1,dayton-furuta-1
Cam'ron Harris,2019-08-24,1,Miami (FL),N,Florida,L,6,15,2.5,0,camron-harris-1
Freddie Holly,2019-08-24,1,Hawaii,,Arizona,W,4,19,4.8,0,freddie-holly-1
Tate Martell,2019-08-24,1,Miami (FL),N,Florida,L,1,-1,-1.0,0,tate-martell-1
Cole McDonald,2019-08-24,1,Hawaii,,Arizona,W,6,21,3.5,0,cole-mcdonald-1
K.J. Osborn,2019-08-24,1,Miami (FL),N,Florida,L,1,2,2.0,0,kj-osborn-1
Lamical Perine,2019-08-24,1,Florida,N,Miami (FL),W,10,42,4.2,0,lamical-perine-1
Dameon Pierce,2019-08-24,1,Florida,N,Miami (FL),W,3,2,0.7,0,dameon-pierce-1
Miles Reed,2019-08-24,1,Hawaii,,Arizona,W,9,40,4.4,0,miles-reed-1
Khalil Tate,2019-08-24,1,Arizona,@,Hawaii,L,13,108,8.3,0,khalil-tate-1
J.J. Taylor,2019-08-24,1,Arizona,@,Hawaii,L,14,67,4.8,1,jj-taylor-1
Jeff Thomas,2019-08-24,1,Miami (FL),N,Florida,L,1,16,16.0,0,jeff-thomas-6
Nathan Tilford,2019-08-24,1,Arizona,@,Hawaii,L,1,1,1.0,1,nathan-tilford-1
Kadarius Toney,2019-08-24,1,Florida,N,Miami (FL),W,3,3,1.0,0,kadarius-toney-1
Tommy Townsend,2019-08-24,1,Florida,N,Miami (FL),W,1,6,6.0,0,tommy-townsend-1
Michael Wiley,2019-08-24,1,Arizona,@,Hawaii,L,3,3,1.0,0,michael-wiley-3
Jarren Williams,2019-08-24,1,Miami (FL),N,Florida,L,14,-44,-3.1,0,jarren-williams-1
Maurice Alexander,2019-08-29,1,Florida International,@,Tulane,L,1,0,0.0,0,maurice-alexander-2
Otis Anderson,2019-08-29,1,Central Florida,,Florida A&M,W,4,37,9.3,0,otis-anderson-1
Theo Anderson,2019-08-29,1,Buffalo,,,W,6,26,4.3,0,theo-anderson-1
Joachim Bangda,2019-08-29,1,Kent State,@,Arizona State,L,3,1,0.3,0,joachim-bangda-1
Woody Barrett,2019-08-29,1,Kent State,@,Arizona State,L,7,-1,-0.1,0,woody-barrett-2
Mike Beaudry,2019-08-29,1,Connecticut,,Wagner,W,5,1,0.2,1,mike-beaudry-1
Eno Benjamin,2019-08-29,1,Arizona State,,Kent State,W,22,102,4.6,0,eno-benjamin-1
Ygenio Booker,2019-08-29,1,Tulane,,Florida International,W,1,19,19.0,0,ygenio-booker-1
Darius Bradwell,2019-08-29,1,Tulane,,Florida International,W,13,90,6.9,0,darius-bradwell-1
Chase Brice,2019-08-29,1,Clemson,,Georgia Tech,W,2,11,5.5,0,chase-brice-1
Spencer Brown,2019-08-29,1,Alabama-Birmingham,,Alabama State,W,23,77,3.3,0,spencer-brown-3
Cameron Carroll,2019-08-29,1,Tulane,,Florida International,W,8,44,5.5,0,cameron-carroll-1
A.J. Carter,2019-08-29,1,Arizona State,,Kent State,W,2,2,1.0,0,aj-carter-1
Andrew Clair,2019-08-29,1,Bowling Green State,,Morgan State,W,14,86,6.1,1,andrew-clair-1
Trillion Coles,2019-08-29,1,Central Florida,,Florida A&M,W,12,47,3.9,0,trillion-coles-1
Ron Cook Jr.,2019-08-29,1,Buffalo,,,W,7,24,3.4,1,ron-cook-jr-1
Jashaun Corbin,2019-08-29,1,Texas A&M,,Texas State,W,22,103,4.7,1,jashaun-corbin-1
Nate Cottrell,2019-08-29,1,Georgia Tech,@,Clemson,L,1,-3,-3.0,0,nate-cottrell-1
