Player,Date,G,School,Loc,Opponent,WL,XP Made,XP Att,XP %,FG Made,FG Att,FG %,Pts,unique_id
Rhett Almond,2017-08-26,1,Brigham Young,,Portland State,W,2,2,100.0,2,3,66.7,8,rhett-almond-1
Wyatt Bryan,2017-08-26,1,Colorado State,,Oregon State,W,7,7,100.0,3,3,100.0,16,wyatt-bryan-1
Jordan Choukair,2017-08-26,1,Oregon State,@,Colorado State,L,3,3,100.0,2,3,66.7,9,jordan-choukair-1
Bryce Crawford,2017-08-26,1,San Jose State,,South Florida,L,1,3,33.3,1,1,100.0,4,bryce-crawford-1
Ryan Meskell,2017-08-26,1,Hawaii,@,Massachusetts,W,0,0,,1,1,100.0,3,ryan-meskell-1
Jet Toner,2017-08-26,1,Stanford,N,Rice,W,8,8,100.0,2,2,100.0,14,jet-toner-1
Matt Ammendola,2017-08-31,1,Oklahoma State,,Tulsa,W,8,8,100.0,1,2,50.0,11,matt-ammendola-1
Michael Armstrong,2017-08-31,1,Central Michigan,,Rhode Island,W,1,1,100.0,3,4,75.0,10,michael-armstrong-1
Jose Borregales,2017-08-31,1,Florida International,@,Central Florida,L,2,2,100.0,1,1,100.0,5,jose-borregales-1
Emmit Carpenter,2017-08-31,1,Minnesota,,Buffalo,W,2,2,100.0,1,3,33.3,5,emmit-carpenter-1
Andrew Gantz,2017-08-31,1,Cincinnati,,Austin Peay,W,2,3,66.7,0,1,0.0,2,andrew-gantz-1
Matt Gay,2017-08-31,1,Utah,,North Dakota,W,4,4,100.0,3,3,100.0,13,matt-gay-2
Chayden Johnston,2017-08-31,1,Utah,,North Dakota,W,0,0,,0,1,0.0,0,chayden-johnston-1
Redford Jones,2017-08-31,1,Tulsa,@,Oklahoma State,L,3,3,100.0,1,1,100.0,6,redford-jones-1
Adam Mitcheson,2017-08-31,1,Buffalo,@,Minnesota,L,1,1,100.0,0,2,0.0,1,adam-mitcheson-1
Sean Nuernberger,2017-08-31,1,Ohio State,@,Indiana,W,5,5,100.0,2,2,100.0,11,sean-nuernberger-1
Brandon Ruiz,2017-08-31,1,Arizona State,,New Mexico State,W,4,5,80.0,1,2,50.0,7,brandon-ruiz-1
Spencer Smith,2017-08-31,1,Memphis,,Louisiana-Monroe,W,0,0,,1,1,100.0,3,spencer-smith-6
Jameson Vest,2017-08-31,1,Toledo,,Elon,W,5,5,100.0,4,4,100.0,17,jameson-vest-1
Mike Weaver,2017-08-31,1,Wake Forest,,Presbyterian,W,6,7,85.7,1,1,100.0,9,mike-weaver-1
Brandon Wright,2017-08-31,1,Georgia State,,Tennessee State,L,1,1,100.0,1,1,100.0,4,brandon-wright-3
Matthew Wright,2017-08-31,1,Central Florida,,Florida International,W,6,7,85.7,1,2,50.0,9,matthew-wright-1
Wyatt Bryan,2017-09-01,2,Colorado State,N,Colorado,L,0,0,,1,1,100.0,3,wyatt-bryan-1
Dominik Eberle,2017-09-01,1,Utah State,@,Wisconsin,L,1,1,100.0,1,1,100.0,4,dominik-eberle-1
Paul Fricano,2017-09-01,1,Eastern Michigan,,UNC Charlotte,W,3,3,100.0,1,1,100.0,6,paul-fricano-1
Rafael Gaglianone,2017-09-01,1,Wisconsin,,Utah State,W,8,8,100.0,1,1,100.0,11,rafael-gaglianone-1
Christian Hagan,2017-09-01,1,Northern Illinois,,Boston College,L,2,2,100.0,2,3,66.7,8,christian-hagan-1
Andrew Harte,2017-09-01,1,Rutgers,,Washington,L,2,2,100.0,0,1,0.0,2,andrew-harte-1
Sterling Hofrichter,2017-09-01,1,Syracuse,,Central Connecticut State,W,1,1,100.0,1,2,50.0,4,sterling-hofrichter-1
Greg Joseph,2017-09-01,1,Florida Atlantic,,Navy,L,1,1,100.0,2,2,100.0,7,greg-joseph-2
Colton Lichtenberg,2017-09-01,1,Boston College,@,Northern Illinois,W,2,2,100.0,3,3,100.0,11,colton-lichtenberg-1
Nigel Macauley,2017-09-01,1,UNC Charlotte,@,Eastern Michigan,L,1,1,100.0,0,1,0.0,1,nigel-macauley-1
Bennett Moehring,2017-09-01,1,Navy,@,Florida Atlantic,W,6,6,100.0,0,1,0.0,6,bennett-moehring-1
Cole Murphy,2017-09-01,1,Syracuse,,Central Connecticut State,W,4,5,80.0,2,2,100.0,10,cole-murphy-1
James Stefanou,2017-09-01,1,Colorado,N,Colorado State,W,1,1,100.0,1,2,50.0,4,james-stefanou-1
Tristan Vizcaino,2017-09-01,1,Washington,@,Rutgers,W,3,3,100.0,3,3,100.0,12,tristan-vizcaino-1
Blake Wilson,2017-09-01,1,Army,,Fordham,W,4,4,100.0,1,1,100.0,7,blake-wilson-1
Ricky Aguayo,2017-09-02,1,Florida State,N,Alabama,L,1,1,100.0,0,1,0.0,1,ricky-aguayo-1
Matt Anderson,2017-09-02,1,California,@,North Carolina,W,5,5,100.0,0,1,0.0,5,matt-anderson-3
Michael Badgley,2017-09-02,1,Miami (FL),,Bethune-Cookman,W,5,5,100.0,2,2,100.0,11,michael-badgley-1
Jonathan Barnes,2017-09-02,1,Louisiana Tech,,Northwestern State,W,7,7,100.0,1,2,50.0,10,jonathan-barnes-1
John Baron,2017-09-02,1,San Diego State,,California-Davis,W,5,5,100.0,1,1,100.0,8,john-baron-1
Tyler Bass,2017-09-02,1,Georgia Southern,@,Auburn,L,1,1,100.0,0,1,0.0,1,tyler-bass-3
Rodrigo Blankenship,2017-09-02,1,Georgia,,Appalachian State,W,4,4,100.0,1,1,100.0,7,rodrigo-blankenship-1
Drew Brown,2017-09-02,1,Nebraska,,Arkansas State,W,5,5,100.0,2,2,100.0,11,drew-brown-1
Jimmy Camacho,2017-09-02,1,Fresno State,,Incarnate Word,W,8,8,100.0,2,2,100.0,14,jimmy-camacho-1
Daniel Carlson,2017-09-02,1,Auburn,,Georgia Southern,W,5,5,100.0,2,4,50.0,11,daniel-carlson-1
Jordan Choukair,2017-09-02,2,Oregon State,,Portland State,W,5,5,100.0,0,1,0.0,5,jordan-choukair-1
Blaton Creque,2017-09-02,1,Louisville,N,Purdue,W,2,2,100.0,3,3,100.0,11,blaton-creque-1
Tyler Davis,2017-09-02,1,Penn State,,Akron,W,7,7,100.0,1,2,50.0,10,tyler-davis-3
Tucker Day,2017-09-02,1,Mississippi State,,Charleston Southern,W,5,5,100.0,1,3,33.3,8,tucker-day-1
J.D. Dillinger,2017-09-02,1,Purdue,N,Louisville,L,2,2,100.0,0,1,0.0,2,jd-dillinger-1
Jack Gonsoulin,2017-09-02,1,Louisiana State,N,Brigham Young,W,3,3,100.0,2,3,66.7,9,jack-gonsoulin-1
Josh Grant,2017-09-02,1,Western Michigan,@,Southern California,L,4,4,100.0,1,2,50.0,7,josh-grant-1
Adam Greene,2017-09-02,1,Maryland,@,Texas,W,6,6,100.0,1,2,50.0,9,adam-greene-1
Morgan Hagee,2017-09-02,1,Ball State,@,Illinois,L,3,3,100.0,0,1,0.0,3,morgan-hagee-1
Haden Hoggarth,2017-09-02,1,Boise State,,Troy,W,2,2,100.0,1,1,100.0,5,haden-hoggarth-1
Shane Hynes,2017-09-02,1,Kent State,@,Clemson,L,0,0,,1,1,100.0,3,shane-hynes-1
Austin Jones,2017-09-02,1,Temple,@,Notre Dame,L,1,1,100.0,1,2,50.0,4,austin-jones-4
Freeman Jones,2017-09-02,1,North Carolina,,California,L,3,3,100.0,1,2,50.0,6,freeman-jones-1
Alex Kessman,2017-09-02,1,Pittsburgh,,Youngstown State,W,4,4,100.0,0,2,0.0,4,alex-kessman-1
Charlie Kuhbander,2017-09-02,1,Northwestern,,Nevada,W,4,4,100.0,1,2,50.0,7,charlie-kuhbander-1
Austin Macginnis,2017-09-02,1,Kentucky,@,Southern Mississippi,W,3,3,100.0,1,1,100.0,6,austin-macginnis-1
Connor Martin,2017-09-02,1,Baylor,,Liberty,L,6,6,100.0,1,1,100.0,9,connor-martin-1
Tucker McCann,2017-09-02,1,Missouri,,Missouri State,W,9,10,90.0,1,1,100.0,12,tucker-mccann-1
Matthew McCrane,2017-09-02,1,Kansas State,,Central Arkansas,W,7,7,100.0,2,3,66.7,13,matthew-mccrane-1
Chase McLaughlin,2017-09-02,1,Illinois,,Ball State,W,1,1,100.0,1,2,50.0,4,chase-mclaughlin-1
A.J. Mejia,2017-09-02,1,Virginia,,William & Mary,W,4,4,100.0,0,1,0.0,4,aj-mejia-1
Ryan Meskell,2017-09-02,2,Hawaii,,Western Carolina,W,0,0,,0,1,0.0,0,ryan-meskell-1
Trevor Moore,2017-09-02,1,North Texas,,Lamar,W,8,8,100.0,1,1,100.0,11,trevor-moore-1
Emilio Nadelman,2017-09-02,2,South Florida,,Stony Brook,W,4,4,100.0,1,1,100.0,7,emilio-nadelman-1
Coby Neenan,2017-09-02,1,Tulane,,Grambling State,W,4,6,66.7,1,1,100.0,7,coby-neenan-1
Quinn Nordin,2017-09-02,1,Michigan,N,Florida,W,3,3,100.0,4,6,66.7,15,quinn-nordin-1
Ryan Nuss,2017-09-02,1,Western Kentucky,,Eastern Kentucky,W,4,4,100.0,1,1,100.0,7,ryan-nuss-1
Tommy Openshaw,2017-09-02,1,Vanderbilt,@,Middle Tennessee State,W,4,4,100.0,0,1,0.0,4,tommy-openshaw-1
Evan Pantels,2017-09-02,1,Nevada-Las Vegas,,Howard,L,4,4,100.0,4,6,66.7,16,evan-pantels-1
Andy Pappanastos,2017-09-02,1,Alabama,N,Florida State,W,1,1,100.0,3,5,60.0,10,andy-pappanastos-1
Austin Parker,2017-09-02,1,Duke,,North Carolina Central,W,7,8,87.5,1,1,100.0,10,austin-parker-2
Gavin Patterson,2017-09-02,1,South Alabama,@,Mississippi,L,3,3,100.0,2,2,100.0,9,gavin-patterson-1
Spence Pettit,2017-09-02,1,Nevada,@,Northwestern,L,2,2,100.0,2,2,100.0,8,spence-pettit-1
Eddy Pineiro,2017-09-02,1,Florida,N,Michigan,L,2,2,100.0,1,2,50.0,5,eddy-pineiro-1
Erik Powell,2017-09-02,1,Washington State,,Montana State,W,4,4,100.0,1,1,100.0,7,erik-powell-1
Evan Rabon,2017-09-02,1,Coastal Carolina,,Massachusetts,W,5,5,100.0,1,1,100.0,8,evan-rabon-1
Miguel Recinos,2017-09-02,1,Iowa,,Wyoming,W,3,3,100.0,1,1,100.0,6,miguel-recinos-1
Nick Rice,2017-09-02,1,Old Dominion,,Albany,W,4,4,100.0,1,1,100.0,7,nick-rice-1
Cooper Rothe,2017-09-02,1,Wyoming,@,Iowa,L,0,0,,1,2,50.0,3,cooper-rothe-1
Joshua Rowland,2017-09-02,1,Texas,,Maryland,L,5,5,100.0,0,1,0.0,5,joshua-rowland-1
Michael Rubino,2017-09-02,1,Appalachian State,@,Georgia,L,1,1,100.0,1,1,100.0,4,michael-rubino-1
Gabriel Rui,2017-09-02,1,Kansas,,Southeast Missouri State,W,5,5,100.0,1,1,100.0,8,gabriel-rui-1
Jason Sanders,2017-09-02,1,New Mexico,,Abilene Christian,W,5,5,100.0,1,1,100.0,8,jason-sanders-1
Michael Schreiner,2017-09-02,2,Massachusetts,@,Coastal Carolina,L,4,4,100.0,0,1,0.0,4,michael-schreiner-1
Parker Shaunfield,2017-09-02,1,Southern Mississippi,,Kentucky,L,2,2,100.0,1,1,100.0,5,parker-shaunfield-1
James Sherman,2017-09-02,1,Texas State,,,W,2,2,100.0,2,2,100.0,8,james-sherman-1
Samuel Sloman,2017-09-02,1,Miami (OH),@,Marshall,L,2,2,100.0,2,2,100.0,8,samuel-sloman-1
Jake Suder,2017-09-02,1,Bowling Green State,@,Michigan State,L,1,1,100.0,1,1,100.0,4,jake-suder-1
Bratcher Underwood,2017-09-02,1,Troy,@,Boise State,L,1,1,100.0,2,2,100.0,7,bratcher-underwood-1
Kaare Vedvik,2017-09-02,1,Marshall,,Miami (OH),W,4,4,100.0,1,1,100.0,7,kaare-vedvik-1
Jake Verity,2017-09-02,1,East Carolina,,James Madison,L,2,2,100.0,0,1,0.0,2,jake-verity-1
Nick Vogel,2017-09-02,1,Alabama-Birmingham,,Alabama A&M,W,5,5,100.0,1,1,100.0,8,nick-vogel-1
Josh Williams,2017-09-02,1,Southern Methodist,,Stephen F. Austin,W,6,7,85.7,1,1,100.0,9,josh-williams-9
Sawyer Williams,2017-09-02,1,Arkansas State,@,Nebraska,L,4,4,100.0,2,2,100.0,10,sawyer-williams-1
Carson Wise,2017-09-02,1,North Carolina State,N,South Carolina,L,4,4,100.0,0,1,0.0,4,carson-wise-1
Gary Wunderlich,2017-09-02,1,Mississippi,,South Alabama,W,5,6,83.3,2,3,66.7,11,gary-wunderlich-1
Justin Yoon,2017-09-02,1,Notre Dame,,Temple,W,7,7,100.0,0,2,0.0,7,justin-yoon-1
Louie Zervos,2017-09-02,1,Ohio,,Hampton,W,6,8,75.0,1,1,100.0,9,louie-zervos-1
Daniel LaCamera,2017-09-03,1,Texas A&M,@,UCLA,L,5,5,100.0,3,3,100.0,14,daniel-lacamera-1
Braden Mann,2017-09-03,1,Texas A&M,@,UCLA,L,0,0,,0,1,0.0,0,braden-mann-1
