Player,Date,G,School,Loc,Opponent,WL,XP Made,XP Att,XP %,FG Made,FG Att,FG %,Pts,unique_id
Freddy Cortez,2009-09-03,1,Kent State,,Coastal Carolina,W,2,2,100.0,0,1,0.0,2,freddy-cortez-1
Nick Freeland,2009-09-03,1,Indiana,,Eastern Kentucky,W,2,2,100.0,1,1,100.0,5,nick-freeland-1
Sam Glusman,2009-09-03,1,Troy,@,Bowling Green State,L,2,2,100.0,0,1,0.0,2,sam-glusman-1
Jeremy Knott,2009-09-03,1,North Texas,@,Ball State,W,2,2,100.0,2,4,50.0,8,jeremy-knott-1
Spencer Lanning,2009-09-03,1,South Carolina,@,North Carolina State,W,1,1,100.0,0,1,0.0,1,spencer-lanning-1
Grant Mahoney,2009-09-03,1,Iowa State,,North Dakota State,W,4,4,100.0,2,3,66.7,10,grant-mahoney-1
Ian McGarvey,2009-09-03,1,Ball State,,North Texas,L,1,1,100.0,1,2,50.0,4,ian-mcgarvey-1
Brandon McManus,2009-09-03,1,Temple,,Villanova,L,3,3,100.0,1,1,100.0,6,brandon-mcmanus-1
Jerry Phillips,2009-09-03,1,Bowling Green State,,Troy,W,4,4,100.0,1,1,100.0,7,jerry-phillips-1
Chris Ulinski,2009-09-03,1,Utah State,@,Utah,L,2,2,100.0,1,2,50.0,5,chris-ulinski-1
Ben Vroman,2009-09-03,1,Utah,,Utah State,W,4,4,100.0,1,1,100.0,7,ben-vroman-1
Greg Alexander,2009-09-04,1,Hawaii,,Central Arkansas,W,0,1,0.0,0,0,,0,greg-alexander-1
Scott Enos,2009-09-04,1,Hawaii,,Central Arkansas,W,2,2,100.0,1,1,100.0,5,scott-enos-1
Kevin Fitzpatrick,2009-09-04,1,Tulsa,@,Tulane,W,4,4,100.0,3,3,100.0,13,kevin-fitzpatrick-1
Ross Thevenot,2009-09-04,1,Tulane,,Tulsa,L,1,1,100.0,2,3,66.7,7,ross-thevenot-1
Greg Abilheira,2009-09-05,1,Boston College,,Northeastern,W,1,1,100.0,0,0,,1,greg-abilheira-1
Tyler Albrecht,2009-09-05,1,Louisiana,,Southern,W,6,6,100.0,0,0,,6,tyler-albrecht-1
Delbert Alvarado,2009-09-05,1,South Florida,,Wofford,W,5,5,100.0,1,1,100.0,8,delbert-alvarado-1
Steve Aponavicius,2009-09-05,1,Boston College,,Northeastern,W,6,6,100.0,1,1,100.0,9,steve-aponavicius-1
