Player,Date,G,School,Loc,Opponent,WL,Int Ret,Int Ret Yds,Int TD,Pass Broken Up,unique_id
Austin Alburtis,2008-08-28,1,Iowa State,,South Dakota State,W,1,61,0,,austin-alburtis-1
Josh Allen,2008-08-28,1,Vanderbilt,@,Miami (OH),W,1,0,0,1,josh-allen-3
Aaron Bagsby,2008-08-28,1,Connecticut,,Hofstra,W,1,0,0,1,aaron-bagsby-1
Michael Bibbs,2008-08-28,1,Iowa State,,South Dakota State,W,1,53,0,1,michael-bibbs-1
Morgan Burnett,2008-08-28,1,Georgia Tech,,Jacksonville State,W,2,47,0,2,morgan-burnett-1
Justin Byers,2008-08-28,1,North Carolina State,@,South Carolina,L,1,-1,0,0,justin-byers-1
Kris Evans,2008-08-28,1,Stanford,,Oregon State,W,1,16,0,1,kris-evans-1
Alex Frye,2008-08-28,1,Wake Forest,@,Baylor,W,1,0,0,1,alex-frye-1
Dwayne Harrison,2008-08-28,1,Eastern Michigan,,Indiana State,W,1,0,0,1,dwayne-harrison-1
Ivon Hickmon,2008-08-28,1,Middle Tennessee State,,Troy,L,1,11,0,1,ivon-hickmon-1
Nate Irving,2008-08-28,1,North Carolina State,@,South Carolina,L,1,9,0,1,nate-irving-1
Jermaine Jenkins,2008-08-28,1,Eastern Michigan,,Indiana State,W,2,-9,0,0,jermaine-jenkins-1
Boris Lee,2008-08-28,1,Troy,@,Middle Tennessee State,W,1,18,0,1,boris-lee-1
Myron Lewis,2008-08-28,1,Vanderbilt,@,Miami (OH),W,1,0,0,2,myron-lewis-1
Scott Lutrus,2008-08-28,1,Connecticut,,Hofstra,W,1,0,0,2,scott-lutrus-1
Devin McDowell,2008-08-28,1,Iowa State,,South Dakota State,W,1,3,0,2,devin-mcdowell-1
Bo McNally,2008-08-28,1,Stanford,,Oregon State,W,1,34,1,1,bo-mcnally-1
D.J. Moore,2008-08-28,1,Vanderbilt,@,Miami (OH),W,1,1,0,1,dj-moore-1
Justin Moore,2008-08-28,1,Cincinnati,,Eastern Kentucky,W,1,12,0,,justin-moore-1
Deandre Morgan,2008-08-28,1,North Carolina State,@,South Carolina,L,1,20,0,1,deandre-morgan-1
Derec Schmidgall,2008-08-28,1,Iowa State,,South Dakota State,W,1,37,1,1,derec-schmidgall-1
Jimmaul Simmons,2008-08-28,1,North Carolina State,@,South Carolina,L,1,20,0,,jimmaul-simmons-1
Alphonso Smith,2008-08-28,1,Wake Forest,@,Baylor,W,1,1,0,3,alphonso-smith-1
John Syty,2008-08-28,1,Buffalo,,Texas-El Paso,W,2,21,0,2,john-syty-1
Kurtis Taylor,2008-08-28,1,Iowa State,,South Dakota State,W,1,48,0,1,kurtis-taylor-1
Carlos Thomas,2008-08-28,1,South Carolina,,North Carolina State,W,1,10,0,,carlos-thomas-1
Justin Winters,2008-08-28,1,Buffalo,,Texas-El Paso,W,1,5,0,2,justin-winters-1
Stoney Woodson,2008-08-28,1,South Carolina,,North Carolina State,W,1,0,0,1,stoney-woodson-1
Dominique Harris,2008-08-29,1,Temple,@,Army,W,1,0,0,1,dominique-harris-1
Brandon King,2008-08-29,1,Rice,,Southern Methodist,W,2,56,0,2,brandon-king-3
Richard King,2008-08-29,1,Army,,Temple,L,1,2,0,1,richard-king-1
Andrew Sendejo,2008-08-29,1,Rice,,Southern Methodist,W,1,55,1,2,andrew-sendejo-1
Pat Angerer,2008-08-30,1,Iowa,,Maine,W,1,3,0,1,pat-angerer-1
Antonio Appleby,2008-08-30,1,Virginia,,Southern California,L,1,12,0,1,antonio-appleby-1
Orkeys Auriene,2008-08-30,1,Louisiana,@,Southern Mississippi,L,1,23,0,1,orkeys-auriene-1
C.J. Bailey,2008-08-30,1,Southern Mississippi,,Louisiana,W,1,4,0,2,cj-bailey-1
Antonio Baker,2008-08-30,1,Louisiana Tech,,Mississippi State,W,1,3,0,1,antonio-baker-1
Kevin Barnes,2008-08-30,1,Maryland,,Delaware,W,1,10,0,1,kevin-barnes-1
Ahmad Black,2008-08-30,1,Florida,,Hawaii,W,2,80,1,2,ahmad-black-1
A.J. Brown,2008-08-30,1,Syracuse,@,Northwestern,L,1,1,0,1,aj-brown-1
Deaundre Brown,2008-08-30,1,Tulsa,@,Alabama-Birmingham,W,1,0,0,1,deaundre-brown-1
Lorenzo Bursey Jr.,2008-08-30,1,Nevada-Las Vegas,,Utah State,W,1,2,0,1,lorenzo-bursey-jr-1
Trent Calhoun,2008-08-30,1,Western Kentucky,@,Indiana,L,1,0,0,1,trent-calhoun-1
Daniel Charbonnet,2008-08-30,1,Texas Tech,,Eastern Washington,W,1,17,0,2,daniel-charbonnet-1
Steven Coleman,2008-08-30,1,Texas Christian,@,New Mexico,W,1,26,0,3,steven-coleman-1
Quentin Cotton,2008-08-30,1,East Carolina,N,Virginia Tech,W,1,1,0,2,quentin-cotton-1
Wes Davis,2008-08-30,1,Boston College,@,Kent State,W,1,0,0,1,wes-davis-1
Louis Delmas,2008-08-30,1,Western Michigan,@,Nebraska,L,1,33,0,2,louis-delmas-1
Brian Duncan,2008-08-30,1,Texas Tech,,Eastern Washington,W,1,0,0,3,brian-duncan-1
Dannell Ellerbe,2008-08-30,1,Georgia,,Georgia Southern,W,1,0,0,1,dannell-ellerbe-1
Obi Ezeh,2008-08-30,1,Michigan,,Utah,L,1,18,0,1,obi-ezeh-1
