Player,Date,G,School,Loc,Opponent,WL,Kick Ret,Kick Ret Yds,Kick Ret Avg,Kick Ret TD,unique_id
John Armstrong,2015-09-03,1,Wake Forest,,Elon,W,1,8,8.0,0,john-armstrong-2
Sherman Badie,2015-09-03,1,Tulane,,Duke,L,2,40,20.0,0,sherman-badie-1
Jared Baker,2015-09-03,1,Arizona,,Texas-San Antonio,W,1,18,18.0,0,jared-baker-1
Devon Breaux,2015-09-03,1,Tulane,,Duke,L,1,0,0.0,0,devon-breaux-1
Jeff Carr,2015-09-03,1,Oklahoma State,@,Central Michigan,W,2,42,21.0,0,jeff-carr-2
Devon Edwards,2015-09-03,1,Duke,@,Tulane,W,1,95,95.0,1,devon-edwards-1
Tyler Ervin,2015-09-03,1,San Jose State,,New Hampshire,W,2,19,9.5,0,tyler-ervin-1
Fie Faaituala,2015-09-03,1,Nevada,,California-Davis,W,1,4,4.0,0,fie-faaituala-1
Jamal Golden,2015-09-03,1,Georgia Tech,,Alcorn State,W,1,16,16.0,0,jamal-golden-1
Darian Green,2015-09-03,1,Ball State,,Virginia Military Institute,W,4,120,30.0,0,darian-green-1
Paul Harris,2015-09-03,1,Hawaii,,Colorado,W,4,72,18.0,0,paul-harris-3
C.J. Jones,2015-09-03,1,Central Florida,,Florida International,L,1,28,28.0,0,cj-jones-6
Jamire Jordan,2015-09-03,1,Fresno State,,Abilene Christian,W,2,33,16.5,0,jamire-jordan-1
Jayshawn Jordan,2015-09-03,1,Idaho,,Ohio,L,5,91,18.2,0,jayshawn-jordan-1
Brian Lemelle,2015-09-03,1,Connecticut,,Villanova,W,1,12,12.0,0,brian-lemelle-1
Richard Leonard,2015-09-03,1,Florida International,@,Central Florida,W,3,63,21.0,0,richard-leonard-1
Phillip Lindsay,2015-09-03,1,Colorado,@,Hawaii,L,2,64,32.0,0,phillip-lindsay-1
Kolby Listenbee,2015-09-03,1,Texas Christian,@,Minnesota,W,3,57,19.0,0,kolby-listenbee-1
Brant Mitchell,2015-09-03,1,Georgia Tech,,Alcorn State,W,1,5,5.0,0,brant-mitchell-1
Elijah Mitchell,2015-09-03,1,Nevada,,California-Davis,W,1,17,17.0,0,elijah-mitchell-1
Jalen Myrick,2015-09-03,1,Minnesota,,Texas Christian,L,1,20,20.0,0,jalen-myrick-1
Keenan Noel,2015-09-03,1,Ball State,,Virginia Military Institute,W,1,25,25.0,0,keenan-noel-1
Daz'Mond Patterson,2015-09-03,1,Ohio,@,Idaho,W,1,17,17.0,0,dazmond-patterson-1
Elijhaa Penny,2015-09-03,1,Idaho,,Ohio,L,3,66,22.0,0,elijhaa-penny-1
Jabrill Peppers,2015-09-03,1,Michigan,@,Utah,L,1,36,36.0,0,jabrill-peppers-1
Nate Phillips,2015-09-03,1,Arizona,,Texas-San Antonio,W,1,21,21.0,0,nate-phillips-1
Deebo Samuel,2015-09-03,1,South Carolina,N,North Carolina,W,1,24,24.0,0,deebo-samuel-1
Darrius Sims,2015-09-03,1,Vanderbilt,,Western Kentucky,L,3,61,20.3,0,darrius-sims-1
Emmitt Thomas,2015-09-03,1,Central Michigan,,Oklahoma State,L,3,62,20.7,0,emmitt-thomas-1
