Player,Date,G,School,Loc,Opponent,WL,unique_id,Int Ret,Int Ret Yds,Int TD,Pass Broken Up
Austin Alburtis,2008-08-28,1,Iowa State,,South Dakota State,W,austin-alburtis-1,1.0,61.0,0.0,
Josh Allen,2008-08-28,1,Vanderbilt,@,Miami (OH),W,josh-allen-3,1.0,0.0,0.0,1.0
Aaron Bagsby,2008-08-28,1,Connecticut,,Hofstra,W,aaron-bagsby-1,1.0,0.0,0.0,1.0
Michael Bibbs,2008-08-28,1,Iowa State,,South Dakota State,W,michael-bibbs-1,1.0,53.0,0.0,1.0
Morgan Burnett,2008-08-28,1,Georgia Tech,,Jacksonville State,W,morgan-burnett-1,2.0,47.0,0.0,2.0
Justin Byers,2008-08-28,1,North Carolina State,@,South Carolina,L,justin-byers-1,1.0,-1.0,0.0,0.0
Kris Evans,2008-08-28,1,Stanford,,Oregon State,W,kris-evans-1,1.0,16.0,0.0,1.0
Alex Frye,2008-08-28,1,Wake Forest,@,Baylor,W,alex-frye-1,1.0,0.0,0.0,1.0
Dwayne Harrison,2008-08-28,1,Eastern Michigan,,Indiana State,W,dwayne-harrison-1,1.0,0.0,0.0,1.0
Ivon Hickmon,2008-08-28,1,Middle Tennessee State,,Troy,L,ivon-hickmon-1,1.0,11.0,0.0,1.0
Nate Irving,2008-08-28,1,North Carolina State,@,South Carolina,L,nate-irving-1,1.0,9.0,0.0,1.0
Jermaine Jenkins,2008-08-28,1,Eastern Michigan,,Indiana State,W,jermaine-jenkins-1,2.0,-9.0,0.0,0.0
Boris Lee,2008-08-28,1,Troy,@,Middle Tennessee State,W,boris-lee-1,1.0,18.0,0.0,1.0
Myron Lewis,2008-08-28,1,Vanderbilt,@,Miami (OH),W,myron-lewis-1,1.0,0.0,0.0,2.0
Scott Lutrus,2008-08-28,1,Connecticut,,Hofstra,W,scott-lutrus-1,1.0,0.0,0.0,2.0
Devin McDowell,2008-08-28,1,Iowa State,,South Dakota State,W,devin-mcdowell-1,1.0,3.0,0.0,2.0
Bo McNally,2008-08-28,1,Stanford,,Oregon State,W,bo-mcnally-1,1.0,34.0,1.0,1.0
D.J. Moore,2008-08-28,1,Vanderbilt,@,Miami (OH),W,dj-moore-1,1.0,1.0,0.0,1.0
Justin Moore,2008-08-28,1,Cincinnati,,Eastern Kentucky,W,justin-moore-1,1.0,12.0,0.0,
Deandre Morgan,2008-08-28,1,North Carolina State,@,South Carolina,L,deandre-morgan-1,1.0,20.0,0.0,1.0
Derec Schmidgall,2008-08-28,1,Iowa State,,South Dakota State,W,derec-schmidgall-1,1.0,37.0,1.0,1.0
Jimmaul Simmons,2008-08-28,1,North Carolina State,@,South Carolina,L,jimmaul-simmons-1,1.0,20.0,0.0,
Alphonso Smith,2008-08-28,1,Wake Forest,@,Baylor,W,alphonso-smith-1,1.0,1.0,0.0,3.0
John Syty,2008-08-28,1,Buffalo,,Texas-El Paso,W,john-syty-1,2.0,21.0,0.0,2.0
Kurtis Taylor,2008-08-28,1,Iowa State,,South Dakota State,W,kurtis-taylor-1,1.0,48.0,0.0,1.0
Carlos Thomas,2008-08-28,1,South Carolina,,North Carolina State,W,carlos-thomas-1,1.0,10.0,0.0,
Justin Winters,2008-08-28,1,Buffalo,,Texas-El Paso,W,justin-winters-1,1.0,5.0,0.0,2.0
Stoney Woodson,2008-08-28,1,South Carolina,,North Carolina State,W,stoney-woodson-1,1.0,0.0,0.0,1.0
Dominique Harris,2008-08-29,1,Temple,@,Army,W,dominique-harris-1,1.0,0.0,0.0,1.0
Brandon King,2008-08-29,1,Rice,,Southern Methodist,W,brandon-king-3,2.0,56.0,0.0,2.0
Richard King,2008-08-29,1,Army,,Temple,L,richard-king-1,1.0,2.0,0.0,1.0
Andrew Sendejo,2008-08-29,1,Rice,,Southern Methodist,W,andrew-sendejo-1,1.0,55.0,1.0,2.0
Pat Angerer,2008-08-30,1,Iowa,,Maine,W,pat-angerer-1,1.0,3.0,0.0,1.0
Antonio Appleby,2008-08-30,1,Virginia,,Southern California,L,antonio-appleby-1,1.0,12.0,0.0,1.0
Orkeys Auriene,2008-08-30,1,Louisiana,@,Southern Mississippi,L,orkeys-auriene-1,1.0,23.0,0.0,1.0
C.J. Bailey,2008-08-30,1,Southern Mississippi,,Louisiana,W,cj-bailey-1,1.0,4.0,0.0,2.0
Antonio Baker,2008-08-30,1,Louisiana Tech,,Mississippi State,W,antonio-baker-1,1.0,3.0,0.0,1.0
Kevin Barnes,2008-08-30,1,Maryland,,Delaware,W,kevin-barnes-1,1.0,10.0,0.0,1.0
Ahmad Black,2008-08-30,1,Florida,,Hawaii,W,ahmad-black-1,2.0,80.0,1.0,2.0
A.J. Brown,2008-08-30,1,Syracuse,@,Northwestern,L,aj-brown-1,1.0,1.0,0.0,1.0
Deaundre Brown,2008-08-30,1,Tulsa,@,Alabama-Birmingham,W,deaundre-brown-1,1.0,0.0,0.0,1.0
Lorenzo Bursey Jr.,2008-08-30,1,Nevada-Las Vegas,,Utah State,W,lorenzo-bursey-jr-1,1.0,2.0,0.0,1.0
Trent Calhoun,2008-08-30,1,Western Kentucky,@,Indiana,L,trent-calhoun-1,1.0,0.0,0.0,1.0
