Player,Date,G,School,Loc,Opponent,WL,Punt Ret,Punt Ret Yds,Punt Ret Avg,Punt Ret TD,unique_id
Melquise Stovall,2019-08-24,1,Hawaii,,Arizona,W,2,9,4.5,0,melquise-stovall-1
Freddie Swain,2019-08-24,1,Florida,N,Miami (FL),W,3,19,6.3,0,freddie-swain-1
Jeff Thomas,2019-08-24,1,Miami (FL),N,Florida,L,1,-1,-1.0,0,jeff-thomas-6
Brandon Aiyuk,2019-08-29,1,Arizona State,,Kent State,W,2,1,0.5,0,brandon-aiyuk-1
Otis Anderson,2019-08-29,1,Central Florida,,Florida A&M,W,6,79,13.2,0,otis-anderson-1
Theo Anderson,2019-08-29,1,Buffalo,,,W,2,7,3.5,0,theo-anderson-1
Britain Covey,2019-08-29,1,Utah,@,Brigham Young,W,3,46,15.3,0,britain-covey-1
Demetrius Douglas,2019-08-29,1,Minnesota,,South Dakota State,W,1,8,8.0,0,demetrius-douglas-2
Brandon Ezell,2019-08-29,1,San Jose State,,Northern Colorado,W,1,25,25.0,0,brandon-ezell-1
Nafees Lyon,2019-08-29,1,UNC Charlotte,,Gardner-Webb,W,2,-2,-1.0,0,nafees-lyon-1
Myron Mitchell,2019-08-29,1,Alabama-Birmingham,,Alabama State,W,2,24,12.0,0,myron-mitchell-1
Ryan Montgomery,2019-08-29,1,Cincinnati,,UCLA,W,1,25,25.0,0,ryan-montgomery-1
Roshauud Paul,2019-08-29,1,Texas A&M,,Texas State,W,2,13,6.5,0,roshauud-paul-1
Kalil Pimpleton,2019-08-29,1,Central Michigan,,Albany,W,2,14,7.0,0,kalil-pimpleton-1
Kavious Price,2019-08-29,1,Kent State,@,Arizona State,L,4,25,6.3,0,kavious-price-1
Jake Rogers,2019-08-29,1,Bowling Green State,,Morgan State,W,3,13,4.3,0,jake-rogers-2
Solomon Rogers,2019-08-29,1,UNC Charlotte,,Gardner-Webb,W,1,16,16.0,1,solomon-rogers-1
Quayvon Skanes,2019-08-29,1,Connecticut,,Wagner,W,3,31,10.3,0,quayvon-skanes-1
Will Swinney,2019-08-29,1,Clemson,,Georgia Tech,W,1,8,8.0,0,will-swinney-1
Juanyeh Thomas,2019-08-29,1,Georgia Tech,@,Clemson,L,1,0,0.0,0,juanyeh-thomas-1
B.J. Turner,2019-08-29,1,UNC Charlotte,,Gardner-Webb,W,1,19,19.0,0,bj-turner-1
Hutch White,2019-08-29,1,Texas State,@,Texas A&M,L,1,5,5.0,0,hutch-white-1
Marlon Williams,2019-08-29,1,Central Florida,,Florida A&M,W,1,0,0.0,0,marlon-williams-5
Romeo Doubs,2019-08-30,1,Nevada,,Purdue,W,1,6,6.0,0,romeo-doubs-1
Jack Dunn,2019-08-30,1,Wisconsin,@,South Florida,W,4,62,15.5,0,jack-dunn-1
Kendall Hinton,2019-08-30,1,Wake Forest,,Utah State,W,1,1,1.0,0,kendall-hinton-1
Alexander Horvath,2019-08-30,1,Purdue,@,Nevada,L,1,-2,-2.0,0,alexander-horvath-1
Dominique Long,2019-08-30,1,Michigan State,,Tulsa,W,1,9,9.0,0,dominique-long-1
Akyah Miranda,2019-08-30,1,Army,,Rice,W,1,0,0.0,0,akyah-miranda-1
Rondale Moore,2019-08-30,1,Purdue,@,Nevada,L,3,28,9.3,0,rondale-moore-1
Jalen Nailor,2019-08-30,1,Michigan State,,Tulsa,W,2,17,8.5,0,jalen-nailor-1
K.D. Nixon,2019-08-30,1,Colorado,N,Colorado State,W,1,6,6.0,0,kd-nixon-1
K.J. Sails,2019-08-30,1,South Florida,,Wisconsin,L,1,17,17.0,0,kj-sails-1
Keylon Stokes,2019-08-30,1,Tulsa,@,Michigan State,L,4,22,5.5,0,keylon-stokes-1
Dillon Stoner,2019-08-30,1,Oklahoma State,@,Oregon State,W,3,4,1.3,0,dillon-stoner-1
Austin Trammell,2019-08-30,1,Rice,@,Army,L,2,23,11.5,0,austin-trammell-1
Cody White,2019-08-30,1,Michigan State,,Tulsa,W,2,13,6.5,0,cody-white-3
Dante Wright,2019-08-30,1,Colorado State,N,Colorado,L,2,19,9.5,0,dante-wright-1
Jaylond Adams,2019-08-31,1,Southern Mississippi,,Alcorn State,W,2,93,46.5,1,jaylond-adams-1
Josh Ali,2019-08-31,1,Kentucky,,Toledo,W,1,6,6.0,0,josh-ali-1
Grayland Arnold,2019-08-31,1,Baylor,,Stephen F. Austin,W,2,17,8.5,0,grayland-arnold-1
Ronnie Bell,2019-08-31,1,Michigan,,Middle Tennessee State,W,3,41,13.7,0,ronnie-bell-3
Josh Blackwell,2019-08-31,1,Duke,N,Alabama,L,1,3,3.0,0,josh-blackwell-1
Lynn Bowden Jr.,2019-08-31,1,Kentucky,,Toledo,W,1,-1,-1.0,0,lynn-bowden-jr-1
Phillip Brooks,2019-08-31,1,Kansas State,,Nicholls State,W,1,9,9.0,0,phillip-brooks-1
Jerome Buckner,2019-08-31,1,Ohio,,Rhode Island,W,3,15,5.0,0,jerome-buckner-1
Treylon Burks,2019-08-31,1,Arkansas,,Portland State,W,2,16,8.0,0,treylon-burks-1
Jordan Byrd,2019-08-31,1,San Diego State,,Weber State,W,4,25,6.3,0,jordan-byrd-1
Marquez Callaway,2019-08-31,1,Tennessee,,Georgia State,L,1,35,35.0,0,marquez-callaway-1
Austin Conway,2019-08-31,1,Wyoming,,Missouri,W,3,37,12.3,0,austin-conway-1
Dante Cousart,2019-08-31,1,Florida Atlantic,@,Ohio State,L,2,5,2.5,0,dante-cousart-1
Kyron Cumby,2019-08-31,1,Illinois,,Akron,W,1,6,6.0,0,kyron-cumby-1
Jaelon Darden,2019-08-31,1,North Texas,,Abilene Christian,W,3,25,8.3,0,jaelon-darden-1
Chuck Davis,2019-08-31,1,Virginia,@,Pittsburgh,W,1,12,12.0,0,chuck-davis-3
Walter Dawn,2019-08-31,1,Texas-El Paso,,,W,1,0,0.0,0,walter-dawn-1
Malik Dear,2019-08-31,1,Mississippi State,N,Louisiana,W,2,40,20.0,0,malik-dear-1
Taury Dixon,2019-08-31,1,Mississippi State,N,Louisiana,W,1,0,0.0,0,taury-dixon-1
Meiko Dotson,2019-08-31,1,Florida Atlantic,@,Ohio State,L,1,0,0.0,0,meiko-dotson-1
B.J. Edmonds,2019-08-31,1,Arkansas State,,Southern Methodist,L,1,13,13.0,0,bj-edmonds-1
Bryan Edwards,2019-08-31,1,South Carolina,N,North Carolina,L,3,66,22.0,0,bryan-edwards-1
Maurice Ffrench,2019-08-31,1,Pittsburgh,,Virginia,L,1,0,0.0,0,maurice-ffrench-1
