Player,Date,G,School,Loc,Opponent,WL,Tackle Solo,Tackle Assist,Tackle Tot,Tackle For Loss,Sack,unique_id
Andrew Adams,2015-09-03,1,Connecticut,,Villanova,W,2,3,5,0.0,0.0,andrew-adams-1
Luke Adams,2015-09-03,1,Central Florida,,Florida International,L,1,2,3,0.0,0.0,luke-adams-1
Kenton Adeyemi,2015-09-03,1,Connecticut,,Villanova,W,1,1,2,1.0,0.0,kenton-adeyemi-1
Gvasi Akem,2015-09-03,1,Oklahoma State,@,Central Michigan,W,0,1,1,0.0,0.0,gvasi-akem-1
Imarjaye Albury,2015-09-03,1,Florida International,@,Central Florida,W,0,1,1,0.0,0.0,imarjaye-albury-1
Victor Alexander,2015-09-03,1,Georgia Tech,,Alcorn State,W,1,1,2,1.0,0.0,victor-alexander-1
Chase Alford,2015-09-03,1,Georgia Tech,,Alcorn State,W,1,2,3,0.0,0.0,chase-alford-1
Ricky Ali'ifua,2015-09-03,1,Utah State,,Southern Utah,W,2,1,3,2.0,1.0,ricky-aliifua-1
Jamar Allah,2015-09-03,1,Arizona,,Texas-San Antonio,W,4,5,9,0.0,0.0,jamar-allah-1
Brian Allen,2015-09-03,1,Utah,,Michigan,W,1,0,1,0.0,0.0,brian-allen-6
Calvin Allen,2015-09-03,1,Arizona,,Texas-San Antonio,W,2,0,2,0.0,0.0,calvin-allen-1
Richard Allen,2015-09-03,1,Tulane,,Duke,L,8,2,10,0.0,0.0,richard-allen-2
Bryson Allen-Williams,2015-09-03,1,South Carolina,N,North Carolina,W,0,1,1,0.0,0.0,bryson-allen-williams-1
Tony Annese,2015-09-03,1,Central Michigan,,Oklahoma State,L,3,1,4,0.0,0.0,tony-annese-1
Stefon Armstead,2015-09-03,1,Central Michigan,,Oklahoma State,L,3,0,3,0.0,0.0,stefon-armstead-1
Ade Aruna,2015-09-03,1,Tulane,,Duke,L,3,2,5,1.0,0.0,ade-aruna-1
Dionte Austin,2015-09-03,1,Wake Forest,,Elon,W,1,0,1,0.0,0.0,dionte-austin-1
Lance Austin,2015-09-03,1,Georgia Tech,,Alcorn State,W,1,0,1,0.0,0.0,lance-austin-1
Lawrence Austin,2015-09-03,1,Georgia Tech,,Alcorn State,W,1,1,2,0.0,0.0,lawrence-austin-1
Devante Averette,2015-09-03,1,Oklahoma State,@,Central Michigan,W,0,2,2,0.0,0.0,devante-averette-1
Chidobe Awuzie,2015-09-03,1,Colorado,@,Hawaii,L,4,2,6,0.0,0.0,chidobe-awuzie-1
Michael Ayers,2015-09-03,1,Ball State,,Virginia Military Institute,W,3,3,6,1.0,0.0,michael-ayers-1
Adekunle Ayinde,2015-09-03,1,Minnesota,,Texas Christian,L,0,1,1,0.0,0.0,adekunle-ayinde-1
Caleb Azubike,2015-09-03,1,Vanderbilt,,Western Kentucky,L,1,2,3,1.0,0.0,caleb-azubike-1
Avery Bailey,2015-09-03,1,Ball State,,Virginia Military Institute,W,0,3,3,0.0,0.0,avery-bailey-1
James Bailey,2015-09-03,1,Fresno State,,Abilene Christian,W,1,0,1,0.0,0.0,james-bailey-4
Mikey Bart,2015-09-03,1,North Carolina,N,South Carolina,L,1,0,1,1.0,1.0,mikey-bart-1
Tarell Basham,2015-09-03,1,Ohio,@,Idaho,W,3,1,4,1.0,1.0,tarell-basham-1
Devin Bass,2015-09-03,1,Ohio,@,Idaho,W,3,0,3,0.0,0.0,devin-bass-1
Jimmy Bean,2015-09-03,1,Oklahoma State,@,Central Michigan,W,4,0,4,1.0,1.0,jimmy-bean-1
Tre Bell,2015-09-03,1,Vanderbilt,,Western Kentucky,L,0,4,4,0.0,0.0,tre-bell-1
Tinashe Bere,2015-09-03,1,Duke,@,Tulane,W,5,0,5,0.0,0.0,tinashe-bere-1
Alex Bertrando,2015-09-03,1,Nevada,,California-Davis,W,1,0,1,0.0,0.0,alex-bertrando-1
Briean Boddy-Calhoun,2015-09-03,1,Minnesota,,Texas Christian,L,7,2,9,0.0,0.0,briean-boddy-calhoun-1
Joe Bolden,2015-09-03,1,Michigan,@,Utah,L,6,7,13,1.0,0.0,joe-bolden-1
Ayden Bonilla,2015-09-03,1,North Carolina,N,South Carolina,L,1,0,1,0.0,0.0,ayden-bonilla-1
Devontae Booker,2015-09-03,1,Utah,,Michigan,W,1,0,1,0.0,0.0,devontae-booker-1
Breon Borders,2015-09-03,1,Duke,@,Tulane,W,5,1,6,1.5,1.0,breon-borders-1
Eric Bowie,2015-09-03,1,Tulane,,Duke,L,0,1,1,0.0,0.0,eric-bowie-1
Brandon Boyce,2015-09-03,1,Duke,@,Tulane,W,1,0,1,1.0,1.0,brandon-boyce-1
Jeremy Boykins,2015-09-03,1,Central Florida,,Florida International,L,3,1,4,0.0,0.0,jeremy-boykins-1
Chris Bradley,2015-09-03,1,Texas Christian,@,Minnesota,W,1,1,2,0.0,0.0,chris-bradley-1
Quinton Bradley,2015-09-03,1,Idaho,,Ohio,L,5,1,6,2.0,2.0,quinton-bradley-1
Bryson Bridges,2015-09-03,1,San Jose State,,New Hampshire,W,0,1,1,0.0,0.0,bryson-bridges-1
Blair Brown,2015-09-03,1,Ohio,@,Idaho,W,6,1,7,0.0,0.0,blair-brown-1
Cywettnie Brown,2015-09-03,1,Ball State,,Virginia Military Institute,W,0,1,1,0.0,0.0,cywettnie-brown-1
Ge'Monee Brown,2015-09-03,1,Western Kentucky,@,Vanderbilt,W,1,0,1,0.0,0.0,gemonee-brown-1
Joe Brown,2015-09-03,1,Western Kentucky,@,Vanderbilt,W,2,2,4,0.0,0.0,joe-brown-4
Stratton Brown,2015-09-03,1,Fresno State,,Abilene Christian,W,5,1,6,0.0,0.0,stratton-brown-1
Luca Bruno,2015-09-03,1,Arizona,,Texas-San Antonio,W,2,2,4,0.0,0.0,luca-bruno-1
Mark Bruno,2015-09-03,1,Florida International,@,Central Florida,W,2,1,3,0.0,0.0,mark-bruno-1
Omarius Bryant,2015-09-03,1,Western Kentucky,@,Vanderbilt,W,1,3,4,0.0,0.0,omarius-bryant-1
Chequan Burkett,2015-09-03,1,Central Florida,,Florida International,L,3,3,6,1.0,0.0,chequan-burkett-1
Oren Burks,2015-09-03,1,Vanderbilt,,Western Kentucky,L,2,2,4,0.5,0.0,oren-burks-1
Jordan Burton,2015-09-03,1,Oklahoma State,@,Central Michigan,W,4,2,6,1.5,0.0,jordan-burton-1
Adam Butler,2015-09-03,1,Vanderbilt,,Western Kentucky,L,0,1,1,0.0,0.0,adam-butler-1
Cory Butler,2015-09-03,1,Utah,,Michigan,W,2,2,4,0.0,0.0,cory-butler-1
Chris Calhoun,2015-09-03,1,Wake Forest,,Elon,W,0,1,1,0.0,0.0,chris-calhoun-2
Tere Calloway,2015-09-03,1,Nevada,,California-Davis,W,1,0,1,0.0,0.0,tere-calloway-1
Jeff Camilli,2015-09-03,1,Fresno State,,Abilene Christian,W,2,0,2,0.0,0.0,jeff-camilli-1
De'Vondre Campbell,2015-09-03,1,Minnesota,,Texas Christian,L,4,3,7,0.0,0.0,devondre-campbell-1
Julian Campenni,2015-09-03,1,Connecticut,,Villanova,W,1,2,3,0.5,0.0,julian-campenni-1
Brock Carmen,2015-09-03,1,Utah State,,Southern Utah,W,1,2,3,0.0,0.0,brock-carmen-1
Zavier Carmichael,2015-09-03,1,Duke,@,Tulane,W,4,1,5,0.0,0.0,zavier-carmichael-1
Nathan Carpenter,2015-09-03,1,Ohio,@,Idaho,W,2,3,5,0.0,0.0,nathan-carpenter-1
Josh Carraway,2015-09-03,1,Texas Christian,@,Minnesota,W,1,1,2,0.0,0.0,josh-carraway-1
Jordan Carrell,2015-09-03,1,Colorado,@,Hawaii,L,4,0,4,1.0,0.0,jordan-carrell-1
Luke Carrezola,2015-09-03,1,Connecticut,,Villanova,W,2,4,6,2.0,1.0,luke-carrezola-1
Tevin Carter,2015-09-03,1,Utah,,Michigan,W,4,5,9,1.5,0.0,tevin-carter-1
Jeremy Cash,2015-09-03,1,Duke,@,Tulane,W,5,0,5,1.0,0.0,jeremy-cash-2
Blake Cashman,2015-09-03,1,Minnesota,,Texas Christian,L,1,0,1,0.0,0.0,blake-cashman-1
Devin Centers,2015-09-03,1,Utah State,,Southern Utah,W,3,1,4,0.0,0.0,devin-centers-1
Edgar Cerenord,2015-09-03,1,Duke,@,Tulane,W,1,0,1,0.0,0.0,edgar-cerenord-1
Andre Chachere,2015-09-03,1,San Jose State,,New Hampshire,W,2,2,4,0.0,0.0,andre-chachere-1
Taco Charlton,2015-09-03,1,Michigan,@,Utah,L,0,3,3,0.5,0.5,taco-charlton-1
Brandon Chubb,2015-09-03,1,Wake Forest,,Elon,W,1,3,4,0.0,0.0,brandon-chubb-1
Jeremy Clark,2015-09-03,1,Michigan,@,Utah,L,2,0,2,0.0,0.0,jeremy-clark-2
Ben Clarke,2015-09-03,1,Hawaii,,Colorado,W,1,0,1,0.0,0.0,ben-clarke-1
Errol Clarke,2015-09-03,1,Central Florida,,Florida International,L,0,2,2,0.0,0.0,errol-clarke-1
Jeremiah Clarke,2015-09-03,1,North Carolina,N,South Carolina,L,1,0,1,0.0,0.0,jeremiah-clarke-1
Thieren Cockran,2015-09-03,1,Minnesota,,Texas Christian,L,2,1,3,2.0,0.0,thieren-cockran-1
Amari Coleman,2015-09-03,1,Central Michigan,,Oklahoma State,L,4,2,6,0.0,0.0,amari-coleman-1
Davison Colimon,2015-09-03,1,Florida International,@,Central Florida,W,1,4,5,0.5,0.0,davison-colimon-1
Cayson Collins,2015-09-03,1,North Carolina,N,South Carolina,L,1,2,3,0.0,0.0,cayson-collins-1
Marcus Collins,2015-09-03,1,Ohio,@,Idaho,W,1,1,2,0.0,0.0,marcus-collins-1
Colton Concellos,2015-09-03,1,Nevada,,California-Davis,W,1,0,1,0.0,0.0,colton-concellos-1
Simon Connette,2015-09-03,1,San Jose State,,New Hampshire,W,1,0,1,0.0,0.0,simon-connette-1
Cedrick Cooper,2015-09-03,1,South Carolina,N,North Carolina,W,3,2,5,1.0,0.0,cedrick-cooper-1
Tristan Cooper,2015-09-03,1,Tulane,,Duke,L,2,2,4,0.0,0.0,tristan-cooper-1
Josh Cox,2015-09-03,1,Central Michigan,,Oklahoma State,L,6,2,8,1.0,0.0,josh-cox-1
Kenneth Crawley,2015-09-03,1,Colorado,@,Hawaii,L,4,0,4,0.0,0.0,kenneth-crawley-1
Dedrick Cromartie,2015-09-03,1,Ball State,,Virginia Military Institute,W,5,4,9,0.0,0.0,dedrick-cromartie-1
Evan Croutch,2015-09-03,1,Ohio,@,Idaho,W,1,0,1,0.0,0.0,evan-croutch-1
Zach Cunningham,2015-09-03,1,Vanderbilt,,Western Kentucky,L,1,0,1,0.0,0.0,zach-cunningham-1
Aaron Curry,2015-09-03,1,Texas Christian,@,Minnesota,W,5,1,6,0.0,0.0,aaron-curry-2
Darius Curry,2015-09-03,1,Oklahoma State,@,Central Michigan,W,2,2,4,0.0,0.0,darius-curry-1
Marcos Curry,2015-09-03,1,Texas-San Antonio,@,Arizona,L,8,1,9,0.0,0.0,marcos-curry-1
Zach Dancel,2015-09-03,1,Wake Forest,,Elon,W,3,0,3,0.0,0.0,zach-dancel-1
Darrion Daniels,2015-09-03,1,Oklahoma State,@,Central Michigan,W,2,1,3,0.5,0.5,darrion-daniels-1
Travis Daugherty,2015-09-03,1,Ohio,@,Idaho,W,3,1,4,0.0,0.0,travis-daugherty-1
Marcus Davenport,2015-09-03,1,Texas-San Antonio,@,Arizona,L,5,0,5,1.0,1.0,marcus-davenport-1
Deonte Davis,2015-09-03,1,Wake Forest,,Elon,W,0,1,1,0.0,0.0,deonte-davis-1
Drew Davis,2015-09-03,1,Western Kentucky,@,Vanderbilt,W,1,0,1,0.0,0.0,drew-davis-3
Eric Davis,2015-09-03,1,Oklahoma State,@,Central Michigan,W,1,0,1,0.0,0.0,eric-davis-2
Jalen Davis,2015-09-03,1,Utah State,,Southern Utah,W,3,1,4,2.0,1.0,jalen-davis-1
P.J. Davis,2015-09-03,1,Georgia Tech,,Alcorn State,W,2,0,2,1.0,0.0,pj-davis-1
Titus Davis,2015-09-03,1,Central Florida,,Florida International,L,0,1,1,0.0,0.0,titus-davis-2
Toran Davis,2015-09-03,1,Ohio,@,Idaho,W,2,0,2,0.0,0.0,toran-davis-1
Grant Dawson,2015-09-03,1,Wake Forest,,Elon,W,0,1,1,0.0,0.0,grant-dawson-1
Jabari Dean,2015-09-03,1,Central Michigan,,Oklahoma State,L,0,2,2,0.0,0.0,jabari-dean-1
Cam Denson,2015-09-03,1,Arizona,,Texas-San Antonio,W,2,1,3,0.0,0.0,cam-denson-1
Bryan DiCillo,2015-09-03,1,Ohio,@,Idaho,W,5,0,5,0.0,0.0,bryan-dicillo-1
Jordan Diggs,2015-09-03,1,South Carolina,N,North Carolina,W,1,3,4,0.0,0.0,jordan-diggs-1
Vontae Diggs,2015-09-03,1,Connecticut,,Villanova,W,0,2,2,0.0,0.0,vontae-diggs-1
Thomas Dillon,2015-09-03,1,Wake Forest,,Elon,W,1,0,1,0.0,0.0,thomas-dillon-1
Hunter Dimick,2015-09-03,1,Utah,,Michigan,W,1,1,2,1.0,0.0,hunter-dimick-1
Robert Dinkins,2015-09-03,1,North Carolina,N,South Carolina,L,0,1,1,0.0,0.0,robert-dinkins-1
Gerald Dixon,2015-09-03,1,South Carolina,N,North Carolina,W,1,2,3,0.0,0.0,gerald-dixon-2
Jordan Dobrich,2015-09-03,1,Nevada,,California-Davis,W,1,2,3,1.0,0.0,jordan-dobrich-1
Josh Doctson,2015-09-03,1,Texas Christian,@,Minnesota,W,1,0,1,0.0,0.0,josh-doctson-1
Drew Douglas,2015-09-03,1,Texas-San Antonio,@,Arizona,L,1,3,4,0.5,0.0,drew-douglas-1
Sammy Douglas,2015-09-03,1,Texas Christian,@,Minnesota,W,0,2,2,0.0,0.0,sammy-douglas-1
Dajaun Drennon,2015-09-03,1,North Carolina,N,South Carolina,L,2,2,4,1.0,0.0,dajaun-drennon-1
Devante Duclos,2015-09-03,1,Western Kentucky,@,Vanderbilt,W,1,0,1,0.0,0.0,devante-duclos-1
Phillip Dukes,2015-09-03,1,South Carolina,N,North Carolina,W,2,1,3,1.0,1.0,phillip-dukes-1
Stanley Dye Jr.,2015-09-03,1,Texas-San Antonio,@,Arizona,L,1,2,3,0.5,0.0,stanley-dye-jr-1
Darrian Dyson,2015-09-03,1,Florida International,@,Central Florida,W,1,3,4,0.5,0.0,darrian-dyson-1
Justyn Eddins,2015-09-03,1,Texas-San Antonio,@,Arizona,L,1,0,1,0.0,0.0,justyn-eddins-1
Ejiro Ederaine,2015-09-03,1,Fresno State,,Abilene Christian,W,5,1,6,1.5,1.0,ejiro-ederaine-1
Chris Edwards,2015-09-03,1,Idaho,,Ohio,L,6,1,7,0.0,0.0,chris-edwards-1
Devon Edwards,2015-09-03,1,Duke,@,Tulane,W,3,0,3,1.0,1.0,devon-edwards-1
Evrett Edwards,2015-09-03,1,Duke,@,Tulane,W,1,0,1,0.0,0.0,evrett-edwards-1
Ryan Edwards,2015-09-03,1,Idaho,,Ohio,L,0,1,1,0.0,0.0,ryan-edwards-1
Shannon Edwards,2015-09-03,1,Fresno State,,Abilene Christian,W,6,0,6,0.0,0.0,shannon-edwards-1
Michael Egwuagu,2015-09-03,1,Texas-San Antonio,@,Arizona,L,3,1,4,0.0,0.0,michael-egwuagu-1
Hendrick Ekpe,2015-09-03,1,Minnesota,,Texas Christian,L,2,0,2,0.0,0.0,hendrick-ekpe-1
Scott Ekpe,2015-09-03,1,Minnesota,,Texas Christian,L,1,0,1,0.0,0.0,scott-ekpe-1
Jamal Ellis,2015-09-03,1,Fresno State,,Abilene Christian,W,2,0,2,0.0,0.0,jamal-ellis-2
Marquan Ellison,2015-09-03,1,Utah State,,Southern Utah,W,1,0,1,0.0,0.0,marquan-ellison-1
Kaden Elliss,2015-09-03,1,Idaho,,Ohio,L,3,0,3,0.0,0.0,kadem-elliss-1
Gaelin Elmore,2015-09-03,1,Minnesota,,Texas Christian,L,0,1,1,0.0,0.0,gaelin-elmore-1
Darius English,2015-09-03,1,South Carolina,N,North Carolina,W,1,2,3,0.5,0.5,darius-english-1
Marwin Evans,2015-09-03,1,Utah State,,Southern Utah,W,0,3,3,0.0,0.0,marwin-evans-1
Keelan Ewaliko,2015-09-03,1,Hawaii,,Colorado,W,1,0,1,0.0,0.0,keelan-ewaliko-1
