Player,Date,G,School,Loc,Opponent,WL,FR,FR Yds,FR TD,Fumble Forced,unique_id
Timmy Hernandez,2017-08-26,1,Oregon State,@,Colorado State,L,0,,,1,timmy-hernandez-1
Jamal Hicks,2017-08-26,1,Colorado State,,Oregon State,W,0,,,1,jamal-hicks-1
Josh Watson,2017-08-26,1,Colorado State,,Oregon State,W,0,,,1,josh-watson-2
Curtis Akins,2017-08-31,1,Memphis,,Louisiana-Monroe,W,0,,,2,curtis-atkins-1
Jessie Bates,2017-08-31,1,Wake Forest,,Presbyterian,W,0,,,1,jessie-bates-1
Tre Bell,2017-08-31,1,Connecticut,,Holy Cross,W,0,,,1,tre-bell-1
Alex Briones,2017-08-31,1,Central Michigan,,Rhode Island,W,0,,,1,alex-briones-1
Andrew Brown,2017-08-31,1,Florida International,@,Central Florida,L,0,,,1,andrew-brown-5
Shawn Burgess-Becker,2017-08-31,1,Central Florida,,Florida International,W,0,,,1,shawn-burgess-becker-1
Trey Carter,2017-08-31,1,Oklahoma State,,Tulsa,W,0,,,1,trey-carter-1
Antwan Collier,2017-08-31,1,Central Florida,,Florida International,W,0,,,1,antwan-collier-1
Jashon Cornell,2017-08-31,1,Ohio State,@,Indiana,W,0,,,1,jashon-cornell-1
Kaden Elliss,2017-08-31,1,Idaho,,Sacramento State,W,0,,,1,kadem-elliss-1
Tyrell Gilbert,2017-08-31,1,Cincinnati,,Austin Peay,W,0,,,1,tyrell-gilbert-1
C.J. Gooden,2017-08-31,1,Tulsa,@,Oklahoma State,L,0,,,1,cj-gooden-1
Tim Hart,2017-08-31,1,Memphis,,Louisiana-Monroe,W,0,,,1,tim-hart-1
Mike Hughes,2017-08-31,1,Central Florida,,Florida International,W,0,,,1,mike-hughes-4
Gabe Richardson,2017-08-31,1,Arkansas,N,Florida A&M,W,0,,,1,gabe-richardson-1
Kolton Shindelar,2017-08-31,1,Tulsa,@,Oklahoma State,L,0,,,1,kolton-shindelar-1
Tashon Smallwood,2017-08-31,1,Arizona State,,New Mexico State,W,0,,,1,tashon-smallwood-1
Shermarke Spence,2017-08-31,1,Florida International,@,Central Florida,L,0,,,1,shermarke-spence-1
Perry Young,2017-08-31,1,Cincinnati,,Austin Peay,W,0,,,1,perry-young-1
Jacob Callier,2017-09-01,1,Colorado,N,Colorado State,W,0,,,8,jacob-callier-1
Darnell Davis Jr.,2017-09-01,1,Rutgers,,Washington,L,0,,,1,darnell-davis-jr-1
D'Cota Dixon,2017-09-01,1,Wisconsin,,Utah State,W,0,,,1,dcota-dixon-1
Lubern Figaro,2017-09-01,1,Wisconsin,,Utah State,W,0,,,1,lubern-figaro-1
