Player,Date,G,School,Loc,Opponent,WL,unique_id,Int Ret,Int Ret Yds,Int TD,Pass Broken Up
Andrew Adams,2015-09-03,1,Connecticut,,Villanova,W,andrew-adams-1,1.0,6.0,0.0,0.0
Chidobe Awuzie,2015-09-03,1,Colorado,@,Hawaii,L,chidobe-awuzie-1,1.0,26.0,0.0,2.0
Cory Butler,2015-09-03,1,Utah,,Michigan,W,cory-butler-1,1.0,0.0,0.0,0.0
Jeff Camilli,2015-09-03,1,Fresno State,,Abilene Christian,W,jeff-camilli-1,1.0,0.0,0.0,0.0
Zavier Carmichael,2015-09-03,1,Duke,@,Tulane,W,zavier-carmichael-1,1.0,0.0,0.0,0.0
Nathan Carpenter,2015-09-03,1,Ohio,@,Idaho,W,nathan-carpenter-1,1.0,25.0,0.0,0.0
Jeremy Clark,2015-09-03,1,Michigan,@,Utah,L,jeremy-clark-2,1.0,17.0,0.0,0.0
Jordan Diggs,2015-09-03,1,South Carolina,N,North Carolina,W,jordan-diggs-1,1.0,2.0,0.0,0.0
Ejiro Ederaine,2015-09-03,1,Fresno State,,Abilene Christian,W,ejiro-ederaine-1,1.0,0.0,0.0,0.0
Tre Flowers,2015-09-03,1,Oklahoma State,@,Central Michigan,W,tre-flowers-1,1.0,3.0,0.0,1.0
Julian Gener,2015-09-03,1,Hawaii,,Colorado,W,julian-gener-1,1.0,3.0,0.0,0.0
Nick Holt,2015-09-03,1,Western Kentucky,@,Vanderbilt,W,nick-holt-3,1.0,0.0,0.0,1.0
Jovon Johnson,2015-09-03,1,Ohio,@,Idaho,W,jovon-johnson-2,1.0,29.0,1.0,0.0
Anthony Lopez,2015-09-03,1,Arizona,,Texas-San Antonio,W,anthony-lopez-1,1.0,23.0,1.0,0.0
Derek McCartney,2015-09-03,1,Colorado,@,Hawaii,L,derek-mccartney-1,1.0,33.0,0.0,0.0
Chris Milton,2015-09-03,1,Georgia Tech,,Alcorn State,W,chris-milton-1,1.0,0.0,0.0,1.0
Skai Moore,2015-09-03,1,South Carolina,N,North Carolina,W,skai-moore-1,2.0,0.0,0.0,0.0
Eric Murray,2015-09-03,1,Minnesota,,Texas Christian,L,eric-murray-1,1.0,5.0,0.0,1.0
Nick Newton,2015-09-03,1,Western Kentucky,@,Vanderbilt,W,nick-newton-1,1.0,0.0,0.0,0.0
Justin Thomas,2015-09-03,1,Utah,,Michigan,W,justin-thomas-5,1.0,55.0,1.0,0.0
Marcus Williams,2015-09-03,1,Utah,,Michigan,W,marcus-williams-9,1.0,10.0,0.0,0.0
Bobby Baker,2015-09-04,1,Georgia State,,UNC Charlotte,L,bobby-baker-1,2.0,15.0,0.0,0.0
Vayante Copeland,2015-09-04,1,Michigan State,@,Western Michigan,W,vayante-copeland-1,1.0,0.0,0.0,1.0
Manase Hungalu,2015-09-04,1,Oregon State,,Weber State,W,manase-hungalu-2,1.0,0.0,0.0,0.0
Kevin King,2015-09-04,1,Washington,@,Boise State,L,kevin-king-5,1.0,1.0,0.0,0.0
Montae Nicholson,2015-09-04,1,Michigan State,@,Western Michigan,W,montae-nicholson-1,1.0,0.0,0.0,0.0
Darrion Richardson,2015-09-04,1,Southern Methodist,,Baylor,L,darrion-richardson-1,1.0,32.0,0.0,2.0
Taion Sells,2015-09-04,1,Baylor,@,Southern Methodist,W,taion-sells-1,1.0,9.0,0.0,1.0
