Player,Date,G,School,Loc,Opponent,WL,FR,FR Yds,FR TD,Fumble Forced,unique_id
Mike Alston,2005-09-01,1,Toledo,,Western Illinois,W,0,0,0,1,mike-alston-1
Bryan Andrews,2005-09-01,1,Wake Forest,,Vanderbilt,L,0,0,0,1,bryan-andrews-1
Augustus Ashley,2005-09-01,1,Central Florida,@,South Carolina,L,0,0,0,1,augustus-ashley-1
Trumaine Banks,2005-09-01,1,Minnesota,@,Tulsa,W,0,0,0,1,trumaine-banks-1
Fred Bennett,2005-09-01,1,South Carolina,,Central Florida,W,0,0,0,1,fred-bennett-1
Adam Braidwood,2005-09-01,1,Washington State,,Idaho,W,0,0,0,1,adam-braidwood-1
Marcus Buggs,2005-09-01,1,Vanderbilt,@,Wake Forest,W,0,0,0,1,marcus-buggs-1
Antwon Burton,2005-09-01,1,Temple,@,Arizona State,L,0,0,0,1,antwon-burton-1
Daniels,2005-09-01,1,Minnesota,@,Tulsa,W,0,0,0,1,daniels-2
Stanley Doughty,2005-09-01,1,South Carolina,,Central Florida,W,0,0,0,1,stanley-doughty-1
Tyrrell Herbert,2005-09-01,1,Toledo,,Western Illinois,W,0,0,0,1,tyrrell-herbert-1
Anthony Jordan,2005-09-01,1,Toledo,,Western Illinois,W,0,0,0,1,anthony-jordan-2
Curtis Keyes,2005-09-01,1,Marshall,,William & Mary,W,0,0,0,1,curtis-keyes-1
Ben Koger,2005-09-01,1,Vanderbilt,@,Wake Forest,W,0,0,0,1,ben-koger-1
Darran Matthews,2005-09-01,1,Eastern Michigan,@,Cincinnati,L,0,0,0,1,darran-matthews-1
Mike Mendenhall,2005-09-01,1,Temple,@,Arizona State,L,0,0,0,1,mike-mendenhall-1
Moses Osemwegie,2005-09-01,1,Vanderbilt,@,Wake Forest,W,0,0,0,1,moses-osemwegie-1
Dewayne Patterson,2005-09-01,1,Washington State,,Idaho,W,0,0,0,1,dewayne-patterson-1
Jeremy Payton,2005-09-01,1,Arizona State,,Temple,W,0,0,0,2,jeremy-payton-1
Roy Roberts,2005-09-01,1,Tulsa,,Minnesota,L,0,0,0,1,roy-roberts-1
Chris Royal,2005-09-01,1,Marshall,,William & Mary,W,1,5,0,2,chris-royal-1
John Shevlin,2005-09-01,1,Minnesota,@,Tulsa,W,0,0,0,2,john-shevlin-1
Jonathon Smith,2005-09-01,1,Connecticut,,Buffalo,W,0,0,0,1,jonathon-smith-1
David Vobora,2005-09-01,1,Idaho,@,Washington State,L,0,0,0,1,david-vobora-1
Austin Willis,2005-09-01,1,Louisiana-Monroe,,Northwestern State,L,0,0,0,1,austin-willis-1
Floyd Wright,2005-09-01,1,Marshall,,William & Mary,W,0,0,0,1,floyd-wright-1
Dan Bazuin,2005-09-02,1,Central Michigan,,Indiana,L,0,0,0,2,dan-bazuin-1
John Pannozzo,2005-09-02,1,Indiana,@,Central Michigan,W,0,0,0,1,john-pannozzo-1
Eric Weddle,2005-09-02,1,Utah,,Arizona,W,0,0,0,1,eric-weddle-1
Ikaika Alama-Francis,2005-09-03,1,Hawaii,,Southern California,L,0,0,0,1,ikaika-alama-francis-1
Malcolm Arrington,2005-09-03,1,Northwestern,,Ohio,W,0,0,0,1,malcolm-arrington-1
Collin Ashton,2005-09-03,1,Southern California,@,Hawaii,W,0,0,0,1,collin-ashton-1
Patrick Bailey,2005-09-03,1,Duke,@,East Carolina,L,0,0,0,2,patrick-bailey-1
Antwan Barnes,2005-09-03,1,Florida International,@,Kansas State,L,0,0,0,1,antwan-barnes-1
Josh Bell,2005-09-03,1,Baylor,@,Southern Methodist,W,0,0,0,1,josh-bell-1
Keenan Blalark,2005-09-03,1,Northern Illinois,@,Michigan,L,0,0,0,1,keenan-blalark-1
Keyonvis Bouie,2005-09-03,1,Florida International,@,Kansas State,L,0,0,0,1,keyonvis-bouie-1
Marcus Brandon,2005-09-03,1,Middle Tennessee State,@,Alabama,L,0,0,0,1,marcus-brandon-1
Prescott Burgess,2005-09-03,1,Michigan,,Northern Illinois,W,0,0,0,1,prescott-burgess-1
Rob Caldwell,2005-09-03,1,Navy,N,Maryland,L,0,0,0,1,rob-caldwell-1
Michael Coe,2005-09-03,1,Arkansas,,Missouri State,W,0,0,0,1,michael-coe-1
