Player,Date,G,School,Loc,Opponent,WL,Rush Att,Rush Yard,Rush Avg,Rush TD,unique_id
Jacob Actkinson,2007-08-30,1,Utah State,,Nevada-Las Vegas,L,2,3,1.5,0,jacob-actkinson-1
Tarrion Adams,2007-08-30,1,Tulsa,@,Louisiana-Monroe,W,28,129,4.6,1,tarrion-adams-1
Anthony Allen,2007-08-30,1,Louisville,,Murray State,W,7,56,8.0,1,anthony-allen-1
Matt Asiata,2007-08-30,1,Utah,@,Oregon State,L,4,16,4.0,0,matt-asiata-1
Jeremy Avery,2007-08-30,1,Boise State,,Weber State,W,10,105,10.5,2,jeremy-avery-1
J.J. Bass,2007-08-30,1,Iowa State,,Kent State,L,22,133,6.0,1,jj-bass-1
Butler Benton,2007-08-30,1,Cincinnati,,Southeast Missouri State,W,12,101,8.4,1,butler-benton-1
Yvenson Bernard,2007-08-30,1,Oregon State,,Utah,W,29,165,5.7,2,yvenson-bernard-1
Tanyon Bissell,2007-08-30,1,Boise State,,Weber State,W,2,16,8.0,0,tanyon-bissell-1
Brock Bolen,2007-08-30,1,Louisville,,Murray State,W,2,6,3.0,1,brock-bolen-1
Andre Bratton,2007-08-30,1,Miami (OH),@,Ball State,W,4,24,6.0,0,andre-bratton-1
Brian Brohm,2007-08-30,1,Louisville,,Murray State,W,1,1,1.0,1,brian-brohm-1
Justine Buries,2007-08-30,1,New Mexico State,,Southeastern Louisiana,W,12,52,4.3,0,justine-buries-1
Sean Canfield,2007-08-30,1,Oregon State,,Utah,W,1,-8,-8.0,0,sean-canfield-1
Wesley Carroll,2007-08-30,1,Mississippi State,,Louisiana State,L,3,-6,-2.0,0,wesley-carroll-1
Brent Casteel,2007-08-30,1,Utah,@,Oregon State,L,3,-13,-4.3,0,brent-casteel-1
Chris Chamberlain,2007-08-30,1,Tulsa,@,Louisiana-Monroe,W,2,10,5.0,1,chris-chamberlain-1
Charles Clay,2007-08-30,1,Tulsa,@,Louisiana-Monroe,W,4,5,1.3,0,charles-clay-1
