"Player","Date","G","School","Loc","Opponent","WL","Pass Comp","Pass Att","Pass Pct","Pass Yard","Pass TD","Pass Int","QBR","unique_id"
"Kyler Murray","2017-09-02",1,"Oklahoma",,"Texas-El Paso","W",10,11,90.9,149,1,0,234.7,"kyler-murray-1"
"Riley Neal","2017-09-02",1,"Ball State","@","Illinois","L",21,34,61.8,204,1,1,116,"riley-neal-1"
"Kato Nelson","2017-09-02",1,"Akron","@","Penn State","L",1,2,50,11,0,0,96.2,"kato-nelson-1"
"Zeb Noland","2017-09-02",1,"Iowa State",,"Northern Iowa","W",0,1,0,0,0,0,0,"zeb-noland-1"
"John O'Korn","2017-09-02",1,"Michigan","N","Florida","W",1,1,100,37,0,0,410.8,"john-okorn-1"
"Jacob Park","2017-09-02",1,"Iowa State",,"Northern Iowa","W",27,35,77.1,271,2,1,155.3,"jacob-park-1"
"Shea Patterson","2017-09-02",1,"Mississippi",,"South Alabama","W",28,35,80,429,4,0,220.7,"shea-patterson-1"
"Rafe Peavey","2017-09-02",1,"Southern Methodist",,"Stephen F. Austin","W",3,3,100,110,1,0,518,"rafe-peavey-1"
"Tyrell Pigrome","2017-09-02",1,"Maryland","@","Texas","W",9,12,75,175,2,1,235.8,"tyrell-pigrome-1"
"Gus Ragland","2017-09-02",1,"Miami (OH)","@","Marshall","L",23,44,52.3,298,2,1,119.6,"gus-ragland-1"
"Brice Ramsey","2017-09-02",1,"Georgia",,"Appalachian State","W",0,2,0,0,0,2,-200,"brice-ramsey-1"
"Shawn Robinson","2017-09-02",1,"Texas Christian",,"Jackson State","W",5,7,71.4,94,2,0,278.5,"shawn-robinson-2"
"Armani Rogers","2017-09-02",1,"Nevada-Las Vegas",,"Howard","L",11,19,57.9,220,1,0,172.5,"armani-rogers-1"
"Nate Romine","2017-09-02",1,"Air Force",,"Virginia Military Institute","W",2,2,100,18,0,0,175.6,"nate-romine-1"
"Malik Rosier","2017-09-02",1,"Miami (FL)",,"Bethune-Cookman","W",17,28,60.7,217,3,0,161.2,"malik-rosier-1"
"Nathan Rourke","2017-09-02",1,"Ohio",,"Hampton","W",6,10,60,72,0,0,120.5,"nathan-rourke-1"
"Brett Rypien","2017-09-02",1,"Boise State",,"Troy","W",13,23,56.5,160,0,1,106.3,"brett-rypien-1"
"Tanner Schafer","2017-09-02",1,"Oklahoma",,"Texas-El Paso","W",3,5,60,18,0,0,90.2,"tanner-schafer-1"
"Quinn Shanbour","2017-09-02",1,"North Texas",,"Lamar","W",2,3,66.7,8,0,0,89.1,"quinn-shanbour-1"
"Nic Shimonek","2017-09-02",1,"Texas Tech",,"Eastern Washington","W",26,30,86.7,384,3,0,227.2,"nic-shimonek-1"
"Evan Shirreffs","2017-09-02",1,"Miami (FL)",,"Bethune-Cookman","W",1,2,50,16,0,0,117.2,"evan-shirreffs-1"
"Kyle Shurmur","2017-09-02",1,"Vanderbilt","@","Middle Tennessee State","W",20,28,71.4,296,3,0,195.6,"kyle-shurmur-1"
