Player,Date,G,School,Loc,Opponent,WL,Kick Ret,Kick Ret Yds,Kick Ret Avg,Kick Ret TD,unique_id
Mikail Baker,2008-08-28,1,Baylor,,Wake Forest,L,1,26,26.0,0,mikail-baker-1
Doug Baldwin,2008-08-28,1,Stanford,,Oregon State,W,1,21,21.0,0,doug-baldwin-1
Gonzalo Barinaga,2008-08-28,1,Ball State,,Northeastern,W,1,17,17.0,0,gonzalo-barinaga-1
Steve Brouse,2008-08-28,1,Connecticut,,Hofstra,W,1,6,6.0,0,steve-brouse-1
Andre Brown,2008-08-28,1,North Carolina State,@,South Carolina,L,1,13,13.0,0,andre-brown-1
Antonio Brown,2008-08-28,1,Central Michigan,,Eastern Illinois,W,1,17,17.0,0,antonio-brown-1
Devon Brown,2008-08-28,1,Wake Forest,@,Baylor,W,1,7,7.0,0,devon-brown-1
Darius Butler,2008-08-28,1,Connecticut,,Hofstra,W,1,27,27.0,0,darius-butler-1
Spain Cosby,2008-08-28,1,Ball State,,Northeastern,W,1,14,14.0,0,spain-cosby-1
Chris Culliver,2008-08-28,1,South Carolina,,North Carolina State,W,1,23,23.0,0,chris-culliver-1
Gene Delle Donne,2008-08-28,1,Middle Tennessee State,,Troy,L,1,0,0.0,0,gene-delle-donne-1
Josh Ferguson,2008-08-28,1,Texas-El Paso,@,Buffalo,L,2,47,23.5,0,josh-ferguson-2
Dontayo Gage,2008-08-28,1,Eastern Michigan,,Indiana State,W,1,25,25.0,0,dontayo-gage-1
Corey Gatewood,2008-08-28,1,Stanford,,Oregon State,W,6,108,18.0,0,corey-gatewood-1
Desmond Gee,2008-08-28,1,Middle Tennessee State,,Troy,L,3,67,22.3,0,desmond-gee-1
Mardy Gilyard,2008-08-28,1,Cincinnati,,Eastern Kentucky,W,1,26,26.0,0,mardy-gilyard-1
T.J. Graham,2008-08-28,1,North Carolina State,@,South Carolina,L,2,42,21.0,0,tj-graham-1
Dujuan Harris,2008-08-28,1,Troy,@,Middle Tennessee State,W,1,7,7.0,0,dujuan-harris-1
Kevin Harris,2008-08-28,1,Wake Forest,@,Baylor,W,1,2,2.0,0,kevin-harris-1
Ryan Hill,2008-08-28,1,Miami (FL),,Charleston Southern,W,2,0,0.0,0,ryan-hill-1
Terrell Jackson,2008-08-28,1,Texas-El Paso,@,Buffalo,L,1,19,19.0,0,terrell-jackson-2
Jerrel Jernigan,2008-08-28,1,Troy,@,Middle Tennessee State,W,3,53,17.7,0,jerrel-jernigan-1
Steve Johnson,2008-08-28,1,Iowa State,,South Dakota State,W,1,26,26.0,0,steve-johnson-1
Luke La Mar,2008-08-28,1,Baylor,,Wake Forest,L,3,73,24.3,0,luke-la-mar-1
James Liipfert,2008-08-28,1,Georgia Tech,,Jacksonville State,W,2,7,3.5,0,james-liipfert-1
Devin McDowell,2008-08-28,1,Iowa State,,South Dakota State,W,2,64,32.0,0,devin-mcdowell-1
Jeff Moturi,2008-08-28,1,Texas-El Paso,@,Buffalo,L,3,83,27.7,0,jeff-moturi-1
James Rodgers,2008-08-28,1,Oregon State,@,Stanford,L,7,159,22.7,0,james-rodgers-1
Jamal Rogers,2008-08-28,1,Miami (OH),,Vanderbilt,L,7,159,22.7,0,jamal-rogers-1
Naaman Roosevelt,2008-08-28,1,Buffalo,,Texas-El Paso,W,1,24,24.0,0,naaman-roosevelt-1
Alphonso Smith,2008-08-28,1,Wake Forest,@,Baylor,W,1,20,20.0,0,alphonso-smith-1
Brandon Thermilus,2008-08-28,1,Buffalo,,Texas-El Paso,W,1,22,22.0,0,brandon-thermilus-1
Sean Walker,2008-08-28,1,Vanderbilt,@,Miami (OH),W,4,84,21.0,0,sean-walker-1
