Player,Date,G,School,Loc,Opponent,WL,Rush Att,Rush Yard,Rush Avg,Rush TD,unique_id
Michael Adkins II,2015-09-03,1,Colorado,@,Hawaii,L,22,90,4.1,2,michael-adkins-ii-1
Leon Allen,2015-09-03,1,Western Kentucky,@,Vanderbilt,W,15,56,3.7,1,leon-allen-1
Marcus Allen,2015-09-03,1,Georgia Tech,,Alcorn State,W,3,21,7.0,0,marcus-allen-4
Sherman Badie,2015-09-03,1,Tulane,,Duke,L,3,22,7.3,0,sherman-badie-1
Jared Baker,2015-09-03,1,Arizona,,Texas-San Antonio,W,9,35,3.9,0,jared-baker-1
Tyler Bell,2015-09-03,1,Wake Forest,,Elon,W,5,28,5.6,0,tyler-bell-2
Russell Bellomy,2015-09-03,1,Texas-San Antonio,@,Arizona,L,1,15,15.0,0,russell-bellomy-1
Zach Boden,2015-09-03,1,Duke,@,Tulane,W,5,22,4.4,1,zach-boden-1
Parker Boehme,2015-09-03,1,Duke,@,Tulane,W,4,10,2.5,0,parker-boehme-1
Blake Bogenschutz,2015-09-03,1,Texas-San Antonio,@,Arizona,L,10,27,2.7,1,blake-bogenschutz-1
Devontae Booker,2015-09-03,1,Utah,,Michigan,W,22,69,3.1,1,devontae-booker-1
Trevone Boykin,2015-09-03,1,Texas Christian,@,Minnesota,W,18,92,5.1,1,trevone-boykin-1
Ryan Braswell,2015-09-03,1,Georgia Tech,,Alcorn State,W,1,1,1.0,0,ryan-braswell-1
James Butler,2015-09-03,1,Nevada,,California-Davis,W,14,65,4.6,0,james-butler-4
Tim Byerly,2015-09-03,1,Georgia Tech,,Alcorn State,W,7,42,6.0,1,tim-byerly-1
Chris Carson,2015-09-03,1,Oklahoma State,@,Central Michigan,W,21,89,4.2,0,chris-carson-1
Shon Carson,2015-09-03,1,South Carolina,N,North Carolina,W,4,75,18.8,1,shon-carson-1
Mark Chapman,2015-09-03,1,Central Michigan,,Oklahoma State,L,1,4,4.0,0,mark-chapman-2
Rennie Childs,2015-09-03,1,Oklahoma State,@,Central Michigan,W,5,36,7.2,0,rennie-childs-1
Tyrell Clay,2015-09-03,1,Texas-San Antonio,@,Arizona,L,1,11,11.0,0,tyrell-clay-1
Matt Colburn,2015-09-03,1,Wake Forest,,Elon,W,12,38,3.2,1,matt-colburn-1
Pharoh Cooper,2015-09-03,1,South Carolina,N,North Carolina,W,4,20,5.0,0,pharoh-cooper-1
Tim Crawley,2015-09-03,1,San Jose State,,New Hampshire,W,1,12,12.0,0,tim-crawley-1
Brandon Doughty,2015-09-03,1,Western Kentucky,@,Vanderbilt,W,5,-32,-6.4,0,brandon-doughty-1
Aaron Duckworth,2015-09-03,1,Idaho,,Ohio,L,2,2,1.0,0,aaron-duckworth-1
Shannon Edwards,2015-09-03,1,Fresno State,,Abilene Christian,W,1,9,9.0,0,shannon-edwards-1
Tyler Ervin,2015-09-03,1,San Jose State,,New Hampshire,W,20,127,6.4,3,tyler-ervin-1
D'Andre Ferby,2015-09-03,1,Western Kentucky,@,Vanderbilt,W,2,14,7.0,0,dandre-ferby-1
Alex Gardner,2015-09-03,1,Florida International,@,Central Florida,W,15,75,5.0,1,alex-gardner-2
Dustin Garrison,2015-09-03,1,Fresno State,,Abilene Christian,W,10,33,3.3,0,dustin-garrison-1
James Gilbert,2015-09-03,1,Ball State,,Virginia Military Institute,W,12,61,5.1,2,james-gilbert-2
Joe Gray,2015-09-03,1,San Jose State,,New Hampshire,W,2,15,7.5,0,joe-gray-1
Aaron Green,2015-09-03,1,Texas Christian,@,Minnesota,W,19,88,4.6,0,aaron-green-1
Darian Green,2015-09-03,1,Ball State,,Virginia Military Institute,W,9,73,8.1,3,darian-green-1
Derrick Green,2015-09-03,1,Michigan,@,Utah,L,2,1,0.5,0,derrick-green-1
Zack Greenlee,2015-09-03,1,Fresno State,,Abilene Christian,W,1,11,11.0,0,zack-greenlee-1
Aaron Grubb,2015-09-03,1,Texas-San Antonio,@,Arizona,L,1,-4,-4.0,0,aaron-grubb-1
Darrion Hancock,2015-09-03,1,San Jose State,,New Hampshire,W,4,12,3.0,0,darrion-hancock-1
Paul Harris,2015-09-03,1,Hawaii,,Colorado,W,17,68,4.0,0,paul-harris-3
Dontrell Hilliard,2015-09-03,1,Tulane,,Duke,L,5,19,3.8,0,dontrell-hilliard-1
Kendall Hinton,2015-09-03,1,Wake Forest,,Elon,W,2,12,6.0,0,kendall-hinton-1
Justin Holman,2015-09-03,1,Central Florida,,Florida International,L,6,4,0.7,0,justin-holman-1
Elijah Hood,2015-09-03,1,North Carolina,N,South Carolina,L,12,138,11.5,0,elijah-hood-1
Lajuan Hunt,2015-09-03,1,Utah State,,Southern Utah,W,23,80,3.5,0,lajuan-hunt-1
Ty Isaac,2015-09-03,1,Michigan,@,Utah,L,4,12,3.0,0,ty-isaac-1
Don Jackson,2015-09-03,1,Nevada,,California-Davis,W,13,124,9.5,2,don-jackson-2
Ron Johnson,2015-09-03,1,Connecticut,,Villanova,W,23,69,3.0,1,ron-johnson-8
Trevorris Johnson,2015-09-03,1,Texas Christian,@,Minnesota,W,3,4,1.3,0,trevorris-johnson-1
Anthony Jones,2015-09-03,1,Florida International,@,Central Florida,W,1,26,26.0,0,anthony-jones-8
