Player,Date,G,School,Loc,Opponent,WL,Tackle Solo,Tackle Assist,Tackle Tot,Tackle For Loss,Sack,unique_id
Zach Abercrumbia,2018-08-25,1,Rice,,Prairie View A&M,W,1,1,2,0.0,0.0,zach-abercrumbia-1
Tevis Abraham,2018-08-25,1,New Mexico State,,Wyoming,L,0,1,1,0.0,0.0,tevis-abraham-1
Myles Adams,2018-08-25,1,Rice,,Prairie View A&M,W,1,0,1,0.0,0.0,myles-adams-1
Rasha Ajayi,2018-08-25,1,Colorado State,,Hawaii,L,1,1,2,0.0,0.0,rasha-ajayi-1
Samiuela Akoteu,2018-08-25,1,Hawaii,@,Colorado State,W,1,3,4,0.0,0.0,samiuela-akoteu-1
Bilal Ally,2018-08-25,1,Massachusetts,,Duquesne,W,0,1,1,0.0,0.0,bilal-ally-1
V.J. Banks,2018-08-25,1,Colorado State,,Hawaii,L,1,1,2,0.0,0.0,vj-banks-1
Bryton Barr,2018-08-25,1,Massachusetts,,Duquesne,W,2,3,5,1.0,0.0,bryton-barr-1
Justin Bickham,2018-08-25,1,Rice,,Prairie View A&M,W,4,1,5,0.0,0.0,justin-bickham-1
Keyon Blakenbaker,2018-08-25,1,Wyoming,@,New Mexico State,W,2,0,2,0.0,0.0,keyon-blakenbaker-1
Dauson Booker,2018-08-25,1,Wyoming,@,New Mexico State,W,0,1,1,0.0,0.0,dauson-booker-1
James Bowe Jr.,2018-08-25,1,Massachusetts,,Duquesne,W,3,2,5,1.0,0.0,james-bowe-jr-1
Quinn Brinnon,2018-08-25,1,Colorado State,,Hawaii,L,0,2,2,0.0,0.0,quinn-brinnon-1
Ray Buford Jr.,2018-08-25,1,New Mexico State,,Wyoming,L,4,0,4,0.0,0.0,ray-buford-jr-1
Jake Byczko,2018-08-25,1,Massachusetts,,Duquesne,W,1,6,7,1.0,0.0,jake-byczko-1
Royce Caldwell,2018-08-25,1,New Mexico State,,Wyoming,L,0,2,2,0.0,0.0,royce-caldwell-1
Cam'ron Carter,2018-08-25,1,Colorado State,,Hawaii,L,1,0,1,0.0,0.0,camron-carter-1
Claudin Cherrelus,2018-08-25,1,Massachusetts,,Duquesne,W,3,0,3,0.0,0.0,claudin-cherrelus-1
Zeno Choi,2018-08-25,1,Hawaii,@,Colorado State,W,0,5,5,0.5,0.0,zeno-choi-1
Jorian Clark,2018-08-25,1,Rice,,Prairie View A&M,W,2,0,2,0.0,0.0,jorian-clark-1
OJ Clark,2018-08-25,1,New Mexico State,,Wyoming,L,0,1,1,0.0,0.0,oj-clark-1
Larnel Coleman,2018-08-25,1,Massachusetts,,Duquesne,W,0,1,1,0.0,0.0,larnel-coleman-1
Garrett Crall,2018-08-25,1,Wyoming,@,New Mexico State,W,1,0,1,1.0,1.0,garrett-crall-1
Elijah Dale,2018-08-25,1,Hawaii,@,Colorado State,W,1,0,1,0.0,0.0,elijah-dale-1
Donovan Dalton,2018-08-25,1,Hawaii,@,Colorado State,W,1,1,2,0.0,0.0,donovan-dalton-1
Drew Dan,2018-08-25,1,New Mexico State,,Wyoming,L,1,0,1,0.0,0.0,drew-dan-1
Malik Demby,2018-08-25,1,New Mexico State,,Wyoming,L,1,3,4,1.0,0.0,malik-demby-1
Damion Dickens,2018-08-25,1,Colorado State,,Hawaii,L,0,1,1,0.0,0.0,damion-dickens-1
Chris Ditommaso,2018-08-25,1,Massachusetts,,Duquesne,W,0,2,2,0.0,0.0,chris-ditommaso-1
Anthony Ekpe,2018-08-25,1,Rice,,Prairie View A&M,W,3,0,3,1.0,1.0,anthony-ekpe-1
Tevarua Eldridge,2018-08-25,1,Hawaii,@,Colorado State,W,1,0,1,0.0,0.0,tevarua-eldridge-1
Marcus Epps,2018-08-25,1,Wyoming,@,New Mexico State,W,0,2,2,0.0,0.0,marcus-epps-1
Lui Fa'amasino,2018-08-25,1,New Mexico State,,Wyoming,L,0,1,1,0.0,0.0,lui-faamasino-1
Rojesterman Farris II,2018-08-25,1,Hawaii,@,Colorado State,W,2,1,3,0.0,0.0,rojesterman-farris-ii-1
Javahn Fergurson,2018-08-25,1,New Mexico State,,Wyoming,L,1,14,15,0.0,0.0,javahn-fergurson-1
Jordan Fogal,2018-08-25,1,Colorado State,,Hawaii,L,4,8,12,0.5,0.0,jordan-fogal-1
Eugene Ford,2018-08-25,1,Hawaii,@,Colorado State,W,1,4,5,0.0,0.0,eugene-ford-1
Tywan Francis,2018-08-25,1,Colorado State,,Hawaii,L,0,4,4,0.0,0.0,tywan-francis-1
Elijah Garcia,2018-08-25,1,Rice,,Prairie View A&M,W,1,3,4,1.0,0.0,elijah-garcia-1
Youhanna Ghaifan,2018-08-25,1,Wyoming,@,New Mexico State,W,1,1,2,0.5,0.0,youhanna-ghaifan-1
Bakhari Goodson,2018-08-25,1,Massachusetts,,Duquesne,W,1,0,1,0.0,0.0,bakhari-goodson-1
Carl Granderson,2018-08-25,1,Wyoming,@,New Mexico State,W,0,2,2,0.5,0.0,carl-granderson-1
Darian Green,2018-08-25,1,Massachusetts,,Duquesne,W,0,1,1,0.0,0.0,darian-green-2
Tyler Hall,2018-08-25,1,Wyoming,@,New Mexico State,W,3,1,4,1.0,0.0,tyler-hall-2
Alijah Halliburton,2018-08-25,1,Wyoming,@,New Mexico State,W,2,1,3,0.0,0.0,alijah-halliburton-1
Terrill Hanks,2018-08-25,1,New Mexico State,,Wyoming,L,1,10,11,1.0,0.0,terrill-hanks-1
Anthony Hawkins,2018-08-25,1,Colorado State,,Hawaii,L,1,1,2,0.0,0.0,anthony-hawkins-1
Tyler Hayes,2018-08-25,1,Massachusetts,,Duquesne,W,3,1,4,0.0,0.0,tyler-hayes-2
Jamal Hicks,2018-08-25,1,Colorado State,,Hawaii,L,6,4,10,0.0,0.0,jamal-hicks-1
Kalen Hicks,2018-08-25,1,Hawaii,@,Colorado State,W,3,4,7,0.0,0.0,kalen-hicks-1
Shea Holebrook Jr.,2018-08-25,1,New Mexico State,,Wyoming,L,1,1,2,0.0,0.0,shea-holebrook-jr-1
Jonathan Hood,2018-08-25,1,New Mexico State,,Wyoming,L,1,0,1,0.0,0.0,jonathan-hood-1
Ellison Hubbard,2018-08-25,1,Colorado State,,Hawaii,L,0,4,4,0.0,0.0,ellison-hubbard-1
JaVante Hubbard,2018-08-25,1,Rice,,Prairie View A&M,W,2,0,2,0.0,0.0,javante-hubbard-1
