Player,Date,G,School,Loc,Opponent,WL,unique_id,Int Ret,Int Ret Yds,Int TD,Pass Broken Up
Gerald Jones,2003-08-23,1,San Jose State,,Grambling State,W,gerald-jones-1,1,46,1,
James McGill,2003-08-23,1,Kansas State,,California,W,james-mcgill-1,1,5,0,
Jesse Avant,2003-08-28,1,Ball State,,Indiana State,W,jesse-avant-1,1,0,0,
Jon Burbidge,2003-08-28,1,Brigham Young,,Georgia Tech,W,jon-burbidge-1,1,0,0,
James Butler,2003-08-28,1,Georgia Tech,@,Brigham Young,L,james-butler-1,1,1,0,
Dion Byrum,2003-08-28,1,Ohio,,Southeast Missouri State,W,dion-byrum-1,1,0,0,
Randee Drew,2003-08-28,1,Northern Illinois,,Maryland,W,randee-drew-1,1,0,0,
Mark Estelle,2003-08-28,1,Utah State,@,Utah,L,mark-estelle-1,1,38,0,
Domonique Foxworth,2003-08-28,1,Maryland,@,Northern Illinois,L,domonique-foxworth-1,1,0,0,
Reuben Houston,2003-08-28,1,Georgia Tech,@,Brigham Young,L,reuben-houston-1,1,0,0,
T.J. Jackson,2003-08-28,1,Louisiana Tech,,Miami (FL),L,tj-jackson-1,1,0,0,
Brandon Lynch,2003-08-28,1,Middle Tennessee State,,Florida Atlantic,L,brandon-lynch-1,1,18,0,
Jamie Manor,2003-08-28,1,Eastern Michigan,,East Tennessee State,W,jamie-manor-1,1,0,0,
Rickey McKenzie,2003-08-28,1,Akron,,Kent State,L,rickey-mckenzie-1,1,-14,0,
Travis Mikalauskas,2003-08-28,1,Ball State,,Indiana State,W,travis-mikalauskas-1,1,0,0,
Antrel Rolle,2003-08-28,1,Miami (FL),@,Louisiana Tech,W,antrel-rolle-1,1,30,1,
Tyler Russ,2003-08-28,1,Ohio,,Southeast Missouri State,W,tyler-russ-1,1,13,0,
Morgan Scalley,2003-08-28,1,Utah,,Utah State,W,morgan-scalley-1,1,34,0,
Sean Taylor,2003-08-28,1,Miami (FL),@,Louisiana Tech,W,sean-taylor-1,1,0,0,
Terrance Washington,2003-08-28,1,Utah State,@,Utah,L,terrance-washington-1,1,0,0,
Michael Woods,2003-08-28,1,Middle Tennessee State,,Florida Atlantic,L,michael-woods-2,1,2,0,
T.J. Wright,2003-08-28,1,Ohio,,Southeast Missouri State,W,tj-wright-1,1,51,0,
Patrick Body,2003-08-29,1,Toledo,@,Nevada-Las Vegas,L,patrick-body-1,1,45,0,
Arthur Adams,2003-08-30,1,Troy,@,Kansas State,L,arthur-adams-1,1,0,0,
Ekene Agwuenu,2003-08-30,1,Nevada,,Southern Utah,W,ekene-agwuenu-1,1,5,0,
Jaxson Appel,2003-08-30,1,Texas A&M,,Arkansas State,W,jaxson-appel-1,1,16,0,
Ryan Aycock,2003-08-30,1,Texas Tech,,Southern Methodist,W,ryan-aycock-1,1,0,0,
Darren Barnett,2003-08-30,1,Michigan State,,Western Michigan,W,darren-barnett-1,1,2,0,
Darnell Bing,2003-08-30,1,Southern California,@,Auburn,W,darnell-bing-1,1,5,0,
Jonas Buckles,2003-08-30,1,North Texas,@,Oklahoma,L,jonas-buckles-1,1,9,0,
Josh Bullocks,2003-08-30,1,Nebraska,,Oklahoma State,W,josh-bullocks-1,2,0,0,
Jonathan Burke,2003-08-30,1,Arkansas State,@,Texas A&M,L,jonathan-burke-1,2,3,0,
Logan Carter,2003-08-30,1,Nevada,,Southern Utah,W,logan-carter-1,1,2,0,
Eddie Carthan,2003-08-30,1,Navy,,Virginia Military Institute,W,eddie-carthan-1,1,0,0,
David Conley,2003-08-30,1,Air Force,,Wofford,W,david-conley-1,1,33,0,
Sean Considine,2003-08-30,1,Iowa,,Miami (OH),W,sean-considine-1,1,0,0,
Awan Diles,2003-08-30,1,Fresno State,@,Tennessee,L,awan-diles-1,1,18,0,
Chris Dixon,2003-08-30,1,Wyoming,,Montana State,W,chris-dixon-1,1,0,0,
Adell Duckett,2003-08-30,1,Texas Tech,,Southern Methodist,W,adell-duckett-1,1,5,1,
Deandre Eiland,2003-08-30,1,South Carolina,,Louisiana,W,deandre-eiland-1,1,19,0,
Joe Fleskoski,2003-08-30,1,Texas-El Paso,@,Arizona,L,joe-fleskoski-1,1,39,1,
Aaron Francis,2003-08-30,1,Texas-El Paso,@,Arizona,L,aaron-francis-1,1,0,0,
Chris Harris,2003-08-30,1,Louisiana-Monroe,@,Louisiana State,L,chris-harris-2,1,0,0,
Bryan Hickman,2003-08-30,2,Kansas State,,Troy,W,bryan-hickman-1,1,6,0,
Eddie Hillery,2003-08-30,1,Central Michigan,@,Michigan,L,eddie-hillery-1,1,21,0,
Jon Holland,2003-08-30,1,Oklahoma State,@,Nebraska,L,jon-holland-1,1,0,0,
Rolando Humphrey,2003-08-30,1,Southern Methodist,@,Texas Tech,L,rolando-humphrey-1,1,0,0,
Jack Hunt,2003-08-30,1,Louisiana State,,Louisiana-Monroe,W,jack-hunt-1,1,31,1,
Roderrick Jackson,2003-08-30,1,Wyoming,,Montana State,W,roderrick-jackson-1,1,43,0,
Chad Johnson,2003-08-30,1,Texas Tech,,Southern Methodist,W,chad-johnson-2,1,1,0,
Jovon Johnson,2003-08-30,1,Iowa,,Miami (OH),W,jovon-johnson-1,2,20,0,
Ali Jones,2003-08-30,1,Nevada,,Southern Utah,W,ali-jones-1,1,0,0,
Sammy Joseph,2003-08-30,1,Colorado,N,Colorado State,W,sammy-joseph-1,1,0,0,
Mike Labinjo,2003-08-30,1,Michigan State,,Western Michigan,W,mike-labinjo-1,1,5,0,
Jeremy Lesueur,2003-08-30,1,Michigan,,Central Michigan,W,jeremy-lesueur-1,1,27,0,
Keith Lewis,2003-08-30,1,Oregon,@,Mississippi State,W,keith-lewis-1,1,0,0,
Richard Marshall,2003-08-30,1,Fresno State,@,Tennessee,L,richard-marshall-1,1,81,1,
Matt McCoy,2003-08-30,1,Oklahoma,,North Texas,W,matt-mccoy-1,1,0,0,
Mike McGrath,2003-08-30,2,California,,Southern Mississippi,W,mike-mcgrath-1,1,15,0,
David McMillan,2003-08-30,1,Kansas,,Northwestern,L,david-mcmillan-1,1,31,1,
Lornell McPherson,2003-08-30,1,Nebraska,,Oklahoma State,W,lornell-mcpherson-1,1,0,0,
Lamon Means,2003-08-30,1,Arizona,,Texas-El Paso,W,lamon-means-1,1,32,0,
Josh Moore,2003-08-30,1,Indiana,@,Connecticut,L,josh-moore-1,1,12,0,
Guillermo Morrison,2003-08-30,1,New Mexico,,Texas State,W,guillermo-morrison-1,1,0,0,
Darryl Murphy,2003-08-30,1,Idaho,N,Washington State,L,darryl-murphy-1,1,0,0,
Tre Orr,2003-08-30,1,Florida,,San Jose State,W,tre-orr-1,1,73,1,
Charlie Peprah,2003-08-30,1,Alabama,,South Florida,W,charlie-peprah-1,1,51,1,
Hyrum Peters,2003-08-30,1,Hawaii,,Appalachian State,W,hyrum-peters-1,1,4,0,
David Pollack,2003-08-30,1,Georgia,@,Clemson,W,david-pollack-1,1,24,0,
Roshawn Pope,2003-08-30,1,Houston,,Rice,W,roshawn-pope-1,1,31,0,
Willie Pope,2003-08-30,1,Western Michigan,@,Michigan State,L,willie-pope-1,1,0,0,
Rayshun Reed,2003-08-30,1,Troy,@,Kansas State,L,rayshun-reed-1,1,48,0,
Scott Robinson,2003-08-30,1,Western Michigan,@,Michigan State,L,scott-robinson-1,1,0,0,
Marcial Rosales,2003-08-30,1,Wyoming,,Montana State,W,marcial-rosales-1,1,0,0,
Stanford Routt,2003-08-30,1,Houston,,Rice,W,stanford-routt-1,1,12,0,
John Rudzinski,2003-08-30,1,Air Force,,Wofford,W,john-rudzinski-1,1,21,0,
Stanford Samuels,2003-08-30,1,Florida State,@,North Carolina,W,stanford-samuels-1,1,0,0,
Guss Scott,2003-08-30,1,Florida,,San Jose State,W,guss-scott-1,1,38,1,
Peter Shean,2003-08-30,1,Boston College,,Wake Forest,L,peter-shean-1,1,33,0,
Chris Smith,2003-08-30,1,Iowa,,Miami (OH),W,chris-smith-3,1,0,0,
Michael Smith,2003-08-30,2,San Jose State,@,Florida,L,michael-smith-5,1,6,0,
L.P. Spence,2003-08-30,1,Mississippi,@,Vanderbilt,W,lp-spence-1,1,0,0,
Torri Stuckey,2003-08-30,1,Northwestern,@,Kansas,W,torri-stuckey-1,1,0,0,
Guy Tuell,2003-08-30,1,Wyoming,,Montana State,W,guy-tuell-1,1,9,0,
Don Turner,2003-08-30,1,Washington State,N,Idaho,W,don-turner-1,1,1,0,
Lawrence Wade,2003-08-30,1,Temple,@,Penn State,L,lawrence-wade-1,1,29,0,
Marvin Ward,2003-08-30,1,Northwestern,@,Kansas,W,marvin-ward-1,1,22,0,
Rashad Washington,2003-08-30,2,Kansas State,,Troy,W,rashad-washington-1,1,18,0,
Pat Watkins,2003-08-30,1,Florida State,@,North Carolina,W,pat-watkins-1,1,-8,0,
Sidney Wiley,2003-08-30,1,New Mexico,,Texas State,W,sidney-wiley-1,1,0,0,
Jazzmen Williams,2003-08-30,1,Boston College,,Wake Forest,L,jazzmen-williams-1,1,0,0,
Virgil Williams,2003-08-30,1,Washington State,N,Idaho,W,virgil-williams-1,2,31,0,
Muhammad Abdullah,2003-08-31,1,Kentucky,,Louisville,L,muhammad-abdullah-2,1,6,0,
Michael Huff,2003-08-31,1,Texas,,New Mexico State,W,michael-huff-1,1,55,1,
Derrick Johnson,2003-08-31,1,Texas,,New Mexico State,W,derrick-johnson-3,1,47,1,
Jason Lallis,2003-08-31,1,Virginia Tech,,Central Florida,W,jason-lallis-1,1,45,1,
Josh Minkins,2003-08-31,1,Louisville,@,Kentucky,W,josh-minkins-1,1,6,0,
Gavin Smart,2003-08-31,1,Louisville,@,Kentucky,W,gavin-smart-1,1,41,0,
Nathan Vasher,2003-08-31,1,Texas,,New Mexico State,W,nathan-vasher-1,1,0,0,
Tra Boger,2003-09-01,1,Tulane,,Texas Christian,L,tra-boger-1,1,10,0,
Marvin Godbolt,2003-09-01,1,Texas Christian,@,Tulane,W,marvin-godbolt-1,1,0,0,
Josh Goolsby,2003-09-01,1,Texas Christian,@,Tulane,W,josh-goolsby-1,1,0,0,
Doug Monaghan,2003-09-01,1,Cincinnati,,East Carolina,W,doug-monaghan-1,1,0,0,
Bobby Keyes,2003-09-04,2,Alabama-Birmingham,,Southern Mississippi,L,bobby-keyes-1,1,0,0,
Richard Marshall,2003-09-05,2,Fresno State,,Oregon State,W,richard-marshall-1,1,2,0,
Mitch Meeuwsen,2003-09-05,2,Oregon State,@,Fresno State,L,mitch-meeuwsen-1,2,0,0,
Dee Meza,2003-09-05,2,Fresno State,,Oregon State,W,dee-meza-1,2,0,0,
Manuel Sanchez,2003-09-05,2,Fresno State,,Oregon State,W,manuel-sanchez-1,1,0,0,
Raymond Washington,2003-09-05,2,Fresno State,,Oregon State,W,raymond-washington-1,1,9,0,
Aric Williams,2003-09-05,2,Oregon State,@,Fresno State,L,aric-williams-1,1,0,0,
Muhammad Abdullah,2003-09-06,2,Kentucky,,Murray State,W,muhammad-abdullah-2,1,0,0,
Deon Adams,2003-09-06,2,Duke,,Western Carolina,W,deon-adams-1,1,0,0,
Ryan Aiello,2003-09-06,2,Wisconsin,,Akron,W,ryan-aiello-1,1,22,0,
Jason Allen,2003-09-06,2,Tennessee,,Marshall,W,jason-allen-2,1,23,0,
Nate Allen,2003-09-06,2,Air Force,@,Northwestern,W,nate-allen-2,1,79,1,
Will Allen,2003-09-06,2,Ohio State,,San Diego State,W,will-allen-1,1,100,1,
Marcell Allmond,2003-09-06,2,Southern California,,Brigham Young,W,marcell-allmond-1,1,0,0,
Derrick Ansley,2003-09-06,2,Troy,@,Minnesota,L,derrick-ansley-1,2,0,0,
Ryan Aycock,2003-09-06,2,Texas Tech,,New Mexico,W,ryan-aycock-1,2,33,0,
Derrick Ballard,2003-09-06,2,Memphis,,Mississippi,W,derrick-ballard-1,1,0,0,
Darren Barnett,2003-09-06,2,Michigan State,,Rutgers,W,darren-barnett-1,1,0,0,
William Beckford,2003-09-06,2,Rutgers,@,Michigan State,L,william-beckford-1,1,8,0,
Joshua Brandon,2003-09-06,2,Brigham Young,@,Southern California,L,joshua-brandon-1,1,15,0,
Delente Brewer,2003-09-06,1,Army,,Connecticut,L,delente-brewer-1,1,0,0,
Darrell Brooks,2003-09-06,2,Arizona,,Louisiana State,L,darrell-brooks-1,1,0,0,
Michael Broussard,2003-09-06,2,Toledo,,Liberty,W,michael-broussard-1,1,13,0,
Josh Bullocks,2003-09-06,2,Nebraska,,Utah State,W,josh-bullocks-1,1,0,0,
Greg Carothers,2003-09-06,2,Washington,,Indiana,W,greg-carothers-1,1,0,0,
Ahmad Carroll,2003-09-06,1,Arkansas,,Tulsa,W,ahmad-carroll-1,1,0,0,
Eddie Carthan,2003-09-06,2,Navy,@,Texas Christian,L,eddie-carthan-1,1,3,0,
Sean Considine,2003-09-06,2,Iowa,,Buffalo,W,sean-considine-1,1,20,0,
Almondo Curry,2003-09-06,2,Virginia,@,South Carolina,L,almondo-curry-1,1,13,0,
Derek Curry,2003-09-06,1,Notre Dame,,Washington State,W,derek-curry-1,1,0,0,
Travis Daniels,2003-09-06,2,Louisiana State,@,Arizona,W,travis-daniels-1,1,0,0,
Dennis Davis,2003-09-06,2,Georgia Tech,,Auburn,W,dennis-davis-1,1,52,0,
John Denney,2003-09-06,2,Brigham Young,@,Southern California,L,john-denney-1,1,8,0,
Daryl Dixon,2003-09-06,2,Florida,@,Miami (FL),L,daryl-dixon-1,1,1,0,
Ruschard Dodd-Masters,2003-09-06,2,Nevada-Las Vegas,@,Kansas,L,ruschard-dodd-masters-1,1,0,0,
Randee Drew,2003-09-06,2,Northern Illinois,,Tennessee Tech,W,randee-drew-1,1,-2,0,
Larry Duncan,2003-09-06,2,Air Force,@,Northwestern,W,larry-duncan-1,1,23,0,
Jacob Elimimian,2003-09-06,2,San Diego State,@,Ohio State,L,jacob-elimimian-1,1,14,0,
Kevin Ford,2003-09-06,2,Western Michigan,,William & Mary,W,kevin-ford-2,1,3,0,
Lance Frazier,2003-09-06,2,West Virginia,@,East Carolina,W,lance-frazier-1,1,0,0,
Jeremiah Garrison,2003-09-06,2,South Carolina,,Virginia,W,jeremiah-garrison-1,1,20,0,
Temo George,2003-09-06,2,Duke,,Western Carolina,W,temo-george-1,1,2,0,
Marvin Godbolt,2003-09-06,2,Texas Christian,,Navy,W,marvin-godbolt-1,1,22,0,
Alex Green,2003-09-06,2,Duke,,Western Carolina,W,alex-green-1,1,0,0,
Matt Griebel,2003-09-06,2,New Mexico State,,Western New Mexico,W,matt-griebel-1,1,5,0,
Cam Hall,2003-09-06,1,Boise State,,Idaho State,W,cam-hall-1,1,13,0,
Deangelo Hall,2003-09-06,2,Virginia Tech,,James Madison,W,deangelo-hall-1,1,0,0,
Brandon Haw,2003-09-06,2,Rutgers,@,Michigan State,L,brandon-haw-1,1,61,1,
Brandon Hefflin,2003-09-06,2,Toledo,,Liberty,W,brandon-hefflin-1,1,9,0,
Marshall Hendricks,2003-09-06,3,San Jose State,@,Stanford,L,marshall-hendricks-1,1,0,0,
Trevor Hightower,2003-09-06,2,Air Force,@,Northwestern,W,trevor-hightower-1,1,0,0,
Derrick Holoman,2003-09-06,2,Central Michigan,,New Hampshire,W,derrick-holoman-1,1,0,0,
Wendell Hunter,2003-09-06,3,California,,Colorado State,L,wendell-hunter-1,1,19,0,
D'Qwell Jackson,2003-09-06,2,Maryland,@,Florida State,L,dqwell-jackson-1,1,58,1,
Matt Johnson,2003-09-06,2,Baylor,@,North Texas,L,matt-johnson-1,1,0,0,
Remuise Johnson,2003-09-06,2,Kansas,,Nevada-Las Vegas,W,remuise-johnson-1,1,0,0,
Gerald Jones,2003-09-06,3,San Jose State,@,Stanford,L,gerald-jones-1,1,0,0,
Kyle Killion,2003-09-06,2,Indiana,@,Washington,L,kyle-killion-1,1,11,0,
Eric King,2003-09-06,2,Wake Forest,,North Carolina State,W,eric-king-1,1,0,0,
Markeith Knowlton,2003-09-06,2,North Texas,,Baylor,W,markeith-knowlton-1,1,30,0,
Johnny Lamar,2003-09-06,2,Florida,@,Miami (FL),L,johnny-lamar-1,1,0,0,
Lance Laury,2003-09-06,2,South Carolina,,Virginia,W,lance-laury-1,1,-2,0,
Bernard Lay,2003-09-06,1,Pittsburgh,,Kent State,W,bernard-lay-1,1,0,0,
Rob Lee,2003-09-06,2,Northern Illinois,,Tennessee Tech,W,rob-lee-1,1,0,0,
Adam Lehnortt,2003-09-06,2,West Virginia,@,East Carolina,W,adam-lehnortt-1,1,0,0,
Jim Leonhard,2003-09-06,2,Wisconsin,,Akron,W,jim-leonhard-1,1,0,0,
Keith Lewis,2003-09-06,2,Oregon,,Nevada,W,keith-lewis-1,1,9,1,
Sean Lucas,2003-09-06,2,Tulane,,Northwestern State,W,sean-lucas-1,1,17,0,
Alfonso Marshall,2003-09-06,2,Miami (FL),,Florida,W,alfonso-marshall-1,1,5,0,
Tom Martin,2003-09-06,2,Boston College,@,Penn State,W,tom-martin-1,1,25,0,
Rickey McKenzie,2003-09-06,2,Akron,@,Wisconsin,L,rickey-mckenzie-1,1,0,0,
Vincent Meeks,2003-09-06,2,Texas Tech,,New Mexico,W,vincent-meeks-1,1,0,0,
Steven Moore,2003-09-06,2,Oregon,,Nevada,W,steven-moore-1,1,4,0,
Dominique Morris,2003-09-06,2,Vanderbilt,,Chattanooga,W,dominique-morris-1,1,47,1,
Omar Nazel,2003-09-06,2,Southern California,,Brigham Young,W,omar-nazel-1,1,16,1,
Jerome Nichols,2003-09-06,2,Wake Forest,,North Carolina State,W,jerome-nichols-1,1,3,0,
Donte Nicholson,2003-09-06,2,Oklahoma,@,Alabama,W,donte-nicholson-1,1,0,0,
Wes Nurse,2003-09-06,1,Boise State,,Idaho State,W,wes-nurse-1,1,0,0,
R.J. Oliver,2003-09-06,1,Arizona State,,Northern Arizona,W,rj-oliver-1,1,100,1,
Eric Pauly,2003-09-06,2,Colorado State,@,California,W,eric-pauly-1,1,0,0,
Antonio Perkins,2003-09-06,2,Oklahoma,@,Alabama,W,antonio-perkins-1,1,0,0,
Shaun Phillips,2003-09-06,1,Purdue,,Bowling Green State,L,shaun-phillips-1,1,0,0,
Dennis Poland,2003-09-06,2,Air Force,@,Northwestern,W,dennis-poland-1,1,17,0,
Will Poole,2003-09-06,2,Southern California,,Brigham Young,W,will-poole-1,1,0,0,
Brady Poppinga,2003-09-06,2,Brigham Young,@,Southern California,L,brady-poppinga-1,1,0,0,
