Player,Date,G,School,Loc,Opponent,WL,Rec,Rec Yards,Rec Avg,Rec TD,unique_id
Courtney Anderson,2003-08-23,1,San Jose State,,Grambling State,W,3,19,6.3,0,courtney-anderson-1
J.J. Arrington,2003-08-23,1,California,@,Kansas State,L,2,29,14.5,2,jj-arrington-1
Jamall Broussard,2003-08-23,1,San Jose State,,Grambling State,W,4,48,12.0,0,jamall-broussard-1
Brian Casey,2003-08-23,1,Kansas State,,California,W,2,53,26.5,0,brian-casey-1
Yonus Davis,2003-08-23,1,San Jose State,,Grambling State,W,6,69,11.5,0,yonus-davis-1
Davin Dennis,2003-08-23,1,Kansas State,,California,W,1,28,28.0,1,davin-dennis-1
Adimchinobe Echemandu,2003-08-23,1,California,@,Kansas State,L,1,8,8.0,0,adimchinobe-echemandu-1
Chase Lyman,2003-08-23,1,California,@,Kansas State,L,1,11,11.0,0,chase-lyman-1
Jonathan Makonnen,2003-08-23,1,California,@,Kansas State,L,3,37,12.3,0,jonathan-makonnen-1
Chris Manderino,2003-08-23,1,California,@,Kansas State,L,2,23,11.5,0,chris-manderino-1
Geoff McArthur,2003-08-23,1,California,@,Kansas State,L,8,169,21.1,1,geoff-mcarthur-1
Marcus O'Keith,2003-08-23,1,California,@,Kansas State,L,2,9,4.5,0,marcus-okeith-1
Beau Pierce,2003-08-23,1,San Jose State,,Grambling State,W,1,3,3.0,0,beau-pierce-1
Leon Pinky,2003-08-23,1,San Jose State,,Grambling State,W,4,40,10.0,1,leon-pinky-1
Antoine Polite,2003-08-23,1,Kansas State,,California,W,1,3,3.0,0,antoine-polite-1
Ezekiel Staples,2003-08-23,1,San Jose State,,Grambling State,W,3,42,14.0,0,ezekiel-staples-1
Kendrick Starling,2003-08-23,1,San Jose State,,Grambling State,W,4,88,22.0,0,kendrick-starling-1
Vincent Strang,2003-08-23,1,California,@,Kansas State,L,3,62,20.7,1,vincent-strang-1
James Terry,2003-08-23,1,Kansas State,,California,W,4,116,29.0,1,james-terry-1
Burl Toler,2003-08-23,1,California,@,Kansas State,L,3,30,10.0,0,burl-toler-1
Travis Wilson,2003-08-23,1,Kansas State,,California,W,1,5,5.0,1,travis-wilson-1
Tuati Wooden,2003-08-23,1,San Jose State,,Grambling State,W,2,26,13.0,0,tuati-wooden-1
Josh Allen,2003-08-28,1,Maryland,@,Northern Illinois,L,1,8,8.0,0,josh-allen-1
David Alston,2003-08-28,1,Kent State,@,Akron,W,2,5,2.5,1,david-alston-1
Wardell Alsup,2003-08-28,1,Middle Tennessee State,,Florida Atlantic,L,2,19,9.5,0,wardell-alsup-1
Ryan Antle,2003-08-28,1,Ohio,,Southeast Missouri State,W,1,5,5.0,0,ryan-antle-1
Dan Basch,2003-08-28,1,Akron,,Kent State,L,1,-1,-1.0,0,dan-basch-1
Brian Bell,2003-08-28,1,Kent State,@,Akron,W,1,26,26.0,0,brian-bell-1
Scott Blair,2003-08-28,1,Ball State,,Indiana State,W,1,7,7.0,0,scott-blair-2
D.T. Boon,2003-08-28,1,Ohio,,Southeast Missouri State,W,1,4,4.0,0,dt-boon-1
Larry Bostic,2003-08-28,1,Ball State,,Indiana State,W,3,25,8.3,0,larry-bostic-1
Mike Brake,2003-08-28,1,Akron,,Kent State,L,3,26,8.7,1,mike-brake-1
Neil Buckosh,2003-08-28,1,Kent State,@,Akron,W,4,41,10.3,0,neil-buckosh-1
Derrick Bush,2003-08-28,1,Kent State,@,Akron,W,1,7,7.0,0,derrick-bush-1
Don Calloway,2003-08-28,1,Middle Tennessee State,,Florida Atlantic,L,2,17,8.5,0,don-calloway-1
Matt Cherry,2003-08-28,1,Akron,,Kent State,L,7,150,21.4,1,matt-cherry-1
Toby Christensen,2003-08-28,1,Brigham Young,,Georgia Tech,W,6,51,8.5,1,toby-christensen-1
Brad Cieslak,2003-08-28,1,Northern Illinois,,Maryland,W,1,21,21.0,0,brad-cieslak-1
Daniel Coats,2003-08-28,1,Brigham Young,,Georgia Tech,W,6,93,15.5,2,daniel-coats-1
Kenny Coleman,2003-08-28,1,Utah State,@,Utah,L,1,11,11.0,0,kenny-coleman-1
Chris Cooley,2003-08-28,1,Utah State,@,Utah,L,4,26,6.5,0,chris-cooley-1
Julius Cosby,2003-08-28,1,Louisiana Tech,,Miami (FL),L,2,11,5.5,0,julius-cosby-1
D.J. Curry,2003-08-28,1,Louisiana Tech,,Miami (FL),L,3,13,4.3,0,dj-curry-1
Nate Curry,2003-08-28,1,Georgia Tech,@,Brigham Young,L,1,8,8.0,0,nate-curry-1
Ralph Davis,2003-08-28,1,Louisiana Tech,,Miami (FL),L,2,13,6.5,0,ralph-davis-1
Tramissian Davis,2003-08-28,1,Louisiana Tech,,Miami (FL),L,2,30,15.0,0,tramissian-davis-1
Eric Deslauriers,2003-08-28,1,Eastern Michigan,,East Tennessee State,W,2,51,25.5,1,eric-deslauriers-1
Jimmy Dixon,2003-08-28,1,Georgia Tech,@,Brigham Young,L,1,4,4.0,0,jimmy-dixon-1
Darrell Dowery,2003-08-28,1,Kent State,@,Akron,W,4,73,18.3,0,darrell-dowery-1
Nelson Drew,2003-08-28,1,Eastern Michigan,,East Tennessee State,W,1,8,8.0,0,nelson-drew-1
Jerome Eason,2003-08-28,1,Utah State,@,Utah,L,2,20,10.0,0,jerome-eason-1
Tim Euhus,2003-08-28,1,Oregon State,,Sacramento State,W,1,11,11.0,1,tim-euhus-1
Kenny Farley,2003-08-28,1,Oregon State,,Sacramento State,W,2,51,25.5,0,kenny-farley-1
David Fiefia,2003-08-28,1,Utah State,@,Utah,L,2,31,15.5,0,david-fiefia-1
