Player,Date,G,School,Loc,Opponent,WL,FR,FR Yds,FR TD,Fumble Forced,unique_id
Desmond Anaya,2012-08-30,1,New Mexico State,,Sacramento State,W,0,0,0,1,desmond-anaya-1
A.J. Bouye,2012-08-30,1,Central Florida,@,Akron,W,0,0,0,1,aj-bouye-1
Kenny Brown,2012-08-30,1,Nevada-Las Vegas,,Minnesota,L,0,0,0,1,kenny-brown-3
Karl Butler,2012-08-30,1,Vanderbilt,,South Carolina,L,0,0,0,1,karl-butler-1
Nate Fakahafua,2012-08-30,1,Utah,,Northern Colorado,W,0,0,0,1,nate-fakahafua-1
Viliseni Fauonuku,2012-08-30,1,Utah,,Northern Colorado,W,0,0,0,1,viliseni-fauonuku-1
Jaylon Finner,2012-08-30,1,Rice,,UCLA,L,0,0,0,1,jaylon-finner-1
Greg Hilliard,2012-08-30,1,Massachusetts,@,Connecticut,L,0,0,0,1,greg-hilliard-1
Zack Hitchens,2012-08-30,1,Kent State,,Towson,W,0,0,0,1,zack-hitchens-1
Chris Humphrey,2012-08-30,1,Kent State,,Towson,W,0,0,0,1,chris-humphrey-1
Ryan Lacy,2012-08-30,1,Utah,,Northern Colorado,W,0,0,0,1,ryan-lacy-1
Shane McCullen,2012-08-30,1,Arizona State,,Northern Arizona,W,0,0,0,1,shane-mccullen-1
Omar McFarlane,2012-08-30,1,Eastern Michigan,@,Ball State,L,0,0,0,1,omar-mcfarlane-1
Jordan Ozerities,2012-08-30,1,Central Florida,@,Akron,W,0,0,0,1,jordan-ozerities-1
Bryan Pali,2012-08-30,1,Eastern Michigan,@,Ball State,L,0,0,0,1,bryan-pali-1
J.C. Wade,2012-08-30,1,Ball State,,Eastern Michigan,W,0,0,0,1,jc-wade-1
Lewis Walker,2012-08-30,1,Utah,,Northern Colorado,W,0,0,0,1,lewis-walker-2
Norman Wolfe Jr.,2012-08-30,1,Kent State,,Towson,W,0,0,0,1,norman-wolfe-jr-1
Brandan Bishop,2012-08-31,1,North Carolina State,N,Tennessee,L,0,0,0,1,brandan-bishop-1
Maurice Couch,2012-08-31,1,Tennessee,N,North Carolina State,W,0,0,0,1,maurice-couch-1
Alex Debniak,2012-08-31,1,Stanford,,San Jose State,W,0,0,0,1,alex-debniak-1
Bryan Douglas,2012-08-31,1,Boise State,@,Michigan State,L,0,0,0,1,bryan-douglas-1
Curt Maggitt,2012-08-31,1,Tennessee,N,North Carolina State,W,0,0,0,1,curt-maggitt-1
Damon Ogburn Jr.,2012-08-31,1,San Jose State,@,Stanford,L,0,0,0,2,damon-ogburn-jr-1
Nate D. Smith,2012-08-31,1,Temple,,Villanova,W,0,0,0,1,nate-d-smith-1
Aubrey Alexius,2012-09-01,1,Texas-El Paso,,Oklahoma,L,0,0,0,1,aubrey-alexius-1
Kamalani Alo,2012-09-01,1,Hawaii,@,Southern California,L,0,0,0,1,kamalani-alo-1
Shaquil Barrett,2012-09-01,1,Colorado State,N,Colorado,W,0,0,0,1,shaquil-barrett-1
Houston Bates,2012-09-01,1,Illinois,,Western Michigan,W,0,0,0,1,houston-bates-1
Byron Best,2012-09-01,1,Toledo,@,Arizona,L,0,0,0,1,byron-best-1
Donovan Bonner,2012-09-01,1,Missouri,,Southeastern Louisiana,W,0,0,0,1,donovan-bonner-1
