Player,Date,G,School,Loc,Opponent,WL,Tackle Solo,Tackle Assist,Tackle Tot,Tackle For Loss,Sack,unique_id
William 'Akau'Ola Vea,2007-08-30,1,Oregon State,,Utah,W,1,0,1,1.0,1.0,william-akauola-vea-1
Neli A'Asa,2007-08-30,1,Utah,@,Oregon State,L,2,0,2,0.0,0.0,neli-aasa-1
Derrell Acrey,2007-08-30,1,Boise State,,Weber State,W,0,1,1,0.0,0.0,derrell-acrey-1
Al Afalava,2007-08-30,1,Oregon State,,Utah,W,8,2,10,1.0,1.0,al-afalava-1
Adekunle Akingba,2007-08-30,1,Buffalo,@,Rutgers,L,5,5,10,0.0,0.0,adekunle-akingba-1
Rahim Alem,2007-08-30,1,Louisiana State,@,Mississippi State,W,1,0,1,0.0,0.0,rahim-alem-1
Charles Alexander,2007-08-30,1,Louisiana State,@,Mississippi State,W,1,0,1,0.0,0.0,charles-alexander-2
Chris Allen,2007-08-30,1,Ball State,,Miami (OH),L,0,3,3,0.0,0.0,chris-allen-1
Eliot Allen,2007-08-30,1,Tulsa,@,Louisiana-Monroe,W,1,0,1,0.0,0.0,eliot-allen-1
Josh Anderson,2007-08-30,1,Utah State,,Nevada-Las Vegas,L,0,1,1,0.0,0.0,josh-anderson-1
Rhyan Anderson,2007-08-30,1,New Mexico State,,Southeastern Louisiana,W,0,1,1,0.0,0.0,rhyan-anderson-1
Robby Armstrong,2007-08-30,1,Cincinnati,,Southeast Missouri State,W,0,2,2,0.5,0.0,robby-armstrong-1
Ashburn,2007-08-30,1,Louisville,,Murray State,W,1,0,1,0.0,0.0,ashburn-1
K.C. Asiodu,2007-08-30,1,Nevada-Las Vegas,@,Utah State,W,2,0,2,0.0,0.0,kc-asiodu-1
Mozell Axson,2007-08-30,1,Louisville,,Murray State,W,3,0,3,0.0,0.0,mozell-axson-1
Brennen Baiamonte,2007-08-30,1,New Mexico State,,Southeastern Louisiana,W,0,2,2,0.0,0.0,brennen-baiamonte-1
Tim Bailey,2007-08-30,1,Mississippi State,,Louisiana State,L,3,0,3,1.0,0.0,tim-bailey-1
Jon Banks,2007-08-30,1,Iowa State,,Kent State,L,7,1,8,2.0,0.0,jon-banks-1
Darrius Battles,2007-08-30,1,Louisiana-Monroe,,Tulsa,L,7,1,8,0.0,0.0,darrius-battles-1
Josh Bean,2007-08-30,1,Boise State,,Weber State,W,2,6,8,1.0,0.0,josh-bean-1
Jason Beauchamp,2007-08-30,1,Nevada-Las Vegas,@,Utah State,W,1,3,4,0.0,0.0,jason-beauchamp-1
Doug Beaumont,2007-08-30,1,Louisville,,Murray State,W,0,1,1,0.0,0.0,doug-beaumont-1
Darry Beckwith,2007-08-30,1,Louisiana State,@,Mississippi State,W,0,2,2,0.0,0.0,darry-beckwith-1
Jean Beljour,2007-08-30,1,Rutgers,,Buffalo,W,0,1,1,0.0,0.0,jean-beljour-1
Allen Bell,2007-08-30,1,Iowa State,,Kent State,L,3,2,5,0.0,0.0,allen-bell-1
Aubrey Bell,2007-08-30,1,Mississippi State,,Louisiana State,L,1,1,2,0.0,0.0,aubrey-bell-1
Beau Bell,2007-08-30,1,Nevada-Las Vegas,@,Utah State,W,7,2,9,0.0,0.0,beau-bell-1
Jon Bell,2007-08-30,1,Tulsa,@,Louisiana-Monroe,W,2,0,2,1.0,1.0,jon-bell-2
Ben Bennett,2007-08-30,1,Miami (OH),@,Ball State,W,0,1,1,0.0,0.0,ben-bennett-1
Jeremy Benton,2007-08-30,1,Louisiana State,@,Mississippi State,W,0,1,1,0.0,0.0,jeremy-benton-1
Alex Bernard,2007-08-30,1,New Mexico State,,Southeastern Louisiana,W,0,5,5,0.0,0.0,alex-bernard-1
Michael Bibbs,2007-08-30,1,Iowa State,,Kent State,L,2,1,3,0.0,0.0,michael-bibbs-1
Brandon Bing,2007-08-30,1,Rutgers,,Buffalo,W,0,1,1,0.0,0.0,brandon-bing-1
Sean Bingham,2007-08-30,1,Boise State,,Weber State,W,1,1,2,1.0,1.0,sean-bingham-1
Cortlan Booker,2007-08-30,1,Ball State,,Miami (OH),L,2,5,7,3.0,2.0,cortlan-booker-1
Pernell Booth,2007-08-30,1,Oregon State,,Utah,W,1,1,2,0.0,0.0,pernell-booth-1
Caleb Bostic,2007-08-30,1,Miami (OH),@,Ball State,W,3,14,17,1.5,0.0,caleb-bostic-1
Alvin Bowen,2007-08-30,1,Iowa State,,Kent State,L,8,1,9,0.0,0.0,alvin-bowen-1
Howard Bowens,2007-08-30,1,Kent State,@,Iowa State,W,3,0,3,0.0,0.0,howard-bowens-1
Jessie Bowman,2007-08-30,1,Mississippi State,,Louisiana State,L,2,3,5,1.5,0.0,jessie-bowman-1
Bryce Braaksma,2007-08-30,1,Iowa State,,Kent State,L,2,2,4,0.0,0.0,bryce-braaksma-1
Kyle Brady,2007-08-30,1,Utah,@,Oregon State,L,6,2,8,1.0,0.0,kyle-brady-1
Tim Brady,2007-08-30,1,Boise State,,Weber State,W,1,1,2,0.0,0.0,tim-brady-1
Fred Branch,2007-08-30,1,Buffalo,@,Rutgers,L,0,3,3,0.0,0.0,fred-branch-1
Michael Brewer,2007-08-30,1,New Mexico State,,Southeastern Louisiana,W,2,5,7,0.5,0.0,michael-brewer-1
James Brindley,2007-08-30,1,Utah State,,Nevada-Las Vegas,L,1,2,3,1.0,0.0,james-brindley-1
Chris Brogdon,2007-08-30,1,Nevada-Las Vegas,@,Utah State,W,0,1,1,0.0,0.0,chris-brogdon-1
