Player,Date,G,School,Loc,Opponent,WL,Kick Ret,Kick Ret Yds,Kick Ret Avg,Kick Ret TD,unique_id
James Bethea,2003-08-23,1,California,@,Kansas State,L,6,141,23.5,0,james-bethea-1
Daymeion Hughes,2003-08-23,1,California,@,Kansas State,L,1,17,17.0,0,daymeion-hughes-1
Danny Morris,2003-08-23,1,Kansas State,,California,W,1,25,25.0,0,danny-morris-1
Darren Sproles,2003-08-23,1,Kansas State,,California,W,1,30,30.0,0,darren-sproles-1
Kendrick Starling,2003-08-23,1,San Jose State,,Grambling State,W,1,71,71.0,0,kendrick-starling-1
David Alston,2003-08-28,1,Kent State,@,Akron,W,5,134,26.8,0,david-alston-1
Larry Bostic,2003-08-28,1,Ball State,,Indiana State,W,1,19,19.0,0,larry-bostic-1
Dion Byrum,2003-08-28,1,Ohio,,Southeast Missouri State,W,1,23,23.0,0,dion-byrum-1
David Christensen,2003-08-28,1,Brigham Young,,Georgia Tech,W,1,31,31.0,0,david-christensen-1
Kenny Coleman,2003-08-28,1,Utah State,@,Utah,L,1,21,21.0,0,kenny-coleman-1
Jerome Dennis,2003-08-28,1,Utah State,@,Utah,L,3,53,17.7,0,jerome-dennis-1
Randee Drew,2003-08-28,1,Northern Illinois,,Maryland,W,1,19,19.0,0,randee-drew-1
Erick Franklin,2003-08-28,1,Louisiana Tech,,Miami (FL),L,2,38,19.0,0,erick-franklin-1
Jamie Goodwin,2003-08-28,1,Akron,,Kent State,L,4,115,28.8,0,jamie-goodwin-1
Devin Hester,2003-08-28,1,Miami (FL),@,Louisiana Tech,W,2,73,36.5,0,devin-hester-1
Raymond Hicks,2003-08-28,1,Utah State,@,Utah,L,1,23,23.0,0,raymond-hicks-1
Domenik Hixon,2003-08-28,1,Akron,,Kent State,L,1,17,17.0,0,domenik-hixon-1
Johnathan Holland,2003-08-28,1,Louisiana Tech,,Miami (FL),L,1,14,14.0,0,johnathan-holland-1
Ray Huston,2003-08-28,1,Ohio,,Southeast Missouri State,W,1,29,29.0,0,ray-huston-1
Terrill Mayberry,2003-08-28,1,Bowling Green State,,Eastern Kentucky,W,1,15,15.0,0,terrill-mayberry-1
Bo Nagahi,2003-08-28,1,Utah,,Utah State,W,2,72,36.0,0,bo-nagahi-1
Chris Norwood,2003-08-28,1,Louisiana Tech,,Miami (FL),L,5,121,24.2,0,chris-norwood-1
Trumaine Riley,2003-08-28,1,Eastern Michigan,,East Tennessee State,W,4,146,36.5,0,trumaine-riley-1
Kenny Scott,2003-08-28,1,Georgia Tech,@,Brigham Young,L,2,30,15.0,0,kenny-scott-1
Dan Sheldon,2003-08-28,1,Northern Illinois,,Maryland,W,1,16,16.0,0,dan-sheldon-1
