Player,Date,G,School,Loc,Opponent,WL,FR,FR Yds,FR TD,Fumble Forced,unique_id
Danny Carmichael,2008-08-28,1,Middle Tennessee State,,Troy,L,0,0,0,1,danny-carmichael-1
Dwain Crawford,2008-08-28,1,Baylor,,Wake Forest,L,0,0,0,1,dwain-crawford-1
Dahna Deleston,2008-08-28,1,Connecticut,,Hofstra,W,0,0,0,1,dahna-deleston-1
Tom Drewes,2008-08-28,1,Buffalo,,Texas-El Paso,W,0,0,0,1,tom-drewes-1
Josh Ferguson,2008-08-28,1,Texas-El Paso,@,Buffalo,L,0,0,0,2,josh-ferguson-2
Jordan Gafford,2008-08-28,1,Miami (OH),,Vanderbilt,L,0,0,0,1,jordan-gafford-1
Desmond Gee,2008-08-28,1,Middle Tennessee State,,Troy,L,0,0,0,1,desmond-gee-1
Robert Hall,2008-08-28,1,Georgia Tech,,Jacksonville State,W,0,0,0,1,robert-hall-1
Brandon Hunley,2008-08-28,1,Iowa State,,South Dakota State,W,0,0,0,1,brandon-hunley-1
Jordin Lindsey,2008-08-28,1,South Carolina,,North Carolina State,W,0,0,0,1,jordin-lindsey-1
D.J. Moore,2008-08-28,1,Vanderbilt,@,Miami (OH),W,0,0,0,1,dj-moore-1
J.C. Neal,2008-08-28,1,North Carolina State,@,South Carolina,L,0,0,0,1,jc-neal-1
Kevin Patterson,2008-08-28,1,Wake Forest,@,Baylor,W,0,0,0,1,kevin-patterson-1
Zac Sandvig,2008-08-28,1,Iowa State,,South Dakota State,W,0,0,0,1,zac-sandvig-1
Cameron Sheffield,2008-08-28,1,Troy,@,Middle Tennessee State,W,0,0,0,1,cameron-sheffield-1
Taylor Skaufel,2008-08-28,1,Stanford,,Oregon State,W,0,0,0,1,taylor-skaufel-1
Deangelo Smith,2008-08-28,1,Cincinnati,,Eastern Kentucky,W,0,0,0,1,deangelo-smith-1
Clinton Snyder,2008-08-28,1,Stanford,,Oregon State,W,0,0,0,1,clinton-snyder-1
Cooper Taylor,2008-08-28,1,Georgia Tech,,Jacksonville State,W,0,0,0,1,cooper-taylor-1
Jeremy Williams,2008-08-28,1,Baylor,,Wake Forest,L,0,0,0,1,jeremy-williams-2
Frank Zombo,2008-08-28,1,Central Michigan,,Eastern Illinois,W,0,0,0,1,frank-zombo-1
Max Anyiam,2008-08-29,1,Rice,,Southern Methodist,W,0,0,0,1,max-anyiam-1
Lowell Garthwaite,2008-08-29,1,Army,,Temple,L,0,0,0,1,lowell-garthwaite-1
Bryan McCann,2008-08-29,1,Southern Methodist,@,Rice,L,0,0,0,1,bryan-mccann-1
John Nwisienyi,2008-08-29,1,Southern Methodist,@,Rice,L,0,0,0,1,john-nwisienyi-1
Cheta Ozougwu,2008-08-29,1,Rice,,Southern Methodist,W,0,0,0,1,cheta-ozougwu-1
Kartay Agobottah,2008-08-30,1,North Texas,@,Kansas State,L,0,0,0,1,kartay-agobottah-1
Russell Allen,2008-08-30,1,San Diego State,,Cal Poly,L,0,0,0,1,russell-allen-1
C.J. Bailey,2008-08-30,1,Southern Mississippi,,Louisiana,W,0,0,0,1,cj-bailey-1
Kevin Barnes,2008-08-30,1,Maryland,,Delaware,W,0,0,0,1,kevin-barnes-1
Matt Bauman,2008-08-30,1,Brigham Young,,Northern Iowa,W,0,0,0,1,matt-bauman-1
Carson Blackmon,2008-08-30,1,Houston,,Southern,W,0,0,0,1,carson-blackmon-1
Marcus Brown,2008-08-30,1,Arkansas State,@,Texas A&M,W,0,0,0,1,marcus-brown-1
Weldon Brown,2008-08-30,1,Louisiana Tech,,Mississippi State,W,0,0,0,1,weldon-brown-1
Corbin Bryant,2008-08-30,1,Northwestern,,Syracuse,W,0,0,0,1,corbin-bryant-1
David Bryant,2008-08-30,1,Northern Illinois,@,Minnesota,L,0,0,0,1,david-bryant-1
Scott Bryant,2008-08-30,1,Florida International,@,Kansas,L,0,0,0,1,scott-bryant-1
Jairus Byrd,2008-08-30,1,Oregon,,Washington,W,0,0,0,1,jairus-byrd-1
