Player,Date,G,School,Loc,Opponent,WL,Kick Ret,Kick Ret Yds,Kick Ret Avg,Kick Ret TD,unique_id
John Armstrong,2013-08-29,1,Wake Forest,,Presbyterian,W,2,44,22.0,0,john-armstrong-2
Devin Boutte,2013-08-29,1,Tulane,,Jackson State,W,1,17,17.0,0,devin-boutte-1
Devon Breaux,2013-08-29,1,Tulane,,Jackson State,W,1,30,30.0,0,devon-breaux-1
Sam Brunner,2013-08-29,1,Ball State,,Illinois State,W,1,11,11.0,0,sam-brunner-1
Ernest Calhoun,2013-08-29,1,Kent State,,Liberty,W,1,24,24.0,0,ernest-calhoun-1
Tevin Coleman,2013-08-29,1,Indiana,,Indiana State,W,2,43,21.5,0,tevin-coleman-1
Deshon Foxx,2013-08-29,1,Connecticut,,Towson,L,3,61,20.3,0,deshon-foxx-1
Malachi Freeman,2013-08-29,1,Akron,@,Central Florida,L,1,25,25.0,0,malachi-freeman-1
Chris Gant,2013-08-29,1,Hawaii,,Southern California,L,6,121,20.2,0,chris-gant-1
Kenneth Gilstrap,2013-08-29,1,Middle Tennessee State,,Western Carolina,W,2,56,28.0,0,kenneth-gilstrap-1
T.J. Glover,2013-08-29,1,South Alabama,,Southern Utah,L,1,43,43.0,0,tj-glover-1
Tay Glover-Wright,2013-08-29,1,Utah State,@,Utah,L,1,27,27.0,0,tay-glover-wright-1
Janarion Grant,2013-08-29,1,Rutgers,@,Fresno State,L,2,113,56.5,1,janarion-grant-1
Andre Hal,2013-08-29,1,Vanderbilt,,Mississippi,L,1,11,11.0,0,andre-hal-1
Rannell Hall,2013-08-29,1,Central Florida,,Akron,W,2,32,16.0,0,rannell-hall-1
Victor Hampton,2013-08-29,1,South Carolina,,North Carolina,W,2,39,19.5,0,victor-hampton-1
Tavarres Jefferson,2013-08-29,1,Middle Tennessee State,,Western Carolina,W,1,25,25.0,0,tavarres-jefferson-1
Chandler Johnson,2013-08-29,1,Utah,,Utah State,W,1,18,18.0,0,chandler-johnson-1
Marcus Jones,2013-08-29,1,Minnesota,,Nevada-Las Vegas,W,3,134,44.7,1,marcus-jones-8
Brian Kimbrow,2013-08-29,1,Vanderbilt,,Mississippi,L,1,12,12.0,0,brian-kimbrow-1
Zack Langer,2013-08-29,1,Tulsa,@,Bowling Green State,L,1,2,2.0,0,zack-langer-1
Marqise Lee,2013-08-29,1,Southern California,@,Hawaii,W,1,22,22.0,0,marqise-lee-1
Keevan Lucas,2013-08-29,1,Tulsa,@,Bowling Green State,L,1,29,29.0,0,keevan-lucas-1
Ronnie Moore,2013-08-29,1,Bowling Green State,,Tulsa,W,1,29,29.0,0,ronnie-moore-3
Shaquille Murray-Lawrence,2013-08-29,1,Nevada-Las Vegas,@,Minnesota,L,1,25,25.0,0,shaquille-murray-lawrence-1
Chase Pennycuff,2013-08-29,1,Middle Tennessee State,,Western Carolina,W,1,12,12.0,0,chase-pennycuff-1
Drew Phillips,2013-08-29,1,Akron,@,Central Florida,L,3,53,17.7,0,drew-phillips-1
Shakim Phillips,2013-08-29,1,Connecticut,,Towson,L,3,49,16.3,0,shakim-phillips-2
James Poole,2013-08-29,1,Utah,,Utah State,W,2,38,19.0,0,james-poole-1
Dillon Root,2013-08-29,1,Fresno State,,Rutgers,W,7,181,25.9,0,dillon-root-1
Connor Ryan,2013-08-29,1,Ball State,,Illinois State,W,1,5,5.0,0,connor-ryan-1
Darrius Sims,2013-08-29,1,Vanderbilt,,Mississippi,L,1,34,34.0,0,darrius-sims-1
