Player,Date,G,School,Loc,Opponent,WL,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Pass Int,QBR,unique_id
Matt Bohnet,2005-09-01,1,Eastern Michigan,@,Cincinnati,L,22,33,66.7,167,1,0,119.2,matt-bohnet-1
Matt Bonislawski,2005-09-01,1,Connecticut,,Buffalo,W,11,18,61.1,121,2,1,143.1,matt-bonislawski-1
Alex Brink,2005-09-01,1,Washington State,,Idaho,W,17,29,58.6,230,3,2,145.6,alex-brink-1
Rudy Carpenter,2005-09-01,1,Arizona State,,Temple,W,5,7,71.4,51,1,0,179.8,rudy-carpenter-1
Kellen Clemens,2005-09-01,1,Oregon,@,Houston,W,30,47,63.8,348,2,0,140.1,kellen-clemens-1
Clint Cochran,2005-09-01,1,Toledo,,Western Illinois,W,7,9,77.8,57,0,0,131.0,clint-cochran-1
Bryan Cupito,2005-09-01,1,Minnesota,@,Tulsa,W,14,25,56.0,235,1,1,140.2,bryan-cupito-1
Jay Cutler,2005-09-01,1,Vanderbilt,@,Wake Forest,W,25,36,69.4,276,1,1,137.5,jay-cutler-1
Dennis Dixon,2005-09-01,1,Oregon,@,Houston,W,0,2,0.0,0,0,1,-100.0,dennis-dixon-1
Bruce Gradkowski,2005-09-01,1,Toledo,,Western Illinois,W,9,17,52.9,134,2,0,158.0,bruce-gradkowski-1
Dustin Grutza,2005-09-01,1,Cincinnati,,Eastern Michigan,W,17,26,65.4,176,2,0,147.6,dustin-grutza-1
Michael Harrington,2005-09-01,1,Idaho,@,Washington State,L,6,9,66.7,37,1,0,137.9,michael-harrington-1
D.J. Hernandez,2005-09-01,1,Connecticut,,Buffalo,W,3,3,100.0,11,1,0,240.8,dj-hernandez-1
David Johnson,2005-09-01,1,Tulsa,,Minnesota,L,20,30,66.7,172,1,1,119.2,david-johnson-3
Steven Jyles,2005-09-01,1,Louisiana-Monroe,,Northwestern State,L,25,41,61.0,283,1,1,122.1,steven-jyles-1
Sam Keller,2005-09-01,1,Arizona State,,Temple,W,14,24,58.3,208,4,2,169.5,sam-keller-1
Kevin Kolb,2005-09-01,1,Houston,,Oregon,L,24,43,55.8,312,2,2,122.8,kevin-kolb-1
Ben Mauk,2005-09-01,1,Wake Forest,,Vanderbilt,L,15,26,57.7,198,0,0,121.7,ben-mauk-1
Mike McGann,2005-09-01,1,Temple,@,Arizona State,L,18,37,48.6,203,1,2,92.8,mike-mcgann-1
Blake Mitchell,2005-09-01,1,South Carolina,,Central Florida,W,18,23,78.3,330,3,0,241.8,blake-mitchell-1
Steven Moffett,2005-09-01,1,Central Florida,@,South Carolina,L,27,39,69.2,258,1,1,128.1,steven-moffett-1
Bernard Morris,2005-09-01,1,Marshall,,William & Mary,W,15,23,65.2,215,3,1,178.1,bernard-morris-1
