Player,Date,G,School,Loc,Opponent,WL,Int Ret,Int Ret Yds,Int TD,Pass Broken Up,unique_id
B.J. Hill,2007-08-30,1,Ball State,,Miami (OH),L,1,0,0,2,bj-hill-2
Fritz Jacques,2007-08-30,1,Kent State,@,Iowa State,W,1,0,0,2,fritz-jacques-1
Greg James,2007-08-30,1,Louisiana-Monroe,,Tulsa,L,1,31,0,2,greg-james-1
Brian Lainhart,2007-08-30,1,Kent State,@,Iowa State,W,1,50,0,1,brian-lainhart-1
Trey Lewis,2007-08-30,1,Ball State,,Miami (OH),L,1,1,0,3,trey-lewis-1
Danny McCray,2007-08-30,1,Louisiana State,@,Mississippi State,W,1,0,0,1,danny-mccray-1
Brandon McKinney,2007-08-30,1,New Mexico State,,Southeastern Louisiana,W,1,68,1,2,brandon-mckinney-1
Mike Mickens,2007-08-30,1,Cincinnati,,Southeast Missouri State,W,2,45,1,2,mike-mickens-1
Chris Singleton,2007-08-30,1,Iowa State,,Kent State,L,1,0,0,1,chris-singleton-1
James Smith,2007-08-30,1,Iowa State,,Kent State,L,1,15,0,1,james-smith-3
Sean Smith,2007-08-30,1,Utah,@,Oregon State,L,2,0,0,3,sean-smith-2
Craig Steltz,2007-08-30,1,Louisiana State,@,Mississippi State,W,3,100,0,4,craig-steltz-1
Curtis Taylor,2007-08-30,1,Louisiana State,@,Mississippi State,W,1,22,0,1,curtis-taylor-1
Jonathan Zenon,2007-08-30,1,Louisiana State,@,Mississippi State,W,1,0,0,1,jonathan-zenon-1
Ketric Buffin,2007-08-31,1,Navy,@,Temple,W,1,29,0,1,ketric-buffin-1
Matt Wimsatt,2007-08-31,1,Navy,@,Temple,W,1,11,0,1,matt-wimsatt-1
Spencer Adkins,2007-09-01,1,Miami (FL),,Marshall,W,1,13,0,1,spencer-adkins-1
Nate Allen,2007-09-01,1,South Florida,,Elon,W,1,0,0,1,nate-allen-1
Jonathon Amaya,2007-09-01,1,Nevada,@,Nebraska,L,1,80,1,1,jonathon-amaya-1
Kevin Barnes,2007-09-01,1,Maryland,,Villanova,W,1,28,0,1,kevin-barnes-1
Pierre Bell,2007-09-01,1,East Carolina,@,Virginia Tech,L,1,0,0,1,pierre-bell-1
Carson Bird,2007-09-01,1,Air Force,,South Carolina State,W,1,4,0,1,carson-bird-1
Tray Blackmon,2007-09-01,1,Auburn,,Kansas State,W,1,49,0,2,tray-blackmon-1
Cornelius Brown,2007-09-01,1,Missouri,N,Illinois,W,1,0,0,1,cornelius-brown-1
Weldon Brown,2007-09-01,1,Louisiana Tech,,Central Arkansas,W,1,0,0,2,weldon-brown-1
Joe Burnett,2007-09-01,1,Central Florida,@,North Carolina State,W,1,5,0,2,joe-burnett-1
Darius Butler,2007-09-01,1,Connecticut,@,Duke,W,1,36,1,1,darius-butler-1
Jairus Byrd,2007-09-01,1,Oregon,,Houston,W,1,0,0,1,jairus-byrd-1
Calais Campbell,2007-09-01,1,Miami (FL),,Marshall,W,1,1,0,2,calais-campbell-1
Marquis Carpenter,2007-09-01,1,Texas A&M,,Montana State,W,1,31,0,2,marquis-carpenter-1
Patrick Chung,2007-09-01,1,Oregon,,Houston,W,1,0,0,2,patrick-chung-1
Ashton Cobb,2007-09-01,1,Kentucky,,Eastern Kentucky,W,1,22,0,1,ashton-cobb-1
Steven Coleman,2007-09-01,1,Texas Christian,,Baylor,W,1,10,0,2,steven-coleman-1
Reggie Corner,2007-09-01,1,Akron,,Army,W,1,74,1,1,reggie-corner-1
Anthony Crosby,2007-09-01,1,Louisiana Tech,,Central Arkansas,W,1,0,0,1,anthony-crosby-1
Kevin Dixon,2007-09-01,1,Nebraska,,Nevada,W,1,0,0,1,kevin-dixon-1
Brandent Englemon,2007-09-01,1,Michigan,,Appalachian State,L,1,0,0,1,brandent-englemon-1
Chris Evans,2007-09-01,1,Auburn,,Kansas State,W,1,19,0,1,chris-evans-1
Jeffrey Fitzgerald,2007-09-01,1,Virginia,@,Wyoming,L,1,0,0,1,jeffrey-fitzgerald-1
Ricky Gary,2007-09-01,1,Pittsburgh,,Eastern Michigan,W,1,2,0,1,ricky-gary-1
Trimane Goddard,2007-09-01,1,North Carolina,,James Madison,W,1,0,0,1,trimane-goddard-1
Charles Godfrey,2007-09-01,1,Iowa,@,Northern Illinois,W,2,25,0,3,charles-godfrey-1
Jonathan Goff,2007-09-01,1,Vanderbilt,,Richmond,W,1,0,0,1,jonathan-goff-1
Tavares Gooden,2007-09-01,1,Miami (FL),,Marshall,W,1,35,0,1,tavares-gooden-1
Nic Harris,2007-09-01,1,Oklahoma,,North Texas,W,1,25,1,2,nic-harris-1
Victor Harris,2007-09-01,1,Virginia Tech,,East Carolina,W,1,17,1,3,victor-harris-1
Montis Harrison,2007-09-01,1,Arkansas State,@,Texas,L,1,6,0,1,montis-harrison-1
Aaron Henry,2007-09-01,1,Wisconsin,,Washington State,W,1,26,0,2,aaron-henry-1
Robert Henson,2007-09-01,1,Texas Christian,,Baylor,W,1,43,0,2,robert-henson-1
Matt Hewitt,2007-09-01,1,Arkansas,,Troy,W,1,0,0,3,matt-hewitt-1
Eddie Hicks,2007-09-01,1,Southern Mississippi,,Tennessee-Martin,W,1,6,0,1,eddie-hicks-1
Lendy Holmes,2007-09-01,1,Oklahoma,,North Texas,W,1,4,0,1,lendy-holmes-1
Mike Humpal,2007-09-01,1,Iowa,@,Northern Illinois,W,1,28,0,1,mike-humpal-1
Ervin Jackson,2007-09-01,1,Ohio,,Gardner-Webb,W,1,2,0,1,ervin-jackson-1
Robert James,2007-09-01,1,Arizona State,,San Jose State,W,1,6,0,1,robert-james-1
Kelin Johnson,2007-09-01,1,Georgia,,Oklahoma State,W,1,41,0,2,kelin-johnson-1
Tyrell Johnson,2007-09-01,1,Arkansas State,@,Texas,L,1,4,0,1,tyrell-johnson-1
Eddie Jones,2007-09-01,1,Texas,,Arkansas State,W,1,0,0,1,eddie-jones-1
James Jones,2007-09-01,1,Purdue,@,Toledo,W,1,0,0,,james-jones-2
Jarrett Jones,2007-09-01,1,Louisiana,@,South Carolina,L,1,0,0,1,jarrett-jones-1
