Player,Date,G,School,Loc,Opponent,WL,XP Made,XP Att,XP %,FG Made,FG Att,FG %,Pts,unique_id
Kenneth Allen,2015-09-03,1,Michigan,@,Utah,L,5,5,100.0,0,0,,5,kenneth-allen-1
Harrison Butker,2015-09-03,1,Georgia Tech,,Alcorn State,W,9,9,100.0,0,0,,9,harrison-butker-1
Bryce Crawford,2015-09-03,1,San Jose State,,New Hampshire,W,2,2,100.0,1,1,100.0,5,bryce-crawford-1
Andrew Dirocco,2015-09-03,1,Tulane,,Duke,L,1,1,100.0,0,0,,1,andrew-dirocco-1
Brian Eavey,2015-09-03,1,Central Michigan,,Oklahoma State,L,1,1,100.0,2,2,100.0,7,brian-eavey-1
Elliot Fry,2015-09-03,1,South Carolina,N,North Carolina,W,2,2,100.0,1,2,50.0,5,elliot-fry-1
Ben Grogan,2015-09-03,1,Oklahoma State,@,Central Michigan,W,3,3,100.0,1,3,33.3,6,ben-grogan-1
Kody Kroening,2015-09-03,1,Fresno State,,Abilene Christian,W,4,4,100.0,1,1,100.0,7,kody-kroening-1
Austin Lopez,2015-09-03,1,San Jose State,,New Hampshire,W,2,4,50.0,0,1,0.0,2,austin-lopez-1
Ross Martin,2015-09-03,1,Duke,@,Tulane,W,4,4,100.0,3,3,100.0,13,ross-martin-1
Andy Phillips,2015-09-03,1,Utah,,Michigan,W,3,3,100.0,1,3,33.3,6,andy-phillips-2
Garrett Schwettman,2015-09-03,1,Western Kentucky,@,Vanderbilt,W,2,2,100.0,0,0,,2,garrett-schwettman-1
Casey Skowron,2015-09-03,1,Arizona,,Texas-San Antonio,W,6,6,100.0,0,0,,6,casey-skowron-1
Brock Warren,2015-09-03,1,Utah State,,Southern Utah,W,1,1,100.0,1,1,100.0,4,brock-warren-1
Mike Weaver,2015-09-03,1,Wake Forest,,Elon,W,5,5,100.0,2,3,66.7,11,mike-weaver-1
Nick Weiler,2015-09-03,1,North Carolina,N,South Carolina,L,1,1,100.0,2,2,100.0,7,nick-weiler-1
Josiah Yazdani,2015-09-03,1,Ohio,@,Idaho,W,6,6,100.0,1,2,50.0,9,josiah-yazdani-1
Brent Zuzo,2015-09-03,1,Nevada,,California-Davis,W,4,4,100.0,1,1,100.0,7,brent-zuzo-1
Chris Callahan,2015-09-04,1,Baylor,@,Southern Methodist,W,8,8,100.0,0,0,,8,chris-callahan-3
Michael Geiger,2015-09-04,1,Michigan State,@,Western Michigan,W,4,4,100.0,1,1,100.0,7,michael-geiger-1
Dan Grochowski,2015-09-04,1,Army,,Fordham,L,3,3,100.0,0,0,,3,dan-grochowski-1
