Player,Date,G,School,Loc,Opponent,WL,FR,FR Yds,FR TD,Fumble Forced,unique_id
Derron Brown,2016-08-26,1,California,N,Hawaii,W,0,,,1,derron-brown-2
Khari Vanderbilt,2016-08-26,1,California,N,Hawaii,W,0,,,1,khari-vanderbilt-1
DeVante Wilson,2016-08-26,1,California,N,Hawaii,W,0,,,1,devante-wilson-1
Oren Burks,2016-09-01,1,Vanderbilt,,South Carolina,L,0,,,1,oren-burks-1
Devin Chappell,2016-09-01,1,Oregon State,@,Minnesota,L,0,,,3,devin-chappell-1
Dakota Cox,2016-09-01,1,New Mexico,,South Dakota,W,0,,,1,dakota-cox-1
Tai'yon Devers,2016-09-01,1,Minnesota,,Oregon State,W,0,,,2,taiyon-devers-1
Rashad Fenton,2016-09-01,1,South Carolina,@,Vanderbilt,W,0,,,1,rashad-fenton-1
Kennan Gilchrist,2016-09-01,1,Appalachian State,@,Tennessee,L,0,,,1,kennan-gilchrist-1
Troy Hawthorne,2016-09-01,1,Nevada-Las Vegas,,Jackson State,W,0,,,1,troy-hawthorne-1
James Hearns,2016-09-01,1,Louisville,,UNC Charlotte,W,0,,,1,james-hearns-1
A.J. Howard,2016-09-01,1,Appalachian State,@,Tennessee,L,0,,,1,aj-howard-1
Julian Jackson,2016-09-01,1,Wake Forest,,Tulane,W,0,,,1,julian-jackson-2
T.J. McCollum,2016-09-01,1,Western Kentucky,,Rice,W,0,,,1,tj-mccollum-1
Nathan Ricketts,2016-09-01,1,Central Michigan,,Presbyterian,W,1,,,1,nathan-ricketts-1
Newton Salisbury,2016-09-01,1,Florida International,,Indiana,L,0,,,1,newton-salisbury-1
Travis Seefeldt,2016-09-01,1,Utah State,,Weber State,W,0,,,1,travis-seefeldt-1
Vontarius West,2016-09-01,1,Florida International,,Indiana,L,0,,,1,vontarius-west-1
Jhavon Williams,2016-09-01,1,Connecticut,,Maine,W,0,,,1,jhavon-williams-1
Marcus Williams,2016-09-01,1,Utah,,Southern Utah,W,0,,,1,marcus-williams-9
Dameon Barber,2016-09-02,1,Nevada,,Cal Poly,W,1,,,1,dameon-barber-1
Andrew Bergner,2016-09-02,1,Colorado,N,Colorado State,W,0,,,1,andrew-bergner-1
Justin Clifton,2016-09-02,1,Arkansas State,,Toledo,L,0,,,1,justin-clifton-1
Kevin Davis,2016-09-02,1,Colorado State,N,Colorado,L,0,,,1,kevin-davis-3
Avery Ellis,2016-09-02,1,Temple,,Army,L,0,,,1,avery-ellis-1
Jimmie Gilbert,2016-09-02,1,Colorado,N,Colorado State,W,0,,,1,jimmie-gilbert-1
Jeremiah Harris,2016-09-02,1,Eastern Michigan,,Mississippi Valley State,W,1,,,1,jeremiah-harris-1
Chris Humes,2016-09-02,1,Arkansas State,,Toledo,L,1,,,1,chris-humes-1
Kendall Johnson,2016-09-02,1,Nevada,,Cal Poly,W,0,,,1,kendall-johnson-1
Patrick Levels,2016-09-02,1,Baylor,,Northwestern State,W,0,,,1,patrick-levels-1
Deshon Mayes,2016-09-02,1,Colorado State,N,Colorado,L,0,,,1,deshon-mayes-1
Elijah Moody,2016-09-02,1,Nevada,,Cal Poly,W,0,,,1,elijah-moody-1
Pat O'Connor,2016-09-02,1,Eastern Michigan,,Mississippi Valley State,W,0,,,1,pat-oconnor-1
Asauni Rufus,2016-09-02,1,Nevada,,Cal Poly,W,0,,,1,asauni-rufus-1
Justin Sweet,2016-09-02,1,Colorado State,N,Colorado,L,0,,,1,justin-sweet-1
Jordan Willis,2016-09-02,1,Kansas State,@,Stanford,L,0,,,1,jordan-willis-1
Anthony Winbush,2016-09-02,1,Ball State,@,Georgia State,W,1,,,1,anthony-winbush-1
Xavier Woodson,2016-09-02,1,Arkansas State,,Toledo,L,0,,,1,xavier-woodson-1
Chad Adams,2016-09-03,1,Arizona State,,Northern Arizona,W,0,,,1,chad-adams-1
Matthew Adams,2016-09-03,1,Houston,N,Oklahoma,W,0,,,1,matthew-adams-1
Ali Ali-Musa,2016-09-03,1,Massachusetts,@,Florida,L,0,,,1,ali-ali-musa-1
Josh Allen,2016-09-03,1,Kentucky,,Southern Mississippi,L,0,,,1,josh-allen-6
Marcus Allen,2016-09-03,1,Penn State,,Kent State,W,1,,,1,marcus-allen-5
Devante Averette,2016-09-03,1,Oklahoma State,,Southeastern Louisiana,W,1,,,1,devante-averette-1
Eric Banks,2016-09-03,1,Texas-San Antonio,,Alabama State,W,0,,,1,eric-banks-1
Zach Barnes,2016-09-03,1,Texas Tech,,Stephen F. Austin,W,0,,,1,zach-barnes-1
Keishawn Bierria,2016-09-03,1,Washington,,Rutgers,W,0,,,1,keishawn-bierria-1
Josh Black,2016-09-03,1,South Florida,,Towson,W,0,,,1,josh-black-1
Ben Boulware,2016-09-03,1,Clemson,@,Auburn,W,0,,,1,ben-boulware-1
Tyus Bowser,2016-09-03,1,Houston,N,Oklahoma,W,0,,,1,tyus-bowser-1
Dylan Bradley,2016-09-03,1,Southern Mississippi,@,Kentucky,W,1,,,1,dylan-bradley-1
Zach Bradshaw,2016-09-03,1,Virginia,,Richmond,L,0,,,1,zach-bradshaw-1
Xavier Brown,2016-09-03,1,Louisiana-Monroe,,Southern,W,0,,,1,xavier-brown-2
Chukwudi Chukwu,2016-09-03,1,Ohio,,Texas State,L,0,,,1,chukwudi-chukwu-1
Jack Cichy,2016-09-03,1,Wisconsin,N,Louisiana State,W,0,,,1,jack-cichy-1
Joey Connors,2016-09-03,1,Central Florida,,South Carolina State,W,1,,,1,joey-connors-1
