Player,Date,G,School,Loc,Opponent,WL,Int Ret,Int Ret Yds,Int TD,Pass Broken Up,unique_id
Jahleel Addae,2011-09-01,1,Central Michigan,,South Carolina State,W,0,0,0,1,jahleel-addae-1
Johnthan Banks,2011-09-01,1,Mississippi State,@,Memphis,W,0,0,0,2,johnthan-banks-1
Steve Beauharnais,2011-09-01,1,Rutgers,,North Carolina Central,W,0,0,0,1,steve-beauharnais-1
Mikie Benton,2011-09-01,1,Kentucky,N,Western Kentucky,W,0,0,0,1,mikie-benton-1
Shamari Benton,2011-09-01,1,Central Michigan,,South Carolina State,W,0,0,0,1,shamari-benton-1
Brian Blechen,2011-09-01,1,Utah,,Montana State,W,2,60,0,2,brian-blechen-1
Derrius Brooks,2011-09-01,1,Western Kentucky,N,Kentucky,L,1,0,0,2,derrius-brooks-1
Deveron Carr,2011-09-01,1,Arizona State,,California-Davis,W,0,0,0,1,deveron-carr-1
John Carr,2011-09-01,1,Central Michigan,,South Carolina State,W,0,0,0,1,john-carr-2
Jared Clendenin,2011-09-01,1,Western Kentucky,N,Kentucky,L,1,0,0,1,jared-clendenin-1
Davon Coleman,2011-09-01,1,Arizona State,,California-Davis,W,0,0,0,1,davon-coleman-1
Connor,2011-09-01,1,Louisville,,Murray State,W,1,0,0,1,connor-1
Izaan Cross,2011-09-01,1,Georgia Tech,,Western Carolina,W,0,0,0,1,izaan-cross-1
Jonathan Cyprien,2011-09-01,1,Florida International,,North Texas,W,0,0,0,3,jonathan-cyprien-1
Akeem Davis,2011-09-01,1,Memphis,,Mississippi State,L,0,0,0,1,akeem-davis-1
Mike Evans,2011-09-01,1,Louisville,,Murray State,W,1,0,0,1,mike-evans-3
Antonio Fenelus,2011-09-01,1,Wisconsin,,Nevada-Las Vegas,W,0,0,0,1,antonio-fenelus-1
Tevita Finau,2011-09-01,1,Utah,,Montana State,W,0,0,0,1,tevita-finau-1
Clint Floyd,2011-09-01,1,Arizona State,,California-Davis,W,0,0,0,1,clint-floyd-1
Steven Ford,2011-09-01,1,North Texas,@,Florida International,L,0,0,0,1,steven-ford-1
Justin Gildea,2011-09-01,1,Temple,,Villanova,W,1,25,0,2,justin-gildea-1
Aaron Grymes,2011-09-01,1,Idaho,,Bowling Green State,L,0,0,0,2,aaron-grymes-1
Winston Guy,2011-09-01,1,Kentucky,N,Western Kentucky,W,2,0,0,2,winston-guy-1
Duron Harmon,2011-09-01,1,Rutgers,,North Carolina Central,W,2,37,1,2,duron-harmon-1
Dexter Heyman,2011-09-01,1,Louisville,,Murray State,W,1,5,0,1,dexter-heyman-1
Shenard Holton,2011-09-01,1,Louisville,,Murray State,W,0,0,0,1,shenard-holton-1
Andrew Johnson,2011-09-01,1,Louisville,,Murray State,W,0,0,0,1,andrew-johnson-4
