Player,Date,G,School,Loc,Opponent,WL,Punt Ret,Punt Ret Yds,Punt Ret Avg,Punt Ret TD,unique_id
Jessie Britt,2017-08-26,1,Massachusetts,,Hawaii,L,1,4,4.0,0,jessie-britt-1
Thai Cottrell,2017-08-26,1,San Jose State,,South Florida,L,3,17,5.7,0,thai-cottrell-1
Nashon Ellerbe,2017-08-26,1,Rice,N,Stanford,L,1,7,7.0,0,nashon-ellerbe-1
Tanner Jacobson,2017-08-26,1,Brigham Young,,Portland State,W,2,-5,-2.5,0,tanner-jacobson-1
Olabisi Johnson,2017-08-26,1,Colorado State,,Oregon State,W,1,-3,-3.0,0,olabisi-johnson-1
Tyree McCants,2017-08-26,1,South Florida,@,San Jose State,W,1,0,0.0,0,tyree-mccants-1
Jay Tyler,2017-08-26,1,Stanford,N,Rice,W,3,32,10.7,0,jay-tyler-1
John Ursua,2017-08-26,1,Hawaii,@,Massachusetts,W,1,0,0.0,0,john-ursua-1
Taz Bateman,2017-08-31,1,Georgia State,,Tennessee State,L,2,10,5.0,0,taz-bateman-1
Jacom Brimhall,2017-08-31,1,Arizona State,,New Mexico State,W,2,6,3.0,0,jacom-brimhall-1
OJ Clark,2017-08-31,1,New Mexico State,@,Arizona State,L,1,0,0.0,0,oj-clark-1
Greg Dortch,2017-08-31,1,Wake Forest,,Presbyterian,W,4,76,19.0,0,greg-dortch-1
Devin Gray,2017-08-31,1,Cincinnati,,Austin Peay,W,4,42,10.5,0,devin-gray-1
K.J. Hill,2017-08-31,1,Ohio State,@,Indiana,W,2,7,3.5,0,kj-hill-1
Boobie Hobbs,2017-08-31,1,Utah,,North Dakota,W,2,18,9.0,0,boobie-hobbs-1
Mike Hughes,2017-08-31,1,Central Florida,,Florida International,W,3,50,16.7,0,mike-hughes-4
Jacob Martinez,2017-08-31,1,Buffalo,@,Minnesota,L,1,14,14.0,0,jacob-martinez-1
Jalen McCleskey,2017-08-31,1,Oklahoma State,,Tulsa,W,2,3,1.5,0,jalen-mccleskey-1
Danzel Mckinley-Lewis,2017-08-31,1,Toledo,,Elon,W,3,22,7.3,0,danzel-mckinley-lewis-1
Desmond Phillips,2017-08-31,1,Toledo,,Elon,W,2,7,3.5,0,desmond-phillips-1
Antonio Shenault,2017-08-31,1,Minnesota,,Buffalo,W,2,12,6.0,0,antonio-shenault-1
Jordan Swann,2017-08-31,1,Connecticut,,Holy Cross,W,2,18,9.0,0,jordan-swann-1
David Ungerer,2017-08-31,1,Idaho,,Sacramento State,W,3,23,7.7,0,david-ungerer-1
John Williams,2017-08-31,1,Memphis,,Louisiana-Monroe,W,2,22,11.0,0,john-williams-16
Blake Banham,2017-09-01,1,Eastern Michigan,,UNC Charlotte,W,2,12,6.0,0,blake-banham-1
Chad Beebe,2017-09-01,1,Northern Illinois,,Boston College,L,3,17,5.7,0,chad-beebe-1
Janarion Grant,2017-09-01,1,Rutgers,,Washington,L,1,2,2.0,0,janarion-grant-1
Steve Ishmael,2017-09-01,1,Syracuse,,Central Connecticut State,W,1,2,2.0,0,steve-ishmael-1
Nate Mullen,2017-09-01,1,UNC Charlotte,@,Eastern Michigan,L,1,-1,-1.0,0,nate-mullen-1
Nick Nelson,2017-09-01,1,Wisconsin,,Utah State,W,2,17,8.5,0,nick-nelson-2
Dante Pettis,2017-09-01,1,Washington,@,Rutgers,W,2,80,40.0,1,dante-pettis-1
Sean Riley,2017-09-01,1,Syracuse,,Central Connecticut State,W,4,5,1.3,0,sean-riley-2
Craig Scott,2017-09-01,1,Navy,@,Florida Atlantic,W,2,6,3.0,0,craig-scott-1
Zach Van Leeuwen,2017-09-01,1,Utah State,@,Wisconsin,L,1,0,0.0,0,zach-van-leeuwen-1
Michael Walker,2017-09-01,1,Boston College,@,Northern Illinois,W,1,11,11.0,0,michael-walker-2
