Player,Date,G,School,Loc,Opponent,WL,FR,FR Yds,FR TD,Fumble Forced,unique_id
Isaac Brown,2006-08-31,1,Central Michigan,,Boston College,L,0,0,0,1,isaac-brown-1
Barry Church,2006-08-31,1,Toledo,@,Iowa State,L,0,0,0,1,barry-church-1
Bryant Cornell,2006-08-31,1,Oregon State,,Eastern Washington,W,0,0,0,1,bryant-cornell-1
Robert Francois,2006-08-31,1,Boston College,@,Central Michigan,W,0,0,0,1,robert-francois-1
Doug Kress,2006-08-31,1,Central Michigan,,Boston College,L,0,0,0,1,doug-kress-1
Robert Latu,2006-08-31,1,Tulsa,,Stephen F. Austin,W,0,0,0,1,robert-latu-1
Greg Laybourn,2006-08-31,1,Oregon State,,Eastern Washington,W,0,0,0,1,greg-laybourn-1
Anthony Littlejohn,2006-08-31,1,Mississippi State,,South Carolina,L,0,0,0,1,anthony-littlejohn-1
Beau Manutai,2006-08-31,1,Arizona State,,Northern Arizona,W,0,0,0,1,beau-manutai-1
Terrell Maze,2006-08-31,1,San Diego State,,Texas-El Paso,L,0,0,0,1,terrell-maze-1
Chris McCoy,2006-08-31,1,Middle Tennessee State,,Florida International,W,0,0,0,1,chris-mccoy-1
Tyrone McKenzie,2006-08-31,1,Iowa State,,Toledo,W,0,0,0,1,tyrone-mckenzie-1
Walter Mebane,2006-08-31,1,Temple,@,Buffalo,L,0,0,0,1,walter-mebane-1
Alex Obomese,2006-08-31,1,Texas-El Paso,@,San Diego State,W,0,0,0,1,alex-obomese-1
Justin Rainey,2006-08-31,1,Middle Tennessee State,,Florida International,W,0,0,0,1,justin-rainey-1
Mario Reese,2006-08-31,1,Minnesota,@,Kent State,W,0,0,0,2,mario-reese-1
Marvin Sapp,2006-08-31,1,South Carolina,@,Mississippi State,W,0,0,0,1,marvin-sapp-1
Josh Thompson,2006-08-31,1,Louisiana-Monroe,,Alcorn State,W,0,0,0,2,josh-thompson-1
Jeff Van Orsow,2006-08-31,1,Oregon State,,Eastern Washington,W,0,0,0,1,jeff-van-orsow-1
Erik Walden,2006-08-31,1,Middle Tennessee State,,Florida International,W,0,0,0,1,erik-walden-1
Dwayne Andrews,2006-09-01,1,Fresno State,,Nevada,W,0,0,0,1,dwayne-andrews-1
Uche Anyanwu,2006-09-01,1,Nevada,@,Fresno State,L,0,0,0,1,uche-anyanwu-1
K.C. Asiodu,2006-09-02,1,Nevada-Las Vegas,,Idaho State,W,0,0,0,1,kc-asiodu-1
Ryan Babb,2006-09-02,1,Troy,,Alabama State,W,0,0,0,2,ryan-babb-1
Antonio Baker,2006-09-02,1,Louisiana Tech,@,Nebraska,L,0,0,0,1,antonio-baker-1
Tra Battle,2006-09-02,1,Georgia,,Western Kentucky,W,0,0,0,1,tra-battle-1
William Beckford,2006-09-02,1,Rutgers,@,North Carolina,W,1,14,0,1,william-beckford-1
Anthony Belmonte,2006-09-02,1,Western Michigan,@,Indiana,L,0,0,0,1,anthony-belmonte-1
Dan Bick,2006-09-02,1,Purdue,,Indiana State,W,0,0,0,1,dan-bick-1
Alan Branch,2006-09-02,1,Michigan,,Vanderbilt,W,0,0,0,1,alan-branch-1
Martrel Brown,2006-09-02,1,North Carolina State,,Appalachian State,W,0,0,0,1,martrel-brown-1
Joe Burnett,2006-09-02,1,Central Florida,,Villanova,W,0,0,0,1,joe-burnett-1
Keith Burrus,2006-09-02,1,Indiana,,Western Michigan,W,0,0,0,1,keith-burrus-1
Rob Caldwell,2006-09-02,1,Navy,,East Carolina,W,0,0,0,1,rob-caldwell-1
Fred Campbell,2006-09-02,1,Stanford,@,Oregon,L,0,0,0,1,fred-campbell-1
Marquis Carpenter,2006-09-02,1,Texas A&M,,Citadel,W,0,0,0,1,marquis-carpenter-1
Marcus Carter,2006-09-02,1,Alabama,,Hawaii,W,0,0,0,1,marcus-carter-2
Nicholas Chestnut,2006-09-02,1,Syracuse,@,Wake Forest,L,0,0,0,1,nicholas-chestnut-1
Landon Cohen,2006-09-02,1,Ohio,,Tennessee-Martin,W,0,0,0,1,landon-cohen-1
Dan Connor,2006-09-02,1,Penn State,,Akron,W,0,0,0,1,dan-connor-1
Mark Dodge,2006-09-02,1,Texas A&M,,Citadel,W,0,0,0,1,mark-dodge-1
Jon Dominguez,2006-09-02,1,Idaho,@,Michigan State,L,0,0,0,1,jon-dominguez-1
Kevin Dunn,2006-09-02,1,Utah,@,UCLA,L,0,0,0,2,kevin-dunn-2
Larry Edwards,2006-09-02,1,North Carolina,,Rutgers,L,0,0,0,1,larry-edwards-1
Sedrick Ellis,2006-09-02,1,Southern California,@,Arkansas,W,0,0,0,1,sedrick-ellis-1
Brandent Englemon,2006-09-02,1,Michigan,,Vanderbilt,W,0,0,0,1,brandent-englemon-1
Van Eskridge,2006-09-02,1,East Carolina,@,Navy,L,1,6,0,1,van-eskridge-1
Will Evans,2006-09-02,1,Alabama-Birmingham,@,Oklahoma,L,1,2,0,1,will-evans-1
Jamar Flournoy,2006-09-02,1,East Carolina,@,Navy,L,0,0,0,1,jamar-flournoy-1
Zack Follett,2006-09-02,1,California,@,Tennessee,L,0,0,0,1,zack-follett-1
Dustin Forston,2006-09-02,1,Florida Atlantic,@,Clemson,L,0,0,0,1,dustin-forston-1
Jeremy Geathers,2006-09-02,1,Nevada-Las Vegas,,Idaho State,W,1,67,1,1,jeremy-geathers-1
Jeremy Gibbs,2006-09-02,1,Oregon,,Stanford,W,0,0,0,1,jeremy-gibbs-1
Michael Graham,2006-09-02,1,Ohio,,Tennessee-Martin,W,0,0,0,1,michael-graham-1
Cortney Grixby,2006-09-02,1,Nebraska,,Louisiana Tech,W,0,0,0,1,cortney-grixby-1
