Player,Date,G,School,Loc,Opponent,WL,Rush Att,Rush Yard,Rush Avg,Rush TD,unique_id
Austen Arnaud,2009-09-03,1,Iowa State,,North Dakota State,W,17,78,4.6,1,austen-arnaud-1
Matt Asiata,2009-09-03,1,Utah,,Utah State,W,36,156,4.3,2,matt-asiata-1
Jeremy Avery,2009-09-03,1,Boise State,,Oregon,W,27,74,2.7,0,jeremy-avery-1
Toney Baker,2009-09-03,1,North Carolina State,,South Carolina,L,8,24,3.0,0,toney-baker-1
Freddie Barnes,2009-09-03,1,Bowling Green State,,Troy,W,2,5,2.5,0,freddie-barnes-1
Legarrette Blount,2009-09-03,1,Oregon,@,Boise State,L,8,-5,-0.6,0,legarrette-blount-1
Diondre Borel,2009-09-03,1,Utah State,@,Utah,L,14,48,3.4,1,diondre-borel-1
Jereme Brooks,2009-09-03,1,Utah,,Utah State,W,1,20,20.0,0,jereme-brooks-1
Levi Brown,2009-09-03,1,Troy,@,Bowling Green State,L,3,-12,-4.0,0,levi-brown-1
Chris Bullock,2009-09-03,1,Bowling Green State,,Troy,W,10,16,1.6,1,chris-bullock-1
Trea Burgess,2009-09-03,1,Indiana,,Eastern Kentucky,W,8,14,1.8,1,trea-burgess-1
Mitch Burroughs,2009-09-03,1,Boise State,,Oregon,W,1,-3,-3.0,0,mitch-burroughs-1
Marquis Butler,2009-09-03,1,Utah State,@,Utah,L,1,12,12.0,0,marquis-butler-1
Terrance Cain,2009-09-03,1,Utah,,Utah State,W,5,22,4.4,0,terrance-cain-1
Ben Chappell,2009-09-03,1,Indiana,,Eastern Kentucky,W,3,2,0.7,0,ben-chappell-1
Patrick Dimarco,2009-09-03,1,South Carolina,@,North Carolina State,W,5,19,3.8,0,patrick-dimarco-1
Riley Dodge,2009-09-03,1,North Texas,@,Ball State,W,12,73,6.1,0,riley-dodge-1
Lance Dunbar,2009-09-03,1,North Texas,@,Ball State,W,16,63,3.9,1,lance-dunbar-1
Jamelle Eugene,2009-09-03,1,North Carolina State,,South Carolina,L,9,36,4.0,0,jamelle-eugene-1
Andre Flowers,2009-09-03,1,Kent State,,Coastal Carolina,W,4,19,4.8,1,andre-flowers-1
Stephen Garcia,2009-09-03,1,South Carolina,@,North Carolina State,W,8,16,2.0,0,stephen-garcia-1
Willie Geter,2009-09-03,1,Bowling Green State,,Troy,W,9,49,5.4,0,willie-geter-1
Jarvis Giles,2009-09-03,1,South Carolina,@,North Carolina State,W,5,13,2.6,0,jarvis-giles-1
Maurice Greer,2009-09-03,1,Troy,@,Bowling Green State,L,1,-1,-1.0,0,maurice-greer-1
Kee-Ayre Griffin,2009-09-03,1,Temple,,Villanova,L,21,70,3.3,1,kee-ayre-griffin-1
D.J. Harper,2009-09-03,1,Boise State,,Oregon,W,19,88,4.6,1,dj-harper-1
Dujuan Harris,2009-09-03,1,Troy,@,Bowling Green State,L,10,8,0.8,1,dujuan-harris-1
LaMichael James,2009-09-03,1,Oregon,@,Boise State,L,2,22,11.0,0,lamichael-james-1
Josh Jarboe,2009-09-03,1,Troy,@,Bowling Green State,L,1,5,5.0,0,josh-jarboe-1
Eugene Jarvis,2009-09-03,1,Kent State,,Coastal Carolina,W,27,141,5.2,1,eugene-jarvis-1
Jerrel Jernigan,2009-09-03,1,Troy,@,Bowling Green State,L,4,30,7.5,0,jerrel-jernigan-1
Miquale Lewis,2009-09-03,1,Ball State,,North Texas,L,15,103,6.9,1,miquale-lewis-1
Brian Maddox,2009-09-03,1,South Carolina,@,North Carolina State,W,23,66,2.9,1,brian-maddox-1
Doug Martin,2009-09-03,1,Boise State,,Oregon,W,2,5,2.5,0,doug-martin-1
Jeremiah Masoli,2009-09-03,1,Oregon,@,Boise State,L,7,14,2.0,1,jeremiah-masoli-1
Jeremi Mathis,2009-09-03,1,North Texas,@,Ball State,W,4,20,5.0,0,jeremi-mathis-1
Demetrius McCray,2009-09-03,1,Indiana,,Eastern Kentucky,W,13,49,3.8,0,demetrius-mccray-1
Lamar McPherson,2009-09-03,1,Temple,,Villanova,L,2,9,4.5,0,lamar-mcpherson-1
Cam Montgomery,2009-09-03,1,North Texas,@,Ball State,W,17,149,8.8,0,cam-montgomery-1
Kellen Moore,2009-09-03,1,Boise State,,Oregon,W,7,-6,-0.9,0,kellen-moore-1
Giorgio Morgan,2009-09-03,1,Kent State,,Coastal Carolina,W,7,-16,-2.3,0,giorgio-morgan-1
Kelly Page,2009-09-03,1,Ball State,,North Texas,L,7,53,7.6,0,kelly-page-1
Bryan Payton,2009-09-03,1,Indiana,,Eastern Kentucky,W,4,5,1.3,0,bryan-payton-1
Bernard Pierce,2009-09-03,1,Temple,,Villanova,L,6,44,7.3,0,bernard-pierce-1
David Reed,2009-09-03,1,Utah,,Utah State,W,1,9,9.0,0,david-reed-1
Matt Rinehart,2009-09-03,1,Kent State,,Coastal Carolina,W,1,2,2.0,0,matt-rinehart-1
Alexander Robinson,2009-09-03,1,Iowa State,,North Dakota State,W,16,83,5.2,1,alexander-robinson-1
Jeremiah Schwartz,2009-09-03,1,Iowa State,,North Dakota State,W,7,43,6.1,0,jeremiah-schwartz-1
Tyler Sheehan,2009-09-03,1,Bowling Green State,,Troy,W,4,-13,-3.3,0,tyler-sheehan-1
Tyler Shoemaker,2009-09-03,1,Boise State,,Oregon,W,1,3,3.0,0,tyler-shoemaker-1
Michael Smith,2009-09-03,1,Utah State,@,Utah,L,5,10,2.0,0,michael-smith-6
Shawn Southward,2009-09-03,1,Troy,@,Bowling Green State,L,2,11,5.5,0,shawn-southward-1
Derrvin Speight,2009-09-03,1,Utah State,@,Utah,L,1,3,3.0,0,derrvin-speight-1
Chester Stewart,2009-09-03,1,Temple,,Villanova,L,1,16,16.0,0,chester-stewart-1
Robert Turbin,2009-09-03,1,Utah State,@,Utah,L,13,148,11.4,1,robert-turbin-1
James Washington,2009-09-03,1,North Carolina State,,South Carolina,L,3,16,5.3,0,james-washington-1
Eddie Wide,2009-09-03,1,Utah,,Utah State,W,6,30,5.0,0,eddie-wide-1
Eric Williams,2009-09-03,1,Ball State,,North Texas,L,2,13,6.5,0,eric-williams-1
Darius Willis,2009-09-03,1,Indiana,,Eastern Kentucky,W,3,3,1.0,0,darius-willis-1
Russell Wilson,2009-09-03,1,North Carolina State,,South Carolina,L,11,-17,-1.5,0,russell-wilson-1
Titus Young,2009-09-03,1,Boise State,,Oregon,W,1,4,4.0,0,titus-young-1
Greg Alexander,2009-09-04,1,Hawaii,,Central Arkansas,W,16,76,4.8,0,greg-alexander-1
Andre Anderson,2009-09-04,1,Tulane,,Tulsa,L,19,49,2.6,0,andre-anderson-2
D.J. Banks,2009-09-04,1,Tulane,,Tulsa,L,4,6,1.5,0,dj-banks-1
Charles Clay,2009-09-04,1,Tulsa,@,Tulane,W,9,50,5.6,1,charles-clay-1
Alex Green,2009-09-04,1,Hawaii,,Central Arkansas,W,5,17,3.4,0,alex-green-2
Payten Jason,2009-09-04,1,Tulane,,Tulsa,L,1,1,1.0,0,payten-jason-1
Damaris Johnson,2009-09-04,1,Tulsa,@,Tulane,W,3,31,10.3,0,damaris-johnson-1
Joe Kemp,2009-09-04,1,Tulane,,Tulsa,L,6,-37,-6.2,0,joe-kemp-1
G.J. Kinne,2009-09-04,1,Tulsa,@,Tulane,W,13,77,5.9,1,gj-kinne-1
Charles Opeseyitan,2009-09-04,1,Tulsa,@,Tulane,W,2,15,7.5,0,charles-opeseyitan-1
Kealoha Pilares,2009-09-04,1,Hawaii,,Central Arkansas,W,1,13,13.0,0,kealoha-pilares-1
A.J. Whitmore,2009-09-04,1,Tulsa,@,Tulane,W,3,-4,-1.3,0,aj-whitmore-1
Jamad Williams,2009-09-04,1,Tulsa,@,Tulane,W,12,34,2.8,0,jamad-williams-1
Jeremy Williams,2009-09-04,1,Tulane,,Tulsa,L,4,20,5.0,0,jeremy-williams-1
Leon Wright-Jackson,2009-09-04,1,Hawaii,,Central Arkansas,W,4,9,2.3,0,leon-wright-jackson-1
Josh Adams,2009-09-05,1,Wake Forest,,Baylor,L,5,9,1.8,0,josh-adams-1
Mackenzi Adams,2009-09-05,1,Vanderbilt,,Western Carolina,W,3,12,4.0,0,mackenzi-adams-1
James Aldridge,2009-09-05,1,Notre Dame,,Nevada,W,3,13,4.3,0,james-aldridge-1
Alvester Alexander,2009-09-05,1,Wyoming,,Weber State,W,8,81,10.1,1,alvester-alexander-1
Alex Allen,2009-09-05,1,Akron,@,Penn State,L,9,6,0.7,0,alex-allen-1
Anthony Allen,2009-09-05,1,Georgia Tech,,Jacksonville State,W,3,21,7.0,0,anthony-allen-1
Armando Allen,2009-09-05,1,Notre Dame,,Nevada,W,15,72,4.8,1,armando-allen-1
Moncell Allen,2009-09-05,1,Kentucky,N,Miami (OH),W,8,57,7.1,1,moncell-allen-1
Luther Ambrose,2009-09-05,1,Louisiana-Monroe,@,Texas,L,2,25,12.5,0,luther-ambrose-1
Andre Anderson,2009-09-05,1,Michigan State,,Montana State,W,1,3,3.0,0,andre-anderson-1
Brian Anderson,2009-09-05,1,Marshall,,Southern Illinois,W,4,-14,-3.5,0,brian-anderson-1
Isaac Anderson,2009-09-05,1,Wisconsin,,Northern Illinois,W,1,23,23.0,1,isaac-anderson-1
Vic Anderson,2009-09-05,1,Louisville,,Indiana State,W,14,93,6.6,2,vic-anderson-1
Keola Antolin,2009-09-05,1,Arizona,,Central Michigan,W,10,37,3.7,0,keola-antolin-1
Ryan Aplin,2009-09-05,1,Arkansas State,,Mississippi Valley State,W,3,10,3.3,1,ryan-aplin-1
Reggie Arnold,2009-09-05,1,Arkansas State,,Mississippi Valley State,W,12,126,10.5,4,reggie-arnold-1
Tavon Austin,2009-09-05,1,West Virginia,,Liberty,W,1,4,4.0,0,tavon-austin-1
Michael Avila,2009-09-05,1,San Jose State,@,Southern California,L,1,0,0.0,0,michael-avila-1
Antwon Bailey,2009-09-05,1,Syracuse,,Minnesota,L,5,31,6.2,0,antwon-bailey-1
Kama Bailey,2009-09-05,1,Idaho,@,New Mexico State,W,1,3,3.0,0,kama-bailey-1
Edwin Baker,2009-09-05,1,Michigan State,,Montana State,W,8,27,3.4,0,edwin-baker-1
Mike Ball,2009-09-05,1,Nevada,@,Notre Dame,L,1,0,0.0,0,mike-ball-1
Andrew Banks,2009-09-05,1,Middle Tennessee State,@,Clemson,L,3,7,2.3,0,andrew-banks-1
Gerald Baptiste,2009-09-05,1,Southern Mississippi,,Alcorn State,W,1,4,4.0,0,gerald-baptiste-1
Matt Barkley,2009-09-05,1,Southern California,,San Jose State,W,3,-5,-1.7,0,matt-barkley-1
Brandon Barnett,2009-09-05,1,Arkansas,,Missouri State,W,2,5,2.5,0,brandon-barnett-1
Dexter Barnett,2009-09-05,1,Alabama-Birmingham,,Rice,W,7,24,3.4,1,dexter-barnett-1
Ryan Bass,2009-09-05,1,Arizona State,,Idaho State,W,2,45,22.5,1,ryan-bass-1
Baron Batch,2009-09-05,1,Texas Tech,,North Dakota,W,9,30,3.3,1,baron-batch-1
Joe Bauserman,2009-09-05,1,Ohio State,,Navy,W,2,-2,-1.0,0,joe-bauserman-1
Bryce Beall,2009-09-05,1,Houston,,Northwestern State,W,9,58,6.4,1,bryce-beall-1
Robert Benjamin,2009-09-05,1,Wyoming,,Weber State,W,7,32,4.6,0,robert-benjamin-1
Duane Bennett,2009-09-05,1,Minnesota,@,Syracuse,W,16,78,4.9,1,duane-bennett-1
Jahvid Best,2009-09-05,1,California,,Maryland,W,10,137,13.7,2,jahvid-best-1
Jeff Blake,2009-09-05,1,Arkansas State,,Mississippi Valley State,W,1,0,0.0,0,jeff-blake-1
Andrew Blaylock,2009-09-05,1,Florida,,Charleston Southern,W,1,9,9.0,0,andrew-blaylock-1
A.J. Blue,2009-09-05,1,North Carolina,,Citadel,W,4,14,3.5,0,aj-blue-1
Tommy Bohanon,2009-09-05,1,Wake Forest,,Baylor,L,2,4,2.0,0,tommy-bohanon-1
Ralph Bolden,2009-09-05,1,Purdue,,Toledo,W,21,234,11.1,2,ralph-bolden-1
Zach Bolger,2009-09-05,1,Wyoming,,Weber State,W,1,0,0.0,0,zach-bolger-1
Draylon Booker,2009-09-05,1,Louisiana,,Southern,W,2,2,1.0,0,draylon-booker-1
Jheranie Boyd,2009-09-05,1,North Carolina,,Citadel,W,2,25,12.5,0,jheranie-boyd-1
Re'quan Boyette,2009-09-05,1,Duke,,Richmond,L,9,15,1.7,0,requan-boyette-1
Allen Bradford,2009-09-05,1,Southern California,,San Jose State,W,4,53,13.3,1,allen-bradford-1
John Brantley,2009-09-05,1,Florida,,Charleston Southern,W,6,40,6.7,0,john-brantley-1
Andre Bratton,2009-09-05,1,Miami (OH),N,Kentucky,L,7,37,5.3,0,andre-bratton-1
Edward Britton,2009-09-05,1,Texas Tech,,North Dakota,W,1,-1,-1.0,0,edward-britton-1
Chris Brogdon,2009-09-05,1,Nevada-Las Vegas,,Sacramento State,W,2,7,3.5,0,chris-brogdon-1
Justin Brooks,2009-09-05,1,Alabama-Birmingham,,Rice,W,2,16,8.0,1,justin-brooks-2
Antonio Brown,2009-09-05,1,Central Michigan,@,Arizona,L,3,31,10.3,0,antonio-brown-1
Bryce Brown,2009-09-05,1,Tennessee,,Western Kentucky,W,11,104,9.5,1,bryce-brown-1
Carlos Brown,2009-09-05,1,Michigan,,Western Michigan,W,10,54,5.4,0,carlos-brown-1
Chris Brown,2009-09-05,1,Oklahoma,N,Brigham Young,L,14,59,4.2,0,chris-brown-4
Devon Brown,2009-09-05,1,Wake Forest,,Baylor,L,8,46,5.8,0,devon-brown-1
Jarrett Brown,2009-09-05,1,West Virginia,,Liberty,W,9,69,7.7,1,jarrett-brown-1
Meco Brown,2009-09-05,1,Northern Illinois,@,Wisconsin,L,11,64,5.8,0,meco-brown-1
Vincent Brown,2009-09-05,1,Florida,,Charleston Southern,W,2,2,1.0,0,vincent-brown-1
Zach Brown,2009-09-05,1,Wisconsin,,Northern Illinois,W,14,51,3.6,0,zach-brown-3
Ryan Broyles,2009-09-05,1,Oklahoma,N,Brigham Young,L,1,5,5.0,0,ryan-broyles-1
Jeremy Bruce,2009-09-05,1,Akron,@,Penn State,L,1,-2,-2.0,0,jeremy-bruce-1
Roland Bruno,2009-09-05,1,New Mexico,@,Texas A&M,L,1,8,8.0,0,roland-bruno-1
Donald Buckram,2009-09-05,1,Texas-El Paso,,Buffalo,L,14,108,7.7,0,donald-buckram-1
Drew Burdi,2009-09-05,1,Western Michigan,@,Michigan,L,1,3,3.0,0,drew-burdi-1
Rex Burkhead,2009-09-05,1,Nebraska,,Florida Atlantic,W,9,39,4.3,1,rex-burkhead-1
Chris Burns,2009-09-05,1,Pittsburgh,,Youngstown State,W,5,18,3.6,0,chris-burns-1
Kodi Burns,2009-09-05,1,Auburn,,Louisiana Tech,W,8,23,2.9,1,kodi-burns-1
A.J. Butler,2009-09-05,1,New Mexico,@,Texas A&M,L,3,22,7.3,0,aj-butler-1
Rob Calabrese,2009-09-05,1,Central Florida,,Samford,W,2,-8,-4.0,0,rob-calabrese-1
Jermie Calhoun,2009-09-05,1,Oklahoma,N,Brigham Young,L,1,3,3.0,0,jermie-calhoun-1
Larry Caper,2009-09-05,1,Michigan State,,Montana State,W,7,34,4.9,0,larry-caper-1
Alex Carder,2009-09-05,1,Western Michigan,@,Michigan,L,1,0,0.0,0,alex-carder-1
Derek Carr,2009-09-05,1,Fresno State,,California-Davis,W,1,0,0.0,0,derek-carr-1
Tyron Carrier,2009-09-05,1,Houston,,Northwestern State,W,1,2,2.0,0,tyron-carrier-1
Austyn Carta-Samuels,2009-09-05,1,Wyoming,,Weber State,W,5,22,4.4,0,austyn-carta-samuels-1
Delone Carter,2009-09-05,1,Syracuse,,Minnesota,L,23,88,3.8,1,delone-carter-1
Jameson Carter,2009-09-05,1,Army,@,Eastern Michigan,W,5,52,10.4,1,jameson-carter-1
Paul Chaney Jr.,2009-09-05,1,Iowa,,Northern Iowa,W,1,28,28.0,0,paul-chaney-jr-1
Shaun Chapas,2009-09-05,1,Georgia,@,Oklahoma State,L,1,3,3.0,0,shaun-chapas-1
Matt Clapp,2009-09-05,1,Oklahoma,N,Brigham Young,L,1,1,1.0,0,matt-clapp-1
Asher Clark,2009-09-05,1,Air Force,,Nicholls State,W,6,66,11.0,0,asher-clark-1
Daryll Clark,2009-09-05,1,Penn State,,Akron,W,3,5,1.7,0,daryll-clark-1
Ryan Clarke,2009-09-05,1,West Virginia,,Liberty,W,2,5,2.5,1,ryan-clarke-1
Jimmy Clausen,2009-09-05,1,Notre Dame,,Nevada,W,2,1,0.5,0,jimmy-clausen-1
Mike Clausen,2009-09-05,1,Nevada-Las Vegas,,Sacramento State,W,6,13,2.2,1,mike-clausen-1
John Clay,2009-09-05,1,Wisconsin,,Northern Illinois,W,15,43,2.9,2,john-clay-1
Omar Clayton,2009-09-05,1,Nevada-Las Vegas,,Sacramento State,W,5,20,4.0,0,omar-clayton-1
Danny Coale,2009-09-05,1,Virginia Tech,N,Alabama,L,1,5,5.0,0,danny-coale-1
Randall Cobb,2009-09-05,1,Kentucky,N,Miami (OH),W,1,11,11.0,1,randall-cobb-1
Wesley Cobb,2009-09-05,1,Air Force,,Nicholls State,W,3,9,3.0,0,wesley-cobb-1
Carson Coffman,2009-09-05,1,Kansas State,,Massachusetts,W,9,12,1.3,1,carson-coffman-1
Ryan Colburn,2009-09-05,1,Fresno State,,California-Davis,W,2,7,3.5,1,ryan-colburn-1
Derrick Coleman,2009-09-05,1,UCLA,,San Diego State,W,4,69,17.3,1,derrick-coleman-1
