Player,Date,G,School,Loc,Opponent,WL,Kick Ret,Kick Ret Yds,Kick Ret Avg,Kick Ret TD,unique_id
Kenjon Barner,2009-09-03,1,Oregon,@,Boise State,L,1,29,29.0,0,kenjon-barner-1
Dawaylon Cook,2009-09-03,1,North Texas,@,Ball State,W,2,47,23.5,0,dawaylon-cook-1
Chris Culliver,2009-09-03,1,South Carolina,@,North Carolina State,W,2,39,19.5,0,chris-culliver-1
Tandon Doss,2009-09-03,1,Indiana,,Eastern Kentucky,W,1,32,32.0,0,tandon-doss-1
Lance Dunbar,2009-09-03,1,North Texas,@,Ball State,W,1,13,13.0,0,lance-dunbar-1
Torieal Gibson,2009-09-03,1,Ball State,,North Texas,L,1,21,21.0,0,torieal-gibson-1
T.J. Graham,2009-09-03,1,North Carolina State,,South Carolina,L,2,39,19.5,0,tj-graham-1
Kee-Ayre Griffin,2009-09-03,1,Temple,,Villanova,L,5,123,24.6,0,kee-ayre-griffin-1
Talmadge Jackson III,2009-09-03,1,Oregon,@,Boise State,L,1,17,17.0,0,talmadge-jackson-iii-1
Eugene Jarvis,2009-09-03,1,Kent State,,Coastal Carolina,W,1,17,17.0,0,eugene-jarvis-1
Jerrel Jernigan,2009-09-03,1,Troy,@,Bowling Green State,L,2,66,33.0,0,jerrel-jernigan-1
Taylor Mansfield,2009-09-03,1,Iowa State,,North Dakota State,W,1,9,9.0,0,taylor-mansfield-1
Doug Martin,2009-09-03,1,Boise State,,Oregon,W,1,33,33.0,0,doug-martin-1
Derek McBryde,2009-09-03,1,Kent State,,Coastal Carolina,W,1,16,16.0,0,derek-mcbryde-1
Demetrius McCray,2009-09-03,1,Indiana,,Eastern Kentucky,W,1,17,17.0,0,demetrius-mccray-1
David McDowell,2009-09-03,1,Troy,@,Bowling Green State,L,3,29,9.7,0,david-mcdowell-2
Nick Polk,2009-09-03,1,Indiana,,Eastern Kentucky,W,1,29,29.0,0,nick-polk-1
David Reed,2009-09-03,1,Utah,,Utah State,W,3,72,24.0,0,david-reed-1
Omar Sawyer,2009-09-03,1,Utah State,@,Utah,L,3,47,15.7,0,omar-sawyer-1
David Sims,2009-09-03,1,Iowa State,,North Dakota State,W,3,111,37.0,0,david-sims-1
Shaky Smithson,2009-09-03,1,Utah,,Utah State,W,1,21,21.0,0,shaky-smithson-1
Walter Thurmond III,2009-09-03,1,Oregon,@,Boise State,L,2,49,24.5,0,walter-thurmond-iii-1
Charlie Todd,2009-09-03,1,Ball State,,North Texas,L,2,27,13.5,0,charlie-todd-1
Seth White,2009-09-03,1,Ball State,,North Texas,L,1,19,19.0,0,seth-white-1
Roger Williams,2009-09-03,1,Bowling Green State,,Troy,W,3,61,20.3,0,roger-williams-3
Titus Young,2009-09-03,1,Boise State,,Oregon,W,2,58,29.0,0,titus-young-1
D.J. Banks,2009-09-04,1,Tulane,,Tulsa,L,4,62,15.5,0,dj-banks-1
Laquentin Black,2009-09-04,1,Tulsa,@,Tulane,W,1,7,7.0,0,laquentin-black-1
Payten Jason,2009-09-04,1,Tulane,,Tulsa,L,3,64,21.3,0,payten-jason-1
Damaris Johnson,2009-09-04,1,Tulsa,@,Tulane,W,3,76,25.3,0,damaris-johnson-1
Kealoha Pilares,2009-09-04,1,Hawaii,,Central Arkansas,W,1,24,24.0,0,kealoha-pilares-1
Jovonte Taylor,2009-09-04,1,Hawaii,,Central Arkansas,W,4,103,25.8,0,jovonte-taylor-1
Royce Adams,2009-09-05,1,Purdue,,Toledo,W,1,15,15.0,0,royce-adams-1
Luther Ambrose,2009-09-05,1,Louisiana-Monroe,@,Texas,L,5,105,21.0,0,luther-ambrose-1
Keola Antolin,2009-09-05,1,Arizona,,Central Michigan,W,2,64,32.0,0,keola-antolin-1
Javier Arenas,2009-09-05,1,Alabama,N,Virginia Tech,W,3,55,18.3,0,javier-arenas-1
Tavon Austin,2009-09-05,1,West Virginia,,Liberty,W,1,14,14.0,0,tavon-austin-1
Terrence Austin,2009-09-05,1,UCLA,,San Diego State,W,2,98,49.0,0,terrence-austin-1
Kama Bailey,2009-09-05,1,Idaho,@,New Mexico State,W,1,33,33.0,0,kama-bailey-1
Mikail Baker,2009-09-05,1,Baylor,@,Wake Forest,W,2,38,19.0,0,mikail-baker-1
Darin Baldwin,2009-09-05,1,Central Florida,,Samford,W,1,72,72.0,0,darin-baldwin-1
Mike Ball,2009-09-05,1,Nevada,@,Notre Dame,L,3,66,22.0,0,mike-ball-1
Brandon Banks,2009-09-05,1,Kansas State,,Massachusetts,W,2,40,20.0,0,brandon-banks-1
Julian Bellinger,2009-09-05,1,Toledo,@,Purdue,L,6,131,21.8,0,julian-bellinger-1
Arrelious Benn,2009-09-05,1,Illinois,N,Missouri,L,1,23,23.0,0,arrelious-benn-1
Leon Berry,2009-09-05,1,Mississippi State,,Jackson State,W,1,38,38.0,0,leon-berry-1
Jahvid Best,2009-09-05,1,California,,Maryland,W,1,18,18.0,0,jahvid-best-1
