Player,Date,G,School,Loc,Opponent,WL,Punt Ret,Punt Ret Yds,Punt Ret Avg,Punt Ret TD,unique_id
Doug Baldwin,2008-08-28,1,Stanford,,Oregon State,W,1,2,2.0,0,doug-baldwin-1
Travis Benjamin,2008-08-28,1,Miami (FL),,Charleston Southern,W,3,24,8.0,0,travis-benjamin-1
Antonio Brown,2008-08-28,1,Central Michigan,,Eastern Illinois,W,3,64,21.3,0,antonio-brown-1
Jorrick Calvin,2008-08-28,1,Troy,@,Middle Tennessee State,W,1,1,1.0,0,jorrick-calvin-1
John Cole,2008-08-28,1,Vanderbilt,@,Miami (OH),W,2,22,11.0,0,john-cole-1
Thearon Collier,2008-08-28,1,Miami (FL),,Charleston Southern,W,1,8,8.0,0,thearon-collier-1
Graig Cooper,2008-08-28,1,Miami (FL),,Charleston Southern,W,1,66,66.0,1,graig-cooper-1
Dwain Crawford,2008-08-28,1,Baylor,,Wake Forest,L,1,0,0.0,0,dwain-crawford-1
Eugene Harris,2008-08-28,1,Miami (OH),,Vanderbilt,L,2,9,4.5,0,eugene-harris-1
B.J. Hill,2008-08-28,1,Ball State,,Northeastern,W,3,90,30.0,0,bj-hill-2
Jasper Howard,2008-08-28,1,Connecticut,,Hofstra,W,2,42,21.0,0,jasper-howard-1
Geron James,2008-08-28,1,North Carolina State,@,South Carolina,L,1,0,0.0,0,geron-james-1
Jerrel Jernigan,2008-08-28,1,Troy,@,Middle Tennessee State,W,3,34,11.3,0,jerrel-jernigan-1
Devin McDowell,2008-08-28,1,Iowa State,,South Dakota State,W,2,13,6.5,0,devin-mcdowell-1
D.J. Moore,2008-08-28,1,Vanderbilt,@,Miami (OH),W,3,98,32.7,0,dj-moore-1
Jeff Moturi,2008-08-28,1,Texas-El Paso,@,Buffalo,L,1,13,13.0,0,jeff-moturi-1
Captain Munnerlyn,2008-08-28,1,South Carolina,,North Carolina State,W,3,34,11.3,0,captain-munnerlyn-1
Michael O'Connell,2008-08-28,1,Iowa State,,South Dakota State,W,1,16,16.0,0,michael-oconnell-1
Briggs Orsbon,2008-08-28,1,Ball State,,Northeastern,W,1,14,14.0,0,briggs-orsbon-1
Alphonso Smith,2008-08-28,1,Wake Forest,@,Baylor,W,2,15,7.5,0,alphonso-smith-1
Deangelo Smith,2008-08-28,1,Cincinnati,,Eastern Kentucky,W,2,13,6.5,0,deangelo-smith-1
Sammie Stroughter,2008-08-28,1,Oregon State,@,Stanford,L,3,9,3.0,0,sammie-stroughter-1
Deanthony White,2008-08-28,1,Eastern Michigan,,Indiana State,W,3,23,7.7,0,deanthony-white-1
D.J. Woods,2008-08-28,1,Cincinnati,,Eastern Kentucky,W,2,33,16.5,0,dj-woods-1
Delano Green,2008-08-29,1,Temple,@,Army,W,2,58,29.0,0,delano-green-1
Brandon King,2008-08-29,1,Rice,,Southern Methodist,W,2,14,7.0,0,brandon-king-3
Carlo Sandiego,2008-08-29,1,Army,,Temple,L,2,17,8.5,0,carlo-sandiego-1
Asher Allen,2008-08-30,1,Georgia,,Georgia Southern,W,3,54,18.0,0,asher-allen-1
Keola Antolin,2008-08-30,1,Arizona,,Idaho,W,2,8,4.0,0,keola-antolin-1
Javier Arenas,2008-08-30,1,Alabama,N,Clemson,W,2,23,11.5,0,javier-arenas-1
Orkeys Auriene,2008-08-30,1,Louisiana,@,Southern Mississippi,L,1,0,0.0,0,orkeys-auriene-1
Brandon Banks,2008-08-30,1,Kansas State,,North Texas,W,1,5,5.0,0,brandon-banks-1
Philip Beck,2008-08-30,1,Louisiana Tech,,Mississippi State,W,1,13,13.0,0,philip-beck-1
Aaron Berry,2008-08-30,1,Pittsburgh,,Bowling Green State,L,3,20,6.7,0,aaron-berry-1
Andy Brodell,2008-08-30,1,Iowa,,Maine,W,4,62,15.5,0,andy-brodell-1
Jereme Brooks,2008-08-30,1,Utah,@,Michigan,W,1,-1,-1.0,0,jereme-brooks-1
Daniel Bryant,2008-08-30,1,South Florida,,Tennessee-Martin,W,1,6,6.0,0,daniel-bryant-1
Dez Bryant,2008-08-30,1,Oklahoma State,@,Washington State,W,4,56,14.0,0,dez-bryant-1
Joe Burnett,2008-08-30,1,Central Florida,,South Carolina State,W,4,83,20.8,0,joe-burnett-1
Jairus Byrd,2008-08-30,1,Oregon,,Washington,W,5,78,15.6,0,jairus-byrd-1
Tyron Carrier,2008-08-30,1,Houston,,Southern,W,1,0,0.0,0,tyron-carrier-1
Brandon Carswell,2008-08-30,1,Southern California,@,Virginia,W,1,14,14.0,0,brandon-carswell-1
O'Neill Chambers,2008-08-30,1,Brigham Young,,Northern Iowa,W,1,7,7.0,0,oneill-chambers-1
Quan Cosby,2008-08-30,1,Texas,,Florida Atlantic,W,1,2,2.0,0,quan-cosby-1
Robert Dunn,2008-08-30,1,Auburn,,Louisiana-Monroe,W,3,68,22.7,1,robert-dunn-1
Marcus Edwards,2008-08-30,1,South Florida,,Tennessee-Martin,W,7,124,17.7,0,marcus-edwards-2
Ray Fisher,2008-08-30,1,Indiana,,Western Kentucky,W,1,17,17.0,0,ray-fisher-1
Kenneth Fontenette,2008-08-30,1,Houston,,Southern,W,3,38,12.7,0,kenneth-fontenette-1
Dominique Franks,2008-08-30,1,Oklahoma,,Chattanooga,W,3,8,2.7,0,dominique-franks-1
Darryl Freeney,2008-08-30,1,East Carolina,N,Virginia Tech,W,1,7,7.0,0,darryl-freeney-1
David Gilreath,2008-08-30,1,Wisconsin,,Akron,W,2,-3,-1.5,0,david-gilreath-1
D'Andre Goodwin,2008-08-30,1,Washington,@,Oregon,L,1,-1,-1.0,0,dandre-goodwin-1
