Player,Date,G,School,Loc,Opponent,WL,Rush Att,Rush Yard,Rush Avg,Rush TD,unique_id
Michael Alisa,2012-08-30,1,Brigham Young,,Washington State,W,13,54,4.2,0,michael-alisa-1
Dres Anderson,2012-08-30,1,Utah,,Northern Colorado,W,1,11,11.0,0,dres-anderson-1
Dri Archer,2012-08-30,1,Kent State,,Towson,W,8,54,6.8,2,dri-archer-1
James Baker,2012-08-30,1,Idaho,,Eastern Washington,L,7,28,4.0,0,james-baker-1
Horactio Banks,2012-08-30,1,Ball State,,Eastern Michigan,W,14,63,4.5,1,horactio-banks-1
Ryan Bass,2012-08-30,1,Idaho,,Eastern Washington,L,15,62,4.1,0,ryan-bass-1
Blake Bortles,2012-08-30,1,Central Florida,@,Akron,W,2,2,1.0,0,blake-bortles-1
Jordan Broadnax,2012-08-30,1,Massachusetts,@,Connecticut,L,2,-8,-4.0,0,jordan-broadnax-1
Leon Brooks,2012-08-30,1,Washington State,@,Brigham Young,L,2,2,1.0,0,leon-brooks-1
Jeremiah Bryson,2012-08-30,1,Middle Tennessee State,,McNeese State,L,1,3,3.0,0,jeremiah-bryson-1
Chris Burns,2012-08-30,1,Massachusetts,@,Connecticut,L,11,17,1.5,0,chris-burns-1
Logan Bushnell,2012-08-30,1,Idaho,,Eastern Washington,L,3,-10,-3.3,0,logan-bushnell-1
Teondray Caldwell,2012-08-30,1,Washington State,@,Brigham Young,L,4,4,1.0,0,teondray-caldwell-1
Drayton Calhoun,2012-08-30,1,Middle Tennessee State,,McNeese State,L,8,27,3.4,0,drayton-calhoun-1
Jawon Chisholm,2012-08-30,1,Akron,,Central Florida,L,7,17,2.4,0,jawon-chisholm-1
Robert Clay,2012-08-30,1,New Mexico State,,Sacramento State,W,11,33,3.0,1,robert-clay-1
Tim Cornett,2012-08-30,1,Nevada-Las Vegas,,Minnesota,L,25,127,5.1,2,tim-cornett-1
Michael Cox,2012-08-30,1,Massachusetts,@,Connecticut,L,5,-4,-0.8,0,michael-cox-1
Benny Cunningham,2012-08-30,1,Middle Tennessee State,,McNeese State,L,9,34,3.8,0,benny-cunningham-1
Imani Davis,2012-08-30,1,Akron,,Central Florida,L,1,2,2.0,0,imani-davis-1
Mike Davis,2012-08-30,1,South Carolina,@,Vanderbilt,W,1,4,4.0,0,mike-davis-9
Taylor Davis,2012-08-30,1,Idaho,,Eastern Washington,L,1,1,1.0,0,taylor-davis-1
Titus Davis,2012-08-30,1,Central Michigan,,Southeast Missouri State,W,1,9,9.0,0,titus-davis-1
Max Delorenzo,2012-08-30,1,Connecticut,,Massachusetts,W,4,22,5.5,0,max-delorenzo-1
A.J. Doyle,2012-08-30,1,Massachusetts,@,Connecticut,L,1,4,4.0,0,aj-doyle-1
Julian Durden,2012-08-30,1,Kent State,,Towson,W,2,3,1.5,0,julian-durden-1
Trayion Durham,2012-08-30,1,Kent State,,Towson,W,20,54,2.7,0,trayion-durham-1
Jeremy Eddington,2012-08-30,1,Rice,,UCLA,L,9,38,4.2,0,jeremy-eddington-1
Jahwan Edwards,2012-08-30,1,Ball State,,Eastern Michigan,W,20,200,10.0,3,jahwan-edwards-1
Michael Eubank,2012-08-30,1,Arizona State,,Northern Arizona,W,7,36,5.1,1,michael-eubank-1
Shaquelle Evans,2012-08-30,1,UCLA,@,Rice,W,1,3,3.0,0,shaquelle-evans-1
J.D. Falslev,2012-08-30,1,Brigham Young,,Washington State,W,2,7,3.5,0,jd-falslev-1
David Fisher,2012-08-30,1,Kent State,,Towson,W,2,-22,-11.0,0,david-fisher-1
David Foote,2012-08-30,1,Brigham Young,,Washington State,W,4,26,6.5,0,david-foote-1
D.J. Foster,2012-08-30,1,Arizona State,,Northern Arizona,W,8,67,8.4,1,dj-foster-1
Johnathan Franklin,2012-08-30,1,UCLA,@,Rice,W,15,214,14.3,3,johnathan-franklin-1
Tyler Gabbert,2012-08-30,1,Central Florida,@,Akron,W,1,-3,-3.0,0,tyler-gabbert-1
Anthony Garland,2012-08-30,1,Central Michigan,,Southeast Missouri State,W,17,102,6.0,1,anthony-garland-1
Alex Gillett,2012-08-30,1,Eastern Michigan,@,Ball State,L,11,81,7.4,1,alex-gillett-1
James Gillum,2012-08-30,1,Minnesota,@,Nevada-Las Vegas,W,14,51,3.6,1,james-gillum-1
Jeff Godfrey,2012-08-30,1,Central Florida,@,Akron,W,1,8,8.0,0,jeff-godfrey-1
Josh Grady,2012-08-30,1,Vanderbilt,,South Carolina,L,1,0,0.0,0,josh-grady-1
Marqueis Gray,2012-08-30,1,Minnesota,@,Nevada-Las Vegas,W,17,68,4.0,0,marqueis-gray-1
Javonti Greene,2012-08-30,1,Eastern Michigan,@,Ball State,L,9,62,6.9,0,javonti-greene-1
Marion Grice,2012-08-30,1,Arizona State,,Northern Arizona,W,14,107,7.6,3,marion-grice-1
Brandon Hamilton,2012-08-30,1,Rice,,UCLA,L,3,11,3.7,0,brandon-hamilton-1
Jamel Harbison,2012-08-30,1,Minnesota,@,Nevada-Las Vegas,W,1,2,2.0,0,jamel-harbison-1
Jerry Harris,2012-08-30,1,Central Michigan,,Southeast Missouri State,W,1,-3,-3.0,0,jerry-harris-1
Brynn Harvey,2012-08-30,1,Central Florida,@,Akron,W,5,13,2.6,0,brynn-harvey-1
Bronson Hill,2012-08-30,1,Eastern Michigan,@,Ball State,L,2,7,3.5,0,bronson-hill-1
Joe Hill,2012-08-30,1,Utah State,,Southern Utah,W,11,116,10.5,3,joe-hill-2
Taysom Hill,2012-08-30,1,Brigham Young,,Washington State,W,2,6,3.0,0,taysom-hill-1
Quentin Hines,2012-08-30,1,Akron,,Central Florida,L,6,37,6.2,0,quentin-hines-2
Brett Hundley,2012-08-30,1,UCLA,@,Rice,W,7,68,9.7,1,brett-hundley-1
Conor Hundley,2012-08-30,1,Akron,,Central Florida,L,3,4,1.3,0,conor-hundley-1
Martin Hyppolite,2012-08-30,1,Connecticut,,Massachusetts,W,3,5,1.7,0,martin-hyppolite-1
Broderick Jackson,2012-08-30,1,Rice,,UCLA,L,1,2,2.0,0,broderick-jackson-1
Jordon James,2012-08-30,1,UCLA,@,Rice,W,5,28,5.6,0,jordon-james-1
Storm Johnson,2012-08-30,1,Central Florida,@,Akron,W,12,34,2.8,2,storm-johnson-1
Malcolm Jones,2012-08-30,1,UCLA,@,Rice,W,3,10,3.3,0,malcolm-jones-1
Chuckie Keeton,2012-08-30,1,Utah State,,Southern Utah,W,7,3,0.4,0,chuckie-keeton-1
Spencer Keith,2012-08-30,1,Kent State,,Towson,W,3,7,2.3,1,spencer-keith-1
Taylor Kelly,2012-08-30,1,Arizona State,,Northern Arizona,W,6,43,7.2,0,taylor-kelly-1
Adam Kennedy,2012-08-30,1,Utah State,,Southern Utah,W,1,5,5.0,0,adam-kennedy-2
Brian Kimbrow,2012-08-30,1,Vanderbilt,,South Carolina,L,2,5,2.5,0,brian-kimbrow-1
Donnell Kirkwood,2012-08-30,1,Minnesota,@,Nevada-Las Vegas,W,13,81,6.2,0,donnell-kirkwood-1
Marcus Lattimore,2012-08-30,1,South Carolina,@,Vanderbilt,W,23,110,4.8,2,marcus-lattimore-1
Saylor Lavallii,2012-08-30,1,Central Michigan,,Southeast Missouri State,W,6,33,5.5,0,saylor-lavallii-1
Hakeem Lawrence,2012-08-30,1,Akron,,Central Florida,L,5,23,4.6,0,hakeem-lawrence-1
Kelvin Lee,2012-08-30,1,Utah State,,Southern Utah,W,6,20,3.3,0,kelvin-lee-1
Jahrie Level,2012-08-30,1,Idaho,,Eastern Washington,L,1,6,6.0,0,jahrie-level-1
Deantre Lewis,2012-08-30,1,Arizona State,,Northern Arizona,W,4,12,3.0,0,deantre-lewis-1
Andrew Manley,2012-08-30,1,New Mexico State,,Sacramento State,W,5,-12,-2.4,0,andrew-manley-1
Cameron Marshall,2012-08-30,1,Arizona State,,Northern Arizona,W,9,14,1.6,2,cameron-marshall-1
Robert Marshall,2012-08-30,1,Utah State,,Southern Utah,W,9,53,5.9,0,robert-marshall-2
Lyle McCombs,2012-08-30,1,Connecticut,,Massachusetts,W,23,82,3.6,1,lyle-mccombs-1
Scott McCummings,2012-08-30,1,Connecticut,,Massachusetts,W,7,13,1.9,1,scott-mccummings-1
Taylor McHargue,2012-08-30,1,Rice,,UCLA,L,22,95,4.3,1,taylor-mchargue-1
Anthony Meray,2012-08-30,1,Kent State,,Towson,W,2,7,3.5,0,anthony-meray-1
Kenny Miles,2012-08-30,1,South Carolina,@,Vanderbilt,W,1,3,3.0,0,kenny-miles-1
Germi Morrison,2012-08-30,1,New Mexico State,,Sacramento State,W,8,32,4.0,1,germi-morrison-1
Latavius Murray,2012-08-30,1,Central Florida,@,Akron,W,14,108,7.7,1,latavius-murray-1
Akeelie Mustafa,2012-08-30,1,New Mexico State,,Sacramento State,W,9,29,3.2,0,akeelie-mustafa-1
Riley Nelson,2012-08-30,1,Brigham Young,,Washington State,W,12,18,1.5,0,riley-nelson-1
Connor Odykirk,2012-08-30,1,Central Michigan,,Southeast Missouri State,W,1,-3,-3.0,0,connor-odykirk-1
Jarrell Oliver,2012-08-30,1,Utah,,Northern Colorado,W,7,20,2.9,0,jarrell-oliver-1
Jordan Parker,2012-08-30,1,Middle Tennessee State,,McNeese State,L,9,39,4.3,0,jordan-parker-1
Turner Petersen,2012-08-30,1,Rice,,UCLA,L,10,29,2.9,0,turner-petersen-1
Tiger Powell,2012-08-30,1,New Mexico State,,Sacramento State,W,7,19,2.7,2,tiger-powell-1
Iona Pritchard,2012-08-30,1,Brigham Young,,Washington State,W,1,-1,-1.0,0,iona-pritchard-1
Bradley Randle,2012-08-30,1,Nevada-Las Vegas,,Minnesota,L,10,45,4.5,0,bradley-randle-1
Jordan Rodgers,2012-08-30,1,Vanderbilt,,South Carolina,L,13,-8,-0.6,0,jordan-rodgers-1
Charles Ross,2012-08-30,1,Rice,,UCLA,L,2,2,1.0,0,charles-ross-1
Barrington Scott,2012-08-30,1,Ball State,,Eastern Michigan,W,14,49,3.5,0,barrington-scott-1
Mike Scott,2012-08-30,1,Idaho,,Eastern Washington,L,1,1,1.0,0,mike-scott-5
Connor Shaw,2012-08-30,1,South Carolina,@,Vanderbilt,W,14,92,6.6,0,connor-shaw-1
Dominique Sherrer,2012-08-30,1,Eastern Michigan,@,Ball State,L,10,30,3.0,0,dominique-sherrer-1
Nick Sherry,2012-08-30,1,Nevada-Las Vegas,,Minnesota,L,2,-13,-6.5,0,nick-sherry-1
Jamar Smith,2012-08-30,1,Massachusetts,@,Connecticut,L,1,2,2.0,0,jamar-smith-2
Richard Smith,2012-08-30,1,Arizona State,,Northern Arizona,W,3,26,8.7,0,richard-smith-4
Zac Stacy,2012-08-30,1,Vanderbilt,,South Carolina,L,13,48,3.7,0,zac-stacy-1
Wesley Tate,2012-08-30,1,Vanderbilt,,South Carolina,L,7,17,2.4,0,wesley-tate-1
Damien Thigpen,2012-08-30,1,UCLA,@,Rice,W,5,25,5.0,0,damien-thigpen-1
Cedric Thompson,2012-08-30,1,Central Florida,@,Akron,W,11,44,4.0,1,cedric-thompson-3
Dylan Thompson,2012-08-30,1,South Carolina,@,Vanderbilt,W,5,-4,-0.8,0,dylan-thompson-1
Zurlon Tipton,2012-08-30,1,Central Michigan,,Southeast Missouri State,W,17,180,10.6,3,zurlon-tipton-1
Abou Toure,2012-08-30,1,Utah State,,Southern Utah,W,2,6,3.0,0,abou-toure-1
Jeff Tuel,2012-08-30,1,Washington State,@,Brigham Young,L,6,-18,-3.0,0,jeff-tuel-1
Kenneth Walker,2012-08-30,1,UCLA,@,Rice,W,1,-5,-5.0,0,kenneth-walker-1
Mike Wegzyn,2012-08-30,1,Massachusetts,@,Connecticut,L,4,-8,-2.0,0,mike-wegzyn-1
Keith Wenning,2012-08-30,1,Ball State,,Eastern Michigan,W,6,20,3.3,0,keith-wenning-1
John White,2012-08-30,1,Utah,,Northern Colorado,W,24,119,5.0,1,john-white-9
Chandler Whitmer,2012-08-30,1,Connecticut,,Massachusetts,W,2,4,2.0,0,chandler-whitmer-1
Courtney Williams,2012-08-30,1,Central Michigan,,Southeast Missouri State,W,1,7,7.0,0,courtney-williams-2
Dalton Williams,2012-08-30,1,Akron,,Central Florida,L,4,-11,-2.8,0,dalton-williams-1
Jamaal Williams,2012-08-30,1,Brigham Young,,Washington State,W,6,15,2.5,0,jamaal-williams-1
Kerwynn Williams,2012-08-30,1,Utah State,,Southern Utah,W,15,63,4.2,0,kerwynn-williams-1
Nick Williams,2012-08-30,1,Connecticut,,Massachusetts,W,3,24,8.0,0,nick-williams-1
Travis Wilson,2012-08-30,1,Utah,,Northern Colorado,W,7,15,2.1,2,travis-wilson-4
Carl Winston,2012-08-30,1,Washington State,@,Brigham Young,L,4,7,1.8,0,carl-winston-1
Devon Wright,2012-08-30,1,Minnesota,@,Nevada-Las Vegas,W,1,7,7.0,0,devon-wright-1
Jordan Wynn,2012-08-30,1,Utah,,Northern Colorado,W,3,9,3.0,0,jordan-wynn-1
Kelvin York,2012-08-30,1,Utah,,Northern Colorado,W,5,19,3.8,0,kelvin-york-1
Le'Veon Bell,2012-08-31,1,Michigan State,,Boise State,W,44,210,4.8,2,leveon-bell-1
Tyler Bray,2012-08-31,1,Tennessee,N,North Carolina State,W,2,-5,-2.5,0,tyler-bray-1
Matt Brown,2012-08-31,1,Temple,,Villanova,W,19,145,7.6,1,matt-brown-1
Larry Caper,2012-08-31,1,Michigan State,,Boise State,W,3,11,3.7,0,larry-caper-1
Chris Coyer,2012-08-31,1,Temple,,Villanova,W,13,80,6.2,1,chris-coyer-1
Tony Creecy,2012-08-31,1,North Carolina State,N,Tennessee,L,10,48,4.8,1,tony-creecy-1
Stephen Curtis,2012-08-31,1,Florida Atlantic,,Wagner,W,7,26,3.7,0,stephen-curtis-1
Tyler Ervin,2012-08-31,1,San Jose State,@,Stanford,L,2,-7,-3.5,0,tyler-ervin-1
De'Leon Eskridge,2012-08-31,1,San Jose State,@,Stanford,L,11,29,2.6,0,deleon-eskridge-1
David Fales,2012-08-31,1,San Jose State,@,Stanford,L,5,-11,-2.2,0,david-fales-1
Jack Fields,2012-08-31,1,Boise State,@,Michigan State,L,1,2,2.0,0,jack-fields-1
Jalen Fitzpatrick,2012-08-31,1,Temple,,Villanova,W,1,0,0.0,0,jalen-fitzpatrick-1
Mike Glennon,2012-08-31,1,North Carolina State,N,Tennessee,L,6,6,1.0,0,mike-glennon-1
Clinton Granger,2012-08-31,1,Temple,,Villanova,W,1,11,11.0,0,clinton-granger-1
Mustafa Greene,2012-08-31,1,North Carolina State,N,Tennessee,L,11,53,4.8,0,mustafa-greene-1
D.J. Harper,2012-08-31,1,Boise State,@,Michigan State,L,15,8,0.5,0,dj-harper-1
Kenny Harper,2012-08-31,1,Temple,,Villanova,W,5,49,9.8,1,kenny-harper-1
Montel Harris,2012-08-31,1,Temple,,Villanova,W,5,12,2.4,0,montel-harris-1
Nick Hill,2012-08-31,1,Michigan State,,Boise State,W,2,4,2.0,0,nick-hill-1
Martese Jackson,2012-08-31,1,Florida Atlantic,,Wagner,W,21,99,4.7,0,martese-jackson-1
Chandler Jones,2012-08-31,1,San Jose State,@,Stanford,L,1,20,20.0,0,chandler-jones-1
Travis Jones,2012-08-31,1,Florida Atlantic,,Wagner,W,7,16,2.3,0,travis-jones-2
Blake Jurich,2012-08-31,1,San Jose State,@,Stanford,L,6,32,5.3,1,blake-jurich-1
Marlin Lane Jr.,2012-08-31,1,Tennessee,N,North Carolina State,W,9,75,8.3,0,marlin-lane-jr-1
Ina Liaina,2012-08-31,1,San Jose State,@,Stanford,L,2,7,3.5,0,ina-liaina-1
Tony Lippett,2012-08-31,1,Michigan State,,Boise State,W,1,-10,-10.0,0,tony-lippett-1
Rajion Neal,2012-08-31,1,Tennessee,N,North Carolina State,W,22,53,2.4,1,rajion-neal-1
Josh Nunes,2012-08-31,1,Stanford,,San Jose State,W,2,-5,-2.5,0,josh-nunes-1
Cordarrelle Patterson,2012-08-31,1,Tennessee,N,North Carolina State,W,2,72,36.0,1,cordarrelle-patterson-1
Jamal-Rashad Patterson,2012-08-31,1,Stanford,,San Jose State,W,1,12,12.0,0,jamal-rashad-patterson-1
Spencer Reid,2012-08-31,1,Temple,,Villanova,W,3,4,1.3,0,spencer-reid-1
Ricky Seale,2012-08-31,1,Stanford,,San Jose State,W,1,6,6.0,0,ricky-seale-1
Joe Southwick,2012-08-31,1,Boise State,@,Michigan State,L,4,18,4.5,0,joe-southwick-1
Stepfan Taylor,2012-08-31,1,Stanford,,San Jose State,W,26,116,4.5,1,stepfan-taylor-1
James Washington,2012-08-31,1,North Carolina State,N,Tennessee,L,5,12,2.4,1,james-washington-1
Graham Wilbert,2012-08-31,1,Florida Atlantic,,Wagner,W,6,23,3.8,0,graham-wilbert-1
Anthony Wilkerson,2012-08-31,1,Stanford,,San Jose State,W,6,24,4.0,0,anthony-wilkerson-1
Shane Williams-Rhodes,2012-08-31,1,Boise State,@,Michigan State,L,3,10,3.3,0,shane-williams-rhodes-1
Remound Wright,2012-08-31,1,Stanford,,San Jose State,W,3,5,1.7,0,remound-wright-1
Devrin Young,2012-08-31,1,Tennessee,N,North Carolina State,W,2,-2,-1.0,0,devrin-young-1
Jared Abbrederis,2012-09-01,1,Wisconsin,,Northern Iowa,W,2,-2,-1.0,0,jared-abbrederis-1
Ameer Abdullah,2012-09-01,1,Nebraska,,Southern Mississippi,W,15,81,5.4,0,ameer-abdullah-1
Kasey Akins,2012-09-01,1,Mississippi State,,Jackson State,W,5,6,1.2,0,kasey-akins-1
Justin Albert,2012-09-01,1,Troy,@,Alabama-Birmingham,W,8,50,6.3,0,justin-albert-1
Donnell Alexander,2012-09-01,1,Colorado State,N,Colorado,W,8,66,8.3,0,donnell-alexander-1
Anthony Alford,2012-09-01,1,Southern Mississippi,@,Nebraska,L,15,84,5.6,0,anthony-alford-1
Brandon Allen,2012-09-01,1,Arkansas,,Jacksonville State,W,2,30,15.0,0,brandon-allen-2
Keenan Allen,2012-09-01,1,California,,Nevada,L,2,35,17.5,1,keenan-allen-1
Leon Allen,2012-09-01,1,Western Kentucky,,Austin Peay,W,13,93,7.2,1,leon-allen-1
Shawne Alston,2012-09-01,1,West Virginia,,Marshall,W,16,123,7.7,2,shawne-alston-1
Alex Amidon,2012-09-01,1,Boston College,,Miami (FL),L,1,-1,-1.0,0,alex-amidon-1
David Anaya,2012-09-01,1,New Mexico,,Southern,W,7,65,9.3,0,david-anaya-1
C.J. Anderson,2012-09-01,1,California,,Nevada,L,14,66,4.7,0,cj-anderson-1
Antonio Andrews,2012-09-01,1,Western Kentucky,,Austin Peay,W,6,39,6.5,0,antonio-andrews-1
Deon Anthony,2012-09-01,1,Troy,@,Alabama-Birmingham,W,5,4,0.8,0,deon-anthony-1
Danny Anthrop,2012-09-01,1,Purdue,,Eastern Kentucky,W,2,11,5.5,0,danny-anthrop-1
Ryan Aplin,2012-09-01,1,Arkansas State,@,Oregon,L,12,37,3.1,1,ryan-aplin-1
Brandon Armstrong,2012-09-01,1,Texas-San Antonio,@,South Alabama,W,6,17,2.8,0,brandon-armstrong-1
David Ash,2012-09-01,1,Texas,,Wyoming,W,5,8,1.6,0,david-ash-1
George Atkinson III,2012-09-01,1,Notre Dame,N,Navy,W,9,99,11.0,2,george-atkinson-iii-1
Tavon Austin,2012-09-01,1,West Virginia,,Marshall,W,3,66,22.0,0,tavon-austin-1
Demetre Baker,2012-09-01,1,South Alabama,,Texas-San Antonio,L,12,63,5.3,1,demetre-baker-1
Montee Ball,2012-09-01,1,Wisconsin,,Northern Iowa,W,32,120,3.8,1,montee-ball-1
Kenjon Barner,2012-09-01,1,Oregon,,Arkansas State,W,9,66,7.3,2,kenjon-barner-1
Kenny Bassett,2012-09-01,1,Oregon,,Arkansas State,W,1,1,1.0,0,kenny-bassett-1
Isaiah Battle,2012-09-01,1,Texas State,@,Houston,W,2,-1,-0.5,0,isaiah-battle-1
Lovante Battle,2012-09-01,1,Virginia,,Richmond,W,1,22,22.0,0,lovante-battle-1
Blake Bell,2012-09-01,1,Oklahoma,@,Texas-El Paso,W,4,26,6.5,0,blake-bell-1
Josh Bell,2012-09-01,1,Texas-El Paso,,Oklahoma,L,1,3,3.0,0,josh-bell-2
Kenny Bell,2012-09-01,1,Nebraska,,Southern Mississippi,W,1,7,7.0,0,kenny-bell-2
Bill Belton,2012-09-01,1,Penn State,,Ohio,L,13,53,4.1,0,bill-belton-1
Bryan Bennett,2012-09-01,1,Oregon,,Arkansas State,W,4,34,8.5,0,bryan-bennett-1
C.J. Bennett,2012-09-01,1,South Alabama,,Texas-San Antonio,L,9,12,1.3,0,cj-bennett-1
Corey Bennett,2012-09-01,1,Oklahoma State,,Savannah State,W,12,91,7.6,1,corey-bennett-1
Isaac Bennett,2012-09-01,1,Pittsburgh,,Youngstown State,L,10,42,4.2,1,isaac-bennett-1
Joe Bergeron,2012-09-01,1,Texas,,Wyoming,W,15,110,7.3,2,joe-bergeron-1
Corbin Berkstresser,2012-09-01,1,Missouri,,Southeastern Louisiana,W,5,25,5.0,1,corbin-berkstresser-1
Giovani Bernard,2012-09-01,1,North Carolina,,Elon,W,9,93,10.3,1,giovani-bernard-1
Brendan Bigelow,2012-09-01,1,California,,Nevada,L,1,3,3.0,0,brendan-bigelow-1
Mike Blakely,2012-09-01,1,Auburn,N,Clemson,L,1,2,2.0,0,mike-blakely-1
Beau Blankenship,2012-09-01,1,Ohio,@,Penn State,W,31,109,3.5,0,beau-blankenship-1
A.J. Blue,2012-09-01,1,North Carolina,,Elon,W,9,39,4.3,2,aj-blue-1
Alfred Blue,2012-09-01,1,Louisiana State,,North Texas,W,16,123,7.7,0,alfred-blue-1
Anthony Boone,2012-09-01,1,Duke,,Florida International,W,2,7,3.5,0,anthony-boone-1
Zach Boren,2012-09-01,1,Ohio State,,Miami (OH),W,2,10,5.0,1,zach-boren-1
Dalton Botts,2012-09-01,1,Miami (FL),@,Boston College,W,1,-1,-1.0,0,dalton-botts-1
Austin Boucher,2012-09-01,1,Miami (OH),@,Ohio State,L,2,-8,-4.0,0,austin-boucher-1
Brandon Bourbon,2012-09-01,1,Kansas,,South Dakota State,W,5,17,3.4,0,brandon-bourbon-1
Jheranie Boyd,2012-09-01,1,North Carolina,,Elon,W,2,-10,-5.0,0,jheranie-boyd-1
Tajh Boyd,2012-09-01,1,Clemson,N,Auburn,W,19,58,3.1,0,tajh-boyd-1
Ryan Boykin,2012-09-01,1,Ohio,@,Penn State,W,3,9,3.0,0,ryan-boykin-1
Tyre Bracken,2012-09-01,1,Southern Mississippi,@,Nebraska,L,2,2,1.0,0,tyre-bracken-1
Quan Bray,2012-09-01,1,Auburn,N,Clemson,L,1,-1,-1.0,0,quan-bray-1
