Player,Date,G,School,Loc,Opponent,WL,Rec,Rec Yards,Rec Avg,Rec TD,unique_id
Davante Adams,2013-08-29,1,Fresno State,,Rutgers,W,14,148,10.6,2,davante-adams-1
Nelson Agholor,2013-08-29,1,Southern California,@,Hawaii,W,2,35,17.5,1,nelson-agholor-1
Keegan Andersen,2013-08-29,1,Utah State,@,Utah,L,1,2,2.0,0,keegan-andersen-1
Dres Anderson,2013-08-29,1,Utah,,Utah State,W,2,59,29.5,1,dres-anderson-1
Taylor Barnhill,2013-08-29,1,Nevada-Las Vegas,@,Minnesota,L,2,1,0.5,1,taylor-barnhill-1
Alex Bayer,2013-08-29,1,Bowling Green State,,Tulsa,W,1,12,12.0,0,alex-bayer-1
Tyler Beck,2013-08-29,1,Bowling Green State,,Tulsa,W,2,25,12.5,0,tyler-beck-1
Fransohn Bickley,2013-08-29,1,Akron,@,Central Florida,L,3,26,8.7,0,fransohn-bickley-1
Spencer Bishop,2013-08-29,1,Wake Forest,,Presbyterian,W,1,20,20.0,1,spencer-bishop-1
A.J. Blue,2013-08-29,1,North Carolina,@,South Carolina,L,2,13,6.5,0,aj-blue-1
Ted Bolser,2013-08-29,1,Indiana,,Indiana State,W,6,78,13.0,2,ted-bolser-1
Josh Boyle,2013-08-29,1,Kent State,,Liberty,W,3,14,4.7,0,josh-boyle-1
Devon Breaux,2013-08-29,1,Tulane,,Jackson State,W,1,11,11.0,1,devon-breaux-1
K.J. Brent,2013-08-29,1,South Carolina,,North Carolina,W,1,9,9.0,0,kj-brent-1
Ryan Burbrink,2013-08-29,1,Bowling Green State,,Tulsa,W,2,24,12.0,0,ryan-burbrink-1
Isaiah Burse,2013-08-29,1,Fresno State,,Rutgers,W,13,118,9.1,0,isaiah-burse-1
Michael Burton,2013-08-29,1,Rutgers,@,Fresno State,L,2,14,7.0,0,michael-burton-1
Dante Butler,2013-08-29,1,Tulane,,Jackson State,W,1,28,28.0,0,dante-butler-1
Damiere Byrd,2013-08-29,1,South Carolina,,North Carolina,W,2,22,11.0,0,damiere-byrd-1
Jabari Carr,2013-08-29,1,San Jose State,,Sacramento State,W,2,12,6.0,0,jabari-carr-1
Paul Carrezola,2013-08-29,1,Rutgers,@,Fresno State,L,1,11,11.0,0,paul-carrezola-1
Leonte Carroo,2013-08-29,1,Rutgers,@,Fresno State,L,5,135,27.0,3,leonte-carroo-1
Jawon Chisholm,2013-08-29,1,Akron,@,Central Florida,L,1,3,3.0,0,jawon-chisholm-1
Devin Clarke,2013-08-29,1,Middle Tennessee State,,Western Carolina,W,2,34,17.0,0,devin-clarke-1
Brandon Coleman,2013-08-29,1,Rutgers,@,Fresno State,L,9,94,10.4,2,brandon-coleman-2
Christian Collis,2013-08-29,1,Middle Tennessee State,,Western Carolina,W,1,11,11.0,0,christian-collis-1
Jacob Corbaley,2013-08-29,1,Middle Tennessee State,,Western Carolina,W,1,10,10.0,1,jacob-corbaley-1
Tim Cornett,2013-08-29,1,Nevada-Las Vegas,@,Minnesota,L,2,17,8.5,0,tim-cornett-1
Jefferson Court,2013-08-29,1,Utah State,@,Utah,L,1,5,5.0,0,jefferson-court-1
Aaron Criswell,2013-08-29,1,Nevada-Las Vegas,@,Minnesota,L,2,16,8.0,0,aaron-criswell-1
Jared Crump,2013-08-29,1,Wake Forest,,Presbyterian,W,3,26,8.7,0,jared-crump-1
Devante Davis,2013-08-29,1,Nevada-Las Vegas,@,Minnesota,L,7,77,11.0,1,devante-davis-1
Geremy Davis,2013-08-29,1,Connecticut,,Towson,L,5,100,20.0,0,geremy-davis-1
Imani Davis,2013-08-29,1,Akron,@,Central Florida,L,2,13,6.5,1,imani-davis-1
Quinshad Davis,2013-08-29,1,North Carolina,@,South Carolina,L,4,39,9.8,1,quinshad-davis-1
Max Delorenzo,2013-08-29,1,Connecticut,,Towson,L,1,11,11.0,0,max-delorenzo-1
Anthony Denham,2013-08-29,1,Utah,,Utah State,W,6,113,18.8,0,anthony-denham-1
Cris Dinham,2013-08-29,1,South Alabama,,Southern Utah,L,1,4,4.0,0,cris-dinham-1
Ja'Terian Douglas,2013-08-29,1,Tulsa,@,Bowling Green State,L,2,2,1.0,0,jaterian-douglas-1
