Player,Date,G,School,Loc,Opponent,WL,FR,FR Yds,FR TD,Fumble Forced,unique_id
Johnathan Aiken,2014-08-28,1,Rutgers,@,Washington State,W,0,,,1,johnathan-aiken-1
Boye Aromire,2014-08-28,1,Temple,@,Vanderbilt,W,0,,,1,boye-aromire-2
Osirius Burke,2014-08-28,1,San Jose State,,North Dakota,W,0,,,1,osirius-burke-1
Avery Ellis,2014-08-28,1,Temple,@,Vanderbilt,W,0,,,1,avery-ellis-1
Desmond Floyd,2014-08-28,1,Wake Forest,@,Louisiana-Monroe,L,1,,,1,desmond-floyd-1
Alex Keith,2014-08-28,1,Minnesota,,Eastern Illinois,W,2,,,1,alex-keith-1
Lowell Lotulelei,2014-08-28,1,Utah,,Idaho State,W,0,,,1,lowell-lotulelei-1
Brandon Mayes,2014-08-28,1,Northern Illinois,,Presbyterian,W,0,,,1,brandon-mayes-2
Maurice McKnight,2014-08-28,1,San Jose State,,North Dakota,W,0,,,1,maurice-mcknight-1
Marlon Moore,2014-08-28,1,Northern Illinois,,Presbyterian,W,0,,,1,marlon-moore-3
Jeremy Smith,2014-08-28,1,Tulsa,,Tulane,W,0,,,1,jeremy-smith-3
Nate D. Smith,2014-08-28,1,Temple,@,Vanderbilt,W,0,,,1,nate-d-smith-1
Tre Tarpley,2014-08-28,1,Vanderbilt,,Temple,L,0,,,1,tre-tarpley-1
Channing Ward,2014-08-28,1,Mississippi,N,Boise State,W,0,,,1,channing-ward-1
Kyle Woestmann,2014-08-28,1,Vanderbilt,,Temple,L,0,,,1,kyle-woestmann-1
Jourdon Grandon,2014-08-29,1,Arizona,,Nevada-Las Vegas,W,0,,,1,jourdon-grandon-1
Jens Jeters,2014-08-29,1,Texas-San Antonio,@,Houston,W,1,,,1,jens-jeters-1
Junior Joseph,2014-08-29,1,Connecticut,,Brigham Young,L,1,,,1,junior-joseph-1
Bronson Kaufusi,2014-08-29,1,Brigham Young,@,Connecticut,W,0,,,1,bronson-kaufusi-1
Jherremya Leuta-Douyere,2014-08-29,1,Brigham Young,@,Connecticut,W,0,,,1,jherremya-leuta-douyere-1
Gabe Martin,2014-08-29,1,Bowling Green State,@,Western Kentucky,L,1,,,1,gabe-martin-1
Derek McCartney,2014-08-29,1,Colorado,N,Colorado State,L,0,,,1,derek-mccartney-1
Robert Singletary,2014-08-29,1,Texas-San Antonio,@,Houston,W,0,,,1,robert-singletary-1
Jordan Sparkman,2014-08-29,1,Nevada-Las Vegas,@,Arizona,L,0,,,1,jordan-sparkman-1
Graham Stewart,2014-08-29,1,Connecticut,,Brigham Young,L,0,,,1,graham-stewart-1
Bryan Thomas,2014-08-29,1,Bowling Green State,@,Western Kentucky,L,0,,,1,bryan-thomas-4
Boris Anyama,2014-08-30,1,Louisiana,,Southern,W,0,,,1,boris-anyama-1
Tevin Beanum,2014-08-30,1,Arkansas,@,Auburn,L,0,,,1,tevin-beanum-1
Joey Bosa,2014-08-30,1,Ohio State,N,Navy,W,0,,,1,joey-bosa-1
Devaris Brunson,2014-08-30,1,East Carolina,,North Carolina Central,W,0,,,1,devaris-brunson-1
Devin Butler,2014-08-30,1,Notre Dame,,Rice,W,0,,,1,devin-butler-1
Jermaine Carter Jr.,2014-08-30,1,Maryland,,James Madison,W,0,,,1,jermaine-carter-jr-1
Henry Coley,2014-08-30,1,Virginia,,UCLA,L,0,,,1,henry-coley-1
Cayson Collins,2014-08-30,1,North Carolina,,Liberty,W,0,,,1,cayson-collins-1
Chris Collins,2014-08-30,1,Toledo,,New Hampshire,W,0,,,1,chris-collins-3
Brandon Crawford,2014-08-30,1,Buffalo,,Duquesne,W,0,,,1,brandon-crawford-2
Jon Cunningham,2014-08-30,1,Kent State,,Ohio,L,0,,,1,jon-cunningham-1
Reggie Daniels,2014-08-30,1,Oregon,,South Dakota,W,0,,,1,reggie-daniels-1
Mershad Dillon,2014-08-30,1,Texas State,,Arkansas-Pine Bluff,W,0,,,1,mershad-dillon-1
Alex Dixon,2014-08-30,1,North Carolina,,Liberty,W,0,,,1,alex-dixon-1
Michael Doctor,2014-08-30,1,Oregon State,,Portland State,W,1,,,1,michael-doctor-1
Alvin Dupree,2014-08-30,1,Kentucky,,Tennessee-Martin,W,0,,,1,alvin-dupree-1
Jordan Evans,2014-08-30,1,Oklahoma,,Louisiana Tech,W,0,,,1,jordan-evans-1
Randall Evans,2014-08-30,1,Kansas State,,Stephen F. Austin,W,0,,,1,randall-evans-1
Leonard Floyd,2014-08-30,1,Georgia,,Clemson,W,0,,,1,leonard-floyd-1
