Player,Date,G,School,Loc,Opponent,WL,FR,FR Yds,FR TD,Fumble Forced,unique_id
Kyree Campbell,2019-08-24,1,Florida,N,Miami (FL),W,0,,,1,kyree-campbell-1
Trey Dean III,2019-08-24,1,Florida,N,Miami (FL),W,0,,,1,trey-dean-iii-1
Christian Young,2019-08-24,1,Arizona,@,Hawaii,L,1,,,2,christian-young-2
Shawn Burgess-Becker,2019-08-29,1,Central Florida,,Florida A&M,W,0,,,1,shawn-burgess-becker-1
Kholbe Coleman,2019-08-29,1,Bowling Green State,,Morgan State,W,1,,,1,kholbe-coleman-1
Elijah Gates,2019-08-29,1,UCLA,@,Cincinnati,L,0,,,1,elijah-gates-1
Jamal Gates,2019-08-29,1,Florida International,@,Tulane,L,0,,,1,jamal-gates-1
Jalen Jones,2019-08-29,1,Arizona State,,Kent State,W,0,,,1,jack-jones-5
Khaylan Kearse-Thomas,2019-08-29,1,Arizona State,,Kent State,W,0,,,1,khaylan-kearse-thomas-1
Malcolm Koonce,2019-08-29,1,Buffalo,,,W,0,,,1,malcolm-koonce-1
Michael Oliver,2019-08-29,1,Central Michigan,,Albany,W,0,,,1,michael-oliver-1
Akeam Peters,2019-08-29,1,Kent State,@,Arizona State,L,0,,,1,akeam-peters-1
Merlin Robertson,2019-08-29,1,Arizona State,,Kent State,W,0,,,1,merlin-robertson-1
Chad Smith,2019-08-29,1,Clemson,,Georgia Tech,W,0,,,1,chad-smith-5
Demond Stewart,2019-08-29,1,UNC Charlotte,,Gardner-Webb,W,0,,,1,demond-stewart-1
Anthony Taylor,2019-08-29,1,Texas State,@,Texas A&M,L,0,,,1,anthony-taylor-7
Juanyeh Thomas,2019-08-29,1,Georgia Tech,@,Clemson,L,0,,,1,juanyeh-thomas-1
Kobe Williams,2019-08-29,1,Arizona State,,Kent State,W,0,,,1,kobe-williams-1
Zack Baun,2019-08-30,1,Wisconsin,@,South Florida,W,0,,,1,zack-baun-1
