Player,Date,G,School,Loc,Opponent,WL,Kick Ret,Kick Ret Yds,Kick Ret Avg,Kick Ret TD,unique_id
Dri Archer,2012-08-30,1,Kent State,,Towson,W,2,155,77.5,1,dri-archer-1
Jordan Broadnax,2012-08-30,1,Massachusetts,@,Connecticut,L,5,97,19.4,0,jordan-broadnax-1
Teondray Caldwell,2012-08-30,1,Washington State,@,Brigham Young,L,5,135,27.0,0,teondray-caldwell-1
Steven Clarke,2012-08-30,1,Vanderbilt,,South Carolina,L,1,23,23.0,0,steven-clarke-1
Tim Cornett,2012-08-30,1,Nevada-Las Vegas,,Minnesota,L,1,13,13.0,0,tim-cornett-1
Imani Davis,2012-08-30,1,Akron,,Central Florida,L,2,29,14.5,0,imani-davis-1
Jonathan Davis,2012-08-30,1,Central Florida,@,Akron,W,1,11,11.0,0,jonathan-davis-1
Zac Epping,2012-08-30,1,Minnesota,@,Nevada-Las Vegas,W,1,13,13.0,0,zac-epping-1
Joe Fleming,2012-08-30,1,Eastern Michigan,@,Ball State,L,1,0,0.0,0,joe-fleming-1
Malachi Freeman,2012-08-30,1,Akron,,Central Florida,L,2,36,18.0,0,malachi-freeman-1
Rickey Galvin,2012-08-30,1,Washington State,@,Brigham Young,L,1,5,5.0,0,rickey-galvin-1
Kenneth Gilstrap,2012-08-30,1,Middle Tennessee State,,McNeese State,L,2,76,38.0,0,kenneth-gilstrap-1
Devonta Glover-Wright,2012-08-30,1,Utah State,,Southern Utah,W,1,23,23.0,0,devonta-glover-wright-1
Jeff Godfrey,2012-08-30,1,Central Florida,@,Akron,W,1,0,0.0,0,jeff-godfrey-1
Drew Goodger,2012-08-30,1,Minnesota,@,Nevada-Las Vegas,W,1,5,5.0,0,drew-goodger-1
Kyle Griswould,2012-08-30,1,Middle Tennessee State,,McNeese State,L,2,42,21.0,0,kyle-griswould-1
Andre Hal,2012-08-30,1,Vanderbilt,,South Carolina,L,2,61,30.5,0,andre-hal-1
Jerry Harris,2012-08-30,1,Central Michigan,,Southeast Missouri State,W,4,64,16.0,0,jerry-harris-1
Chuck Jacobs,2012-08-30,1,Utah State,,Southern Utah,W,1,21,21.0,0,chuck-jacobs-1
