Player,Date,G,School,Loc,Opponent,WL,XP Made,XP Att,XP %,FG Made,FG Att,FG %,Pts,unique_id
Andrew Aguila,2008-08-28,1,Central Michigan,,Eastern Illinois,W,4,4,100.0,1,1,100.0,7,andrew-aguila-1
Scott Blair,2008-08-28,1,Georgia Tech,,Jacksonville State,W,5,6,83.3,0,2,0.0,5,scott-blair-1
Matt Bosher,2008-08-28,1,Miami (FL),,Charleston Southern,W,7,7,100.0,1,1,100.0,10,matt-bosher-1
Joe Carithers,2008-08-28,1,Eastern Michigan,,Indiana State,W,6,6,100.0,1,1,100.0,9,joe-carithers-1
Tony Ciaravino,2008-08-28,1,Connecticut,,Hofstra,W,5,5,100.0,0,0,,5,tony-ciaravino-1
Alan Gendreau,2008-08-28,1,Middle Tennessee State,,Troy,L,2,2,100.0,1,1,100.0,5,alan-gendreau-1
Sam Glusman,2008-08-28,1,Troy,@,Middle Tennessee State,W,4,4,100.0,1,1,100.0,7,sam-glusman-1
Bryant Hahnfeldt,2008-08-28,1,Vanderbilt,@,Miami (OH),W,4,4,100.0,2,2,100.0,10,bryant-hahnfeldt-1
Zach Johnson,2008-08-28,1,Eastern Michigan,,Indiana State,W,1,1,100.0,0,0,,1,zach-johnson-1
Justin Kahut,2008-08-28,1,Oregon State,@,Stanford,L,2,2,100.0,2,2,100.0,8,justin-kahut-1
Grant Mahoney,2008-08-28,1,Iowa State,,South Dakota State,W,5,5,100.0,3,3,100.0,14,grant-mahoney-1
Jose Martinez,2008-08-28,1,Texas-El Paso,@,Buffalo,L,2,2,100.0,1,2,50.0,5,jose-martinez-1
Ian McGarvey,2008-08-28,1,Ball State,,Northeastern,W,6,6,100.0,2,2,100.0,12,ian-mcgarvey-1
Ben Parks,2008-08-28,1,Baylor,,Wake Forest,L,1,2,50.0,0,0,,1,ben-parks-1
Nathan Parseghian,2008-08-28,1,Miami (OH),,Vanderbilt,L,1,1,100.0,2,2,100.0,7,nathan-parseghian-1
A.J. Principe,2008-08-28,1,Buffalo,,Texas-El Paso,W,6,6,100.0,0,0,,6,aj-principe-1
Jake Rogers,2008-08-28,1,Cincinnati,,Eastern Kentucky,W,0,2,0.0,0,0,,0,jake-rogers-1
Ryan Succop,2008-08-28,1,South Carolina,,North Carolina State,W,4,4,100.0,2,2,100.0,10,ryan-succop-1
Sam Swank,2008-08-28,1,Wake Forest,@,Baylor,W,5,5,100.0,2,2,100.0,11,sam-swank-1
Brandon Yingling,2008-08-28,1,Cincinnati,,Eastern Kentucky,W,4,4,100.0,0,0,,4,brandon-yingling-1
Aaron Zagory,2008-08-28,1,Stanford,,Oregon State,W,4,4,100.0,2,3,66.7,10,aaron-zagory-1
Jake Brownell,2008-08-29,1,Temple,@,Army,W,5,5,100.0,0,0,,5,jake-brownell-1
Adam Demarco,2008-08-29,1,Army,,Temple,L,1,1,100.0,0,0,,1,adam-demarco-1
Clark Fangmeier,2008-08-29,1,Rice,,Southern Methodist,W,8,8,100.0,0,2,0.0,8,clark-fangmeier-1
Thomas Morstead,2008-08-29,1,Southern Methodist,@,Rice,L,3,4,75.0,0,0,,3,thomas-morstead-1
Delbert Alvarado,2008-08-30,1,South Florida,,Tennessee-Martin,W,8,8,100.0,0,1,0.0,8,delbert-alvarado-1
Steve Aponavicius,2008-08-30,1,Boston College,@,Kent State,W,3,3,100.0,0,0,,3,steve-aponavicius-1
Dan Bailey,2008-08-30,1,Oklahoma State,@,Washington State,W,4,4,100.0,3,3,100.0,13,dan-bailey-1
Ryan Bailey,2008-08-30,1,Texas,,Florida Atlantic,W,1,1,100.0,0,0,,1,ryan-bailey-1
Britt Barefoot,2008-08-30,1,Southern Mississippi,,Louisiana,W,6,7,85.7,1,1,100.0,9,britt-barefoot-1
