Player,Date,G,School,Loc,Opponent,WL,Kick Ret,Kick Ret Yds,Kick Ret Avg,Kick Ret TD,unique_id
Jack Austin,2016-08-26,1,California,N,Hawaii,W,1,9,9.0,0,jack-austin-1
Keelan Ewaliko,2016-08-26,1,Hawaii,N,California,L,4,92,23.0,0,keelan-ewaliko-1
Paul Harris,2016-08-26,1,Hawaii,N,California,L,3,53,17.7,0,paul-harris-3
Khalfani Muhammad,2016-08-26,1,California,N,Hawaii,W,3,116,38.7,0,khalfani-muhammad-1
Sherman Badie,2016-09-01,1,Tulane,@,Wake Forest,L,1,22,22.0,0,sherman-badie-1
Brayden Beard,2016-09-01,1,Cincinnati,,Tennessee-Martin,W,1,10,10.0,0,brayden-beard-1
Colton Beebe,2016-09-01,1,Minnesota,,Oregon State,W,1,12,12.0,0,colton-beebe-1
Evan Berry,2016-09-01,1,Tennessee,,Appalachian State,W,1,41,41.0,0,evan-berry-1
Victor Bolden,2016-09-01,1,Oregon State,@,Minnesota,L,1,14,14.0,0,victor-bolden-1
Jaquil Capel,2016-09-01,1,Appalachian State,@,Tennessee,L,3,46,15.3,0,jaquil-capel-1
Connor Cella,2016-09-01,1,Rice,@,Western Kentucky,L,1,10,10.0,0,connor-cella-1
Steven Claude,2016-09-01,1,Wake Forest,,Tulane,W,1,30,30.0,0,steven-claude-1
Amari Coleman,2016-09-01,1,Central Michigan,,Presbyterian,W,1,11,11.0,0,amari-coleman-1
Anthony Covington,2016-09-01,1,UNC Charlotte,@,Louisville,L,3,73,24.3,0,anthony-covington-1
Seth Dawkins,2016-09-01,1,Louisville,,UNC Charlotte,W,3,65,21.7,0,seth-dawkins-1
Rashard Fant,2016-09-01,1,Indiana,@,Florida International,W,1,11,11.0,0,rashard-fant-1
Teriyon Gipson,2016-09-01,1,New Mexico,,South Dakota,W,2,26,13.0,0,teriyon-gipson-1
Nyheim Hines,2016-09-01,1,North Carolina State,,William & Mary,W,1,25,25.0,0,nyheim-hines-1
Lajuan Hunt,2016-09-01,1,Utah State,,Weber State,W,1,29,29.0,0,lajuan-hunt-1
Anthony Jones,2016-09-01,1,Florida International,,Indiana,L,3,59,19.7,0,anthony-jones-8
Kahlil Lewis,2016-09-01,1,Cincinnati,,Tennessee-Martin,W,1,17,17.0,0,kahlil-lewis-1
Paul Lucas,2016-09-01,1,Oregon State,@,Minnesota,L,2,41,20.5,0,paul-lucas-1
Torry McTyer,2016-09-01,1,Nevada-Las Vegas,,Jackson State,W,2,58,29.0,0,torry-mctyer-1
Chris Montgomery,2016-09-01,1,UNC Charlotte,@,Louisville,L,6,96,16.0,0,chris-montgomery-3
Nate Mullen,2016-09-01,1,UNC Charlotte,@,Louisville,L,1,20,20.0,0,nate-mullen-1
Rueben Mwehla,2016-09-01,1,Idaho,,Montana State,W,3,59,19.7,0,rueben-mwehla-1
Jalen Myrick,2016-09-01,1,Minnesota,,Oregon State,W,3,84,28.0,0,jalen-myrick-1
Arkeel Newsome,2016-09-01,1,Connecticut,,Maine,W,3,52,17.3,0,arkeel-newsome-1
Samuel Stewart,2016-09-01,1,Rice,@,Western Kentucky,L,2,33,16.5,0,samuel-stewart-1
Kylen Towner,2016-09-01,1,Western Kentucky,,Rice,W,3,111,37.0,0,kylen-towner-1
