"Player","Date","G","School","Loc","Opponent","WL","Tackle Solo","Tackle Assist","Tackle Tot","Tackle For Loss","Sack","unique_id"
"Quentin Lake","2017-11-24",12,"UCLA",,"California","W",1,0,1,0,0,"quentin-lake-1"
"Terrence Laster","2017-11-24",11,"Navy","@","Houston","L",0,1,1,0,0,"terrence-laster-2"
"Sam Lebbie","2017-11-24",11,"Troy",,"Texas State","W",1,4,5,2,0,"sam-lebbie-1"
"Brandon Lee","2017-11-24",12,"Missouri","@","Arkansas","W",0,3,3,0.5,0,"brandon-lee-1"
"Tanner Lee","2017-11-24",12,"Nebraska",,"Iowa","L",1,0,1,0,0,"tanner-lee-1"
"William Lee","2017-11-24",12,"Northern Illinois","@","Central Michigan","L",1,1,2,0,0,"william-lee-3"
"Ben LeRoy","2017-11-24",12,"Northern Illinois","@","Central Michigan","L",4,3,7,2.5,1,"ben-leroy-1"
"Cameron Lewis","2017-11-24",12,"Buffalo",,"Ohio","W",4,0,4,0,0,"cameron-lewis-1"
"Clifton Lewis","2017-11-24",12,"Texas State","@","Troy","L",1,0,1,0,0,"clifton-lewis-1"
"Ira Lewis","2017-11-24",12,"Baylor","@","Texas Christian","L",2,1,3,2,1,"ira-lewis-1"
"Sage Lewis","2017-11-24",11,"Florida International",,"Western Kentucky","W",1,0,1,0,0,"sage-lewis-1"
"Josh Liddell","2017-11-24",12,"Arkansas",,"Missouri","L",6,5,11,0,0,"josh-liddell-1"
"Jack Linch","2017-11-24",12,"Toledo",,"Western Michigan","W",0,7,7,0.5,0,"jack-linch-1"
"Josh Little","2017-11-24",11,"Florida International",,"Western Kentucky","W",2,1,3,0,0,"josh-little-1"
"Kirk Livingstone","2017-11-24",11,"South Florida","@","Central Florida","L",0,1,1,0,0,"kirk-livingstone-1"
"WIll Lockett","2017-11-24",12,"UCLA",,"California","W",2,1,3,0,0,"will-lockett-1"
"A.J. Logan","2017-11-24",12,"Missouri","@","Arkansas","W",0,2,2,0,0,"aj-logan-1"
"Trey Lomax","2017-11-24",12,"San Diego State",,"New Mexico","W",4,3,7,0,0,"trey-lomax-1"
"Bryan London","2017-11-24",12,"Texas State","@","Troy","L",3,2,5,2,0,"bryan-london-1"
"James Looney","2017-11-24",12,"California","@","UCLA","L",2,1,3,1,0,"james-looney-1"
"Mike Love","2017-11-24",11,"South Florida","@","Central Florida","L",2,2,4,0,0,"mike-love-3"
"Seyvon Lowry","2017-11-24",11,"Central Florida",,"South Florida","W",1,0,1,0,0,"seyvon-lowry-1"
"Gabe Loyd","2017-11-24",12,"Texas State","@","Troy","L",1,0,1,0,0,"gabe-loyd-1"
"Emmanuel Lubin","2017-11-24",11,"Florida International",,"Western Kentucky","W",6,0,6,0,0,"emmanuel-lubin-1"
"Keisean Lucier-South","2017-11-24",12,"UCLA",,"California","W",6,2,8,0,0,"keisean-lucier-south-1"
"Kelvin Lucky","2017-11-24",11,"Troy",,"Texas State","W",1,1,2,0.5,0.5,"kelvin-lucky-1"
"Anthony Luke","2017-11-24",12,"San Diego State",,"New Mexico","W",0,1,1,0,0,"anthony-luke-1"
