"Player","Date","G","School","Loc","Opponent","WL","Tackle Solo","Tackle Assist","Tackle Tot","Tackle For Loss","Sack","unique_id"
"Zedrick Woods","2017-11-23",12,"Mississippi","@","Mississippi State","W",1,4,5,0,0,"zedrick-woods-1"
"Ali Abbas","2017-11-24",12,"Buffalo",,"Ohio","W",1,0,1,0,0,"ali-abbas-1"
"Alec Abeln","2017-11-24",12,"Missouri","@","Arkansas","W",1,0,1,0,0,"alec-abeln-1"
"Devin Abraham","2017-11-24",11,"South Florida","@","Central Florida","L",1,3,4,0,0,"devin-abraham-1"
"Jackson Abresch","2017-11-24",12,"Northern Illinois","@","Central Michigan","L",4,0,4,0,0,"jackson-abresch-1"
"DeMarkus Acy","2017-11-24",12,"Missouri","@","Arkansas","W",3,1,4,0,0,"demarkus-acy-1"
"Matthew Adams","2017-11-24",11,"Houston",,"Navy","W",4,2,6,0,0,"matthew-adams-1"
"Olasunkanmi Adeniyi","2017-11-24",12,"Toledo",,"Western Michigan","W",1,2,3,1,0,"olasunkanmi-adeniyi-1"
"McTelvin Agim","2017-11-24",12,"Arkansas",,"Missouri","L",1,2,3,0,0,"mctelvin-agim-1"
"Freedom Akinmoladun","2017-11-24",12,"Nebraska",,"Iowa","L",2,3,5,1,0,"freedom-akinmoladun-1"
