Player,Date,G,School,Loc,Opponent,WL,Kick Ret,Kick Ret Yds,Kick Ret Avg,Kick Ret TD,unique_id
Melquise Stovall,2019-08-24,1,Hawaii,,Arizona,W,2,65,32.5,0,melquise-stovall-1
Freddie Swain,2019-08-24,1,Florida,N,Miami (FL),W,1,23,23.0,0,freddie-swain-1
J.J. Taylor,2019-08-24,1,Arizona,@,Hawaii,L,2,44,22.0,0,jj-taylor-1
Jeff Thomas,2019-08-24,1,Miami (FL),N,Florida,L,1,32,32.0,0,jeff-thomas-6
Kadarius Toney,2019-08-24,1,Florida,N,Miami (FL),W,1,21,21.0,0,kadarius-toney-1
Julien Bourassa,2019-08-29,1,Buffalo,,,W,1,11,11.0,0,julien-bourassa-1
Ahmarean Brown,2019-08-29,1,Georgia Tech,@,Clemson,L,2,26,13.0,0,ahmarean-brown-1
Jashaun Corbin,2019-08-29,1,Texas A&M,,Texas State,W,1,19,19.0,0,jashaun-corbin-1
Bryson Denley,2019-08-29,1,Bowling Green State,,Morgan State,W,1,26,26.0,0,bryson-denley-1
Lyn-J Dixon,2019-08-29,1,Clemson,,Georgia Tech,W,1,8,8.0,0,lyn-j-dixon-1
Demetric Felton,2019-08-29,1,UCLA,@,Cincinnati,L,1,12,12.0,0,demetric-felton-1
Ishod Finger,2019-08-29,1,UNC Charlotte,,Gardner-Webb,W,1,16,16.0,0,ishod-finger-1
James Harris Jr.,2019-08-29,1,Bowling Green State,,Morgan State,W,1,20,20.0,0,james-harris-jr-1
Amare Jones,2019-08-29,1,Tulane,,Florida International,W,1,29,29.0,0,amare-jones-1
Garland LaFrance,2019-08-29,1,Western Kentucky,,Central Arkansas,L,5,87,17.4,0,garland-lafrance-1
Kobe Lewis,2019-08-29,1,Central Michigan,,Albany,W,2,38,19.0,0,kobe-lewis-1
Austin Maloney,2019-08-29,1,Florida International,@,Tulane,L,1,21,21.0,0,austin-maloney-1
Michael Matus,2019-08-29,1,Arizona State,,Kent State,W,1,0,0.0,0,michael-matus-1
Napoleon Maxwell,2019-08-29,1,Florida International,@,Tulane,L,1,4,4.0,0,napoleon-maxwell-1
Aaron McAllister,2019-08-29,1,UNC Charlotte,,Gardner-Webb,W,1,45,45.0,0,aaron-mcallister-1
Dax Milne,2019-08-29,1,Brigham Young,,Utah,L,2,32,16.0,0,dax-milne-1
Cedric Mitchell,2019-08-29,1,Bowling Green State,,Morgan State,W,1,14,14.0,0,cedric-mitchell-1
Myron Mitchell,2019-08-29,1,Alabama-Birmingham,,Alabama State,W,3,138,46.0,1,myron-mitchell-1
Joseph Ngata,2019-08-29,1,Clemson,,Georgia Tech,W,2,50,25.0,0,joseph-ngata-1
Josh Nurse,2019-08-29,1,Utah,@,Brigham Young,W,1,0,0.0,0,josh-nurse-1
Tito Overton,2019-08-29,1,Buffalo,,,W,1,30,30.0,0,tito-overton-1
Jamal Parker,2019-08-29,1,Kent State,@,Arizona State,L,4,118,29.5,0,jamal-parker-1
Kavious Price,2019-08-29,1,Kent State,@,Arizona State,L,1,25,25.0,0,kavious-price-1
Jah'Marae Sheread,2019-08-29,1,Texas State,@,Texas A&M,L,3,61,20.3,0,jahmarae-sheread-1
Juanyeh Thomas,2019-08-29,1,Georgia Tech,@,Clemson,L,1,14,14.0,0,juanyeh-thomas-1
Starling Thomas,2019-08-29,1,Alabama-Birmingham,,Alabama State,W,1,16,16.0,0,starling-thomas-1
Tre Tucker,2019-08-29,1,Cincinnati,,UCLA,W,1,28,28.0,0,tre-tucker-1
Donovan Williams,2019-08-29,1,Connecticut,,Wagner,W,1,14,14.0,0,donovan-williams-1
Marlon Williams,2019-08-29,1,Central Florida,,Florida A&M,W,1,25,25.0,0,marlon-williams-5
Zamore Zigler,2019-08-29,1,San Jose State,,Northern Colorado,W,2,60,30.0,0,zamore-zigler-1
Abe Anderson,2019-08-30,1,Tulsa,@,Michigan State,L,1,8,8.0,0,abe-anderson-1
Tre Avery,2019-08-30,1,Rutgers,,Massachusetts,W,2,51,25.5,0,tre-avery-1
Christian Beal,2019-08-30,1,Wake Forest,,Utah State,W,1,23,23.0,0,christian-beal-1
LD Brown,2019-08-30,1,Oklahoma State,@,Oregon State,W,2,35,17.5,0,ld-brown-2
Chris Carter,2019-08-30,1,South Florida,,Wisconsin,L,1,10,10.0,0,chris-carter-8
Aron Cruickshank,2019-08-30,1,Wisconsin,@,South Florida,W,1,23,23.0,0,aron-cruickshank-1
Champ Flemings,2019-08-30,1,Oregon State,,Oklahoma State,L,4,102,25.5,0,champ-flemings-1
Anthony Hawkins,2019-08-30,1,Colorado State,N,Colorado,L,3,61,20.3,0,anthony-hawkins-1
Kyle Horn,2019-08-30,1,Massachusetts,@,Rutgers,L,1,15,15.0,0,kyle-horn-1
Chuba Hubbard,2019-08-30,1,Oklahoma State,@,Oregon State,W,1,29,29.0,0,chuba-hubbard-1
Jesiah Irish,2019-08-30,1,Oregon State,,Oklahoma State,L,1,30,30.0,0,jesiah-irish-1
Josh Johnson,2019-08-30,1,Tulsa,@,Michigan State,L,1,31,31.0,0,josh-johnson-9
Kelton Moore,2019-08-30,1,Nevada,,Purdue,W,1,24,24.0,0,kelton-moore-1
Rondale Moore,2019-08-30,1,Purdue,@,Nevada,L,2,25,12.5,0,rondale-moore-1
Jalen Nailor,2019-08-30,1,Michigan State,,Tulsa,W,2,51,25.5,0,jalen-nailor-1
Brock Nichols,2019-08-30,1,South Florida,,Wisconsin,L,1,19,19.0,0,brock-nichols-1
K.D. Nixon,2019-08-30,1,Colorado,N,Colorado State,W,1,32,32.0,0,kd-nixon-1
Darius Pittman,2019-08-30,1,Purdue,@,Nevada,L,1,11,11.0,0,darius-pittman-1
Isaiah Rodgers,2019-08-30,1,Massachusetts,@,Rutgers,L,4,125,31.3,0,isaiah-rodgers-1
Bentlee Sanders,2019-08-30,1,South Florida,,Wisconsin,L,2,39,19.5,0,bentlee-sanders-1
