Player,Date,G,School,Loc,Opponent,WL,Rec,Rec Yards,Rec Avg,Rec TD,unique_id
Jared Abbrederis,2011-09-01,1,Wisconsin,,Nevada-Las Vegas,W,1,23,23.0,0,jared-abbrederis-1
Brian Adams,2011-09-01,1,Kentucky,N,Western Kentucky,W,1,4,4.0,0,brian-adams-1
Vic Anderson,2011-09-01,1,Louisville,,Murray State,W,3,23,7.7,0,vic-anderson-1
Kama Bailey,2011-09-01,1,Idaho,,Bowling Green State,L,1,7,7.0,0,kama-bailey-1
Cam Baker,2011-09-01,1,Memphis,,Mississippi State,L,2,1,0.5,0,cam-baker-1
Montee Ball,2011-09-01,1,Wisconsin,,Nevada-Las Vegas,W,2,67,33.5,1,montee-ball-1
Ryan Bass,2011-09-01,1,Idaho,,Bowling Green State,L,1,5,5.0,0,ryan-bass-1
Alex Bayer,2011-09-01,1,Bowling Green State,@,Idaho,W,2,19,9.5,0,alex-bayer-1
Tyler Beck,2011-09-01,1,Bowling Green State,@,Idaho,W,2,42,21.0,0,tyler-beck-1
George Bell,2011-09-01,1,Arizona State,,California-Davis,W,2,27,13.5,0,george-bell-2
Josh Bellamy,2011-09-01,1,Louisville,,Murray State,W,4,37,9.3,0,josh-bellamy-1
Julian Bellinger,2011-09-01,1,Toledo,,New Hampshire,W,1,14,14.0,0,julian-bellinger-1
David Blackburn,2011-09-01,1,Central Michigan,,South Carolina State,W,1,4,4.0,0,david-blackburn-1
Cody Booth,2011-09-01,1,Temple,,Villanova,W,1,10,10.0,0,cody-booth-1
Boe Brand,2011-09-01,1,Western Kentucky,N,Kentucky,L,2,33,16.5,0,boe-brand-1
Jarrid Bryant,2011-09-01,1,Arizona State,,California-Davis,W,1,11,11.0,0,jarrid-bryant-1
Chad Bumphis,2011-09-01,1,Mississippi State,@,Memphis,W,1,44,44.0,1,chad-bumphis-1
Deon Butler,2011-09-01,1,Central Michigan,,South Carolina State,W,1,5,5.0,0,deon-butler-2
Chris Bynes,2011-09-01,1,North Texas,@,Florida International,L,2,13,6.5,0,chris-bynes-1
Brandin Byrd,2011-09-01,1,North Texas,@,Florida International,L,1,16,16.0,0,brandin-byrd-1
Michael Campanaro,2011-09-01,1,Wake Forest,@,Syracuse,L,7,79,11.3,1,michael-campanaro-1
Michael Carr,2011-09-01,1,Mississippi State,@,Memphis,W,2,26,13.0,0,michael-carr-2
Brelan Chancellor,2011-09-01,1,North Texas,@,Florida International,L,3,55,18.3,0,brelan-chancellor-1
Van Chew,2011-09-01,1,Syracuse,,Wake Forest,W,4,60,15.0,1,van-chew-1
Josh Chichester,2011-09-01,1,Louisville,,Murray State,W,2,39,19.5,0,josh-chichester-1
Devonte Christopher,2011-09-01,1,Utah,,Montana State,W,2,11,5.5,1,devonte-christopher-1
Arceto Clark,2011-09-01,1,Mississippi State,@,Memphis,W,2,72,36.0,1,arceto-clark-1
Brandon Coleman,2011-09-01,1,Rutgers,,North Carolina Central,W,1,44,44.0,1,brandon-coleman-2
Glenn Coleman,2011-09-01,1,Florida International,,North Texas,W,2,21,10.5,0,glenn-coleman-1
Eugene Cooper,2011-09-01,1,Bowling Green State,@,Idaho,W,4,110,27.5,2,eugene-cooper-1
Tim Cornett,2011-09-01,1,Nevada-Las Vegas,@,Wisconsin,L,1,0,0.0,0,tim-cornett-1
Chris Coyle,2011-09-01,1,Arizona State,,California-Davis,W,1,14,14.0,0,chris-coyle-1
Davis,2011-09-01,1,Louisville,,Murray State,W,1,14,14.0,0,davis-6
Terence Davis,2011-09-01,1,Wake Forest,@,Syracuse,L,2,29,14.5,0,terence-davis-1
Titus Davis,2011-09-01,1,Central Michigan,,South Carolina State,W,1,67,67.0,1,titus-davis-1
Danny Dembry,2011-09-01,1,Wake Forest,@,Syracuse,L,2,8,4.0,0,danny-dembry-1
Kenzel Doe,2011-09-01,1,Wisconsin,,Nevada-Las Vegas,W,1,3,3.0,0,kenzel-doe-1
Jack Doyle,2011-09-01,1,Western Kentucky,N,Kentucky,L,1,5,5.0,0,jack-doyle-1
Jeff Duckworth,2011-09-01,1,Wisconsin,,Nevada-Las Vegas,W,1,10,10.0,0,jeff-duckworth-1
Lance Dunbar,2011-09-01,1,North Texas,@,Florida International,L,2,37,18.5,0,lance-dunbar-1
Robert Elliot,2011-09-01,1,Mississippi State,@,Memphis,W,2,20,10.0,0,robert-elliot-1
Taylor Elmo,2011-09-01,1,Idaho,,Bowling Green State,L,1,14,14.0,0,taylor-elmo-1
Bradie Ewing,2011-09-01,1,Wisconsin,,Nevada-Las Vegas,W,1,41,41.0,0,bradie-ewing-1
Jarrett Fleming,2011-09-01,1,Central Michigan,,South Carolina State,W,1,7,7.0,0,jarrett-fleming-1
David Fluellen,2011-09-01,1,Toledo,,New Hampshire,W,3,6,2.0,0,david-fluellen-1
Cameron Ford,2011-09-01,1,Wake Forest,@,Syracuse,L,3,17,5.7,0,cameron-ford-1
Billy Foster,2011-09-01,1,Memphis,,Mississippi State,L,1,-5,-5.0,0,billy-foster-1
Cedric Fraser,2011-09-01,1,Central Michigan,,South Carolina State,W,1,5,5.0,0,cedric-fraser-1
Artaves Gibson,2011-09-01,1,Memphis,,Mississippi State,L,2,0,0.0,0,artaves-gibson-1
Chris Givens,2011-09-01,1,Wake Forest,@,Syracuse,L,7,170,24.3,2,chris-givens-2
Dorian Graham,2011-09-01,1,Syracuse,,Wake Forest,W,1,2,2.0,0,dorian-graham-1
Prince-Tyson Gulley,2011-09-01,1,Syracuse,,Wake Forest,W,2,23,11.5,0,prince-tyson-gulley-1
Austin Harrington,2011-09-01,1,Nevada-Las Vegas,@,Wisconsin,L,1,11,11.0,0,austin-harrington-1
Adam Harris,2011-09-01,1,Syracuse,,Wake Forest,W,1,2,2.0,1,adam-harris-1
Jerry Harris,2011-09-01,1,Central Michigan,,South Carolina State,W,1,4,4.0,0,jerry-harris-1
Joey Harris,2011-09-01,1,Florida International,,North Texas,W,1,6,6.0,0,joey-harris-2
Michaelee Harris,2011-09-01,1,Louisville,,Murray State,W,1,37,37.0,0,michaelee-harris-1
Mark Harrison,2011-09-01,1,Rutgers,,North Carolina Central,W,2,47,23.5,0,mark-harrison-1
Brandon Heavens,2011-09-01,1,Mississippi State,@,Memphis,W,1,25,25.0,0,brandon-heavens-1
Stephen Hill,2011-09-01,1,Georgia Tech,,Western Carolina,W,4,181,45.3,2,stephen-hill-1
T.Y. Hilton,2011-09-01,1,Florida International,,North Texas,W,7,132,18.9,1,ty-hilton-1
Stuart Hines,2011-09-01,1,Kentucky,N,Western Kentucky,W,1,6,6.0,0,stuart-hines-1
Adrian Hodges,2011-09-01,1,Bowling Green State,@,Idaho,W,3,33,11.0,0,adrian-hodges-1
Ray Hutson,2011-09-01,1,Bowling Green State,@,Idaho,W,1,27,27.0,0,ray-hutson-1
D.C. Jefferson,2011-09-01,1,Rutgers,,North Carolina Central,W,1,10,10.0,0,dc-jefferson-1
Armauni Johnson,2011-09-01,1,Idaho,,Bowling Green State,L,3,42,14.0,1,armauni-johnson-1
