Player,Date,G,School,Loc,Opponent,WL,Tackle Solo,Tackle Assist,Tackle Tot,Tackle For Loss,Sack,unique_id
Derrell Acrey,2009-09-03,1,Boise State,,Oregon,W,0,3,3,0.5,0.0,derrell-acrey-1
Adryan Adams,2009-09-03,1,North Texas,@,Ball State,W,3,1,4,0.0,0.0,adryan-adams-1
Mario Addison,2009-09-03,1,Troy,@,Bowling Green State,L,0,1,1,0.0,0.0,mario-addison-1
Chris Adkins,2009-09-03,1,Indiana,,Eastern Kentucky,W,2,0,2,0.0,0.0,chris-adkins-1
Brandon Akpunku,2009-09-03,1,North Texas,@,Ball State,W,1,1,2,0.0,0.0,brandon-akpunku-1
Austin Alburtis,2009-09-03,1,Iowa State,,North Dakota State,W,0,1,1,0.0,0.0,austin-alburtis-1
Antonio Allen,2009-09-03,1,South Carolina,@,North Carolina State,W,2,1,3,0.0,0.0,antonio-allen-1
Kevin Alvarado,2009-09-03,1,Bowling Green State,,Troy,W,1,0,1,0.0,0.0,kevin-alvarado-1
Shavod Atkinson,2009-09-03,1,North Texas,@,Ball State,W,0,1,1,0.0,0.0,shavod-atkinson-1
Akeem Auguste,2009-09-03,1,South Carolina,@,North Carolina State,W,2,0,2,0.0,0.0,akeem-auguste-1
Audi Augustin,2009-09-03,1,North Carolina State,,South Carolina,L,2,0,2,0.0,0.0,audi-augustin-1
Brandon Bair,2009-09-03,1,Oregon,@,Boise State,L,1,4,5,0.0,0.0,brandon-bair-1
Chase Baker,2009-09-03,1,Boise State,,Oregon,W,2,1,3,1.5,0.5,chase-baker-1
Sean Baker,2009-09-03,1,Ball State,,North Texas,L,3,8,11,0.0,0.0,sean-baker-1
Kennard Banks,2009-09-03,1,Iowa State,,North Dakota State,W,4,3,7,0.5,0.0,kennard-banks-1
Jeff Barker,2009-09-03,1,Ball State,,North Texas,L,1,1,2,0.0,0.0,jeff-barker-1
Cody Basler,2009-09-03,1,Bowling Green State,,Troy,W,4,4,8,2.0,0.0,cody-basler-1
Rob Beard,2009-09-03,1,Oregon,@,Boise State,L,2,0,2,0.0,0.0,rob-beard-1
Leon Beckum,2009-09-03,1,Indiana,,Eastern Kentucky,W,1,0,1,0.0,0.0,leon-beckum-1
Allen Bell,2009-09-03,1,Iowa State,,North Dakota State,W,1,0,1,0.0,0.0,allen-bell-1
Ter'Ran Benton,2009-09-03,1,Iowa State,,North Dakota State,W,1,0,1,1.0,1.0,terran-benton-1
Alan Bishop,2009-09-03,1,Utah State,@,Utah,L,2,0,2,0.0,0.0,alan-bishop-1
Larry Black Jr.,2009-09-03,1,Indiana,,Eastern Kentucky,W,2,0,2,2.0,1.0,larry-black-jr-1
Morris Blueford,2009-09-03,1,Temple,,Villanova,L,2,0,2,2.0,2.0,morris-blueford-1
Chris Bowens,2009-09-03,1,Troy,@,Bowling Green State,L,6,1,7,0.0,0.0,chris-bowens-1
Xavier Bowman,2009-09-03,1,Utah State,@,Utah,L,1,1,2,0.0,0.0,xavier-bowman-1
John Boyett,2009-09-03,1,Oregon,@,Boise State,L,2,3,5,0.0,0.0,john-boyett-1
James Brindley,2009-09-03,1,Utah State,@,Utah,L,11,3,14,0.0,0.0,james-brindley-1
Wilbert Brinson,2009-09-03,1,Temple,,Villanova,L,1,0,1,0.0,0.0,wilbert-brinson-1
Kyle Brotzman,2009-09-03,1,Boise State,,Oregon,W,1,0,1,0.0,0.0,kyle-brotzman-1
Dana Brown,2009-09-03,1,Kent State,,Coastal Carolina,W,1,0,1,0.0,0.0,dana-brown-2
Jahmal Brown,2009-09-03,1,Bowling Green State,,Troy,W,5,3,8,1.0,0.0,jahmal-brown-1
Koreen Burch,2009-09-03,1,Ball State,,North Texas,L,3,3,6,0.5,0.0,koreen-burch-1
Leroy Burgess,2009-09-03,1,North Carolina State,,South Carolina,L,0,1,1,0.0,0.0,leroy-burgess-1
Brandon Burton,2009-09-03,1,Utah,,Utah State,W,1,2,3,0.0,0.0,brandon-burton-1
Adrian Bybee,2009-09-03,1,Utah State,@,Utah,L,0,1,1,0.0,0.0,adrian-bybee-1
Justin Byers,2009-09-03,1,North Carolina State,,South Carolina,L,1,3,4,0.0,0.0,justin-byers-1
Quinton Byrd,2009-09-03,1,Utah State,@,Utah,L,1,1,2,0.0,0.0,quinton-byrd-1
Michael Campbell,2009-09-03,1,Temple,,Villanova,L,1,0,1,0.0,0.0,michael-campbell-1
Tevinn Cantly,2009-09-03,1,North Texas,@,Ball State,W,0,1,1,0.0,0.0,tevinn-cantly-1
Brandon Carnegie,2009-09-03,1,Ball State,,North Texas,L,1,1,2,0.0,0.0,brandon-carnegie-1
Justin Carrington,2009-09-03,1,Indiana,,Eastern Kentucky,W,1,0,1,0.0,0.0,justin-carrington-1
Alan-Michael Cash,2009-09-03,1,North Carolina State,,South Carolina,L,2,4,6,0.0,0.0,alan-michael-cash-1
Lamar Chapman,2009-09-03,1,Utah,,Utah State,W,1,0,1,0.0,0.0,lamar-chapman-1
Zac Clark,2009-09-03,1,Oregon,@,Boise State,L,2,1,3,1.0,0.0,zac-clark-2
Audie Cole,2009-09-03,1,North Carolina State,,South Carolina,L,1,3,4,1.5,0.5,audie-cole-1
Rajric Coleman,2009-09-03,1,Utah State,@,Utah,L,1,5,6,0.0,0.0,rajric-coleman-1
Dawaylon Cook,2009-09-03,1,North Texas,@,Ball State,W,0,1,1,0.0,0.0,dawaylon-cook-1
Spain Cosby,2009-09-03,1,Ball State,,North Texas,L,1,6,7,0.0,0.0,spain-cosby-1
Richard Council,2009-09-03,1,Indiana,,Eastern Kentucky,W,3,0,3,0.0,0.0,richard-council-1
Christian Cox,2009-09-03,1,Utah,,Utah State,W,2,0,2,1.0,0.0,christian-cox-1
Brandon Crawford,2009-09-03,1,Ball State,,North Texas,L,2,2,4,0.0,0.0,brandon-crawford-1
Chris Culliver,2009-09-03,1,South Carolina,@,North Carolina State,W,3,0,3,0.0,0.0,chris-culliver-1
Joe Dale,2009-09-03,1,Utah,,Utah State,W,2,5,7,2.5,1.0,joe-dale-1
Brandan Davis,2009-09-03,1,South Carolina,@,North Carolina State,W,0,1,1,0.0,0.0,brandan-davis-1
Kanorris Davis,2009-09-03,1,Troy,@,Bowling Green State,L,2,0,2,0.0,0.0,kanorris-davis-1
Garcia Day,2009-09-03,1,Boise State,,Oregon,W,1,0,1,0.0,0.0,garcia-day-1
Robbie Deheck,2009-09-03,1,North Texas,@,Ball State,W,0,2,2,0.0,0.0,robbie-deheck-1
Josh Dickerson,2009-09-03,1,South Carolina,@,North Carolina State,W,0,1,1,0.0,0.0,josh-dickerson-1
Kevin Dickerson,2009-09-03,1,North Texas,@,Ball State,W,1,0,1,0.0,0.0,kevin-dickerson-1
Kevin Dixon,2009-09-03,1,Troy,@,Bowling Green State,L,1,2,3,0.5,0.0,kevin-dixon-2
Emmanuel Dudley,2009-09-03,1,Troy,@,Bowling Green State,L,0,1,1,0.0,0.0,emmanuel-dudley-1
Drew Duffin,2009-09-03,1,Ball State,,North Texas,L,2,3,5,1.5,0.0,drew-duffin-1
Robert Eddins,2009-09-03,1,Ball State,,North Texas,L,3,7,10,1.5,0.0,robert-eddins-1
Brian Ekwelundu,2009-09-03,1,Iowa State,,North Dakota State,W,1,1,2,0.0,0.0,brian-ekwelundu-1
