Player,Date,G,School,Loc,Opponent,WL,Punt Ret,Punt Ret Yds,Punt Ret Avg,Punt Ret TD,unique_id
Devin Boutte,2013-08-29,1,Tulane,,Jackson State,W,1,2,2.0,0,devin-boutte-1
Josh Boyle,2013-08-29,1,Kent State,,Liberty,W,2,7,3.5,0,josh-boyle-1
Ryan Burbrink,2013-08-29,1,Bowling Green State,,Tulsa,W,3,76,25.3,0,ryan-burbrink-1
Isaiah Burse,2013-08-29,1,Fresno State,,Rutgers,W,3,47,15.7,0,isaiah-burse-1
Imani Davis,2013-08-29,1,Akron,@,Central Florida,L,2,11,5.5,0,imani-davis-1
T.J. Glover,2013-08-29,1,South Alabama,,Southern Utah,L,2,3,1.5,0,tj-glover-1
Janarion Grant,2013-08-29,1,Rutgers,@,Fresno State,L,2,-1,-0.5,0,janarion-grant-1
Noel Grigsby,2013-08-29,1,San Jose State,,Sacramento State,W,2,16,8.0,0,noel-grigsby-1
Kyle Griswould,2013-08-29,1,Middle Tennessee State,,Western Carolina,W,3,53,17.7,1,kyle-griswould-1
Victor Hampton,2013-08-29,1,South Carolina,,North Carolina,W,3,22,7.3,0,victor-hampton-1
Scott Harding,2013-08-29,1,Hawaii,,Southern California,L,3,11,3.7,0,scott-harding-1
Kevin Johnson,2013-08-29,1,Wake Forest,,Presbyterian,W,3,11,3.7,0,kevin-johnson-7
Marcus Jones,2013-08-29,1,Minnesota,,Nevada-Las Vegas,W,1,15,15.0,0,marcus-jones-8
Jonathan Krause,2013-08-29,1,Vanderbilt,,Mississippi,L,1,2,2.0,0,jonathan-krause-1
Marqise Lee,2013-08-29,1,Southern California,@,Hawaii,W,2,8,4.0,0,marqise-lee-1
Brian Lemelle,2013-08-29,1,Connecticut,,Towson,L,2,2,1.0,0,brian-lemelle-1
Darion Monroe,2013-08-29,1,Tulane,,Jackson State,W,1,8,8.0,0,darion-monroe-1
Bruce Natson,2013-08-29,1,Utah State,@,Utah,L,1,2,2.0,0,bruce-natson-1
Mitchell Paige,2013-08-29,1,Indiana,,Indiana State,W,3,32,10.7,0,mitchell-paige-1
James Poole,2013-08-29,1,Utah,,Utah State,W,1,0,0.0,0,james-poole-1
Jeff Scott,2013-08-29,1,Mississippi,@,Vanderbilt,W,1,11,11.0,0,jeff-scott-2
Jamill Smith,2013-08-29,1,Ball State,,Illinois State,W,1,0,0.0,0,jamill-smith-1
T.J. Thorpe,2013-08-29,1,North Carolina,@,South Carolina,L,2,21,10.5,0,tj-thorpe-1
Trey Watts,2013-08-29,1,Tulsa,@,Bowling Green State,L,3,15,5.0,0,trey-watts-1
Keith Whitely,2013-08-29,1,Nevada-Las Vegas,@,Minnesota,L,1,5,5.0,0,keith-whitely-2
Luke Wollet,2013-08-29,1,Kent State,,Liberty,W,2,-3,-1.5,0,luke-wollet-1
J.J. Worton,2013-08-29,1,Central Florida,,Akron,W,1,7,7.0,0,jj-worton-1
Shane Wynn,2013-08-29,1,Indiana,,Indiana State,W,1,58,58.0,1,shane-wynn-1
Darevon Chance,2013-08-30,1,Western Michigan,@,Michigan State,L,2,4,2.0,0,darevon-chance-1
Stacy Coley,2013-08-30,1,Miami (FL),,Florida Atlantic,W,1,7,7.0,0,stacy-coley-1
Dallas Crawford,2013-08-30,1,Miami (FL),,Florida Atlantic,W,3,27,9.0,0,dallas-crawford-1
Phillip Dorsett,2013-08-30,1,Miami (FL),,Florida Atlantic,W,3,17,5.7,0,phillip-dorsett-1
Sadale Foster,2013-08-30,1,Texas Tech,@,Southern Methodist,W,1,17,17.0,0,sadale-foster-1
Johnny Jackson,2013-08-30,1,Arizona,,Northern Arizona,W,1,8,8.0,0,johnny-jackson-3
Tanner Jacobson,2013-08-30,1,Texas Tech,@,Southern Methodist,W,2,15,7.5,0,tanner-jacobson-1
Cedric Lancaster,2013-08-30,1,Southern Methodist,,Texas Tech,L,2,14,7.0,0,cedric-lancaster-1
Robert Lohnes,2013-08-30,1,Florida Atlantic,@,Miami (FL),L,1,6,6.0,0,robert-lohnes-1
Larry McDuffey,2013-08-30,1,Houston,N,Southern,W,2,2,1.0,0,larry-mcduffey-1
Nate Phillips,2013-08-30,1,Arizona,,Northern Arizona,W,3,11,3.7,0,nate-phillips-1
Blake Poston,2013-08-30,1,Southern Methodist,,Texas Tech,L,2,0,0.0,0,blake-poston-1
Andre Sims Jr.,2013-08-30,1,Michigan State,,Western Michigan,W,5,52,10.4,0,andre-sims-jr-1
Albert Wilson,2013-08-30,1,Georgia State,,Samford,L,1,4,4.0,0,albert-wilson-1
Bralon Addison,2013-08-31,1,Oregon,,Nicholls State,W,2,16,8.0,0,bralon-addison-1
Antonio Andrews,2013-08-31,1,Western Kentucky,N,Kentucky,W,4,17,4.3,0,antonio-andrews-1
D.J. Banks,2013-08-31,1,Louisiana Tech,@,North Carolina State,L,3,21,7.0,0,dj-banks-1
V'Angelo Bentley,2013-08-31,1,Illinois,,Southern Illinois,W,1,5,5.0,0,vangelo-bentley-1
Garrett Brown,2013-08-31,1,Air Force,,Colgate,W,1,6,6.0,0,garrett-brown-2
Philly Brown,2013-08-31,1,Ohio State,,Buffalo,W,4,44,11.0,0,
Bryce Callahan,2013-08-31,1,Rice,@,Texas A&M,L,1,11,11.0,0,bryce-callahan-1
Brelan Chancellor,2013-08-31,1,North Texas,,Idaho,W,3,111,37.0,0,brelan-chancellor-1
Jalen Claiborne,2013-08-31,1,Wyoming,@,Nebraska,L,2,13,6.5,0,jalen-claiborne-1
Jamison Crowder,2013-08-31,1,Duke,,North Carolina Central,W,5,113,22.6,1,jamison-crowder-1
Chris Davis,2013-08-31,1,Auburn,,Washington State,W,1,19,19.0,0,chris-davis-6
Jesse Della Valle,2013-08-31,1,Penn State,N,Syracuse,W,3,44,14.7,0,jesse-della-valle-1
Corey Dennis,2013-08-31,1,Georgia Tech,,Elon,W,1,3,3.0,0,corey-dennis-1
Ritchy Desir,2013-08-31,1,Syracuse,N,Penn State,L,2,16,8.0,0,ritchy-desir-1
Quandre Diggs,2013-08-31,1,Texas,,New Mexico State,W,2,15,7.5,0,quandre-diggs-1
Kenzel Doe,2013-08-31,1,Wisconsin,,Massachusetts,W,2,0,0.0,0,kenzel-doe-1
Andy Erickson,2013-08-31,1,Texas State,@,Southern Mississippi,W,1,29,29.0,0,andy-erickson-1
