Player,Date,G,School,Loc,Opponent,WL,Kick Ret,Kick Ret Yds,Kick Ret Avg,Kick Ret TD,unique_id
Josh Allen,2005-09-01,1,Vanderbilt,@,Wake Forest,W,1,19,19.0,0,josh-allen-3
Michael Billops,2005-09-01,1,Temple,@,Arizona State,L,1,22,22.0,0,michael-billops-1
Andiel Brown,2005-09-01,1,Oregon,@,Houston,W,1,0,0.0,0,andiel-brown-1
De'Angelo Bryant,2005-09-01,1,Wake Forest,,Vanderbilt,L,1,12,12.0,0,deangelo-bryant-1
Marcus Buggs,2005-09-01,1,Vanderbilt,@,Wake Forest,W,1,13,13.0,0,marcus-buggs-1
Lorenzo Bursey Jr.,2005-09-01,1,Washington State,,Idaho,W,5,109,21.8,0,lorenzo-bursey-jr-1
Brent Celek,2005-09-01,1,Cincinnati,,Eastern Michigan,W,1,10,10.0,0,brent-celek-1
Tim Conner,2005-09-01,1,Eastern Michigan,@,Cincinnati,L,1,15,15.0,0,tim-conner-1
Mike Daniels,2005-09-01,1,Cincinnati,,Eastern Michigan,W,2,53,26.5,0,mike-daniels-1
Ashlan Davis,2005-09-01,1,Tulsa,,Minnesota,L,7,131,18.7,0,ashlan-davis-1
Richard Davis,2005-09-01,1,Toledo,,Western Illinois,W,1,94,94.0,1,richard-davis-1
Sharrod Davis,2005-09-01,1,Oregon,@,Houston,W,3,58,19.3,0,sharrod-davis-1
Calvin Dawson,2005-09-01,1,Louisiana-Monroe,,Northwestern State,L,3,71,23.7,0,calvin-dawson-1
Dave Dawson,2005-09-01,1,Buffalo,@,Connecticut,L,3,58,19.3,0,dave-dawson-1
Mason Denham,2005-09-01,1,Louisiana-Monroe,,Northwestern State,L,1,14,14.0,0,mason-denham-1
D.J. Dykes,2005-09-01,1,Idaho,@,Washington State,L,1,10,10.0,0,dj-dykes-1
Chris Hawkins,2005-09-01,1,Marshall,,William & Mary,W,3,59,19.7,0,chris-hawkins-2
Cassen Jackson-Garrison,2005-09-01,1,Vanderbilt,@,Wake Forest,W,1,16,16.0,0,cassen-jackson-garrison-1
Nate Kimbrough,2005-09-01,1,Arizona State,,Temple,W,1,38,38.0,0,nate-kimbrough-1
Kevin Marion,2005-09-01,1,Wake Forest,,Vanderbilt,L,4,55,13.8,0,kevin-marion-1
Perry McDaniel,2005-09-01,1,Houston,,Oregon,L,1,19,19.0,0,perry-mcdaniel-1
John McGilvray,2005-09-01,1,Houston,,Oregon,L,1,9,9.0,0,john-mcgilvray-1
Joe Merritt,2005-09-01,1,Louisiana-Monroe,,Northwestern State,L,1,19,19.0,0,joe-merritt-1
Idris Moss,2005-09-01,1,Tulsa,,Minnesota,L,1,20,20.0,0,idris-moss-1
Donte' Newsome,2005-09-01,1,Marshall,,William & Mary,W,1,22,22.0,0,donte-newsome-1
Syvelle Newton,2005-09-01,1,South Carolina,,Central Florida,W,3,55,18.3,0,syvelle-newton-1
Jason Peters,2005-09-01,1,Central Florida,@,South Carolina,L,2,44,22.0,0,jason-peters-1
Roshawn Pope,2005-09-01,1,Houston,,Oregon,L,2,42,21.0,0,roshawn-pope-1
Deangelo Ramsey,2005-09-01,1,Idaho,@,Washington State,L,4,75,18.8,0,deangelo-ramsey-1
Trumaine Riley,2005-09-01,1,Eastern Michigan,@,Cincinnati,L,2,62,31.0,0,trumaine-riley-1
Nick Santa Cruz,2005-09-01,1,Temple,@,Arizona State,L,2,48,24.0,0,nick-santa-cruz-1
Antwaun Sherman,2005-09-01,1,Idaho,@,Washington State,L,1,17,17.0,0,antwaun-sherman-1
Carlos Simpson,2005-09-01,1,Cincinnati,,Eastern Michigan,W,1,5,5.0,0,carlos-simpson-1
Jonathan Stewart,2005-09-01,1,Oregon,@,Houston,W,1,29,29.0,0,jonathan-stewart-1
Larry Taylor,2005-09-01,1,Connecticut,,Buffalo,W,1,43,43.0,0,larry-taylor-1
Pierre Walker,2005-09-01,1,Eastern Michigan,@,Cincinnati,L,1,21,21.0,0,pierre-walker-1
Bobby Wallace,2005-09-01,1,South Carolina,,Central Florida,W,1,15,15.0,0,bobby-wallace-1
Evan Wallace,2005-09-01,1,Buffalo,@,Connecticut,L,3,37,12.3,0,evan-wallace-1
Jakari Wallace,2005-09-01,1,Minnesota,@,Tulsa,W,3,80,26.7,0,jakari-wallace-1
Ricky Wilson,2005-09-01,1,Houston,,Oregon,L,4,122,30.5,0,ricky-wilson-1
Tyler Altman,2005-09-02,1,Indiana,@,Central Michigan,W,1,21,21.0,0,tyler-altman-1
Lance Bennett,2005-09-02,1,Indiana,@,Central Michigan,W,1,25,25.0,0,lance-bennett-1
Jemmy Jasmin,2005-09-02,1,Central Michigan,,Indiana,L,1,34,34.0,0,jemmy-jasmin-1
Damien Linson,2005-09-02,1,Central Michigan,,Indiana,L,1,9,9.0,0,damien-linson-1
Josiah Sears,2005-09-02,1,Indiana,@,Central Michigan,W,1,23,23.0,0,josiah-sears-1
Syndric Steptoe,2005-09-02,1,Arizona,@,Utah,L,3,70,23.3,0,syndric-steptoe-1
Justin Walker,2005-09-02,1,Utah,,Arizona,W,2,36,18.0,0,justin-walker-1
