Player,Date,G,School,Loc,Opponent,WL,Rush Att,Rush Yard,Rush Avg,Rush TD,unique_id
Tarrion Adams,2005-09-01,1,Tulsa,,Minnesota,L,7,27,3.9,0,tarrion-adams-1
Lou Allen,2005-09-01,1,Connecticut,,Buffalo,W,7,42,6.0,0,lou-allen-1
Anthony Alridge,2005-09-01,1,Houston,,Oregon,L,1,8,8.0,0,anthony-alridge-1
Micah Andrews,2005-09-01,1,Wake Forest,,Vanderbilt,L,34,254,7.5,0,micah-andrews-1
Anthony Barksdale,2005-09-01,1,Connecticut,,Buffalo,W,1,3,3.0,0,anthony-barksdale-1
Jackie Battle,2005-09-01,1,Houston,,Oregon,L,6,32,5.3,0,jackie-battle-1
Rich Belton,2005-09-01,1,Wake Forest,,Vanderbilt,L,4,5,1.3,1,rich-belton-1
A.J. Bennett,2005-09-01,1,Eastern Michigan,@,Cincinnati,L,1,5,5.0,0,aj-bennett-1
Butler Benton,2005-09-01,1,Cincinnati,,Eastern Michigan,W,13,64,4.9,0,butler-benton-1
Michael Billops,2005-09-01,1,Temple,@,Arizona State,L,10,10,1.0,0,michael-billops-1
Jayson Bird,2005-09-01,1,Idaho,@,Washington State,L,23,70,3.0,1,jayson-bird-1
Matt Bohnet,2005-09-01,1,Eastern Michigan,@,Cincinnati,L,10,65,6.5,0,matt-bohnet-1
Matt Bonislawski,2005-09-01,1,Connecticut,,Buffalo,W,12,71,5.9,1,matt-bonislawski-1
Ahmad Bradshaw,2005-09-01,1,Marshall,,William & Mary,W,15,72,4.8,1,ahmad-bradshaw-1
Steven Bright,2005-09-01,1,Vanderbilt,@,Wake Forest,W,2,2,1.0,0,steven-bright-1
Kendal Briles,2005-09-01,1,Houston,,Oregon,L,1,-4,-4.0,0,kendal-briles-1
Alex Brink,2005-09-01,1,Washington State,,Idaho,W,3,29,9.7,0,alex-brink-1
Cornell Brockington,2005-09-01,1,Connecticut,,Buffalo,W,14,18,1.3,0,cornell-brockington-1
Quinton Broussard,2005-09-01,1,Toledo,,Western Illinois,W,8,35,4.4,1,quinton-broussard-1
Josh Brown,2005-09-01,1,South Carolina,,Central Florida,W,1,-8,-8.0,0,josh-brown-3
Michael Bumpus,2005-09-01,1,Washington State,,Idaho,W,1,-1,-1.0,0,michael-bumpus-1
Josh Bundy,2005-09-01,1,Temple,@,Arizona State,L,3,3,1.0,1,josh-bundy-1
