Player,Date,G,School,Loc,Opponent,WL,Tackle Solo,Tackle Assist,Tackle Tot,Tackle For Loss,Sack,unique_id
Samiuela Akoteu,2016-08-26,1,Hawaii,N,California,L,2,0,2,1.0,1.0,samiuela-akoteu-1
Jacob Anderson,2016-08-26,1,California,N,Hawaii,W,3,0,3,0.0,0.0,jacob-anderson-1
Ammon Barker,2016-08-26,1,Hawaii,N,California,L,1,0,1,0.0,0.0,ammon-barker-1
Noah Borden,2016-08-26,1,Hawaii,N,California,L,0,1,1,0.0,0.0,noah-borden-1
Max Broman,2016-08-26,1,Hawaii,N,California,L,1,0,1,0.0,0.0,max-broman-1
Derron Brown,2016-08-26,1,California,N,Hawaii,W,1,1,2,0.0,0.0,derron-brown-2
Dejaun Butler,2016-08-26,1,Hawaii,N,California,L,0,1,1,0.0,0.0,dejaun-butler-1
Zeno Choi,2016-08-26,1,Hawaii,N,California,L,2,0,2,0.0,0.0,zeno-choi-1
Raymond Davison,2016-08-26,1,California,N,Hawaii,W,3,0,3,0.0,0.0,raymond-davison-1
Kaodi Dike,2016-08-26,1,California,N,Hawaii,W,0,1,1,0.0,0.0,kaodi-dike-1
Devante Downs,2016-08-26,1,California,N,Hawaii,W,4,2,6,0.0,0.0,devante-downs-1
Tevarua Eldridge,2016-08-26,1,Hawaii,N,California,L,2,2,4,0.0,0.0,tevarua-eldridge-1
Rojesterman Farris II,2016-08-26,1,Hawaii,N,California,L,2,1,3,0.0,0.0,rojesterman-farris-ii-1
Marloshawn Franklin,2016-08-26,1,California,N,Hawaii,W,3,0,3,0.0,0.0,marloshawn-franklin-1
Austin Gerard,2016-08-26,1,Hawaii,N,California,L,1,1,2,0.0,0.0,austin-gerard-1
Ka'aumoana Gifford,2016-08-26,1,Hawaii,N,California,L,1,0,1,0.0,0.0,kaaumoana-gifford-1
Jaylinn Hawkins,2016-08-26,1,California,N,Hawaii,W,1,0,1,0.0,0.0,jaylinn-hawkins-1
Trayvon Henderson,2016-08-26,1,Hawaii,N,California,L,6,6,12,0.0,0.0,trayvon-henderson-1
Zeandae Johnson,2016-08-26,1,California,N,Hawaii,W,0,1,1,0.0,0.0,zeandae-johnson-1
Mekani Kema-Kaleiwahea,2016-08-26,1,Hawaii,N,California,L,3,2,5,1.0,1.0,mekani-kema-kaleiwahea-1
Marcus Kemp,2016-08-26,1,Hawaii,N,California,L,1,0,1,0.0,0.0,marcus-kemp-1
Jordan Kunaszyk,2016-08-26,1,California,N,Hawaii,W,1,2,3,0.0,0.0,jordan-kunaszyk-1
James Looney,2016-08-26,1,California,N,Hawaii,W,1,1,2,0.0,0.0,james-looney-1
Malachi Mageo,2016-08-26,1,Hawaii,N,California,L,0,3,3,0.0,0.0,malachi-mageo-1
David Manoa,2016-08-26,1,Hawaii,N,California,L,1,0,1,0.0,0.0,david-manoa-1
Jamal Mayo,2016-08-26,1,Hawaii,N,California,L,3,1,4,0.0,0.0,jamal-mayo-1
Tony Mekari,2016-08-26,1,California,N,Hawaii,W,0,2,2,0.0,0.0,tony-mekari-1
Khalfani Muhammad,2016-08-26,1,California,N,Hawaii,W,0,2,2,0.0,0.0,khalfani-muhammad-1
Chibuzo Nwokocha,2016-08-26,1,California,N,Hawaii,W,1,0,1,0.0,0.0,chibuzo-nwokocha-1
Damien Packer,2016-08-26,1,Hawaii,N,California,L,7,3,10,0.0,0.0,damien-packer-1
Jeremiah Pritchard,2016-08-26,1,Hawaii,N,California,L,3,3,6,0.0,0.0,jeremiah-pritchard-1
Evan Rambo,2016-08-26,1,California,N,Hawaii,W,2,0,2,0.0,0.0,evan-rambo-1
Kory Rasmussen,2016-08-26,1,Hawaii,N,California,L,0,3,3,0.0,0.0,kory-rasmussen-1
Jalen Rogers,2016-08-26,1,Hawaii,N,California,L,8,1,9,0.0,0.0,jalen-rogers-1
Luke Rubenzer,2016-08-26,1,California,N,Hawaii,W,2,1,3,0.0,0.0,luke-rubenzer-1
Cameron Saffle,2016-08-26,1,California,N,Hawaii,W,5,0,5,2.0,0.0,cameron-saffle-1
Rigoberto Sanchez,2016-08-26,1,Hawaii,N,California,L,1,0,1,0.0,0.0,rigoberto-sanchez-1
Brandon Singleton,2016-08-26,1,California,N,Hawaii,W,1,1,2,0.0,0.0,brandon-singleton-1
Jahlani Tavai,2016-08-26,1,Hawaii,N,California,L,5,7,12,1.0,0.0,jahlani-tavai-1
Trey Turner,2016-08-26,1,California,N,Hawaii,W,2,2,4,0.0,0.0,trey-turner-1
Khari Vanderbilt,2016-08-26,1,California,N,Hawaii,W,5,2,7,0.0,0.0,khari-vanderbilt-1
Cameron Walker,2016-08-26,1,California,N,Hawaii,W,1,0,1,0.0,0.0,cameron-walker-1
Noah Westerfield,2016-08-26,1,California,N,Hawaii,W,1,0,1,0.0,0.0,noah-westerfield-1
Vic Wharton,2016-08-26,1,California,N,Hawaii,W,1,0,1,0.0,0.0,vic-wharton-1
Russell Williams Jr.,2016-08-26,1,Hawaii,N,California,L,2,3,5,1.0,0.0,russell-williams-jr-1
DeVante Wilson,2016-08-26,1,California,N,Hawaii,W,4,0,4,1.0,1.0,devante-wilson-1
Christopher 'Unga,2016-09-01,1,Utah State,,Weber State,W,0,1,1,0.5,0.0,christopher-unga-1
Zach Abercrumbia,2016-09-01,1,Rice,@,Western Kentucky,L,0,3,3,0.0,0.0,zach-abercrumbia-1
Micah Abernathy,2016-09-01,1,Tennessee,,Appalachian State,W,7,1,8,1.0,0.0,micah-abernathy-1
Torey Agee,2016-09-01,1,Vanderbilt,,South Carolina,L,1,1,2,0.0,0.0,torey-agee-1
Imarjaye Albury,2016-09-01,1,Florida International,,Indiana,L,2,3,5,0.0,0.0,imarjaye-albury-1
Jaire Alexander,2016-09-01,1,Louisville,,UNC Charlotte,W,4,1,5,1.0,0.0,jaire-alexander-1
Demytrick Ali'ifua,2016-09-01,1,Utah State,,Weber State,W,2,1,3,1.5,0.0,demytrick-aliifua-1
Ricky Ali'ifua,2016-09-01,1,Utah State,,Weber State,W,2,1,3,1.5,0.0,ricky-aliifua-1
Brian Allen,2016-09-01,1,Utah,,Southern Utah,W,2,2,4,0.0,0.0,brian-allen-6
Richard Allen,2016-09-01,1,Tulane,@,Wake Forest,L,3,2,5,0.0,0.0,richard-allen-2
Bryson Allen-Williams,2016-09-01,1,South Carolina,@,Vanderbilt,W,0,1,1,0.0,0.0,bryson-allen-williams-1
Arie Anderson,2016-09-01,1,Idaho,,Montana State,W,2,0,2,0.0,0.0,arie-anderson-1
Tony Annese,2016-09-01,1,Central Michigan,,Presbyterian,W,2,0,2,0.0,0.0,tony-annese-1
Glen Antoine,2016-09-01,1,Idaho,,Montana State,W,1,0,1,0.0,0.0,glen-antoine-1
Trevor Apsey,2016-09-01,1,Central Michigan,,Presbyterian,W,1,0,1,0.0,0.0,trevor-apsey-1
Brandon Arnold,2016-09-01,1,Oregon State,@,Minnesota,L,3,2,5,0.0,0.0,brandon-arnold-1
Ade Aruna,2016-09-01,1,Tulane,@,Wake Forest,L,2,2,4,0.0,0.0,ade-aruna-1
Christian Asher,2016-09-01,1,UNC Charlotte,@,Louisville,L,0,1,1,0.0,0.0,christian-asher-1
Lamar Atkins,2016-09-01,1,Louisville,,UNC Charlotte,W,1,0,1,0.0,0.0,lamar-atkins-1
Even Austrie,2016-09-01,1,Nevada-Las Vegas,,Jackson State,W,1,2,3,0.0,0.0,even-austrie-1
Adekunle Ayinde,2016-09-01,1,Minnesota,,Oregon State,W,2,3,5,1.0,0.0,adekunle-ayinde-1
Ben Bach,2016-09-01,1,Indiana,@,Florida International,W,1,0,1,0.0,0.0,ben-bach-1
Drew Bailey,2016-09-01,1,Louisville,,UNC Charlotte,W,1,1,2,0.0,0.0,drew-bailey-2
Wesley Bailey,2016-09-01,1,Utah State,,Weber State,W,0,1,1,0.0,0.0,wesley-bailey-1
Cody Baker,2016-09-01,1,New Mexico,,South Dakota,W,0,2,2,0.0,0.0,cody-baker-1
Dalton Baker,2016-09-01,1,Nevada-Las Vegas,,Jackson State,W,0,1,1,0.0,0.0,dalton-baker-1
Dominic Baldwin,2016-09-01,1,Nevada-Las Vegas,,Jackson State,W,1,0,1,0.0,0.0,dominic-baldwin-1
Marcelino Ball,2016-09-01,1,Indiana,@,Florida International,W,1,4,5,0.0,0.0,marcelino-ball-1
Bobby Banks,2016-09-01,1,Central Michigan,,Presbyterian,W,1,0,1,0.0,0.0,bobby-banks-1
Desmond Banks,2016-09-01,1,Idaho,,Montana State,W,4,1,5,0.0,0.0,desmond-banks-1
Jalen Banks,2016-09-01,1,Vanderbilt,,South Carolina,L,1,0,1,0.0,0.0,jalen-banks-2
V.J. Banks,2016-09-01,1,Rice,@,Western Kentucky,L,3,3,6,0.0,0.0,vj-banks-1
Derek Barnett,2016-09-01,1,Tennessee,,Appalachian State,W,3,4,7,1.0,0.0,derek-barnett-2
Stanley Barnwell Jr.,2016-09-01,1,New Mexico,,South Dakota,W,1,0,1,0.0,0.0,stanley-barnwell-jr-1
Cody Barton,2016-09-01,1,Utah,,Southern Utah,W,4,7,11,1.0,0.0,cody-barton-1
Mike Barwick Jr.,2016-09-01,1,Indiana,@,Florida International,W,1,0,1,0.0,0.0,mike-barwick-jr-2
Jessie Bates,2016-09-01,1,Wake Forest,,Tulane,W,7,1,8,0.0,0.0,jessie-bates-1
Matrick Belton,2016-09-01,1,South Carolina,@,Vanderbilt,W,1,0,1,0.0,0.0,matrick-belton-1
Daeshawn Bertram,2016-09-01,1,Western Kentucky,,Rice,W,0,3,3,0.0,0.0,daeshawn-bertram-1
Christian Bertrand,2016-09-01,1,Rice,@,Western Kentucky,L,3,2,5,0.0,0.0,christian-bertrand-1
J.T. Blasingame,2016-09-01,1,Rice,@,Western Kentucky,L,3,1,4,0.0,0.0,jt-blasingame-1
Jadon Boatright,2016-09-01,1,New Mexico,,South Dakota,W,2,0,2,0.0,0.0,jadon-boatright-1
Eric Boggs,2016-09-01,1,Appalachian State,@,Tennessee,L,4,8,12,0.0,0.0,eric-boggs-1
Shawn Boone,2016-09-01,1,North Carolina State,,William & Mary,W,2,1,3,0.0,0.0,shawn-boone-1
Nigel Bowden,2016-09-01,1,Vanderbilt,,South Carolina,L,1,2,3,0.0,0.0,nigel-bowden-1
Ja'Marez Bowen,2016-09-01,1,Indiana,@,Florida International,W,1,0,1,0.0,0.0,jamarez-bowen-1
Ja'Merez Bowen,2016-09-01,1,Indiana,@,Florida International,W,1,0,1,0.0,0.0,jamerez-bowen-1
Eric Bowie,2016-09-01,1,Tulane,@,Wake Forest,L,1,0,1,0.0,0.0,eric-bowie-1
Landon Brazile,2016-09-01,1,Cincinnati,,Tennessee-Martin,W,1,2,3,0.0,0.0,landon-brazile-1
Justin Bridges-Thompson,2016-09-01,1,UNC Charlotte,@,Louisville,L,2,3,5,0.0,0.0,justin-bridges-thompson-1
Alex Briones,2016-09-01,1,Central Michigan,,Presbyterian,W,4,1,5,1.0,0.0,alex-briones-1
Cortez Broughton,2016-09-01,1,Cincinnati,,Tennessee-Martin,W,0,2,2,0.5,0.0,cortez-broughton-1
Aaron Brown,2016-09-01,1,Florida International,,Indiana,L,1,1,2,0.0,0.0,aaron-brown-7
Andrew Brown,2016-09-01,1,Florida International,,Indiana,L,1,1,2,0.0,0.0,andrew-brown-5
Derek Brown,2016-09-01,1,Rice,@,Western Kentucky,L,1,1,2,0.0,0.0,derek-brown-3
Joe Brown,2016-09-01,1,Western Kentucky,,Rice,W,6,1,7,1.0,0.0,joe-brown-4
Keith Brown,2016-09-01,1,Western Kentucky,,Rice,W,0,5,5,0.5,0.0,keith-brown-5
Thomas Brown,2016-09-01,1,Wake Forest,,Tulane,W,0,2,2,0.5,0.5,thomas-brown-3
Franklin Bruscianelli,2016-09-01,1,Cincinnati,,Tennessee-Martin,W,0,1,1,0.0,0.0,franklin-bruscianelli-1
Eurndraus Bryant,2016-09-01,1,North Carolina State,,William & Mary,W,0,2,2,0.0,0.0,eurndraus-bryant-1
Khalil Bryant,2016-09-01,1,Indiana,@,Florida International,W,2,0,2,0.0,0.0,khalil-bryant-1
Omarius Bryant,2016-09-01,1,Western Kentucky,,Rice,W,1,3,4,1.5,0.0,omarius-bryant-1
Sean Bunting,2016-09-01,1,Central Michigan,,Presbyterian,W,2,0,2,0.0,0.0,sean-bunting-1
Oren Burks,2016-09-01,1,Vanderbilt,,South Carolina,L,5,1,6,0.0,0.0,oren-burks-1
Chris Burton,2016-09-01,1,Cincinnati,,Tennessee-Martin,W,1,1,2,0.0,0.0,chris-burton-1
