Player,Date,G,School,Loc,Opponent,WL,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Pass Int,QBR,unique_id
Nick Arbuckle,2014-08-27,1,Georgia State,,Abilene Christian,W,31,47,66.0,413,4,2,159.3,nick-arbuckle-1
Mike Bercovici,2014-08-28,1,Arizona State,,Weber State,W,6,12,50.0,65,1,0,123.0,mike-bercovici-1
Brandon Cox,2014-08-28,1,Utah,,Idaho State,W,3,3,100.0,17,0,0,147.6,brandon-cox-5
Dane Evans,2014-08-28,1,Tulsa,,Tulane,W,31,53,58.5,438,4,2,145.3,dane-evans-1
Joe Gray,2014-08-28,1,San Jose State,,North Dakota,W,1,1,100.0,6,0,0,150.4,joe-gray-1
Connor Halliday,2014-08-28,1,Washington State,,Rutgers,L,40,56,71.4,532,5,1,177.1,connor-halliday-1
Drew Hare,2014-08-28,1,Northern Illinois,,Presbyterian,W,8,13,61.5,100,1,0,151.5,drew-hare-1
Grant Hedrick,2014-08-28,1,Boise State,N,Mississippi,L,36,46,78.3,264,1,4,116.3,grant-hedrick-1
Kenny Hill,2014-08-28,1,Texas A&M,@,South Carolina,W,44,60,73.3,511,3,0,161.4,kenny-hill-1
Blake Jurich,2014-08-28,1,San Jose State,,North Dakota,W,22,25,88.0,250,3,0,211.6,blake-jurich-1
Taylor Kelly,2014-08-28,1,Arizona State,,Weber State,W,18,27,66.7,238,1,0,152.9,taylor-kelly-1
Tanner Lee,2014-08-28,1,Tulane,@,Tulsa,L,22,44,50.0,262,3,1,118.0,tanner-lee-1
Mitch Leidner,2014-08-28,1,Minnesota,,Eastern Illinois,W,9,17,52.9,144,1,0,143.5,mitch-leidner-1
Anthony Maddie,2014-08-28,1,Northern Illinois,,Presbyterian,W,1,4,25.0,24,0,0,75.4,anthony-maddie-1
Johnny McCrary,2014-08-28,1,Vanderbilt,,Temple,L,0,3,0.0,0,0,2,-133.3,johnny-mccrary-1
Matt McIntosh,2014-08-28,1,Northern Illinois,,Presbyterian,W,10,14,71.4,87,1,0,147.2,matt-mcintosh-1
Matt Miller,2014-08-28,1,Boise State,N,Mississippi,L,0,2,0.0,0,0,0,0.0,matt-miller-6
Gary Nova,2014-08-28,1,Rutgers,@,Washington State,W,16,27,59.3,281,2,1,163.7,gary-nova-1
Kyle Pohl,2014-08-28,1,Akron,,Howard,W,23,36,63.9,308,4,0,172.4,kyle-pohl-1
Connor Reilly,2014-08-28,1,Temple,@,Vanderbilt,W,0,2,0.0,0,0,0,0.0,connor-reilly-1
Stephen Rivers,2014-08-28,1,Vanderbilt,,Temple,L,12,25,48.0,186,0,1,102.5,stephen-rivers-1
Patton Robinette,2014-08-28,1,Vanderbilt,,Temple,L,4,6,66.7,38,0,0,119.9,patton-robinette-1
Tyler Rogers,2014-08-28,1,New Mexico State,,Cal Poly,W,18,27,66.7,158,2,1,132.9,tyler-rogers-1
Cooper Rush,2014-08-28,1,Central Michigan,,Chattanooga,W,15,26,57.7,173,2,0,139.0,cooper-rush-1
Chris Streveler,2014-08-28,1,Minnesota,,Eastern Illinois,W,1,1,100.0,12,0,0,200.8,chris-streveler-1
Pete Thomas,2014-08-28,1,Louisiana-Monroe,,Wake Forest,W,23,41,56.1,189,0,0,94.8,pete-thomas-1
Dylan Thompson,2014-08-28,1,South Carolina,,Texas A&M,L,20,40,50.0,366,4,1,154.9,dylan-thompson-1
Kendal Thompson,2014-08-28,1,Utah,,Idaho State,W,6,10,60.0,69,0,0,118.0,kendal-thompson-1
P.J. Walker,2014-08-28,1,Temple,@,Vanderbilt,W,23,34,67.6,207,2,0,138.2,pj-walker-1
Bo Wallace,2014-08-28,1,Mississippi,N,Boise State,W,25,36,69.4,387,4,3,179.7,bo-wallace-1
Travis Wilson,2014-08-28,1,Utah,,Idaho State,W,13,18,72.2,265,1,0,214.2,travis-wilson-4
John Wolford,2014-08-28,1,Wake Forest,@,Louisiana-Monroe,L,12,22,54.5,97,0,1,82.5,john-wolford-1
Tommy Woodson,2014-08-28,1,Akron,,Howard,W,5,8,62.5,92,1,0,200.4,tommy-woodson-1
Tucker Carter,2014-08-29,1,Texas-San Antonio,@,Houston,W,15,24,62.5,121,0,0,104.9,tucker-carter-1
Casey Cochran,2014-08-29,1,Connecticut,,Brigham Young,L,17,31,54.8,171,0,1,94.7,casey-cochran-1
Connor Cook,2014-08-29,1,Michigan State,,Jacksonville State,W,12,13,92.3,285,3,0,352.6,connor-cook-1
Billy Cosh,2014-08-29,1,Houston,,Texas-San Antonio,L,4,7,57.1,30,0,0,93.1,billy-cosh-1
Blake Decker,2014-08-29,1,Nevada-Las Vegas,@,Arizona,L,22,41,53.7,252,1,1,108.5,blake-decker-1
Riley Dixon,2014-08-29,1,Syracuse,,Villanova,W,1,1,100.0,1,1,0,438.4,riley-dixon-1
Brandon Doughty,2014-08-29,1,Western Kentucky,,Bowling Green State,W,46,56,82.1,569,6,0,202.9,brandon-doughty-1
Garrett Grayson,2014-08-29,1,Colorado State,N,Colorado,W,13,23,56.5,134,1,0,119.8,garrett-grayson-1
Taysom Hill,2014-08-29,1,Brigham Young,@,Connecticut,W,28,36,77.8,308,3,0,177.1,taysom-hill-1
Terrel Hunt,2014-08-29,1,Syracuse,,Villanova,W,10,17,58.8,94,0,0,105.3,terrel-hunt-1
Matt Johnson,2014-08-29,1,Bowling Green State,@,Western Kentucky,L,25,36,69.4,314,1,0,151.9,matt-johnson-3
Sefo Liufau,2014-08-29,1,Colorado,N,Colorado State,L,24,39,61.5,241,2,0,130.4,sefo-liufau-1
Tyler O'Connor,2014-08-29,1,Michigan State,,Jacksonville State,W,5,8,62.5,56,0,0,121.3,tyler-oconnor-1
John O'Korn,2014-08-29,1,Houston,,Texas-San Antonio,L,21,43,48.8,204,0,4,70.1,john-okorn-1
Jesse Scroggins,2014-08-29,1,Arizona,,Nevada-Las Vegas,W,1,2,50.0,9,0,0,87.8,jesse-scroggins-1
Anu Solomon,2014-08-29,1,Arizona,,Nevada-Las Vegas,W,25,44,56.8,425,4,0,168.0,anu-solomon-1
Damion Terry,2014-08-29,1,Michigan State,,Jacksonville State,W,1,3,33.3,13,0,0,69.7,damion-terry-1
Chandler Whitmer,2014-08-29,1,Connecticut,,Brigham Young,L,8,17,47.1,113,0,0,102.9,chandler-whitmer-1
Austin Wilson,2014-08-29,1,Syracuse,,Villanova,W,11,17,64.7,89,0,0,108.7,austin-wilson-2
Brandon Allen,2014-08-30,1,Arkansas,@,Auburn,L,18,31,58.1,175,2,1,120.3,brandon-allen-2
Trey Anderson,2014-08-30,1,Pittsburgh,,Delaware,W,1,1,100.0,8,0,0,167.2,trey-anderson-1
Tommy Armstrong Jr,2014-08-30,1,Nebraska,,Florida Atlantic,W,15,29,51.7,271,2,0,153.0,tommy-armstrong-jr-1
David Ash,2014-08-30,1,Texas,,North Texas,W,19,34,55.9,190,1,0,112.5,david-ash-1
J.T. Barrett,2014-08-30,1,Ohio State,N,Navy,W,12,15,80.0,226,2,1,237.2,jt-barrett-1
Reggie Bell,2014-08-30,1,Eastern Michigan,,Morgan State,W,11,16,68.8,59,0,0,99.7,reggie-bell-1
Steven Bench,2014-08-30,1,South Florida,,Western Carolina,W,1,1,100.0,10,0,0,184.0,steven-bench-2
Kurt Benkert,2014-08-30,1,East Carolina,,North Carolina Central,W,6,8,75.0,50,0,1,102.5,kurt-benkert-1
Parker Boehme,2014-08-30,1,Duke,,Elon,W,1,2,50.0,5,0,0,71.0,parker-boehme-1
Anthony Boone,2014-08-30,1,Duke,,Elon,W,22,33,66.7,247,4,0,169.5,anthony-boone-1
Trevone Boykin,2014-08-30,1,Texas Christian,,Samford,W,29,41,70.7,320,2,0,152.4,trevone-boykin-1
Michael Brewer,2014-08-30,1,Virginia Tech,,William & Mary,W,23,30,76.7,251,2,1,162.3,michael-brewer-3
Jeremiah Briscoe,2014-08-30,1,Alabama-Birmingham,,Troy,W,0,1,0.0,0,0,0,0.0,jeremiah-briscoe-1
Jacoby Brissett,2014-08-30,1,North Carolina State,,Georgia Southern,W,28,40,70.0,291,3,1,150.9,jacoby-brissett-2
Terrance Broadway,2014-08-30,1,Louisiana,,Southern,W,20,32,62.5,237,3,2,143.2,terrance-broadway-2
C.J. Brown,2014-08-30,1,Maryland,,James Madison,W,11,24,45.8,111,1,0,98.4,cj-brown-1
