Player,Date,G,School,Loc,Opponent,WL,XP Made,XP Att,XP %,FG Made,FG Att,FG %,Pts,unique_id
Jake Rogers,2007-08-30,1,Cincinnati,,Southeast Missouri State,W,1,3,33.3,0,1,0.0,1,jake-rogers-1
Louie Sakoda,2007-08-30,1,Utah,@,Oregon State,L,1,1,100.0,0,1,0.0,1,louie-sakoda-1
Chris Ulinski,2007-08-30,1,Utah State,,Nevada-Las Vegas,L,1,2,50.0,0,0,,1,chris-ulinski-1
Trevor Cook,2007-08-30,1,Miami (OH),@,Ball State,W,2,2,100.0,0,2,0.0,2,trevor-cook-1
Bret Culbertson,2007-08-30,1,Iowa State,,Kent State,L,2,2,100.0,0,2,0.0,2,bret-culbertson-1
Garcia Day,2007-08-30,1,Boise State,,Weber State,W,2,2,100.0,0,0,,2,garcia-day-1
Peter Caldwell,2007-08-30,1,Utah State,,Nevada-Las Vegas,L,0,0,,1,1,100.0,3,peter-caldwell-1
A.J. Principe,2007-08-30,1,Buffalo,@,Rutgers,L,0,0,,1,1,100.0,3,aj-principe-1
Brandon Yingling,2007-08-30,1,Cincinnati,,Southeast Missouri State,W,4,5,80.0,0,0,,4,brandon-yingling-1
Ryan Jastram,2007-08-30,1,New Mexico State,,Southeastern Louisiana,W,5,5,100.0,0,1,0.0,5,ryan-jastram-1
Nate Reed,2007-08-30,1,Kent State,@,Iowa State,W,2,3,66.7,1,1,100.0,5,nate-reed-1
Jarod Tracy,2007-08-30,1,Tulsa,@,Louisiana-Monroe,W,5,5,100.0,0,2,0.0,5,jarod-tracy-1
Cole Wilson,2007-08-30,1,Louisiana-Monroe,,Tulsa,L,2,2,100.0,1,1,100.0,5,cole-wilson-1
Kyle Brotzman,2007-08-30,1,Boise State,,Weber State,W,6,6,100.0,0,0,,6,kyle-brotzman-1
Alexis Serna,2007-08-30,1,Oregon State,,Utah,W,3,3,100.0,1,1,100.0,6,alexis-serna-1
Jake Hogue,2007-08-30,1,Ball State,,Miami (OH),L,1,1,100.0,2,3,66.7,7,jake-hogue-1
Jeremy Ito,2007-08-30,1,Rutgers,,Buffalo,W,5,5,100.0,1,3,33.3,8,jeremy-ito-1
