Player,Date,G,School,Loc,Opponent,WL,Punt Ret,Punt Ret Yds,Punt Ret Avg,Punt Ret TD,unique_id
Ahmad Bradshaw,2005-09-01,1,Marshall,,William & Mary,W,1,4,4.0,0,ahmad-bradshaw-1
Andiel Brown,2005-09-01,1,Oregon,@,Houston,W,1,11,11.0,0,andiel-brown-1
Michael Bumpus,2005-09-01,1,Washington State,,Idaho,W,4,28,7.0,0,michael-bumpus-1
Ashlan Davis,2005-09-01,1,Tulsa,,Minnesota,L,1,0,0.0,0,ashlan-davis-1
Mason Denham,2005-09-01,1,Louisiana-Monroe,,Northwestern State,L,3,12,4.0,0,mason-denham-1
Jason Flowers,2005-09-01,1,Toledo,,Western Illinois,W,1,23,23.0,0,jason-flowers-1
Dominic Jones,2005-09-01,1,Minnesota,@,Tulsa,W,1,2,2.0,0,dominic-jones-1
Jonathan Joseph,2005-09-01,1,South Carolina,,Central Florida,W,1,2,2.0,0,jonathan-joseph-1
Aaron Mason,2005-09-01,1,Wake Forest,,Vanderbilt,L,1,0,0.0,0,aaron-mason-1
Kenny McKinley,2005-09-01,1,South Carolina,,Central Florida,W,1,11,11.0,0,kenny-mckinley-1
Steve Odom,2005-09-01,1,Toledo,,Western Illinois,W,1,5,5.0,0,steve-odom-1
Justin Phinisee,2005-09-01,1,Oregon,@,Houston,W,3,58,19.3,0,justin-phinisee-1
Terry Richardson,2005-09-01,1,Arizona State,,Temple,W,5,58,11.6,0,terry-richardson-1
Trumaine Riley,2005-09-01,1,Eastern Michigan,@,Cincinnati,L,2,14,7.0,0,trumaine-riley-1
Chris Royal,2005-09-01,1,Marshall,,William & Mary,W,1,23,23.0,0,chris-royal-1
Nick Santa Cruz,2005-09-01,1,Temple,@,Arizona State,L,2,1,0.5,0,nick-santa-cruz-1
Chubb Small,2005-09-01,1,Marshall,,William & Mary,W,3,25,8.3,0,chubb-small-1
Larry Taylor,2005-09-01,1,Connecticut,,Buffalo,W,5,118,23.6,0,larry-taylor-1
Chaz Williams,2005-09-01,1,Louisiana-Monroe,,Northwestern State,L,1,0,0.0,0,chaz-williams-1
Wes Williams,2005-09-01,1,Idaho,@,Washington State,L,3,4,1.3,0,wes-williams-1
Lance Bennett,2005-09-02,1,Indiana,@,Central Michigan,W,4,25,6.3,0,lance-bennett-1
Jemmy Jasmin,2005-09-02,1,Central Michigan,,Indiana,L,3,11,3.7,0,jemmy-jasmin-1
Syndric Steptoe,2005-09-02,1,Arizona,@,Utah,L,1,0,0.0,0,syndric-steptoe-1
Eric Weddle,2005-09-02,1,Utah,,Arizona,W,3,29,9.7,0,eric-weddle-1
Willie Andrews,2005-09-03,1,Baylor,@,Southern Methodist,W,1,9,9.0,0,willie-andrews-1
Antwan Barnes,2005-09-03,1,Florida International,@,Kansas State,L,1,23,23.0,0,antwan-barnes-1
Ryan Baum,2005-09-03,1,Iowa State,,Illinois State,W,3,47,15.7,0,ryan-baum-1
Davone Bess,2005-09-03,1,Hawaii,,Southern California,L,1,-2,-2.0,0,davone-bess-1
Will Blackmon,2005-09-03,1,Boston College,@,Brigham Young,W,1,24,24.0,0,will-blackmon-1
Kyle Brown,2005-09-03,1,Michigan State,,Kent State,W,2,49,24.5,0,kyle-brown-2
Vernell Brown,2005-09-03,1,Florida,,Wyoming,W,5,26,5.2,0,vernell-brown-1
Derrick Bush,2005-09-03,1,Kent State,@,Michigan State,L,2,16,8.0,0,derrick-bush-1
Dion Byrum,2005-09-03,1,Ohio,@,Northwestern,L,2,16,8.0,0,dion-byrum-1
Jackie Chambers,2005-09-03,1,South Florida,@,Penn State,L,1,1,1.0,0,jackie-chambers-1
Pat Clark,2005-09-03,1,Georgia Tech,@,Auburn,W,1,10,10.0,0,pat-clark-1
Michael Coe,2005-09-03,1,Arkansas,,Missouri State,W,4,61,15.3,0,michael-coe-1
Marquice Cole,2005-09-03,1,Northwestern,,Ohio,W,4,53,13.3,0,marquice-cole-1
Drew Coleman,2005-09-03,1,Texas Christian,@,Oklahoma,W,1,10,10.0,0,drew-coleman-1
Chris Davis,2005-09-03,1,Duke,@,East Carolina,L,2,18,9.0,0,chris-davis-1
Jon Drager,2005-09-03,1,Kent State,@,Michigan State,L,1,3,3.0,0,jon-drager-1
Maurice Drew,2005-09-03,1,UCLA,@,San Diego State,W,2,80,40.0,1,maurice-drew-1
Yamon Figurs,2005-09-03,1,Kansas State,,Florida International,W,3,16,5.3,0,yamon-figurs-1
Reggie Fish,2005-09-03,1,Arkansas,,Missouri State,W,1,2,2.0,0,reggie-fish-1
Thomas Flowers,2005-09-03,1,Georgia,,Boise State,W,3,34,11.3,0,thomas-flowers-1
Willie Foster,2005-09-03,1,Rutgers,@,Illinois,L,2,17,8.5,0,willie-foster-1
Michael Franklin,2005-09-03,1,San Diego State,,UCLA,L,1,3,3.0,0,michael-franklin-1
Ted Ginn Jr.,2005-09-03,1,Ohio State,,Miami (OH),W,2,21,10.5,0,ted-ginn-jr-1
Earl Goldsmith,2005-09-03,1,Missouri,,Arkansas State,W,2,16,8.0,0,earl-goldsmith-1
Charles Gordon,2005-09-03,1,Kansas,,Florida Atlantic,W,6,47,7.8,0,charles-gordon-1
Herb Grigsby,2005-09-03,1,Iowa,,Ball State,W,1,7,7.0,0,herb-grigsby-1
Carl Grimes,2005-09-03,1,Michigan State,,Kent State,W,1,1,1.0,0,carl-grimes-1
Cortney Grixby,2005-09-03,1,Nebraska,,Maine,W,5,61,12.2,0,cortney-grixby-1
E.B. Halsey,2005-09-03,1,Illinois,,Rutgers,W,2,23,11.5,0,eb-halsey-1
Stevelan Harper,2005-09-03,1,New Mexico State,,Texas-El Paso,L,1,6,6.0,0,stevelan-harper-1
Jonathan Hefney,2005-09-03,1,Tennessee,,Alabama-Birmingham,W,1,0,0.0,0,jonathan-hefney-1
Chris Henry,2005-09-03,1,Middle Tennessee State,@,Alabama,L,1,11,11.0,0,chris-henry-2
Lamar Herron,2005-09-03,1,Oregon State,,Portland State,W,1,0,0.0,0,lamar-herron-1
Johnnie Lee Higgins Jr.,2005-09-03,1,Texas-El Paso,@,New Mexico State,W,2,47,23.5,0,johnnie-lee-higgins-jr-1
B.J. Hill,2005-09-03,1,Ball State,@,Iowa,L,1,2,2.0,0,bj-hill-2
Ed Hinkel,2005-09-03,1,Iowa,,Ball State,W,4,34,8.5,0,ed-hinkel-1
Lendy Holmes,2005-09-03,1,Oklahoma,,Texas Christian,L,1,6,6.0,0,lendy-holmes-1
Santonio Holmes,2005-09-03,1,Ohio State,,Miami (OH),W,1,11,11.0,0,santonio-holmes-1
Desean Jackson,2005-09-03,1,California,,Sacramento State,W,1,49,49.0,1,desean-jackson-1
Greg Jennings,2005-09-03,1,Western Michigan,@,Virginia,L,1,9,9.0,0,greg-jennings-1
James Johnson,2005-09-03,1,Arkansas State,@,Missouri,L,2,38,19.0,0,james-johnson-2
Jovon Johnson,2005-09-03,1,Iowa,,Ball State,W,1,90,90.0,1,jovon-johnson-1
Michael Johnson,2005-09-03,1,Virginia,,Western Michigan,W,1,3,3.0,0,michael-johnson-7
James Jones,2005-09-03,1,San Jose State,,Eastern Washington,W,2,19,9.5,0,james-jones-3
Bryan Kehl,2005-09-03,1,Brigham Young,,Boston College,L,1,11,11.0,0,bryan-kehl-1
Terry Love,2005-09-03,1,Michigan State,,Kent State,W,3,13,4.3,0,terry-love-1
Jonathan Lowe,2005-09-03,1,Mississippi State,,Murray State,W,1,1,1.0,0,jonathan-lowe-1
Calvin Lowry,2005-09-03,1,Penn State,,South Florida,W,4,58,14.5,0,calvin-lowry-1
Bryce Mahuika,2005-09-03,1,Brigham Young,,Boston College,L,2,17,8.5,0,bryce-mahuika-1
Chris Markey,2005-09-03,1,UCLA,@,San Diego State,W,1,41,41.0,0,chris-markey-1
Hoost Marsh,2005-09-03,1,Wyoming,@,Florida,L,2,6,3.0,0,hoost-marsh-1
Scott Mayle,2005-09-03,1,Ohio,@,Northwestern,L,1,1,1.0,0,scott-mayle-1
Casey McGahee,2005-09-03,1,Florida Atlantic,@,Kansas,L,1,1,1.0,0,casey-mcgahee-1
Leodis McKelvin,2005-09-03,1,Troy,,Cal Poly,W,5,90,18.0,0,leodis-mckelvin-1
Daniel McLemore,2005-09-03,1,Oklahoma State,,Montana State,W,2,34,17.0,0,daniel-mclemore-1
Tim Mixon,2005-09-03,1,California,,Sacramento State,W,2,54,27.0,0,tim-mixon-1
Jermaine Moreira,2005-09-03,1,Kansas State,,Florida International,W,3,83,27.7,0,jermaine-moreira-1
Justin Moye,2005-09-03,1,California,,Sacramento State,W,1,10,10.0,0,justin-moye-1
Terrence Nunn,2005-09-03,1,Nebraska,,Maine,W,4,135,33.8,0,terrence-nunn-1
