Player,Date,G,School,Loc,Opponent,WL,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Pass Int,QBR,unique_id
Duane Brooks,2006-08-31,1,Central Michigan,,Boston College,L,2,5,40.0,22,0,0,77.0,duane-brooks-1
Sean Canfield,2006-08-31,1,Oregon State,,Eastern Washington,W,11,15,73.3,177,2,1,203.1,sean-canfield-1
Rudy Carpenter,2006-08-31,1,Arizona State,,Northern Arizona,W,17,24,70.8,261,2,1,181.4,rudy-carpenter-1
Vaughn Charlton,2006-08-31,1,Temple,@,Buffalo,L,1,1,100.0,0,0,0,100.0,vaughn-charlton-1
Clint Cochran,2006-08-31,1,Toledo,@,Iowa State,L,39,49,79.6,367,3,1,158.6,clint-cochran-1
Joe Craddock,2006-08-31,1,Middle Tennessee State,,Florida International,W,1,1,100.0,4,0,0,133.6,joe-craddock-1
Bryan Cupito,2006-08-31,1,Minnesota,@,Kent State,W,8,13,61.5,146,1,0,181.3,bryan-cupito-1
Nate Davis,2006-08-31,1,Ball State,,Eastern Michigan,W,7,8,87.5,108,3,0,324.7,nate-davis-1
Adam Dimichele,2006-08-31,1,Temple,@,Buffalo,L,19,24,79.2,103,0,1,106.9,adam-dimichele-1
Julian Edelman,2006-08-31,1,Kent State,,Minnesota,L,7,13,53.8,150,0,3,104.6,julian-edelman-1
Austin Flynn,2006-08-31,1,Iowa State,,Toledo,W,0,1,0.0,0,0,0,0.0,austin-flynn-1
Ryan Gunderson,2006-08-31,1,Oregon State,,Eastern Washington,W,1,1,100.0,9,0,0,175.6,ryan-gunderson-1
Michael Henig,2006-08-31,1,Mississippi State,,South Carolina,L,2,8,25.0,19,0,0,45.0,michael-henig-1
D.J. Hernandez,2006-08-31,1,Connecticut,,Rhode Island,W,8,13,61.5,149,2,0,208.6,dj-hernandez-1
Chase Holbrook,2006-08-31,1,New Mexico State,,Southeastern Louisiana,W,29,40,72.5,381,2,0,169.0,chase-holbrook-1
David Johnson,2006-08-31,1,Tulsa,,Stephen F. Austin,W,3,7,42.9,80,1,0,186.0,david-johnson-3
Tyler Jones,2006-08-31,1,Eastern Michigan,@,Ball State,L,11,16,68.8,146,1,0,166.0,tyler-jones-1
Mike Kafka,2006-08-31,1,Northwestern,@,Miami (OH),W,13,17,76.5,106,1,0,148.3,mike-kafka-1
Mike Kokal,2006-08-31,1,Miami (OH),,Northwestern,L,16,26,61.5,175,0,0,118.1,mike-kokal-1
Kinsmon Lancaster,2006-08-31,1,Louisiana-Monroe,,Alcorn State,W,8,17,47.1,100,1,2,92.4,kinsmon-lancaster-1
Dan Lefevour,2006-08-31,1,Central Michigan,,Boston College,L,22,37,59.5,221,1,1,113.1,dan-lefevour-1
Joey Lynch,2006-08-31,1,Ball State,,Eastern Michigan,W,10,20,50.0,122,1,0,117.7,joey-lynch-1
Clint Marks,2006-08-31,1,Middle Tennessee State,,Florida International,W,10,17,58.8,79,0,1,86.1,clint-marks-1
Paul McCall,2006-08-31,1,Florida International,@,Middle Tennessee State,L,1,1,100.0,18,0,0,251.2,paul-mccall-1
Bret Meyer,2006-08-31,1,Iowa State,,Toledo,W,17,25,68.0,234,2,0,173.0,bret-meyer-1
Blake Mitchell,2006-08-31,1,South Carolina,@,Mississippi State,W,12,22,54.5,91,0,1,80.2,blake-mitchell-1
Matt Moore,2006-08-31,1,Oregon State,,Eastern Washington,W,7,14,50.0,88,2,0,149.9,matt-moore-1
Tony Mortensen,2006-08-31,1,Minnesota,@,Kent State,W,0,2,0.0,0,0,1,-100.0,tony-mortensen-1
Darren Mougey,2006-08-31,1,San Diego State,,Texas-El Paso,L,12,16,75.0,178,0,1,156.0,darren-mougey-1
Syvelle Newton,2006-08-31,1,South Carolina,@,Mississippi State,W,1,1,100.0,54,1,0,883.6,syvelle-newton-1
Kevin O'Connell,2006-08-31,1,San Diego State,,Texas-El Paso,L,12,14,85.7,97,0,1,129.6,kevin-oconnell-2
Josh Padrick,2006-08-31,1,Florida International,@,Middle Tennessee State,L,21,38,55.3,132,0,0,84.4,josh-padrick-1
Jordan Palmer,2006-08-31,1,Texas-El Paso,@,San Diego State,W,20,29,69.0,213,3,4,137.2,jordan-palmer-1
Chance Payne,2006-08-31,1,Louisiana-Monroe,,Alcorn State,W,3,3,100.0,31,0,0,186.8,chance-payne-1
Tray Rutland,2006-08-31,1,Mississippi State,,South Carolina,L,6,15,40.0,63,0,2,48.6,tray-rutland-1
Matt Ryan,2006-08-31,1,Boston College,@,Central Michigan,W,32,47,68.1,323,3,0,146.9,matt-ryan-1
Andy Schmitt,2006-08-31,1,Eastern Michigan,@,Ball State,L,7,12,58.3,63,0,1,85.8,andy-schmitt-1
Chris Smelley,2006-08-31,1,South Carolina,@,Mississippi State,W,2,4,50.0,48,0,0,150.8,chris-smelley-1
Paul Smith,2006-08-31,1,Tulsa,,Stephen F. Austin,W,16,20,80.0,229,3,0,225.7,paul-smith-2
Taylor Tharp,2006-08-31,1,Boise State,,Sacramento State,W,4,4,100.0,31,0,0,165.1,taylor-tharp-1
Drew Westling,2006-08-31,1,Tulsa,,Stephen F. Austin,W,1,1,100.0,37,0,0,410.8,drew-westling-1
Drew Willy,2006-08-31,1,Buffalo,,Temple,W,13,24,54.2,188,0,0,120.0,drew-willy-1
Jared Zabransky,2006-08-31,1,Boise State,,Sacramento State,W,11,20,55.0,181,2,0,164.0,jared-zabransky-1
Tom Brandstater,2006-09-01,1,Fresno State,,Nevada,W,16,24,66.7,124,1,0,123.8,tom-brandstater-1
Jeff Rowe,2006-09-01,1,Nevada,@,Fresno State,L,18,34,52.9,183,2,0,117.6,jeff-rowe-1
Erik Ainge,2006-09-02,1,Tennessee,,California,W,11,18,61.1,291,4,1,259.1,erik-ainge-1
Joe Ayoob,2006-09-02,1,California,@,Tennessee,L,9,22,40.9,187,1,1,118.2,joe-ayoob-1
Jerry Babb,2006-09-02,1,Louisiana,@,Louisiana State,L,7,17,41.2,63,0,2,48.8,jerry-babb-1
Reggie Ball,2006-09-02,1,Georgia Tech,,Notre Dame,L,12,24,50.0,140,1,0,112.8,reggie-ball-1
Adam Barmann,2006-09-02,1,Kansas,,Northwestern State,W,2,2,100.0,7,0,0,129.4,adam-barmann-1
