Player,Date,G,School,Loc,Opponent,WL,Kick Ret,Kick Ret Yds,Kick Ret Avg,Kick Ret TD,unique_id
Allen Bell,2007-08-30,1,Iowa State,,Kent State,L,2,54,27.0,0,allen-bell-1
Brent Casteel,2007-08-30,1,Utah,@,Oregon State,L,2,28,14.0,0,brent-casteel-1
Marshwan Gilyard,2007-08-30,1,Cincinnati,,Southeast Missouri State,W,1,7,7.0,0,marshwan-gilyard-1
Tonny Glynn,2007-08-30,1,New Mexico State,,Southeastern Louisiana,W,3,47,15.7,0,tonny-glynn-1
Frank Goodin,2007-08-30,1,Louisiana-Monroe,,Tulsa,L,2,36,18.0,0,frank-goodin-1
Dominick Goodman,2007-08-30,1,Cincinnati,,Southeast Missouri State,W,1,23,23.0,0,dominick-goodman-1
Mario Henry,2007-08-30,1,Buffalo,@,Rutgers,L,2,28,14.0,0,mario-henry-1
Trindon Holliday,2007-08-30,1,Louisiana State,@,Mississippi State,W,1,26,26.0,0,trindon-holliday-1
Terrell Jackson,2007-08-30,1,Buffalo,@,Rutgers,L,3,64,21.3,0,terrell-jackson-3
Alex Knipp,2007-08-30,1,Ball State,,Miami (OH),L,1,19,19.0,0,alex-knipp-1
Gerard Lawson,2007-08-30,1,Oregon State,,Utah,W,2,47,23.5,0,gerard-lawson-1
Dante Love,2007-08-30,1,Ball State,,Miami (OH),L,1,19,19.0,0,dante-love-1
Brennan Marion,2007-08-30,1,Tulsa,@,Louisiana-Monroe,W,1,21,21.0,0,brennan-marion-1
Brice McCain,2007-08-30,1,Utah,@,Oregon State,L,2,25,12.5,0,brice-mccain-1
Tay Ogletree,2007-08-30,1,Louisiana-Monroe,,Tulsa,L,1,13,13.0,0,tay-ogletree-1
Derek Pegues,2007-08-30,1,Mississippi State,,Louisiana State,L,4,86,21.5,0,derek-pegues-1
Jacob Ramsey,2007-08-30,1,Cincinnati,,Southeast Missouri State,W,1,20,20.0,0,jacob-ramsey-1
Derrek Richards,2007-08-30,1,Utah,@,Oregon State,L,1,14,14.0,0,derrek-richards-1
Co-Eric Riley,2007-08-30,1,Mississippi State,,Louisiana State,L,3,45,15.0,0,co-eric-riley-1
Kevin Robinson,2007-08-30,1,Utah State,,Nevada-Las Vegas,L,6,166,27.7,0,kevin-robinson-1
Gerald Rodriguez,2007-08-30,1,Nevada-Las Vegas,@,Utah State,W,3,104,34.7,0,gerald-rodriguez-1
Naaman Roosevelt,2007-08-30,1,Buffalo,@,Rutgers,L,2,43,21.5,0,naaman-roosevelt-1
Orlando Scandrick,2007-08-30,1,Boise State,,Weber State,W,1,17,17.0,0,orlando-scandrick-1
Derec Schmidgall,2007-08-30,1,Iowa State,,Kent State,L,1,8,8.0,0,derec-schmidgall-1
Rashaun Scott,2007-08-30,1,Boise State,,Weber State,W,1,10,10.0,0,rashaun-scott-1
Jajuan Spillman,2007-08-30,1,Louisville,,Murray State,W,3,71,23.7,0,jajuan-spillman-1
R.J. Sumrall,2007-08-30,1,Iowa State,,Kent State,L,1,41,41.0,0,rj-sumrall-1
Jack Williams,2007-08-30,1,Kent State,@,Iowa State,W,2,72,36.0,0,jack-williams-1
Jamad Williams,2007-08-30,1,Tulsa,@,Louisiana-Monroe,W,3,74,24.7,0,jamad-williams-1
Dustin Woods,2007-08-30,1,Miami (OH),@,Ball State,W,3,61,20.3,0,dustin-woods-1
Kordell Young,2007-08-30,1,Rutgers,,Buffalo,W,2,74,37.0,0,kordell-young-1
Reggie Campbell,2007-08-31,1,Navy,@,Temple,W,4,67,16.8,0,reggie-campbell-1
Mike Holmes,2007-08-31,1,Syracuse,,Washington,L,1,27,27.0,0,mike-holmes-1
Paul Homer,2007-08-31,1,Washington,@,Syracuse,W,1,10,10.0,0,paul-homer-1
Brandon Johnson,2007-08-31,1,Washington,@,Syracuse,W,3,63,21.0,0,brandon-johnson-4
Marquise Liverpool,2007-08-31,1,Temple,,Navy,L,2,27,13.5,0,marquise-liverpool-1
Abioye Oyeyemi,2007-08-31,1,Temple,,Navy,L,1,6,6.0,0,abioye-oyeyemi-1
Travis Shelton,2007-08-31,1,Temple,,Navy,L,2,41,20.5,0,travis-shelton-1
Zerbin Singleton,2007-08-31,1,Navy,@,Temple,W,1,10,10.0,0,zerbin-singleton-1
Max Suter,2007-08-31,1,Syracuse,,Washington,L,6,178,29.7,0,max-suter-1
Evans Adonis,2007-09-01,1,Northern Illinois,,Iowa,L,1,30,30.0,0,evans-adonis-1
Armando Allen,2007-09-01,1,Notre Dame,,Georgia Tech,L,5,84,16.8,0,armando-allen-1
Emery Allen,2007-09-01,1,Central Florida,@,North Carolina State,W,5,118,23.6,0,emery-allen-1
Anthony Alridge,2007-09-01,1,Houston,@,Oregon,L,1,32,32.0,0,anthony-alridge-1
Andre Anderson,2007-09-01,1,Michigan State,,Alabama-Birmingham,W,1,23,23.0,0,andre-anderson-1
Corey Anderson,2007-09-01,1,Army,@,Akron,L,3,89,29.7,0,corey-anderson-2
Javier Arenas,2007-09-01,1,Alabama,,Western Carolina,W,2,75,37.5,0,javier-arenas-1
Mikail Baker,2007-09-01,1,Baylor,@,Texas Christian,L,2,39,19.5,0,mikail-baker-1
Darin Baldwin,2007-09-01,1,Central Florida,@,North Carolina State,W,1,42,42.0,0,darin-baldwin-1
Dexter Barnett,2007-09-01,1,Alabama-Birmingham,@,Michigan State,L,1,17,17.0,0,dexter-barnett-1
Rich Belton,2007-09-01,1,Wake Forest,@,Boston College,L,1,13,13.0,0,rich-belton-1
Jahvid Best,2007-09-01,1,California,,Tennessee,W,2,57,28.5,0,jahvid-best-1
Darrell Blackman,2007-09-01,1,North Carolina State,,Central Florida,L,4,83,20.8,0,darrell-blackman-1
Jake Bradford,2007-09-01,1,Vanderbilt,,Richmond,W,1,13,13.0,0,jake-bradford-1
Tyvon Branch,2007-09-01,1,Connecticut,@,Duke,W,1,29,29.0,0,tyvon-branch-1
Lance Brandenburgh,2007-09-01,1,Nebraska,,Nevada,W,1,7,7.0,0,lance-brandenburgh-1
A.J. Brooks,2007-09-01,1,Boston College,,Wake Forest,W,3,64,21.3,0,aj-brooks-1
Steve Brouse,2007-09-01,1,Connecticut,@,Duke,W,1,0,0.0,0,steve-brouse-1
Antonio Brown,2007-09-01,1,Central Michigan,@,Kansas,L,4,72,18.0,0,antonio-brown-1
Thomas Brown,2007-09-01,1,Georgia,,Oklahoma State,W,3,80,26.7,0,thomas-brown-1
Wes Brown,2007-09-01,1,Tennessee,@,California,L,1,9,9.0,0,wes-brown-1
Dorien Bryant,2007-09-01,1,Purdue,@,Toledo,W,2,151,75.5,1,dorien-bryant-1
Zac Bryson,2007-09-01,1,Colorado State,N,Colorado,L,2,21,10.5,0,zac-bryson-1
Keenan Burton,2007-09-01,1,Kentucky,,Eastern Kentucky,W,2,50,25.0,0,keenan-burton-1
Antoine Bush,2007-09-01,1,North Texas,@,Oklahoma,L,4,66,16.5,0,antoine-bush-1
Darius Butler,2007-09-01,1,Connecticut,@,Duke,W,1,19,19.0,0,darius-butler-1
Andre Callender,2007-09-01,1,Boston College,,Wake Forest,W,2,37,18.5,0,andre-callender-1
Kenny Cattouse,2007-09-01,1,Troy,@,Arkansas,L,1,9,9.0,0,kenny-cattouse-1
Dajuane Collins,2007-09-01,1,Toledo,,Purdue,L,3,48,16.0,0,dajuane-collins-1
Omar Conteh,2007-09-01,1,Northwestern,,Northeastern,W,1,10,10.0,0,omar-conteh-1
Quan Cosby,2007-09-01,1,Texas,,Arkansas State,W,3,73,24.3,0,quan-cosby-1
Perrish Cox,2007-09-01,1,Oklahoma State,@,Georgia,L,6,132,22.0,0,perrish-cox-1
Andre Crenshaw,2007-09-01,1,Oregon,,Houston,W,1,25,25.0,0,andre-crenshaw-1
Quinton Cunigan,2007-09-01,1,Texas Christian,,Baylor,W,1,9,9.0,0,quinton-cunigan-1
Quintin Demps,2007-09-01,1,Texas-El Paso,,New Mexico,W,2,56,28.0,0,quintin-demps-1
Jeremy Dickens,2007-09-01,1,Florida International,@,Penn State,L,1,21,21.0,0,jeremy-dickens-1
Charles Dillon,2007-09-01,1,Washington State,@,Wisconsin,L,3,62,20.7,0,charles-dillon-1
Ryan Downard,2007-09-01,1,Eastern Michigan,@,Pittsburgh,L,1,12,12.0,0,ryan-downard-1
Chris Duvalt,2007-09-01,1,Illinois,N,Missouri,L,4,70,17.5,0,chris-duvalt-1
Courtney Edmonson,2007-09-01,1,Marshall,@,Miami (FL),L,3,49,16.3,0,courtney-edmonson-1
Byron Ellis,2007-09-01,1,Colorado,N,Colorado State,W,1,15,15.0,0,byron-ellis-1
Rashad Etheridge,2007-09-01,1,Western Kentucky,@,Florida,L,4,45,11.3,0,rashad-etheridge-1
Jamelle Eugene,2007-09-01,1,North Carolina State,,Central Florida,L,1,22,22.0,0,jamelle-eugene-1
Jamaal Evans,2007-09-01,1,Georgia Tech,@,Notre Dame,W,2,35,17.5,0,jamaal-evans-1
Mike Evans,2007-09-01,1,Army,@,Akron,L,2,31,15.5,0,mike-evans-1
Mario Fannin,2007-09-01,1,Auburn,,Kansas State,W,1,15,15.0,0,mario-fannin-1
Willie Floyd,2007-09-01,1,Florida Atlantic,,Middle Tennessee State,W,1,10,10.0,0,willie-floyd-1
Kenneth Fontenette,2007-09-01,1,Houston,@,Oregon,L,1,3,3.0,0,kenneth-fontenette-1
Frantrell Forrest,2007-09-01,1,Alabama-Birmingham,@,Michigan State,L,6,156,26.0,0,frantrell-forrest-1
