Player,Date,G,School,Loc,Opponent,WL,Tackle Solo,Tackle Assist,Tackle Tot,Tackle For Loss,Sack,unique_id
Manny Abreu,2010-09-02,1,Rutgers,,Norfolk State,W,0,2,2,0.5,0.0,manny-abreu-1
Justin Adams,2010-09-02,1,Tulane,,Southeastern Louisiana,W,3,4,7,1.5,1.0,justin-adams-1
Jahleel Addae,2010-09-02,1,Central Michigan,,Hampton,W,4,3,7,1.0,0.0,jahleel-addae-1
Corey Addison,2010-09-02,1,South Carolina,,Southern Mississippi,W,4,1,5,0.0,0.0,corey-addison-2
Vincent Agnew,2010-09-02,1,Central Michigan,,Hampton,W,3,1,4,0.0,0.0,vincent-agnew-1
Po'Okela Ahmad,2010-09-02,1,Hawaii,,Southern California,L,1,0,1,0.0,0.0,pookela-ahmad-1
Marques Aiken,2010-09-02,1,Marshall,@,Ohio State,L,2,0,2,0.0,0.0,marques-aiken-1
Raphael Akobundu,2010-09-02,1,Buffalo,,Rhode Island,W,4,3,7,0.0,0.0,raphael-akobundu-1
Chas Alecxih,2010-09-02,1,Pittsburgh,@,Utah,L,1,2,3,0.0,0.0,chas-alecxih-1
Ed Alexander,2010-09-02,1,Florida Atlantic,@,Alabama-Birmingham,W,5,3,8,0.0,0.0,ed-alexander-1
Craig Allen,2010-09-02,1,Middle Tennessee State,,Minnesota,L,4,0,4,0.0,0.0,craig-allen-2
Ugonna Amarikwa,2010-09-02,1,Alabama-Birmingham,,Florida Atlantic,L,1,0,1,0.0,0.0,ugonna-amarikwa-1
Boo Andersen,2010-09-02,1,Utah,,Pittsburgh,W,0,1,1,0.0,0.0,boo-andersen-1
Shane Anderson,2010-09-02,1,Nevada,,Eastern Washington,W,1,0,1,0.0,0.0,shane-anderson-1
Mike Andrews,2010-09-02,1,Nevada,,Eastern Washington,W,2,2,4,0.0,0.0,mike-andrews-1
Armond Armstead,2010-09-02,1,Southern California,@,Hawaii,W,2,1,3,0.0,0.0,armond-armstead-1
Ray-Ray Armstrong,2010-09-02,1,Miami (FL),,Florida A&M,W,2,0,2,0.0,0.0,ray-ray-armstrong-2
Austen Arnaud,2010-09-02,1,Iowa State,,Northern Illinois,W,1,0,1,0.0,0.0,austen-arnaud-1
Devin Arrington,2010-09-02,1,Marshall,@,Ohio State,L,3,2,5,0.0,0.0,devin-arrington-1
Brandon Artz,2010-09-02,1,Idaho,,North Dakota,W,1,1,2,0.0,0.0,brandon-artz-1
Quin Ashley,2010-09-02,1,Idaho,,North Dakota,W,1,1,2,0.0,0.0,quin-ashley-1
Henry Asuega,2010-09-02,1,Idaho,,North Dakota,W,0,1,1,0.0,0.0,henry-asuega-1
Chris Asumnu,2010-09-02,1,Tulane,,Southeastern Louisiana,W,1,1,2,1.0,1.0,chris-asumnu-1
Akeem Auguste,2010-09-02,1,South Carolina,,Southern Mississippi,W,7,1,8,1.0,0.0,akeem-auguste-1
Allen Bailey,2010-09-02,1,Miami (FL),,Florida A&M,W,1,0,1,0.0,0.0,allen-bailey-1
C.J. Bailey,2010-09-02,1,Southern Mississippi,@,South Carolina,L,4,1,5,1.0,0.0,cj-bailey-1
Jacob Baker,2010-09-02,1,South Carolina,,Southern Mississippi,W,0,1,1,0.0,0.0,jacob-baker-1
Sean Baker,2010-09-02,1,Ball State,,Southeast Missouri State,W,6,6,12,2.0,1.0,sean-baker-1
