Player,Date,G,School,Loc,Opponent,WL,unique_id,Int Ret,Int Ret Yds,Int TD,Pass Broken Up
Brian Blechen,2011-09-01,1,Utah,,Montana State,W,brian-blechen-1,2.0,60.0,0.0,2.0
Derrius Brooks,2011-09-01,1,Western Kentucky,N,Kentucky,L,derrius-brooks-1,1.0,0.0,0.0,2.0
Jared Clendenin,2011-09-01,1,Western Kentucky,N,Kentucky,L,jared-clendenin-1,1.0,0.0,0.0,1.0
Connor,2011-09-01,1,Louisville,,Murray State,W,connor-1,1.0,0.0,0.0,1.0
Mike Evans,2011-09-01,1,Louisville,,Murray State,W,mike-evans-3,1.0,0.0,0.0,1.0
Justin Gildea,2011-09-01,1,Temple,,Villanova,W,justin-gildea-1,1.0,25.0,0.0,2.0
Winston Guy,2011-09-01,1,Kentucky,N,Western Kentucky,W,winston-guy-1,2.0,0.0,0.0,2.0
Duron Harmon,2011-09-01,1,Rutgers,,North Carolina Central,W,duron-harmon-1,2.0,37.0,1.0,2.0
Dexter Heyman,2011-09-01,1,Louisville,,Murray State,W,dexter-heyman-1,1.0,5.0,0.0,1.0
Kevin Kroboth,2011-09-01,1,Temple,,Villanova,W,kevin-kroboth-1,2.0,0.0,0.0,2.0
B.J. Machen,2011-09-01,1,Georgia Tech,,Western Carolina,W,bj-machen-1,1.0,15.0,0.0,1.0
Diauntae Morrow,2011-09-01,1,Toledo,,New Hampshire,W,diauntae-morrow-1,1.0,5.0,0.0,1.0
Martavius Neloms,2011-09-01,1,Kentucky,N,Western Kentucky,W,martavius-neloms-1,1.0,6.0,0.0,2.0
Kevyn Scott,2011-09-01,1,Syracuse,,Wake Forest,W,kevyn-scott-1,1.0,0.0,0.0,1.0
Ronnie Sneed,2011-09-01,1,Kentucky,N,Western Kentucky,W,ronnie-sneed-1,1.0,4.0,0.0,2.0
Cameron Truss,2011-09-01,1,Bowling Green State,@,Idaho,W,cameron-truss-1,1.0,13.0,0.0,2.0
Anthony Washington,2011-09-01,1,Toledo,,New Hampshire,W,anthony-washington-1,1.0,1.0,0.0,1.0
Nickoe Whitley,2011-09-01,1,Mississippi State,@,Memphis,W,nickoe-whitley-1,1.0,0.0,0.0,1.0
Vince Williams,2011-09-01,1,Western Kentucky,N,Kentucky,L,vince-williams-4,1.0,0.0,0.0,1.0
Mike Hicks,2011-09-02,1,Baylor,,Texas Christian,W,mike-hicks-1,1.0,11.0,0.0,1.0
Isaiah Lewis,2011-09-02,1,Michigan State,,Youngstown State,W,isaiah-lewis-1,1.0,13.0,0.0,1.0
Chas Alecxih,2011-09-03,1,Pittsburgh,,Buffalo,W,chas-alecxih-1,1.0,47.0,0.0,1.0
Frank Alexander,2011-09-03,1,Oklahoma,,Tulsa,W,frank-alexander-1,1.0,27.0,0.0,3.0
David Amerson,2011-09-03,1,North Carolina State,,Liberty,W,david-amerson-1,2.0,50.0,0.0,5.0
Adrian Amos,2011-09-03,1,Penn State,,Indiana State,W,adrian-amos-1,1.0,46.0,0.0,1.0
Drew Astorino,2011-09-03,1,Penn State,,Indiana State,W,drew-astorino-1,1.0,33.0,0.0,3.0
Marcus Bartels,2011-09-03,1,Florida Atlantic,@,Florida,L,marcus-bartels-1,1.0,33.0,0.0,1.0
Dwayne Beckford,2011-09-03,1,Purdue,,Middle Tennessee State,W,dwayne-beckford-1,1.0,1.0,0.0,2.0
Dwight Bentley,2011-09-03,1,Louisiana,@,Oklahoma State,L,dwight-bentley-1,2.0,49.0,1.0,2.0
Walt Canty,2011-09-03,1,Duke,,Richmond,L,walt-canty-1,1.0,0.0,0.0,1.0
Dave Clark,2011-09-03,1,Louisiana Tech,@,Southern Mississippi,L,dave-clark-1,1.0,3.0,0.0,2.0
Donyae Coleman,2011-09-03,1,New Mexico State,,Ohio,L,donyae-coleman-1,1.0,15.0,0.0,2.0
Jamil Cooks,2011-09-03,1,Air Force,,South Dakota,W,jamil-cooks-1,1.0,21.0,0.0,1.0
Jon Davis,2011-09-03,1,Air Force,,South Dakota,W,jon-davis-2,1.0,1.0,0.0,1.0
