Player,Date,G,School,Loc,Opponent,WL,Punt Ret,Punt Ret Yds,Punt Ret Avg,Punt Ret TD,unique_id
A.J. Barker,2012-08-30,1,Minnesota,@,Nevada-Las Vegas,W,1,9,9.0,0,aj-barker-1
Leon Brooks,2012-08-30,1,Washington State,@,Brigham Young,L,1,17,17.0,0,leon-brooks-1
Dee Frieson,2012-08-30,1,Akron,,Central Florida,L,2,-7,-3.5,0,dee-frieson-1
Charles Henderson,2012-08-30,1,Utah,,Northern Colorado,W,2,4,2.0,0,charles-henderson-1
Dalton Hilliard,2012-08-30,1,UCLA,@,Rice,W,1,7,7.0,0,dalton-hilliard-1
Chuck Jacobs,2012-08-30,1,Utah State,,Southern Utah,W,2,40,20.0,0,chuck-jacobs-1
Taylor Mack,2012-08-30,1,Connecticut,,Massachusetts,W,1,21,21.0,0,taylor-mack-1
Robert Nelson,2012-08-30,1,Arizona State,,Northern Arizona,W,2,13,6.5,0,robert-nelson-1
Geoff Norwood,2012-08-30,1,Utah,,Northern Colorado,W,2,8,4.0,0,geoff-norwood-1
Demarius Reed,2012-08-30,1,Eastern Michigan,@,Ball State,L,1,-4,-4.0,0,demarius-reed-1
Ace Sanders,2012-08-30,1,South Carolina,@,Vanderbilt,W,3,15,5.0,0,ace-sanders-1
Chris Sharpe,2012-08-30,1,Middle Tennessee State,,McNeese State,L,1,0,0.0,0,chris-sharpe-1
Jared Singletary,2012-08-30,1,Middle Tennessee State,,McNeese State,L,2,26,13.0,0,jared-singletary-1
Jamill Smith,2012-08-30,1,Ball State,,Eastern Michigan,W,2,21,10.5,0,jamill-smith-1
Zac Stacy,2012-08-30,1,Vanderbilt,,South Carolina,L,1,15,15.0,0,zac-stacy-1
Troy Stoudermire,2012-08-30,1,Minnesota,@,Nevada-Las Vegas,W,2,4,2.0,0,troy-stoudermire-1
Marcus Sullivan,2012-08-30,1,Nevada-Las Vegas,,Minnesota,L,1,8,8.0,0,marcus-sullivan-1
Nick Williams,2012-08-30,1,Connecticut,,Massachusetts,W,3,66,22.0,0,nick-williams-1
Cody Wilson,2012-08-30,1,Central Michigan,,Southeast Missouri State,W,2,18,9.0,0,cody-wilson-1
J.J. Worton,2012-08-30,1,Central Florida,@,Akron,W,3,73,24.3,0,jj-worton-1
Matt Brown,2012-08-31,1,Temple,,Villanova,W,4,84,21.0,0,matt-brown-1
Nick Hill,2012-08-31,1,Michigan State,,Boise State,W,1,15,15.0,0,nick-hill-1
Travis Jones,2012-08-31,1,Florida Atlantic,,Wagner,W,1,-5,-5.0,0,travis-jones-2
Chris Potter,2012-08-31,1,Boise State,@,Michigan State,L,1,17,17.0,0,chris-potter-1
Keith Reaser,2012-08-31,1,Florida Atlantic,,Wagner,W,1,2,2.0,0,keith-reaser-1
Drew Terrell,2012-08-31,1,Stanford,,San Jose State,W,3,34,11.3,0,drew-terrell-1
Devrin Young,2012-08-31,1,Tennessee,N,North Carolina State,W,1,5,5.0,0,devrin-young-1
Jared Abbrederis,2012-09-01,1,Wisconsin,,Northern Iowa,W,4,18,4.5,0,jared-abbrederis-1
Ameer Abdullah,2012-09-01,1,Nebraska,,Southern Mississippi,W,3,41,13.7,0,ameer-abdullah-1
Austin Aikens,2012-09-01,1,Western Kentucky,,Austin Peay,W,1,-2,-2.0,0,austin-aikens-1
Justin Albert,2012-09-01,1,Troy,@,Alabama-Birmingham,W,2,4,2.0,0,justin-albert-1
Keenan Allen,2012-09-01,1,California,,Nevada,L,3,39,13.0,0,keenan-allen-1
Ricardo Allen,2012-09-01,1,Purdue,,Eastern Kentucky,W,1,25,25.0,0,ricardo-allen-1
Antonio Andrews,2012-09-01,1,Western Kentucky,,Austin Peay,W,3,76,25.3,1,antonio-andrews-1
Perez Ashford,2012-09-01,1,Northern Illinois,,Iowa,L,1,5,5.0,0,perez-ashford-1
Tavon Austin,2012-09-01,1,West Virginia,,Marshall,W,3,19,6.3,0,tavon-austin-1
Johnthan Banks,2012-09-01,1,Mississippi State,,Jackson State,W,3,26,8.7,0,johnthan-banks-1
Odell Beckham Jr.,2012-09-01,1,Louisiana State,,North Texas,W,4,75,18.8,1,odell-beckham-jr-1
Giovani Bernard,2012-09-01,1,North Carolina,,Elon,W,2,100,50.0,1,giovani-bernard-1
Kelton Brackett,2012-09-01,1,Alabama-Birmingham,,Troy,L,1,2,2.0,0,kelton-brackett-1
Quan Bray,2012-09-01,1,Auburn,N,Clemson,L,1,5,5.0,0,quan-bray-1
Corey Brown,2012-09-01,1,Ohio State,,Miami (OH),W,2,10,5.0,0,corey-brown-2
Justin Brown,2012-09-01,1,Oklahoma,@,Texas-El Paso,W,3,30,10.0,0,justin-brown-1
Chad Bumphis,2012-09-01,1,Mississippi State,,Jackson State,W,1,-2,-2.0,0,chad-bumphis-1
Blair Burns,2012-09-01,1,Wyoming,@,Texas,L,1,3,3.0,0,blair-burns-1
Isaiah Burse,2012-09-01,1,Fresno State,,Weber State,W,2,20,10.0,0,isaiah-burse-1
Michael Campanaro,2012-09-01,1,Wake Forest,,Liberty,W,2,17,8.5,0,michael-campanaro-1
